ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775326499,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,512859,482502,-0.0305,0,0,31,15,21,20,1
1775326500,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,512859,482502,-0.0305,0,0,31,15,21,20,1
1775326501,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,512859,482502,-0.0305,0,0,31,15,21,20,1
1775326502,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506853,482502,-0.0246,-6006,-6006,31,15,21,20,1
1775326503,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506853,482502,-0.0246,-6006,-6006,31,15,21,20,1
1775326504,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506853,482502,-0.0246,-6006,-6006,31,15,21,20,1
1775326505,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506853,482502,-0.0246,0,-6006,31,15,21,20,1
1775326506,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506853,482502,-0.0246,0,-6006,31,15,21,20,1
1775326507,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506553,482502,-0.0243,-300,-6306,30,15,21,20,1
1775326508,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506853,482502,-0.0246,0,-6006,31,15,21,20,1
1775326509,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,509353,482502,-0.0271,2500,-3506,32,15,21,20,1
1775326510,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,509353,482502,-0.0271,2800,-3506,32,15,21,20,1
1775326511,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526725,504743,-0.0213,19872,13866,32,15,21,20,1
1775326512,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526645,504743,-0.0212,17292,19792,32,15,21,20,1
1775326513,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526645,504743,-0.0212,17292,19792,32,15,21,20,1
1775326514,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526645,504743,-0.0212,-80,19792,32,15,21,20,1
1775326515,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526645,504743,-0.0212,0,19792,32,15,21,20,1
1775326516,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526645,504743,-0.0212,0,19792,32,15,21,20,1
1775326517,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526647,504744,-0.0212,2,20094,33,15,21,20,1
1775326518,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526647,504744,-0.0212,2,19794,33,15,21,20,1
1775326519,20,79,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,526647,504744,-0.0212,2,17294,33,15,21,20,1
