ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774186199,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,124285,62275,-0.3324,0,0,27,14,20,19,1
1774186200,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,124285,62275,-0.3324,0,0,27,14,20,19,1
1774186201,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,124285,62275,-0.3324,0,0,27,14,20,19,1
1774186202,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,124285,62275,-0.3324,0,0,27,14,20,19,1
1774186203,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,-3108,-3108,27,14,20,19,1
1774186204,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,-3108,-3108,27,14,20,19,1
1774186205,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,-3108,-3108,27,14,20,19,1
1774186206,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186207,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186208,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186209,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186210,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186211,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186212,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,-3108,27,14,20,19,1
1774186213,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186214,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186215,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186216,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186217,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186218,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186219,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186220,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186221,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186222,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186223,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186224,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186225,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186226,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186227,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186228,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186229,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186230,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186231,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186232,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186233,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186234,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186235,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186236,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
1774186237,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,121177,62275,-0.3211,0,0,27,14,20,19,1
