ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774186200,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186201,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186202,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186203,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186204,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186205,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186206,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186207,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186208,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186209,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186210,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186211,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186212,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186213,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186214,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186215,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186216,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186217,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186218,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186219,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186220,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186221,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
1774186222,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,133379,62809,-0.3597,0,0,29,9,11,10,1
