Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
43,1775307955,2026-04-04T06:05:55,47,53,yes,10
44,1775307955,2026-04-04T06:05:55,47,53,yes,10
80,1775307978,2026-04-04T06:06:18,46,54,yes,337
92,1775307988,2026-04-04T06:06:28,46,54,yes,1041
132,1775308021,2026-04-04T06:07:01,45,55,no,173
139,1775308028,2026-04-04T06:07:08,46,54,yes,20
147,1775308032,2026-04-04T06:07:12,46,54,yes,52
170,1775308048,2026-04-04T06:07:28,46,54,yes,73
171,1775308049,2026-04-04T06:07:29,46,54,yes,117
175,1775308052,2026-04-04T06:07:32,46,54,yes,20
190,1775308066,2026-04-04T06:07:46,46,54,yes,104
211,1775308078,2026-04-04T06:07:58,45,55,yes,62
236,1775308094,2026-04-04T06:08:14,46,54,yes,104
246,1775308100,2026-04-04T06:08:20,46,54,yes,62
263,1775308111,2026-04-04T06:08:31,46,54,yes,3125
314,1775308137,2026-04-04T06:08:57,46,54,yes,11
331,1775308146,2026-04-04T06:09:06,44,56,no,24
359,1775308164,2026-04-04T06:09:24,45,55,yes,2
408,1775308187,2026-04-04T06:09:47,45,55,yes,34
436,1775308203,2026-04-04T06:10:03,45,55,yes,234
535,1775308256,2026-04-04T06:10:56,45,55,yes,5
536,1775308256,2026-04-04T06:10:56,45,55,yes,45
554,1775308268,2026-04-04T06:11:08,45,55,yes,4
561,1775308278,2026-04-04T06:11:18,45,55,yes,67
562,1775308278,2026-04-04T06:11:18,46,54,yes,39
565,1775308280,2026-04-04T06:11:20,45,55,yes,25
582,1775308289,2026-04-04T06:11:29,44,56,yes,77
606,1775308300,2026-04-04T06:11:40,45,55,yes,31
625,1775308308,2026-04-04T06:11:48,46,54,yes,31
630,1775308310,2026-04-04T06:11:50,45,55,yes,178
631,1775308310,2026-04-04T06:11:50,46,54,yes,9
632,1775308310,2026-04-04T06:11:50,46,54,yes,22
639,1775308315,2026-04-04T06:11:55,46,54,yes,102
659,1775308325,2026-04-04T06:12:05,45,55,yes,29
733,1775308373,2026-04-04T06:12:53,46,54,yes,31
740,1775308374,2026-04-04T06:12:54,46,54,yes,41
761,1775308387,2026-04-04T06:13:07,46,54,yes,10
762,1775308389,2026-04-04T06:13:09,46,54,yes,43
801,1775308416,2026-04-04T06:13:36,46,54,yes,20
822,1775308433,2026-04-04T06:13:53,45,55,yes,32
837,1775308441,2026-04-04T06:14:01,46,54,yes,10
883,1775308468,2026-04-04T06:14:28,46,54,yes,20
963,1775308520,2026-04-04T06:15:20,45,55,yes,21
1012,1775308552,2026-04-04T06:15:52,45,55,yes,64
1087,1775308599,2026-04-04T06:16:39,45,55,yes,21
1092,1775308602,2026-04-04T06:16:42,45,55,yes,32
1101,1775308610,2026-04-04T06:16:50,44,56,no,24
1108,1775308618,2026-04-04T06:16:58,44,56,yes,213
1116,1775308627,2026-04-04T06:17:07,44,56,yes,21
1132,1775308638,2026-04-04T06:17:18,44,56,yes,3280
1145,1775308649,2026-04-04T06:17:29,45,55,yes,35
1146,1775308649,2026-04-04T06:17:29,45,55,yes,77
1147,1775308649,2026-04-04T06:17:29,45,55,yes,13
1163,1775308657,2026-04-04T06:17:37,45,55,no,24
1165,1775308657,2026-04-04T06:17:37,44,56,no,497
1177,1775308661,2026-04-04T06:17:41,44,56,yes,5
1186,1775308666,2026-04-04T06:17:46,44,56,yes,32
1218,1775308680,2026-04-04T06:18:00,44,56,yes,8
1259,1775308708,2026-04-04T06:18:28,45,55,yes,35
1260,1775308708,2026-04-04T06:18:28,46,54,yes,28
1261,1775308708,2026-04-04T06:18:28,46,54,yes,60
1262,1775308708,2026-04-04T06:18:28,47,53,yes,186
1263,1775308711,2026-04-04T06:18:31,46,54,yes,1
1291,1775308728,2026-04-04T06:18:48,45,55,yes,35
1292,1775308728,2026-04-04T06:18:48,45,55,yes,18
1340,1775308756,2026-04-04T06:19:16,43,57,yes,50
1341,1775308756,2026-04-04T06:19:16,44,56,yes,6
1347,1775308760,2026-04-04T06:19:20,44,56,yes,4
1383,1775308782,2026-04-04T06:19:42,44,56,yes,1086
1430,1775308815,2026-04-04T06:20:15,45,55,yes,213
1461,1775308833,2026-04-04T06:20:33,46,54,yes,10
1468,1775308838,2026-04-04T06:20:38,45,55,no,141
1473,1775308843,2026-04-04T06:20:43,45,55,yes,53
1521,1775308877,2026-04-04T06:21:17,44,56,yes,7
1539,1775308893,2026-04-04T06:21:33,44,56,yes,1
1565,1775308904,2026-04-04T06:21:44,44,56,yes,45
1587,1775308917,2026-04-04T06:21:57,44,56,yes,488
1588,1775308917,2026-04-04T06:21:57,44,56,yes,605
1620,1775308928,2026-04-04T06:22:08,44,56,yes,1
1631,1775308932,2026-04-04T06:22:12,43,57,yes,2
1780,1775309015,2026-04-04T06:23:35,42,58,no,50
1781,1775309015,2026-04-04T06:23:35,42,58,no,266
1835,1775309050,2026-04-04T06:24:10,42,58,no,77
1844,1775309062,2026-04-04T06:24:22,42,58,yes,205
1958,1775309125,2026-04-04T06:25:25,42,58,yes,45
1963,1775309128,2026-04-04T06:25:28,42,58,yes,20
1996,1775309143,2026-04-04T06:25:43,41,59,no,213
2013,1775309150,2026-04-04T06:25:50,42,58,yes,114
2026,1775309163,2026-04-04T06:26:03,42,58,yes,57
2096,1775309203,2026-04-04T06:26:43,41,59,no,32
2135,1775309226,2026-04-04T06:27:06,40,60,no,9
2136,1775309226,2026-04-04T06:27:06,38,62,no,5
2203,1775309262,2026-04-04T06:27:42,41,59,yes,23
2280,1775309293,2026-04-04T06:28:13,39,61,yes,150
2308,1775309302,2026-04-04T06:28:22,40,60,yes,23
2313,1775309304,2026-04-04T06:28:24,39,61,no,50
2322,1775309307,2026-04-04T06:28:27,39,61,no,50
2323,1775309307,2026-04-04T06:28:27,39,61,no,233
2324,1775309307,2026-04-04T06:28:27,39,61,no,2794
2355,1775309320,2026-04-04T06:28:40,40,60,yes,35
2385,1775309333,2026-04-04T06:28:53,39,61,no,106
2386,1775309333,2026-04-04T06:28:53,39,61,no,303
2424,1775309343,2026-04-04T06:29:03,38,62,yes,24
2425,1775309343,2026-04-04T06:29:03,38,62,yes,7
2426,1775309343,2026-04-04T06:29:03,41,59,yes,16
2440,1775309347,2026-04-04T06:29:07,34,66,no,4
2441,1775309347,2026-04-04T06:29:07,34,66,no,13
2448,1775309348,2026-04-04T06:29:08,35,65,yes,49
2460,1775309351,2026-04-04T06:29:11,33,67,no,3
2461,1775309351,2026-04-04T06:29:11,33,67,no,7
2462,1775309351,2026-04-04T06:29:11,27,73,no,3
2468,1775309352,2026-04-04T06:29:12,44,56,yes,4
2469,1775309352,2026-04-04T06:29:12,45,55,yes,7
2470,1775309352,2026-04-04T06:29:12,45,55,yes,54
2493,1775309356,2026-04-04T06:29:16,31,69,no,1
2516,1775309365,2026-04-04T06:29:25,27,73,no,2
2606,1775309397,2026-04-04T06:29:57,26,74,no,4
2637,1775309412,2026-04-04T06:30:12,21,79,yes,6
2638,1775309412,2026-04-04T06:30:12,21,79,yes,2
2657,1775309419,2026-04-04T06:30:19,24,76,yes,3
2665,1775309422,2026-04-04T06:30:22,24,76,yes,39
2712,1775309448,2026-04-04T06:30:48,21,79,no,4
2719,1775309451,2026-04-04T06:30:51,19,81,no,60
2720,1775309451,2026-04-04T06:30:51,19,81,no,20
2721,1775309451,2026-04-04T06:30:51,19,81,no,1
2722,1775309451,2026-04-04T06:30:51,19,81,no,10
2723,1775309451,2026-04-04T06:30:51,19,81,no,49
2775,1775309475,2026-04-04T06:31:15,19,81,yes,2
2776,1775309475,2026-04-04T06:31:15,19,81,yes,49
2777,1775309475,2026-04-04T06:31:15,26,74,yes,2
2778,1775309475,2026-04-04T06:31:15,25,75,yes,49
2787,1775309478,2026-04-04T06:31:18,27,73,yes,49
2788,1775309478,2026-04-04T06:31:18,33,67,yes,100
2793,1775309479,2026-04-04T06:31:19,25,75,no,5
2796,1775309481,2026-04-04T06:31:21,26,74,no,12
2797,1775309481,2026-04-04T06:31:21,26,74,no,12
2798,1775309481,2026-04-04T06:31:21,26,74,no,3
2802,1775309482,2026-04-04T06:31:22,27,73,yes,49
2803,1775309482,2026-04-04T06:31:22,28,72,yes,25
2812,1775309484,2026-04-04T06:31:24,23,77,no,118
2818,1775309485,2026-04-04T06:31:25,22,78,yes,100
2827,1775309489,2026-04-04T06:31:29,22,78,yes,100
2831,1775309491,2026-04-04T06:31:31,31,69,yes,2
2832,1775309491,2026-04-04T06:31:31,32,68,yes,30
2833,1775309491,2026-04-04T06:31:31,32,68,yes,25
2843,1775309494,2026-04-04T06:31:34,30,70,yes,49
2844,1775309494,2026-04-04T06:31:34,30,70,yes,51
2858,1775309498,2026-04-04T06:31:38,28,72,yes,28
2859,1775309498,2026-04-04T06:31:38,29,71,yes,49
2860,1775309498,2026-04-04T06:31:38,28,72,yes,49
2861,1775309498,2026-04-04T06:31:38,32,68,yes,51
2879,1775309504,2026-04-04T06:31:44,26,74,no,20
2880,1775309504,2026-04-04T06:31:44,26,74,no,49
2881,1775309504,2026-04-04T06:31:44,25,75,no,13
2896,1775309510,2026-04-04T06:31:50,30,70,yes,8
2898,1775309511,2026-04-04T06:31:51,26,74,no,16
2899,1775309511,2026-04-04T06:31:51,25,75,no,49
2900,1775309511,2026-04-04T06:31:51,24,76,no,123
2901,1775309511,2026-04-04T06:31:51,24,76,no,12
2906,1775309511,2026-04-04T06:31:51,24,76,no,15
2907,1775309511,2026-04-04T06:31:51,23,77,no,25
2908,1775309511,2026-04-04T06:31:51,23,77,no,135
2909,1775309511,2026-04-04T06:31:51,21,79,no,32
2910,1775309511,2026-04-04T06:31:51,24,76,no,16
2911,1775309511,2026-04-04T06:31:51,20,80,no,188
2917,1775309513,2026-04-04T06:31:53,25,75,yes,10
2921,1775309515,2026-04-04T06:31:55,21,79,no,18
2922,1775309515,2026-04-04T06:31:55,21,79,no,12
2925,1775309515,2026-04-04T06:31:55,22,78,yes,29
2947,1775309521,2026-04-04T06:32:01,21,79,no,3
2948,1775309521,2026-04-04T06:32:01,21,79,no,37
2949,1775309521,2026-04-04T06:32:01,20,80,no,812
2950,1775309521,2026-04-04T06:32:01,18,82,no,5
2952,1775309521,2026-04-04T06:32:01,21,79,yes,39
2954,1775309522,2026-04-04T06:32:02,21,79,yes,10
2955,1775309522,2026-04-04T06:32:02,21,79,yes,10
2956,1775309522,2026-04-04T06:32:02,23,77,yes,2
2957,1775309522,2026-04-04T06:32:02,34,66,yes,37
2975,1775309526,2026-04-04T06:32:06,21,79,yes,2
2976,1775309526,2026-04-04T06:32:06,22,78,yes,45
3033,1775309544,2026-04-04T06:32:24,19,81,yes,8
3034,1775309544,2026-04-04T06:32:24,19,81,yes,42
3037,1775309544,2026-04-04T06:32:24,18,82,no,1
3038,1775309544,2026-04-04T06:32:24,18,82,no,49
3065,1775309549,2026-04-04T06:32:29,18,82,yes,17
3068,1775309550,2026-04-04T06:32:30,18,82,yes,44
3072,1775309551,2026-04-04T06:32:31,17,83,no,2
3078,1775309552,2026-04-04T06:32:32,18,82,yes,95
3085,1775309553,2026-04-04T06:32:33,18,82,yes,10
3086,1775309553,2026-04-04T06:32:33,18,82,yes,21
3087,1775309553,2026-04-04T06:32:33,18,82,yes,18
3109,1775309559,2026-04-04T06:32:39,19,81,yes,79
3119,1775309562,2026-04-04T06:32:42,19,81,yes,57
3124,1775309565,2026-04-04T06:32:45,20,80,yes,22
3133,1775309568,2026-04-04T06:32:48,20,80,yes,4
3139,1775309570,2026-04-04T06:32:50,20,80,yes,85
3174,1775309581,2026-04-04T06:33:01,20,80,yes,57
3175,1775309581,2026-04-04T06:33:01,20,80,yes,37
3181,1775309586,2026-04-04T06:33:06,19,81,yes,90
3182,1775309586,2026-04-04T06:33:06,19,81,yes,246
3201,1775309592,2026-04-04T06:33:12,20,80,yes,30
3204,1775309592,2026-04-04T06:33:12,20,80,yes,39
3217,1775309598,2026-04-04T06:33:18,19,81,no,106
3279,1775309618,2026-04-04T06:33:38,19,81,yes,47
3295,1775309624,2026-04-04T06:33:44,19,81,yes,996
3345,1775309640,2026-04-04T06:34:00,19,81,yes,95
3353,1775309641,2026-04-04T06:34:01,19,81,yes,430
3374,1775309648,2026-04-04T06:34:08,19,81,yes,34
3407,1775309662,2026-04-04T06:34:22,19,81,yes,17
3408,1775309662,2026-04-04T06:34:22,19,81,yes,1
3409,1775309662,2026-04-04T06:34:22,19,81,yes,9
3425,1775309668,2026-04-04T06:34:28,19,81,yes,24
3452,1775309678,2026-04-04T06:34:38,19,81,yes,1
3453,1775309678,2026-04-04T06:34:38,19,81,yes,8
3454,1775309678,2026-04-04T06:34:38,19,81,yes,15
3458,1775309679,2026-04-04T06:34:39,19,81,yes,202
3460,1775309680,2026-04-04T06:34:40,19,81,yes,190
3481,1775309686,2026-04-04T06:34:46,19,81,yes,425
3511,1775309697,2026-04-04T06:34:57,19,81,yes,24
3525,1775309703,2026-04-04T06:35:03,19,81,yes,16
3562,1775309721,2026-04-04T06:35:21,19,81,yes,254
3576,1775309727,2026-04-04T06:35:27,19,81,yes,424
3577,1775309727,2026-04-04T06:35:27,19,81,yes,52
3632,1775309747,2026-04-04T06:35:47,20,80,yes,23
3640,1775309753,2026-04-04T06:35:53,20,80,yes,27
3641,1775309753,2026-04-04T06:35:53,20,80,yes,4
3652,1775309755,2026-04-04T06:35:55,20,80,yes,24
3674,1775309761,2026-04-04T06:36:01,20,80,yes,23
3678,1775309762,2026-04-04T06:36:02,21,79,no,24
3725,1775309780,2026-04-04T06:36:20,20,80,no,20
