Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
128,1775308018,2026-04-04T06:06:58,31,69,yes,4
249,1775308104,2026-04-04T06:08:24,31,69,yes,9
363,1775308166,2026-04-04T06:09:26,31,69,yes,303
433,1775308202,2026-04-04T06:10:02,31,69,yes,92
441,1775308210,2026-04-04T06:10:10,31,69,yes,1
446,1775308211,2026-04-04T06:10:11,31,69,yes,1060
628,1775308309,2026-04-04T06:11:49,32,68,yes,32
1197,1775308670,2026-04-04T06:17:50,32,68,yes,149
1333,1775308751,2026-04-04T06:19:11,32,68,yes,5
1413,1775308805,2026-04-04T06:20:05,32,68,yes,5
1697,1775308970,2026-04-04T06:22:50,33,67,yes,1
1720,1775308984,2026-04-04T06:23:04,33,67,yes,5
1736,1775308991,2026-04-04T06:23:11,33,67,yes,101
2070,1775309190,2026-04-04T06:26:30,34,66,yes,270
2310,1775309303,2026-04-04T06:28:23,34,66,yes,8
2339,1775309314,2026-04-04T06:28:34,34,66,yes,55
2354,1775309320,2026-04-04T06:28:40,34,66,yes,14
2413,1775309338,2026-04-04T06:28:58,30,70,no,20
2480,1775309354,2026-04-04T06:29:14,33,67,yes,24
2481,1775309354,2026-04-04T06:29:14,39,61,yes,16
2491,1775309356,2026-04-04T06:29:16,29,71,no,1
2538,1775309370,2026-04-04T06:29:30,25,75,yes,20
2790,1775309479,2026-04-04T06:31:19,29,71,yes,24
2809,1775309484,2026-04-04T06:31:24,29,71,yes,49
2810,1775309484,2026-04-04T06:31:24,30,70,yes,3
2982,1775309528,2026-04-04T06:32:08,23,77,no,2
2984,1775309529,2026-04-04T06:32:09,19,81,no,1
3026,1775309540,2026-04-04T06:32:20,24,76,yes,87
3035,1775309544,2026-04-04T06:32:24,24,76,yes,49
3039,1775309545,2026-04-04T06:32:25,22,78,no,41
3057,1775309547,2026-04-04T06:32:27,23,77,yes,100
3071,1775309551,2026-04-04T06:32:31,24,76,yes,100
3079,1775309553,2026-04-04T06:32:33,22,78,no,1
3080,1775309553,2026-04-04T06:32:33,21,79,no,7
3081,1775309553,2026-04-04T06:32:33,21,79,no,8
3082,1775309553,2026-04-04T06:32:33,21,79,no,8
3095,1775309554,2026-04-04T06:32:34,21,79,yes,49
3096,1775309554,2026-04-04T06:32:34,21,79,yes,51
3097,1775309555,2026-04-04T06:32:35,21,79,yes,49
3098,1775309555,2026-04-04T06:32:35,24,76,yes,51
3108,1775309559,2026-04-04T06:32:39,24,76,yes,100
3114,1775309561,2026-04-04T06:32:41,23,77,no,2
3115,1775309561,2026-04-04T06:32:41,23,77,no,15
3116,1775309561,2026-04-04T06:32:41,23,77,no,8
3117,1775309561,2026-04-04T06:32:41,23,77,no,10
3121,1775309563,2026-04-04T06:32:43,24,76,yes,100
3129,1775309566,2026-04-04T06:32:46,24,76,yes,100
3137,1775309570,2026-04-04T06:32:50,24,76,yes,68
3138,1775309570,2026-04-04T06:32:50,24,76,yes,32
3146,1775309572,2026-04-04T06:32:52,25,75,yes,90
3147,1775309572,2026-04-04T06:32:52,25,75,yes,283
3148,1775309572,2026-04-04T06:32:52,26,74,yes,60
3184,1775309587,2026-04-04T06:33:07,27,73,yes,176
3259,1775309610,2026-04-04T06:33:30,25,75,yes,4
3260,1775309610,2026-04-04T06:33:30,25,75,yes,40
3268,1775309615,2026-04-04T06:33:35,26,74,yes,49
3319,1775309629,2026-04-04T06:33:49,25,75,yes,6
3320,1775309629,2026-04-04T06:33:49,26,74,yes,63
3341,1775309639,2026-04-04T06:33:59,26,74,yes,73
3350,1775309641,2026-04-04T06:34:01,26,74,yes,3
3381,1775309651,2026-04-04T06:34:11,25,75,yes,13
3393,1775309654,2026-04-04T06:34:14,25,75,yes,20
3457,1775309679,2026-04-04T06:34:39,25,75,yes,20
3479,1775309686,2026-04-04T06:34:46,26,74,yes,1
3524,1775309702,2026-04-04T06:35:02,27,73,yes,3
3553,1775309713,2026-04-04T06:35:13,27,73,yes,70
3608,1775309741,2026-04-04T06:35:41,28,72,no,1844
3609,1775309741,2026-04-04T06:35:41,28,72,no,24
3645,1775309753,2026-04-04T06:35:53,27,73,yes,86
3668,1775309759,2026-04-04T06:35:59,28,72,yes,14
3669,1775309759,2026-04-04T06:35:59,28,72,yes,10
3699,1775309770,2026-04-04T06:36:10,29,71,yes,23
3700,1775309770,2026-04-04T06:36:10,29,71,yes,15
3711,1775309776,2026-04-04T06:36:16,28,72,yes,40
3813,1775309815,2026-04-04T06:36:55,27,73,no,24
3845,1775309833,2026-04-04T06:37:13,26,74,no,23
3846,1775309833,2026-04-04T06:37:13,26,74,no,8
4084,1775309908,2026-04-04T06:38:28,27,73,yes,186
4125,1775309919,2026-04-04T06:38:39,27,73,yes,14
4151,1775309927,2026-04-04T06:38:47,27,73,yes,440
4159,1775309930,2026-04-04T06:38:50,27,73,yes,155
4407,1775310012,2026-04-04T06:40:12,27,73,yes,344
4431,1775310023,2026-04-04T06:40:23,27,73,yes,172
4438,1775310024,2026-04-04T06:40:24,27,73,yes,172
4560,1775310063,2026-04-04T06:41:03,27,73,yes,70
4669,1775310104,2026-04-04T06:41:44,27,73,yes,48
4743,1775310127,2026-04-04T06:42:07,26,74,yes,140
4744,1775310127,2026-04-04T06:42:07,26,74,yes,50
4745,1775310127,2026-04-04T06:42:07,27,73,yes,162
4751,1775310130,2026-04-04T06:42:10,25,75,yes,12
4768,1775310133,2026-04-04T06:42:13,25,75,yes,17
4813,1775310146,2026-04-04T06:42:26,25,75,yes,31
4816,1775310148,2026-04-04T06:42:28,25,75,yes,188
4820,1775310149,2026-04-04T06:42:29,24,76,yes,20
4821,1775310149,2026-04-04T06:42:29,24,76,yes,20
4822,1775310149,2026-04-04T06:42:29,25,75,yes,269
4823,1775310149,2026-04-04T06:42:29,25,75,yes,30
4830,1775310151,2026-04-04T06:42:31,25,75,yes,1
4831,1775310151,2026-04-04T06:42:31,25,75,yes,11
4842,1775310153,2026-04-04T06:42:33,25,75,yes,50
4864,1775310161,2026-04-04T06:42:41,25,75,yes,1
4865,1775310161,2026-04-04T06:42:41,26,74,yes,50
4866,1775310161,2026-04-04T06:42:41,26,74,yes,193
4906,1775310178,2026-04-04T06:42:58,25,75,yes,11
4954,1775310191,2026-04-04T06:43:11,25,75,yes,1
4955,1775310191,2026-04-04T06:43:11,26,74,yes,35
4961,1775310193,2026-04-04T06:43:13,24,76,yes,7
4971,1775310196,2026-04-04T06:43:16,24,76,yes,7
4981,1775310197,2026-04-04T06:43:17,26,74,yes,1
4982,1775310197,2026-04-04T06:43:17,26,74,yes,21
5032,1775310213,2026-04-04T06:43:33,27,73,yes,10
5282,1775310279,2026-04-04T06:44:39,27,73,no,10
5315,1775310286,2026-04-04T06:44:46,28,72,yes,24
5367,1775310298,2026-04-04T06:44:58,28,72,yes,33
5410,1775310309,2026-04-04T06:45:09,29,71,yes,25
5411,1775310309,2026-04-04T06:45:09,29,71,yes,32
5458,1775310317,2026-04-04T06:45:17,28,72,yes,16
5497,1775310327,2026-04-04T06:45:27,27,73,yes,1268
6018,1775310432,2026-04-04T06:47:12,30,70,yes,79
6132,1775310460,2026-04-04T06:47:40,28,72,yes,34
6156,1775310465,2026-04-04T06:47:45,28,72,yes,1
6157,1775310465,2026-04-04T06:47:45,28,72,yes,60
6158,1775310465,2026-04-04T06:47:45,29,71,yes,6
6277,1775310491,2026-04-04T06:48:11,28,72,yes,17
6480,1775310554,2026-04-04T06:49:14,29,71,yes,33
6562,1775310574,2026-04-04T06:49:34,28,72,yes,833
6607,1775310593,2026-04-04T06:49:53,28,72,yes,10
6608,1775310593,2026-04-04T06:49:53,29,71,yes,32
6609,1775310593,2026-04-04T06:49:53,29,71,yes,22
6669,1775310615,2026-04-04T06:50:15,28,72,yes,40
6670,1775310615,2026-04-04T06:50:15,28,72,yes,10
7055,1775310719,2026-04-04T06:51:59,28,72,yes,34
7236,1775310772,2026-04-04T06:52:52,28,72,yes,34
7245,1775310774,2026-04-04T06:52:54,28,72,yes,100
7329,1775310799,2026-04-04T06:53:19,28,72,yes,170
7374,1775310812,2026-04-04T06:53:32,28,72,yes,340
7559,1775310873,2026-04-04T06:54:33,28,72,yes,3
7574,1775310880,2026-04-04T06:54:40,28,72,yes,25
7661,1775310901,2026-04-04T06:55:01,28,72,yes,34
7851,1775310959,2026-04-04T06:55:59,28,72,yes,34
8300,1775311110,2026-04-04T06:58:30,28,72,yes,3
8395,1775311135,2026-04-04T06:58:55,28,72,yes,1
8415,1775311141,2026-04-04T06:59:01,28,72,yes,9
8557,1775311178,2026-04-04T06:59:38,28,72,yes,51
8681,1775311208,2026-04-04T07:00:08,28,72,yes,66
8686,1775311209,2026-04-04T07:00:09,28,72,yes,16
8871,1775311250,2026-04-04T07:00:50,28,72,yes,44
8974,1775311270,2026-04-04T07:01:10,28,72,yes,66
9099,1775311296,2026-04-04T07:01:36,28,72,yes,34
9184,1775311322,2026-04-04T07:02:02,28,72,yes,167
9379,1775311375,2026-04-04T07:02:55,28,72,yes,23
9655,1775311434,2026-04-04T07:03:54,28,72,yes,170
9795,1775311479,2026-04-04T07:04:39,28,72,yes,51
10180,1775311589,2026-04-04T07:06:29,28,72,yes,33
10757,1775311705,2026-04-04T07:08:25,29,71,no,198
10978,1775311749,2026-04-04T07:09:09,29,71,yes,400
10994,1775311752,2026-04-04T07:09:12,29,71,yes,9
11014,1775311757,2026-04-04T07:09:17,29,71,yes,3
11075,1775311772,2026-04-04T07:09:32,29,71,yes,32
11150,1775311791,2026-04-04T07:09:51,29,71,yes,65
11298,1775311829,2026-04-04T07:10:29,29,71,yes,1
11436,1775311860,2026-04-04T07:11:00,29,71,no,36
11459,1775311868,2026-04-04T07:11:08,28,72,yes,70
11460,1775311868,2026-04-04T07:11:08,29,71,yes,50
11461,1775311868,2026-04-04T07:11:08,29,71,yes,34
11462,1775311868,2026-04-04T07:11:08,30,70,yes,33
11463,1775311868,2026-04-04T07:11:08,33,67,yes,100
11464,1775311868,2026-04-04T07:11:08,36,64,yes,12
11585,1775311896,2026-04-04T07:11:36,29,71,yes,16
11597,1775311901,2026-04-04T07:11:41,28,72,yes,15
11598,1775311901,2026-04-04T07:11:41,29,71,yes,1
11643,1775311913,2026-04-04T07:11:53,29,71,yes,16
11644,1775311913,2026-04-04T07:11:53,29,71,yes,7
11645,1775311913,2026-04-04T07:11:53,29,71,yes,9
11784,1775311945,2026-04-04T07:12:25,29,71,yes,32
11794,1775311946,2026-04-04T07:12:26,29,71,yes,1
11795,1775311946,2026-04-04T07:12:26,33,67,yes,10
11796,1775311946,2026-04-04T07:12:26,34,66,yes,60
11797,1775311946,2026-04-04T07:12:26,34,66,yes,150
11931,1775311971,2026-04-04T07:12:51,39,61,yes,60
11932,1775311971,2026-04-04T07:12:51,39,61,yes,50
11933,1775311971,2026-04-04T07:12:51,39,61,yes,1
11934,1775311972,2026-04-04T07:12:52,39,61,yes,1
11935,1775311972,2026-04-04T07:12:52,39,61,yes,60
11954,1775311975,2026-04-04T07:12:55,39,61,yes,20
11955,1775311975,2026-04-04T07:12:55,39,61,yes,18
11958,1775311976,2026-04-04T07:12:56,39,61,yes,20
12040,1775311996,2026-04-04T07:13:16,40,60,yes,50
12041,1775311996,2026-04-04T07:13:16,40,60,yes,19
12042,1775311996,2026-04-04T07:13:16,41,59,yes,1
12043,1775311996,2026-04-04T07:13:16,41,59,yes,42
12044,1775311996,2026-04-04T07:13:16,42,58,yes,60
12045,1775311996,2026-04-04T07:13:16,42,58,yes,184
12046,1775311997,2026-04-04T07:13:17,42,58,no,644
12049,1775311997,2026-04-04T07:13:17,41,59,yes,1
12050,1775311997,2026-04-04T07:13:17,42,58,yes,20
12051,1775311997,2026-04-04T07:13:17,42,58,yes,71
12056,1775311997,2026-04-04T07:13:17,42,58,no,1000
12057,1775311997,2026-04-04T07:13:17,40,60,no,3
12100,1775312005,2026-04-04T07:13:25,40,60,no,34
12102,1775312005,2026-04-04T07:13:25,41,59,yes,1
12103,1775312005,2026-04-04T07:13:25,41,59,yes,13
12180,1775312016,2026-04-04T07:13:36,40,60,no,71
12181,1775312016,2026-04-04T07:13:36,40,60,no,11
12235,1775312025,2026-04-04T07:13:45,40,60,no,60
12236,1775312025,2026-04-04T07:13:45,40,60,no,1240
12240,1775312027,2026-04-04T07:13:47,40,60,no,9
12320,1775312045,2026-04-04T07:14:05,41,59,yes,45
12321,1775312045,2026-04-04T07:14:05,41,59,yes,10
12345,1775312050,2026-04-04T07:14:10,41,59,yes,8
12346,1775312050,2026-04-04T07:14:10,41,59,yes,3
12349,1775312051,2026-04-04T07:14:11,40,60,no,34
12375,1775312057,2026-04-04T07:14:17,41,59,yes,22
12376,1775312057,2026-04-04T07:14:17,41,59,yes,1
12450,1775312075,2026-04-04T07:14:35,42,58,yes,45
12546,1775312100,2026-04-04T07:15:00,40,60,yes,15
12576,1775312108,2026-04-04T07:15:08,41,59,no,17
12622,1775312119,2026-04-04T07:15:19,42,58,yes,20
12623,1775312119,2026-04-04T07:15:19,42,58,yes,8
12624,1775312119,2026-04-04T07:15:19,42,58,yes,11
12625,1775312119,2026-04-04T07:15:19,42,58,yes,16
12626,1775312119,2026-04-04T07:15:19,42,58,yes,64
12678,1775312132,2026-04-04T07:15:32,43,57,yes,111
12684,1775312134,2026-04-04T07:15:34,43,57,yes,66
12685,1775312134,2026-04-04T07:15:34,43,57,yes,26
12686,1775312134,2026-04-04T07:15:34,43,57,yes,11
12708,1775312139,2026-04-04T07:15:39,44,56,yes,10
12741,1775312152,2026-04-04T07:15:52,43,57,no,38
12751,1775312156,2026-04-04T07:15:56,43,57,no,34
12757,1775312157,2026-04-04T07:15:57,43,57,no,78
12758,1775312157,2026-04-04T07:15:57,43,57,no,287
12779,1775312161,2026-04-04T07:16:01,44,56,yes,164
12807,1775312171,2026-04-04T07:16:11,43,57,no,26
12877,1775312186,2026-04-04T07:16:26,44,56,yes,13
12939,1775312197,2026-04-04T07:16:37,44,56,yes,150
12995,1775312209,2026-04-04T07:16:49,44,56,yes,26
12996,1775312209,2026-04-04T07:16:49,44,56,yes,353
12997,1775312209,2026-04-04T07:16:49,44,56,yes,100
12998,1775312209,2026-04-04T07:16:49,44,56,yes,26
13024,1775312219,2026-04-04T07:16:59,45,55,yes,220
13050,1775312223,2026-04-04T07:17:03,45,55,yes,46
13116,1775312240,2026-04-04T07:17:20,43,57,yes,20
13117,1775312240,2026-04-04T07:17:20,43,57,yes,2
13126,1775312244,2026-04-04T07:17:24,43,57,yes,24
13127,1775312244,2026-04-04T07:17:24,43,57,yes,20
13157,1775312251,2026-04-04T07:17:31,43,57,yes,22
13285,1775312278,2026-04-04T07:17:58,42,58,no,5
13286,1775312278,2026-04-04T07:17:58,42,58,no,18
13287,1775312278,2026-04-04T07:17:58,42,58,no,35
13294,1775312281,2026-04-04T07:18:01,43,57,yes,22
13408,1775312303,2026-04-04T07:18:23,43,57,yes,78
13503,1775312320,2026-04-04T07:18:40,43,57,yes,17
13541,1775312329,2026-04-04T07:18:49,43,57,yes,11
