Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
4053,1774013293,2026-03-20T06:28:13,,,yes,
5947,1774013883,2026-03-20T06:38:03,,,yes,
6827,1774014134,2026-03-20T06:42:14,,,yes,
9092,1774014740,2026-03-20T06:52:20,,,yes,
10595,1774015158,2026-03-20T06:59:18,,,yes,
12991,1774015793,2026-03-20T07:09:53,,,yes,
22750,1774018228,2026-03-20T07:50:28,,,yes,
24788,1774018692,2026-03-20T07:58:12,,,no,
27134,1774019210,2026-03-20T08:06:50,,,yes,
29179,1774019656,2026-03-20T08:14:16,,,no,
31259,1774020087,2026-03-20T08:21:27,,,yes,
31512,1774020135,2026-03-20T08:22:15,,,yes,
32107,1774020253,2026-03-20T08:24:13,,,yes,
34047,1774020622,2026-03-20T08:30:22,,,yes,
37557,1774021204,2026-03-20T08:40:04,,,yes,
45000,1774022228,2026-03-20T08:57:08,,,yes,
46866,1774022489,2026-03-20T09:01:29,,,no,
46867,1774022489,2026-03-20T09:01:29,,,no,
53652,1774023292,2026-03-20T09:14:52,,,yes,
57980,1774023636,2026-03-20T09:20:36,,,yes,
59556,1774023764,2026-03-20T09:22:44,,,yes,
60854,1774023911,2026-03-20T09:25:11,,,no,
60855,1774023911,2026-03-20T09:25:11,,,no,
64262,1774024242,2026-03-20T09:30:42,,,yes,
66522,1774024519,2026-03-20T09:35:19,,,yes,
71109,1774024996,2026-03-20T09:43:16,,,yes,
73649,1774025229,2026-03-20T09:47:09,,,yes,
74616,1774025314,2026-03-20T09:48:34,,,no,
78619,1774025720,2026-03-20T09:55:20,,,yes,
80766,1774025922,2026-03-20T09:58:42,,,yes,
85230,1774026289,2026-03-20T10:04:49,,,yes,
85627,1774026327,2026-03-20T10:05:27,,,yes,
86685,1774026425,2026-03-20T10:07:05,,,yes,
86688,1774026426,2026-03-20T10:07:06,,,no,
94844,1774027205,2026-03-20T10:20:05,,,yes,
95547,1774027273,2026-03-20T10:21:13,,,yes,
95985,1774027317,2026-03-20T10:21:57,,,yes,
96171,1774027335,2026-03-20T10:22:15,,,yes,
96172,1774027335,2026-03-20T10:22:15,,,no,
97104,1774027426,2026-03-20T10:23:46,,,no,
97753,1774027487,2026-03-20T10:24:47,,,yes,
97754,1774027487,2026-03-20T10:24:47,,,no,
98724,1774027562,2026-03-20T10:26:02,,,no,
99126,1774027587,2026-03-20T10:26:27,,,yes,
100246,1774027660,2026-03-20T10:27:40,,,yes,
100247,1774027660,2026-03-20T10:27:40,,,no,
101728,1774027756,2026-03-20T10:29:16,,,yes,
101750,1774027757,2026-03-20T10:29:17,,,yes,
101798,1774027760,2026-03-20T10:29:20,,,no,
101799,1774027760,2026-03-20T10:29:20,,,no,
103989,1774027889,2026-03-20T10:31:29,,,no,
103993,1774027889,2026-03-20T10:31:29,,,no,
103994,1774027889,2026-03-20T10:31:29,,,no,
104007,1774027890,2026-03-20T10:31:30,,,no,
104015,1774027890,2026-03-20T10:31:30,,,yes,
104016,1774027890,2026-03-20T10:31:30,,,yes,
104069,1774027893,2026-03-20T10:31:33,,,yes,
104070,1774027893,2026-03-20T10:31:33,,,yes,
104174,1774027899,2026-03-20T10:31:39,,,yes,
104175,1774027899,2026-03-20T10:31:39,,,yes,
104246,1774027904,2026-03-20T10:31:44,,,yes,
104247,1774027904,2026-03-20T10:31:44,,,yes,
104487,1774027917,2026-03-20T10:31:57,,,yes,
104488,1774027917,2026-03-20T10:31:57,,,yes,
104608,1774027924,2026-03-20T10:32:04,,,yes,
104609,1774027924,2026-03-20T10:32:04,,,yes,
104610,1774027924,2026-03-20T10:32:04,,,yes,
104900,1774027942,2026-03-20T10:32:22,,,yes,
105298,1774027966,2026-03-20T10:32:46,,,no,
105299,1774027966,2026-03-20T10:32:46,,,no,
105414,1774027974,2026-03-20T10:32:54,,,no,
105437,1774027975,2026-03-20T10:32:55,,,no,
105699,1774027991,2026-03-20T10:33:11,,,yes,
105718,1774027992,2026-03-20T10:33:12,,,yes,
105770,1774027995,2026-03-20T10:33:15,,,no,
105771,1774027995,2026-03-20T10:33:15,,,no,
105772,1774027995,2026-03-20T10:33:15,,,no,
105773,1774027995,2026-03-20T10:33:15,,,no,
105777,1774027995,2026-03-20T10:33:15,,,no,
105779,1774027995,2026-03-20T10:33:15,,,no,
105780,1774027995,2026-03-20T10:33:15,,,no,
105781,1774027995,2026-03-20T10:33:15,,,no,
105854,1774028002,2026-03-20T10:33:22,,,yes,
105855,1774028002,2026-03-20T10:33:22,,,yes,
105924,1774028006,2026-03-20T10:33:26,,,yes,
105925,1774028006,2026-03-20T10:33:26,,,yes,
105948,1774028008,2026-03-20T10:33:28,,,no,
105949,1774028008,2026-03-20T10:33:28,,,no,
106025,1774028014,2026-03-20T10:33:34,,,no,
106026,1774028014,2026-03-20T10:33:34,,,no,
106027,1774028014,2026-03-20T10:33:34,,,no,
106028,1774028014,2026-03-20T10:33:34,,,yes,
106924,1774028085,2026-03-20T10:34:45,,,yes,
106985,1774028091,2026-03-20T10:34:51,,,yes,
107052,1774028093,2026-03-20T10:34:53,,,yes,
107233,1774028109,2026-03-20T10:35:09,,,no,
107352,1774028119,2026-03-20T10:35:19,,,yes,
107353,1774028119,2026-03-20T10:35:19,,,yes,
107354,1774028119,2026-03-20T10:35:19,,,yes,
107355,1774028119,2026-03-20T10:35:19,,,yes,
107441,1774028127,2026-03-20T10:35:27,,,no,
107470,1774028130,2026-03-20T10:35:30,,,yes,
107471,1774028130,2026-03-20T10:35:30,,,yes,
107973,1774028174,2026-03-20T10:36:14,,,yes,
107974,1774028174,2026-03-20T10:36:14,,,yes,
107977,1774028174,2026-03-20T10:36:14,,,no,
108163,1774028190,2026-03-20T10:36:30,,,yes,
108381,1774028207,2026-03-20T10:36:47,,,yes,
108600,1774028231,2026-03-20T10:37:11,,,yes,
108602,1774028231,2026-03-20T10:37:11,,,yes,
108768,1774028250,2026-03-20T10:37:30,,,yes,
108779,1774028251,2026-03-20T10:37:31,,,yes,
109087,1774028279,2026-03-20T10:37:59,,,yes,
109102,1774028280,2026-03-20T10:38:00,,,yes,
109547,1774028330,2026-03-20T10:38:50,,,yes,
109550,1774028330,2026-03-20T10:38:50,,,no,
109619,1774028337,2026-03-20T10:38:57,,,yes,
109808,1774028352,2026-03-20T10:39:12,,,yes,
110424,1774028405,2026-03-20T10:40:05,,,yes,
111197,1774028477,2026-03-20T10:41:17,,,yes,
111200,1774028477,2026-03-20T10:41:17,,,no,
111300,1774028485,2026-03-20T10:41:25,,,yes,
111831,1774028518,2026-03-20T10:41:58,,,no,
111832,1774028518,2026-03-20T10:41:58,,,no,
112076,1774028535,2026-03-20T10:42:15,,,yes,
112428,1774028563,2026-03-20T10:42:43,,,no,
112851,1774028599,2026-03-20T10:43:19,,,yes,
112854,1774028599,2026-03-20T10:43:19,,,no,
114208,1774028729,2026-03-20T10:45:29,,,yes,
114209,1774028729,2026-03-20T10:45:29,,,no,
114327,1774028742,2026-03-20T10:45:42,,,yes,
115311,1774028815,2026-03-20T10:46:55,,,yes,
115607,1774028836,2026-03-20T10:47:16,,,yes,
115966,1774028864,2026-03-20T10:47:44,,,no,
115967,1774028864,2026-03-20T10:47:44,,,yes,
115971,1774028864,2026-03-20T10:47:44,,,no,
116927,1774028922,2026-03-20T10:48:42,,,yes,
117987,1774029000,2026-03-20T10:50:00,,,yes,
117988,1774029000,2026-03-20T10:50:00,,,no,
118363,1774029023,2026-03-20T10:50:23,,,yes,
118572,1774029034,2026-03-20T10:50:34,,,yes,
118947,1774029051,2026-03-20T10:50:51,,,yes,
119952,1774029100,2026-03-20T10:51:40,,,yes,
120057,1774029105,2026-03-20T10:51:45,,,yes,
120099,1774029107,2026-03-20T10:51:47,,,yes,
120200,1774029112,2026-03-20T10:51:52,,,yes,
120310,1774029117,2026-03-20T10:51:57,,,yes,
121283,1774029160,2026-03-20T10:52:40,,,yes,
121293,1774029160,2026-03-20T10:52:40,,,no,
121320,1774029161,2026-03-20T10:52:41,,,yes,
122824,1774029223,2026-03-20T10:53:43,,,yes,
124456,1774029302,2026-03-20T10:55:02,,,yes,
124459,1774029302,2026-03-20T10:55:02,,,no,
124763,1774029319,2026-03-20T10:55:19,,,yes,
124779,1774029319,2026-03-20T10:55:19,,,yes,
125902,1774029388,2026-03-20T10:56:28,,,yes,
126028,1774029395,2026-03-20T10:56:35,,,yes,
127358,1774029462,2026-03-20T10:57:42,,,yes,
127362,1774029462,2026-03-20T10:57:42,,,no,
127420,1774029465,2026-03-20T10:57:45,,,yes,
128671,1774029526,2026-03-20T10:58:46,,,yes,
128871,1774029536,2026-03-20T10:58:56,,,yes,
129099,1774029550,2026-03-20T10:59:10,,,yes,
129411,1774029564,2026-03-20T10:59:24,,,yes,
130172,1774029605,2026-03-20T11:00:05,,,yes,
130175,1774029605,2026-03-20T11:00:05,,,no,
130740,1774029633,2026-03-20T11:00:33,,,yes,
132501,1774029702,2026-03-20T11:01:42,,,yes,
134826,1774029826,2026-03-20T11:03:46,,,yes,
134829,1774029826,2026-03-20T11:03:46,,,no,
135119,1774029843,2026-03-20T11:04:03,,,yes,
135447,1774029864,2026-03-20T11:04:24,,,yes,
135790,1774029888,2026-03-20T11:04:48,,,yes,
136261,1774029912,2026-03-20T11:05:12,,,yes,
136960,1774029950,2026-03-20T11:05:50,,,yes,
136961,1774029950,2026-03-20T11:05:50,,,no,
137069,1774029957,2026-03-20T11:05:57,,,yes,
137160,1774029962,2026-03-20T11:06:02,,,yes,
137900,1774030001,2026-03-20T11:06:41,,,yes,
138147,1774030012,2026-03-20T11:06:52,,,yes,
138414,1774030025,2026-03-20T11:07:05,,,yes,
140533,1774030110,2026-03-20T11:08:30,,,yes,
140686,1774030118,2026-03-20T11:08:38,,,yes,
140718,1774030119,2026-03-20T11:08:39,,,yes,
140964,1774030133,2026-03-20T11:08:53,,,yes,
141811,1774030166,2026-03-20T11:09:26,,,yes,
142125,1774030182,2026-03-20T11:09:42,,,yes,
142454,1774030195,2026-03-20T11:09:55,,,yes,
143151,1774030221,2026-03-20T11:10:21,,,yes,
143290,1774030225,2026-03-20T11:10:25,,,yes,
143846,1774030246,2026-03-20T11:10:46,,,yes,
144731,1774030274,2026-03-20T11:11:14,,,yes,
144864,1774030278,2026-03-20T11:11:18,,,yes,
145715,1774030299,2026-03-20T11:11:39,,,yes,
146202,1774030311,2026-03-20T11:11:51,,,yes,
147228,1774030335,2026-03-20T11:12:15,,,yes,
147548,1774030344,2026-03-20T11:12:24,,,yes,
148061,1774030357,2026-03-20T11:12:37,,,yes,
149504,1774030398,2026-03-20T11:13:18,,,yes,
149514,1774030398,2026-03-20T11:13:18,,,no,
149704,1774030404,2026-03-20T11:13:24,,,yes,
150973,1774030445,2026-03-20T11:14:05,,,yes,
151375,1774030458,2026-03-20T11:14:18,,,yes,
151507,1774030463,2026-03-20T11:14:23,,,yes,
152074,1774030482,2026-03-20T11:14:42,,,yes,
152680,1774030501,2026-03-20T11:15:01,,,yes,
153370,1774030514,2026-03-20T11:15:14,,,no,
155707,1774030550,2026-03-20T11:15:50,,,yes,
155717,1774030550,2026-03-20T11:15:50,,,no,
159410,1774030685,2026-03-20T11:18:05,,,yes,
159416,1774030685,2026-03-20T11:18:05,,,no,
159834,1774030699,2026-03-20T11:18:19,,,yes,
159862,1774030701,2026-03-20T11:18:21,,,yes,
161385,1774030758,2026-03-20T11:19:18,,,yes,
164024,1774030849,2026-03-20T11:20:49,,,yes,
164033,1774030849,2026-03-20T11:20:49,,,no,
166385,1774030931,2026-03-20T11:22:11,,,yes,
