Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
57,1774098349,2026-03-21T06:05:49,,,yes,
3902,1774099314,2026-03-21T06:21:54,,,yes,
4564,1774099528,2026-03-21T06:25:28,,,yes,
5976,1774099985,2026-03-21T06:33:05,,,yes,
6761,1774100213,2026-03-21T06:36:53,,,no,
9492,1774100979,2026-03-21T06:49:39,,,yes,
9884,1774101105,2026-03-21T06:51:45,,,yes,
11383,1774101455,2026-03-21T06:57:35,,,yes,
11384,1774101455,2026-03-21T06:57:35,,,yes,
12474,1774101691,2026-03-21T07:01:31,,,yes,
14946,1774101982,2026-03-21T07:06:22,,,no,
15676,1774102084,2026-03-21T07:08:04,,,yes,
15769,1774102098,2026-03-21T07:08:18,,,yes,
17478,1774102364,2026-03-21T07:12:44,,,yes,
17479,1774102364,2026-03-21T07:12:44,,,yes,
17903,1774102441,2026-03-21T07:14:01,,,yes,
19956,1774102706,2026-03-21T07:18:26,,,yes,
20016,1774102712,2026-03-21T07:18:32,,,yes,
20137,1774102732,2026-03-21T07:18:52,,,yes,
21070,1774102845,2026-03-21T07:20:45,,,yes,
21133,1774102853,2026-03-21T07:20:53,,,no,
21198,1774102859,2026-03-21T07:20:59,,,yes,
21199,1774102859,2026-03-21T07:20:59,,,yes,
21289,1774102873,2026-03-21T07:21:13,,,yes,
21390,1774102885,2026-03-21T07:21:25,,,yes,
21557,1774102907,2026-03-21T07:21:47,,,yes,
21558,1774102907,2026-03-21T07:21:47,,,yes,
21570,1774102909,2026-03-21T07:21:49,,,yes,
22100,1774102980,2026-03-21T07:23:00,,,no,
22101,1774102980,2026-03-21T07:23:00,,,no,
22181,1774102990,2026-03-21T07:23:10,,,yes,
22285,1774103006,2026-03-21T07:23:26,,,yes,
22286,1774103006,2026-03-21T07:23:26,,,yes,
22287,1774103006,2026-03-21T07:23:26,,,yes,
22288,1774103006,2026-03-21T07:23:26,,,yes,
22289,1774103006,2026-03-21T07:23:26,,,yes,
22290,1774103006,2026-03-21T07:23:26,,,yes,
22293,1774103006,2026-03-21T07:23:26,,,yes,
22301,1774103006,2026-03-21T07:23:26,,,yes,
22302,1774103006,2026-03-21T07:23:26,,,yes,
22328,1774103009,2026-03-21T07:23:29,,,yes,
22330,1774103009,2026-03-21T07:23:29,,,yes,
22333,1774103010,2026-03-21T07:23:30,,,yes,
22344,1774103012,2026-03-21T07:23:32,,,yes,
22345,1774103012,2026-03-21T07:23:32,,,yes,
22346,1774103012,2026-03-21T07:23:32,,,yes,
22347,1774103012,2026-03-21T07:23:32,,,yes,
22391,1774103017,2026-03-21T07:23:37,,,no,
22407,1774103018,2026-03-21T07:23:38,,,no,
22419,1774103020,2026-03-21T07:23:40,,,no,
22467,1774103026,2026-03-21T07:23:46,,,no,
22602,1774103045,2026-03-21T07:24:05,,,no,
22603,1774103045,2026-03-21T07:24:05,,,no,
22604,1774103045,2026-03-21T07:24:05,,,no,
22605,1774103045,2026-03-21T07:24:05,,,no,
22611,1774103045,2026-03-21T07:24:05,,,no,
22612,1774103045,2026-03-21T07:24:05,,,no,
22613,1774103045,2026-03-21T07:24:05,,,yes,
22663,1774103053,2026-03-21T07:24:13,,,yes,
22775,1774103070,2026-03-21T07:24:30,,,yes,
22821,1774103079,2026-03-21T07:24:39,,,no,
23079,1774103122,2026-03-21T07:25:22,,,yes,
23089,1774103123,2026-03-21T07:25:23,,,yes,
23196,1774103144,2026-03-21T07:25:44,,,yes,
23197,1774103144,2026-03-21T07:25:44,,,yes,
23198,1774103144,2026-03-21T07:25:44,,,yes,
23370,1774103176,2026-03-21T07:26:16,,,yes,
23672,1774103220,2026-03-21T07:27:00,,,yes,
24044,1774103274,2026-03-21T07:27:54,,,yes,
24673,1774103359,2026-03-21T07:29:19,,,yes,
24887,1774103383,2026-03-21T07:29:43,,,yes,
26621,1774103586,2026-03-21T07:33:06,,,yes,
28154,1774103775,2026-03-21T07:36:15,,,yes,
28155,1774103775,2026-03-21T07:36:15,,,yes,
28156,1774103775,2026-03-21T07:36:15,,,yes,
28157,1774103775,2026-03-21T07:36:15,,,yes,
28158,1774103775,2026-03-21T07:36:15,,,yes,
28159,1774103775,2026-03-21T07:36:15,,,yes,
28160,1774103775,2026-03-21T07:36:15,,,yes,
28200,1774103781,2026-03-21T07:36:21,,,yes,
28201,1774103781,2026-03-21T07:36:21,,,yes,
28243,1774103787,2026-03-21T07:36:27,,,no,
28280,1774103792,2026-03-21T07:36:32,,,yes,
28366,1774103799,2026-03-21T07:36:39,,,yes,
28369,1774103800,2026-03-21T07:36:40,,,yes,
28593,1774103824,2026-03-21T07:37:04,,,yes,
28822,1774103852,2026-03-21T07:37:32,,,yes,
28857,1774103858,2026-03-21T07:37:38,,,yes,
29296,1774103912,2026-03-21T07:38:32,,,yes,
30074,1774104009,2026-03-21T07:40:09,,,yes,
30075,1774104009,2026-03-21T07:40:09,,,yes,
30076,1774104009,2026-03-21T07:40:09,,,yes,
30134,1774104016,2026-03-21T07:40:16,,,yes,
30135,1774104016,2026-03-21T07:40:16,,,yes,
30136,1774104016,2026-03-21T07:40:16,,,yes,
30301,1774104033,2026-03-21T07:40:33,,,yes,
30302,1774104033,2026-03-21T07:40:33,,,yes,
30378,1774104041,2026-03-21T07:40:41,,,no,
30379,1774104041,2026-03-21T07:40:41,,,no,
30380,1774104041,2026-03-21T07:40:41,,,no,
30381,1774104041,2026-03-21T07:40:41,,,no,
30382,1774104041,2026-03-21T07:40:41,,,no,
30383,1774104041,2026-03-21T07:40:41,,,no,
30384,1774104041,2026-03-21T07:40:41,,,no,
30385,1774104041,2026-03-21T07:40:41,,,no,
30386,1774104041,2026-03-21T07:40:41,,,no,
30387,1774104041,2026-03-21T07:40:41,,,no,
30388,1774104041,2026-03-21T07:40:41,,,no,
30397,1774104042,2026-03-21T07:40:42,,,yes,
30453,1774104048,2026-03-21T07:40:48,,,yes,
30499,1774104054,2026-03-21T07:40:54,,,no,
30584,1774104066,2026-03-21T07:41:06,,,no,
31932,1774104245,2026-03-21T07:44:05,,,yes,
31933,1774104245,2026-03-21T07:44:05,,,yes,
31958,1774104251,2026-03-21T07:44:11,,,yes,
31975,1774104256,2026-03-21T07:44:16,,,yes,
32160,1774104279,2026-03-21T07:44:39,,,yes,
32376,1774104308,2026-03-21T07:45:08,,,no,
32377,1774104308,2026-03-21T07:45:08,,,yes,
32500,1774104330,2026-03-21T07:45:30,,,yes,
