Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
5984,1774099989,2026-03-21T06:33:09,,,yes,
6667,1774100192,2026-03-21T06:36:32,,,no,
9794,1774101075,2026-03-21T06:51:15,,,no,
12283,1774101649,2026-03-21T07:00:49,,,yes,
12374,1774101666,2026-03-21T07:01:06,,,yes,
12676,1774101715,2026-03-21T07:01:55,,,yes,
14220,1774101875,2026-03-21T07:04:35,,,yes,
15242,1774102025,2026-03-21T07:07:05,,,yes,
15243,1774102025,2026-03-21T07:07:05,,,yes,
15279,1774102031,2026-03-21T07:07:11,,,yes,
16329,1774102185,2026-03-21T07:09:45,,,yes,
16330,1774102185,2026-03-21T07:09:45,,,yes,
17002,1774102291,2026-03-21T07:11:31,,,yes,
17003,1774102291,2026-03-21T07:11:31,,,yes,
17335,1774102346,2026-03-21T07:12:26,,,yes,
17652,1774102392,2026-03-21T07:13:12,,,yes,
18136,1774102480,2026-03-21T07:14:40,,,no,
18181,1774102489,2026-03-21T07:14:49,,,yes,
18654,1774102563,2026-03-21T07:16:03,,,yes,
18845,1774102579,2026-03-21T07:16:19,,,yes,
19380,1774102637,2026-03-21T07:17:17,,,yes,
20105,1774102726,2026-03-21T07:18:46,,,yes,
20976,1774102835,2026-03-21T07:20:35,,,no,
20977,1774102835,2026-03-21T07:20:35,,,no,
21307,1774102874,2026-03-21T07:21:14,,,yes,
21308,1774102874,2026-03-21T07:21:14,,,yes,
22296,1774103006,2026-03-21T07:23:26,,,no,
22297,1774103006,2026-03-21T07:23:26,,,no,
22298,1774103006,2026-03-21T07:23:26,,,no,
22299,1774103006,2026-03-21T07:23:26,,,no,
22300,1774103006,2026-03-21T07:23:26,,,no,
22350,1774103013,2026-03-21T07:23:33,,,no,
22390,1774103017,2026-03-21T07:23:37,,,no,
22405,1774103018,2026-03-21T07:23:38,,,no,
22446,1774103023,2026-03-21T07:23:43,,,yes,
22561,1774103038,2026-03-21T07:23:58,,,yes,
22615,1774103045,2026-03-21T07:24:05,,,yes,
22616,1774103046,2026-03-21T07:24:06,,,yes,
22638,1774103049,2026-03-21T07:24:09,,,no,
22642,1774103049,2026-03-21T07:24:09,,,yes,
22643,1774103049,2026-03-21T07:24:09,,,yes,
22757,1774103068,2026-03-21T07:24:28,,,yes,
23368,1774103175,2026-03-21T07:26:15,,,yes,
24276,1774103309,2026-03-21T07:28:29,,,no,
24444,1774103334,2026-03-21T07:28:54,,,yes,
24487,1774103343,2026-03-21T07:29:03,,,yes,
24488,1774103343,2026-03-21T07:29:03,,,yes,
24489,1774103343,2026-03-21T07:29:03,,,yes,
25302,1774103429,2026-03-21T07:30:29,,,yes,
25603,1774103460,2026-03-21T07:31:00,,,yes,
25923,1774103499,2026-03-21T07:31:39,,,yes,
26233,1774103537,2026-03-21T07:32:17,,,yes,
26402,1774103557,2026-03-21T07:32:37,,,yes,
26593,1774103582,2026-03-21T07:33:02,,,yes,
26594,1774103582,2026-03-21T07:33:02,,,yes,
26809,1774103609,2026-03-21T07:33:29,,,yes,
26844,1774103614,2026-03-21T07:33:34,,,yes,
27039,1774103638,2026-03-21T07:33:58,,,no,
27404,1774103684,2026-03-21T07:34:44,,,yes,
27532,1774103704,2026-03-21T07:35:04,,,yes,
28012,1774103760,2026-03-21T07:36:00,,,yes,
28265,1774103790,2026-03-21T07:36:30,,,no,
28965,1774103871,2026-03-21T07:37:51,,,yes,
29073,1774103885,2026-03-21T07:38:05,,,yes,
29090,1774103888,2026-03-21T07:38:08,,,yes,
29125,1774103893,2026-03-21T07:38:13,,,yes,
29196,1774103900,2026-03-21T07:38:20,,,no,
29525,1774103938,2026-03-21T07:38:58,,,yes,
29736,1774103968,2026-03-21T07:39:28,,,no,
29737,1774103968,2026-03-21T07:39:28,,,no,
29738,1774103968,2026-03-21T07:39:28,,,no,
30195,1774104024,2026-03-21T07:40:24,,,yes,
30196,1774104024,2026-03-21T07:40:24,,,yes,
30612,1774104070,2026-03-21T07:41:10,,,yes,
30700,1774104079,2026-03-21T07:41:19,,,yes,
31220,1774104151,2026-03-21T07:42:31,,,yes,
31638,1774104205,2026-03-21T07:43:25,,,yes,
31680,1774104209,2026-03-21T07:43:29,,,yes,
31942,1774104247,2026-03-21T07:44:07,,,yes,
32021,1774104262,2026-03-21T07:44:22,,,yes,
32148,1774104278,2026-03-21T07:44:38,,,yes,
32204,1774104283,2026-03-21T07:44:43,,,yes,
32313,1774104298,2026-03-21T07:44:58,,,no,
32941,1774104391,2026-03-21T07:46:31,,,yes,
32994,1774104398,2026-03-21T07:46:38,,,yes,
33054,1774104407,2026-03-21T07:46:47,,,yes,
33118,1774104417,2026-03-21T07:46:57,,,yes,
33268,1774104438,2026-03-21T07:47:18,,,no,
33270,1774104438,2026-03-21T07:47:18,,,yes,
33561,1774104479,2026-03-21T07:47:59,,,yes,
33732,1774104499,2026-03-21T07:48:19,,,yes,
33973,1774104525,2026-03-21T07:48:45,,,yes,
33984,1774104526,2026-03-21T07:48:46,,,yes,
33985,1774104526,2026-03-21T07:48:46,,,yes,
34512,1774104569,2026-03-21T07:49:29,,,yes,
35124,1774104625,2026-03-21T07:50:25,,,yes,
35309,1774104645,2026-03-21T07:50:45,,,yes,
35310,1774104645,2026-03-21T07:50:45,,,yes,
35378,1774104652,2026-03-21T07:50:52,,,yes,
35424,1774104655,2026-03-21T07:50:55,,,no,
35565,1774104670,2026-03-21T07:51:10,,,no,
36711,1774104815,2026-03-21T07:53:35,,,yes,
37165,1774104876,2026-03-21T07:54:36,,,yes,
37322,1774104902,2026-03-21T07:55:02,,,yes,
37357,1774104907,2026-03-21T07:55:07,,,yes,
37411,1774104915,2026-03-21T07:55:15,,,yes,
37470,1774104923,2026-03-21T07:55:23,,,yes,
37486,1774104926,2026-03-21T07:55:26,,,yes,
37645,1774104955,2026-03-21T07:55:55,,,yes,
38043,1774105011,2026-03-21T07:56:51,,,yes,
38115,1774105026,2026-03-21T07:57:06,,,no,
38290,1774105049,2026-03-21T07:57:29,,,yes,
38307,1774105052,2026-03-21T07:57:32,,,yes,
38388,1774105063,2026-03-21T07:57:43,,,no,
38559,1774105090,2026-03-21T07:58:10,,,yes,
38568,1774105092,2026-03-21T07:58:12,,,yes,
38990,1774105156,2026-03-21T07:59:16,,,yes,
39418,1774105222,2026-03-21T08:00:22,,,yes,
39439,1774105225,2026-03-21T08:00:25,,,yes,
39589,1774105251,2026-03-21T08:00:51,,,yes,
39712,1774105271,2026-03-21T08:01:11,,,no,
40098,1774105329,2026-03-21T08:02:09,,,yes,
40155,1774105337,2026-03-21T08:02:17,,,no,
40159,1774105338,2026-03-21T08:02:18,,,yes,
40194,1774105344,2026-03-21T08:02:24,,,yes,
