Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
274,1774184824,2026-03-22T06:07:04,,,yes,
275,1774184824,2026-03-22T06:07:04,,,no,
1494,1774185033,2026-03-22T06:10:33,,,yes,
1495,1774185033,2026-03-22T06:10:33,,,no,
1682,1774185099,2026-03-22T06:11:39,,,yes,
1877,1774185163,2026-03-22T06:12:43,,,no,
1878,1774185163,2026-03-22T06:12:43,,,no,
2826,1774185408,2026-03-22T06:16:48,,,yes,
2827,1774185408,2026-03-22T06:16:48,,,no,
2931,1774185435,2026-03-22T06:17:15,,,yes,
3302,1774185539,2026-03-22T06:18:59,,,yes,
3303,1774185539,2026-03-22T06:18:59,,,no,
4114,1774185774,2026-03-22T06:22:54,,,yes,
4115,1774185774,2026-03-22T06:22:54,,,no,
8110,1774186558,2026-03-22T06:35:58,,,yes,
8218,1774186578,2026-03-22T06:36:18,,,yes,
8361,1774186612,2026-03-22T06:36:52,,,yes,
8807,1774186712,2026-03-22T06:38:32,,,yes,
9285,1774186825,2026-03-22T06:40:25,,,yes,
10083,1774187033,2026-03-22T06:43:53,,,yes,
10086,1774187033,2026-03-22T06:43:53,,,no,
10856,1774187214,2026-03-22T06:46:54,,,yes,
10857,1774187214,2026-03-22T06:46:54,,,no,
12457,1774187345,2026-03-22T06:49:05,,,yes,
12458,1774187346,2026-03-22T06:49:06,,,no,
13692,1774187488,2026-03-22T06:51:28,,,yes,
14085,1774187548,2026-03-22T06:52:28,,,yes,
14114,1774187555,2026-03-22T06:52:35,,,yes,
14315,1774187585,2026-03-22T06:53:05,,,yes,
14496,1774187614,2026-03-22T06:53:34,,,yes,
14498,1774187614,2026-03-22T06:53:34,,,no,
14711,1774187653,2026-03-22T06:54:13,,,yes,
14996,1774187706,2026-03-22T06:55:06,,,yes,
15136,1774187734,2026-03-22T06:55:34,,,yes,
15137,1774187734,2026-03-22T06:55:34,,,yes,
15138,1774187734,2026-03-22T06:55:34,,,yes,
15139,1774187734,2026-03-22T06:55:34,,,yes,
15140,1774187734,2026-03-22T06:55:34,,,yes,
15141,1774187734,2026-03-22T06:55:34,,,yes,
15143,1774187734,2026-03-22T06:55:34,,,no,
15481,1774187806,2026-03-22T06:56:46,,,yes,
16046,1774187962,2026-03-22T06:59:22,,,yes,
16048,1774187962,2026-03-22T06:59:22,,,no,
16233,1774188007,2026-03-22T07:00:07,,,yes,
16234,1774188007,2026-03-22T07:00:07,,,yes,
16429,1774188048,2026-03-22T07:00:48,,,yes,
16497,1774188065,2026-03-22T07:01:05,,,yes,
16535,1774188076,2026-03-22T07:01:16,,,yes,
16630,1774188104,2026-03-22T07:01:44,,,yes,
16657,1774188110,2026-03-22T07:01:50,,,yes,
16658,1774188110,2026-03-22T07:01:50,,,yes,
16659,1774188110,2026-03-22T07:01:50,,,no,
16728,1774188129,2026-03-22T07:02:09,,,yes,
16765,1774188139,2026-03-22T07:02:19,,,yes,
16766,1774188139,2026-03-22T07:02:19,,,yes,
16767,1774188139,2026-03-22T07:02:19,,,yes,
16776,1774188141,2026-03-22T07:02:21,,,yes,
16777,1774188141,2026-03-22T07:02:21,,,yes,
16823,1774188155,2026-03-22T07:02:35,,,yes,
16916,1774188176,2026-03-22T07:02:56,,,yes,
16947,1774188185,2026-03-22T07:03:05,,,yes,
16948,1774188185,2026-03-22T07:03:05,,,yes,
17007,1774188197,2026-03-22T07:03:17,,,yes,
17020,1774188201,2026-03-22T07:03:21,,,yes,
17081,1774188215,2026-03-22T07:03:35,,,yes,
17105,1774188218,2026-03-22T07:03:38,,,yes,
17177,1774188236,2026-03-22T07:03:56,,,yes,
17178,1774188236,2026-03-22T07:03:56,,,no,
17308,1774188260,2026-03-22T07:04:20,,,yes,
17312,1774188260,2026-03-22T07:04:20,,,yes,
17325,1774188262,2026-03-22T07:04:22,,,yes,
17578,1774188326,2026-03-22T07:05:26,,,yes,
17584,1774188329,2026-03-22T07:05:29,,,yes,
17585,1774188329,2026-03-22T07:05:29,,,yes,
17600,1774188330,2026-03-22T07:05:30,,,yes,
17633,1774188338,2026-03-22T07:05:38,,,yes,
17639,1774188340,2026-03-22T07:05:40,,,yes,
17682,1774188354,2026-03-22T07:05:54,,,yes,
17691,1774188356,2026-03-22T07:05:56,,,yes,
17699,1774188359,2026-03-22T07:05:59,,,yes,
17700,1774188359,2026-03-22T07:05:59,,,no,
17706,1774188360,2026-03-22T07:06:00,,,yes,
17853,1774188397,2026-03-22T07:06:37,,,yes,
17874,1774188405,2026-03-22T07:06:45,,,yes,
17932,1774188422,2026-03-22T07:07:02,,,yes,
17996,1774188442,2026-03-22T07:07:22,,,yes,
18198,1774188496,2026-03-22T07:08:16,,,yes,
18200,1774188496,2026-03-22T07:08:16,,,no,
18203,1774188496,2026-03-22T07:08:16,,,no,
18204,1774188496,2026-03-22T07:08:16,,,no,
