ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773862199,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3171291,868284,-0.5701,0,0,29,27,71,70,1
1773862200,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3171291,868284,-0.5701,0,0,29,27,71,70,1
1773862201,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3171291,868284,-0.5701,0,0,29,27,71,70,1
1773862202,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3170967,868284,-0.5701,-324,-324,29,27,71,70,1
1773862203,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3171450,868284,-0.5701,159,159,29,27,71,70,1
1773862204,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3171325,868284,-0.5701,34,34,29,27,71,70,1
1773862205,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3231656,868284,-0.5764,60689,60365,29,27,71,70,1
1773862206,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3231656,868284,-0.5764,60206,60365,29,27,71,70,1
1773862207,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3231656,868284,-0.5764,60331,60365,29,27,71,70,1
1773862208,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233169,870499,-0.5757,1513,61878,29,28,71,70,1
1773862209,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233169,870499,-0.5757,1513,61878,29,28,71,70,1
1773862210,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233169,870499,-0.5757,1513,61878,29,28,71,70,1
1773862211,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233169,870499,-0.5757,0,61878,29,28,71,70,1
1773862212,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233100,870499,-0.5757,-69,62133,29,28,71,70,1
1773862213,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233100,870499,-0.5757,-69,61650,29,28,71,70,1
1773862214,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233100,870499,-0.5757,-69,61775,29,28,71,70,1
1773862215,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3233100,870499,-0.5757,0,1444,29,28,71,70,1
1773862216,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232551,870499,-0.5757,-549,895,29,28,71,70,1
1773862217,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232551,870499,-0.5757,-549,895,29,28,71,70,1
1773862218,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232551,870499,-0.5757,-549,-618,29,28,71,70,1
1773862219,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232551,870499,-0.5757,0,-618,29,28,71,70,1
1773862220,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232551,870499,-0.5757,0,-618,29,28,71,70,1
1773862221,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232538,870499,-0.5757,-13,-631,29,28,71,70,1
1773862222,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232538,870499,-0.5757,-13,-562,29,28,71,70,1
1773862223,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232538,870499,-0.5757,-13,-562,29,28,71,70,1
1773862224,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232538,870499,-0.5757,0,-562,29,28,71,70,1
1773862225,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232538,870499,-0.5757,0,-562,29,28,71,70,1
1773862226,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232470,870499,-0.5757,-68,-81,29,28,71,70,1
1773862227,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232470,870499,-0.5757,-68,-81,29,28,71,70,1
1773862228,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232464,870499,-0.5757,-74,-87,29,28,71,70,1
1773862229,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232464,873806,-0.5744,-6,-87,29,28,71,70,1
1773862230,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232464,873806,-0.5744,-6,-87,29,28,71,70,1
1773862231,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232464,873806,-0.5744,0,-74,29,28,71,70,1
1773862232,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3232396,873806,-0.5744,-68,-142,29,28,71,70,1
1773862233,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,25723,25649,29,28,71,70,1
1773862234,70,29,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,25723,25649,29,28,71,70,1
1773862235,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,25791,25649,29,28,71,70,1
1773862236,70,29,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25717,29,28,71,70,1
1773862237,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25717,29,28,71,70,1
1773862238,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25723,29,28,71,70,1
1773862239,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25723,29,28,71,70,1
1773862240,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25723,29,28,71,70,1
1773862241,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25723,29,28,71,70,1
1773862242,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,25791,29,28,71,70,1
1773862243,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,0,29,28,71,70,1
1773862244,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,3258187,873806,-0.5771,0,0,29,28,71,70,1
