ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773862199,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2397369,437147,-0.6916,0,0,41,23,41,40,1
1773862200,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2397369,437147,-0.6916,0,0,41,23,41,40,1
1773862201,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2392280,437147,-0.691,-5089,-5089,40,23,41,40,1
1773862202,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2392280,437018,-0.6911,-5089,-5089,40,23,41,40,1
1773862203,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2392280,437018,-0.6911,-5089,-5089,40,23,41,40,1
1773862204,40,59,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2392280,437018,-0.6911,0,-5089,40,23,41,40,1
1773862205,40,59,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2392280,437018,-0.6911,0,-5089,40,23,41,40,1
1773862206,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2397569,437014,-0.6917,5289,200,42,23,41,40,1
1773862207,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2397569,437018,-0.6917,5289,200,42,23,41,40,1
1773862208,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2399687,439218,-0.6906,7407,2318,42,24,41,40,1
1773862209,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2399687,439218,-0.6906,2118,2318,42,24,41,40,1
1773862210,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2399687,438942,-0.6907,2118,2318,42,24,41,40,1
1773862211,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2399687,438942,-0.6907,0,7407,42,24,41,40,1
1773862212,40,59,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2394387,438942,-0.6902,-5300,2107,40,24,41,40,1
