Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
19,1773839134,2026-03-18T06:05:34,,,yes,
24,1773839139,2026-03-18T06:05:39,,,yes,
37,1773839153,2026-03-18T06:05:53,,,yes,
42,1773839160,2026-03-18T06:06:00,,,yes,
49,1773839168,2026-03-18T06:06:08,,,yes,
63,1773839197,2026-03-18T06:06:37,,,yes,
73,1773839208,2026-03-18T06:06:48,,,yes,
114,1773839268,2026-03-18T06:07:48,,,yes,
126,1773839292,2026-03-18T06:08:12,,,yes,
130,1773839294,2026-03-18T06:08:14,,,yes,
137,1773839297,2026-03-18T06:08:17,,,yes,
139,1773839301,2026-03-18T06:08:21,,,yes,
144,1773839315,2026-03-18T06:08:35,,,yes,
146,1773839319,2026-03-18T06:08:39,,,yes,
160,1773839336,2026-03-18T06:08:56,,,yes,
182,1773839360,2026-03-18T06:09:20,,,yes,
202,1773839385,2026-03-18T06:09:45,,,yes,
257,1773839460,2026-03-18T06:11:00,,,yes,
273,1773839476,2026-03-18T06:11:16,,,yes,
300,1773839503,2026-03-18T06:11:43,,,yes,
341,1773839548,2026-03-18T06:12:28,,,yes,
346,1773839550,2026-03-18T06:12:30,,,yes,
352,1773839553,2026-03-18T06:12:33,,,yes,
374,1773839581,2026-03-18T06:13:01,,,yes,
434,1773839640,2026-03-18T06:14:00,,,yes,
474,1773839672,2026-03-18T06:14:32,,,yes,
496,1773839697,2026-03-18T06:14:57,,,yes,
510,1773839710,2026-03-18T06:15:10,,,yes,
513,1773839713,2026-03-18T06:15:13,,,yes,
554,1773839756,2026-03-18T06:15:56,,,yes,
558,1773839760,2026-03-18T06:16:00,,,yes,
585,1773839795,2026-03-18T06:16:35,,,yes,
616,1773839820,2026-03-18T06:17:00,,,yes,
644,1773839831,2026-03-18T06:17:11,,,yes,
645,1773839831,2026-03-18T06:17:11,,,yes,
653,1773839837,2026-03-18T06:17:17,,,yes,
667,1773839854,2026-03-18T06:17:34,,,yes,
694,1773839877,2026-03-18T06:17:57,,,yes,
695,1773839878,2026-03-18T06:17:58,,,yes,
702,1773839884,2026-03-18T06:18:04,,,yes,
706,1773839887,2026-03-18T06:18:07,,,yes,
734,1773839916,2026-03-18T06:18:36,,,yes,
753,1773839941,2026-03-18T06:19:01,,,yes,
757,1773839942,2026-03-18T06:19:02,,,yes,
758,1773839944,2026-03-18T06:19:04,,,yes,
772,1773839958,2026-03-18T06:19:18,,,yes,
784,1773839973,2026-03-18T06:19:33,,,yes,
799,1773839992,2026-03-18T06:19:52,,,yes,
809,1773840006,2026-03-18T06:20:06,,,yes,
813,1773840012,2026-03-18T06:20:12,,,yes,
815,1773840013,2026-03-18T06:20:13,,,yes,
827,1773840028,2026-03-18T06:20:28,,,yes,
832,1773840032,2026-03-18T06:20:32,,,yes,
838,1773840035,2026-03-18T06:20:35,,,yes,
860,1773840059,2026-03-18T06:20:59,,,yes,
875,1773840077,2026-03-18T06:21:17,,,yes,
950,1773840154,2026-03-18T06:22:34,,,yes,
954,1773840159,2026-03-18T06:22:39,,,yes,
955,1773840160,2026-03-18T06:22:40,,,yes,
968,1773840173,2026-03-18T06:22:53,,,yes,
984,1773840182,2026-03-18T06:23:02,,,yes,
987,1773840184,2026-03-18T06:23:04,,,yes,
992,1773840188,2026-03-18T06:23:08,,,yes,
1012,1773840212,2026-03-18T06:23:32,,,yes,
1019,1773840218,2026-03-18T06:23:38,,,yes,
1041,1773840247,2026-03-18T06:24:07,,,yes,
1055,1773840264,2026-03-18T06:24:24,,,yes,
1099,1773840313,2026-03-18T06:25:13,,,yes,
1119,1773840343,2026-03-18T06:25:43,,,yes,
1149,1773840371,2026-03-18T06:26:11,,,yes,
1157,1773840377,2026-03-18T06:26:17,,,yes,
1170,1773840389,2026-03-18T06:26:29,,,yes,
1176,1773840398,2026-03-18T06:26:38,,,yes,
1178,1773840400,2026-03-18T06:26:40,,,yes,
1186,1773840403,2026-03-18T06:26:43,,,yes,
1192,1773840408,2026-03-18T06:26:48,,,yes,
1201,1773840426,2026-03-18T06:27:06,,,yes,
1207,1773840431,2026-03-18T06:27:11,,,yes,
1216,1773840443,2026-03-18T06:27:23,,,yes,
