ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775341799,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,307671,98,2000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,311271
1775341800,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,307613,98,2000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,311213
1775341801,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,307556,98,2000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,311156
1775341802,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,306645,98,2000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,310245
1775341803,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,306615,98,2000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,310215
1775341804,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,306610,98,1000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,309210
1775341805,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,306509,98,1000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,309109
1775341806,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,305950,98,1000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,308550
1775341807,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,305845,98,1000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,308445
1775341808,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304887,98,1000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,307487
1775341809,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304767,98,1000,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,307367
1775341810,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304767,98,500,97,0,96,800,95,600,94,0,93,0,92,1000,91,0,90,0,89,0,0,307667
1775341811,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304767,98,500,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,306867
1775341812,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304705,98,500,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,306805
1775341813,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304510,98,500,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,306610
1775341814,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304184,98,500,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,306284
1775341815,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,304169,98,500,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,306269
1775341816,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,303476,98,500,97,0,96,0,95,0,94,0,93,600,92,1000,91,0,90,0,89,0,0,305576
1775341817,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,303405,98,0,97,300,96,600,95,0,94,0,93,500,92,1000,91,0,90,0,89,0,0,305805
1775341818,,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,303403,98,0,97,300,96,0,95,0,94,600,93,500,92,500,91,0,90,0,89,0,0,305303
