ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775346599,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346600,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346601,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346602,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346603,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346604,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346605,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344404,183885,-0.3038,0,0,27,24,55,54,1
1775346606,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344685,183933,-0.3041,281,281,26,25,55,54,1
1775346607,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344685,183933,-0.3041,281,281,26,25,55,54,1
1775346608,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,81,0,81,344685,183933,-0.3041,281,281,26,25,55,54,1
1775346609,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,344628,183987,-0.3039,-57,224,26,25,55,54,1
1775346610,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,344628,183987,-0.3039,-57,224,26,25,55,54,1
1775346611,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,346093,184011,-0.3058,1408,1689,26,25,55,54,1
1775346612,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,345843,183906,-0.3057,1215,1439,26,25,55,54,1
1775346613,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,345843,183906,-0.3057,1215,1439,26,25,55,54,1
1775346614,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,345843,183846,-0.3058,-250,1439,27,25,55,54,1
1775346615,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,52,0,52,low_activity,0,0,0,71,0,71,486093,183846,-0.4512,140250,141689,27,25,55,54,1
1775346616,54,45,0,14,0,14,low_activity,0,14,0,14,low_activity,0,66,0,66,low_activity,0,0,0,85,0,85,486079,183971,-0.4509,140236,141394,27,25,55,54,1
1775346617,54,45,0,14,0,14,low_activity,0,14,0,14,low_activity,0,66,0,66,low_activity,0,0,0,85,0,85,485829,183846,-0.4509,139986,141144,27,25,55,54,1
1775346618,54,45,0,0,0,0,no_volume,0,14,0,14,low_activity,0,66,0,66,low_activity,0,0,0,85,0,85,485829,183846,-0.4509,-264,141144,27,25,55,54,1
1775346619,54,45,0,0,0,0,no_volume,0,14,0,14,low_activity,0,66,0,66,low_activity,0,0,0,85,0,85,485829,183846,-0.4509,-250,141201,27,25,55,54,1
1775346620,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,66,0,66,low_activity,0,0,0,74,0,74,625829,183846,-0.5459,140000,281201,27,25,55,54,1
1775346621,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,66,0,66,low_activity,0,0,0,74,0,74,625829,183846,-0.5459,140000,279736,27,25,55,54,1
1775346622,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,66,0,66,low_activity,0,0,0,74,0,74,625829,183846,-0.5459,140000,279986,27,25,55,54,1
1775346623,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,74,0,74,626079,183971,-0.5458,250,280236,27,25,55,54,1
1775346624,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,74,0,74,626079,183971,-0.5458,250,280236,27,25,55,54,1
1775346625,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,74,0,74,626079,183971,-0.5458,250,139986,27,25,55,54,1
1775346626,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,74,0,74,626079,183971,-0.5458,0,140000,27,25,55,54,1
1775346627,54,45,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,74,0,74,626079,183971,-0.5458,0,140250,27,25,55,54,1
