ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775341799,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341800,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341801,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341802,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341803,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341804,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341805,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341806,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341807,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341808,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341809,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341810,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,28,0,28,134629,17835,-0.766,0,0,20,22,69,67,2
1775341811,67,31,0,108,0,108,low_activity,0,108,0,108,low_activity,0,108,0,108,low_activity,108,0,108,136,0,136,134521,17835,-0.7659,-108,-108,20,22,69,67,2
1775341812,67,31,0,108,0,108,low_activity,0,108,0,108,low_activity,0,108,0,108,low_activity,0,0,0,136,0,136,134521,17835,-0.7659,-108,-108,20,22,69,67,2
1775341813,67,31,0,108,0,108,low_activity,0,108,0,108,low_activity,0,108,0,108,low_activity,0,0,0,136,0,136,134521,17835,-0.7659,-108,-108,20,22,69,67,2
1775341814,67,31,0,0,0,0,no_volume,0,108,0,108,low_activity,0,108,0,108,low_activity,0,0,0,136,0,136,134521,17835,-0.7659,0,-108,20,22,69,67,2
1775341815,67,31,0,0,0,0,no_volume,0,108,0,108,low_activity,0,108,0,108,low_activity,0,0,0,136,0,136,134521,17835,-0.7659,0,-108,20,22,69,67,2
1775341816,67,31,0,21,0,21,low_activity,0,21,0,21,low_activity,0,129,0,129,low_activity,21,0,21,157,0,157,134500,17835,-0.7658,-21,-129,20,22,69,67,2
1775341817,67,31,0,21,0,21,low_activity,0,21,0,21,low_activity,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,-21,-129,20,22,69,67,2
1775341818,67,31,0,21,0,21,low_activity,0,21,0,21,low_activity,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,-21,-129,20,22,69,67,2
1775341819,67,31,0,0,0,0,no_volume,0,21,0,21,low_activity,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-129,20,22,69,67,2
1775341820,67,31,0,0,0,0,no_volume,0,21,0,21,low_activity,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-129,20,22,69,67,2
1775341821,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-21,20,22,69,67,2
1775341822,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-21,20,22,69,67,2
1775341823,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-21,20,22,69,67,2
1775341824,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-21,20,22,69,67,2
1775341825,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,-21,20,22,69,67,2
1775341826,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341827,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341828,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341829,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341830,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341831,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341832,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341833,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341834,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341835,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341836,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341837,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,157,0,157,134500,17835,-0.7658,0,0,20,22,69,67,2
1775341838,67,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,129,0,129,low_activity,0,0,0,129,0,129,134500,17835,-0.7658,0,0,20,22,69,67,2
