Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
907,1775308482,2026-04-04T06:14:42,29,71,yes,49
918,1775308487,2026-04-04T06:14:47,29,71,yes,6
6265,1775310488,2026-04-04T06:48:08,29,71,yes,8
8978,1775311271,2026-04-04T07:01:11,29,71,yes,129
9632,1775311429,2026-04-04T07:03:49,29,71,yes,16
13339,1775312292,2026-04-04T07:18:12,29,71,yes,40
14431,1775312527,2026-04-04T07:22:07,29,71,yes,32
17458,1775313271,2026-04-04T07:34:31,29,71,yes,98
19985,1775313684,2026-04-04T07:41:24,29,71,yes,3
20155,1775313715,2026-04-04T07:41:55,29,71,yes,16
27604,1775314825,2026-04-04T08:00:25,29,71,yes,3
40097,1775316104,2026-04-04T08:21:44,29,71,yes,3
41892,1775316239,2026-04-04T08:23:59,29,71,yes,15
42974,1775316296,2026-04-04T08:24:56,29,71,yes,65
43490,1775316330,2026-04-04T08:25:30,29,71,yes,10
44663,1775316437,2026-04-04T08:27:17,29,71,yes,15
53686,1775317626,2026-04-04T08:47:06,29,71,yes,32
53889,1775317663,2026-04-04T08:47:43,29,71,yes,32
55958,1775318004,2026-04-04T08:53:24,29,71,yes,1
55959,1775318004,2026-04-04T08:53:24,29,71,yes,15
58635,1775318379,2026-04-04T08:59:39,29,71,yes,16
59274,1775318465,2026-04-04T09:01:05,29,71,yes,48
59897,1775318540,2026-04-04T09:02:20,29,71,yes,3
60030,1775318558,2026-04-04T09:02:38,29,71,yes,2
63229,1775318786,2026-04-04T09:06:26,29,71,yes,9
68558,1775319595,2026-04-04T09:19:55,29,71,yes,32
68758,1775319655,2026-04-04T09:20:55,29,71,yes,3
69825,1775319963,2026-04-04T09:26:03,29,71,yes,2992
69826,1775319963,2026-04-04T09:26:03,29,71,yes,232
69827,1775319963,2026-04-04T09:26:03,29,71,yes,1
69941,1775319994,2026-04-04T09:26:34,29,71,yes,16
71264,1775320365,2026-04-04T09:32:45,29,71,yes,32
72064,1775320550,2026-04-04T09:35:50,29,71,yes,82
72388,1775320643,2026-04-04T09:37:23,29,71,yes,32
72674,1775320714,2026-04-04T09:38:34,29,71,yes,31
72818,1775320750,2026-04-04T09:39:10,29,71,yes,322
73146,1775320809,2026-04-04T09:40:09,29,71,yes,42
74040,1775321023,2026-04-04T09:43:43,29,71,yes,9
74183,1775321059,2026-04-04T09:44:19,29,71,yes,6
74259,1775321078,2026-04-04T09:44:38,29,71,yes,15
75322,1775321356,2026-04-04T09:49:16,29,71,yes,10
76041,1775321539,2026-04-04T09:52:19,29,71,yes,16
78029,1775321978,2026-04-04T09:59:38,29,71,yes,12
78030,1775321978,2026-04-04T09:59:38,29,71,yes,33
78031,1775321978,2026-04-04T09:59:38,29,71,yes,53
78038,1775321979,2026-04-04T09:59:39,29,71,yes,32
79449,1775322281,2026-04-04T10:04:41,29,71,yes,13
81659,1775322679,2026-04-04T10:11:19,29,71,yes,36
81660,1775322679,2026-04-04T10:11:19,29,71,yes,24
81661,1775322679,2026-04-04T10:11:19,29,71,yes,36
82018,1775322749,2026-04-04T10:12:29,29,71,yes,9
82329,1775322826,2026-04-04T10:13:46,29,71,yes,1
83352,1775323050,2026-04-04T10:17:30,29,71,yes,18
83541,1775323086,2026-04-04T10:18:06,29,71,yes,73
83542,1775323086,2026-04-04T10:18:06,29,71,yes,9
83543,1775323086,2026-04-04T10:18:06,29,71,yes,38
84087,1775323199,2026-04-04T10:19:59,30,70,yes,7
84088,1775323199,2026-04-04T10:19:59,30,70,yes,4
84493,1775323284,2026-04-04T10:21:24,30,70,yes,6
86327,1775323660,2026-04-04T10:27:40,30,70,yes,15
86343,1775323664,2026-04-04T10:27:44,30,70,yes,15
86487,1775323700,2026-04-04T10:28:20,30,70,yes,1
88236,1775324077,2026-04-04T10:34:37,30,70,yes,3
89356,1775324270,2026-04-04T10:37:50,30,70,yes,4
91549,1775324531,2026-04-04T10:42:11,30,70,yes,75
91640,1775324545,2026-04-04T10:42:25,30,70,yes,36
91641,1775324545,2026-04-04T10:42:25,30,70,yes,9
91642,1775324545,2026-04-04T10:42:25,30,70,yes,19
95661,1775325081,2026-04-04T10:51:21,30,70,yes,3
96401,1775325183,2026-04-04T10:53:03,30,70,yes,46
101023,1775325869,2026-04-04T11:04:29,30,70,yes,52
101024,1775325869,2026-04-04T11:04:29,30,70,yes,27
102033,1775325998,2026-04-04T11:06:38,30,70,yes,9
102034,1775325998,2026-04-04T11:06:38,31,69,yes,3
108255,1775326732,2026-04-04T11:18:52,31,69,yes,15
109315,1775326840,2026-04-04T11:20:40,31,69,yes,15
110213,1775326937,2026-04-04T11:22:17,31,69,yes,15
112949,1775327179,2026-04-04T11:26:19,31,69,yes,3
113077,1775327195,2026-04-04T11:26:35,31,69,yes,30
113317,1775327227,2026-04-04T11:27:07,31,69,yes,303
113489,1775327247,2026-04-04T11:27:27,31,69,yes,15
113490,1775327247,2026-04-04T11:27:27,31,69,yes,30
116868,1775327720,2026-04-04T11:35:20,31,69,yes,3
117245,1775327776,2026-04-04T11:36:16,31,69,yes,6
119305,1775328027,2026-04-04T11:40:27,31,69,yes,60
120325,1775328180,2026-04-04T11:43:00,31,69,yes,15
122557,1775328465,2026-04-04T11:47:45,31,69,yes,14
125322,1775328744,2026-04-04T11:52:24,31,69,yes,15
128041,1775329029,2026-04-04T11:57:09,31,69,yes,15
130002,1775329216,2026-04-04T12:00:16,31,69,yes,100
130463,1775329247,2026-04-04T12:00:47,31,69,yes,200
132377,1775329401,2026-04-04T12:03:21,31,69,yes,3
133767,1775329546,2026-04-04T12:05:46,31,69,yes,5
135962,1775329799,2026-04-04T12:09:59,31,69,yes,15
138105,1775330037,2026-04-04T12:13:57,31,69,yes,12
143720,1775330575,2026-04-04T12:22:55,31,69,yes,274
143721,1775330575,2026-04-04T12:22:55,31,69,yes,29
145887,1775330757,2026-04-04T12:25:57,31,69,yes,61
148409,1775330989,2026-04-04T12:29:49,31,69,yes,29
148410,1775330989,2026-04-04T12:29:49,31,69,yes,26
148472,1775330996,2026-04-04T12:29:56,31,69,yes,12
150153,1775331163,2026-04-04T12:32:43,31,69,yes,4
150154,1775331163,2026-04-04T12:32:43,31,69,yes,2
151327,1775331305,2026-04-04T12:35:05,31,69,yes,18
151328,1775331305,2026-04-04T12:35:05,31,69,yes,20
151329,1775331305,2026-04-04T12:35:05,31,69,yes,8
160175,1775332133,2026-04-04T12:48:53,31,69,yes,5
160733,1775332172,2026-04-04T12:49:32,31,69,yes,30
165546,1775332579,2026-04-04T12:56:19,31,69,yes,5
165547,1775332579,2026-04-04T12:56:19,31,69,yes,22
166289,1775332654,2026-04-04T12:57:34,31,69,yes,15
167628,1775332804,2026-04-04T13:00:04,31,69,yes,6
170424,1775333186,2026-04-04T13:06:26,31,69,yes,15
173416,1775333562,2026-04-04T13:12:42,31,69,yes,45
174626,1775333681,2026-04-04T13:14:41,31,69,yes,3
175785,1775333797,2026-04-04T13:16:37,31,69,yes,25
175786,1775333797,2026-04-04T13:16:37,31,69,yes,50
175831,1775333802,2026-04-04T13:16:42,31,69,yes,9
179864,1775334221,2026-04-04T13:23:41,31,69,yes,215
179865,1775334221,2026-04-04T13:23:41,31,69,yes,48
179866,1775334221,2026-04-04T13:23:41,31,69,yes,40
180295,1775334269,2026-04-04T13:24:29,31,69,yes,187
180296,1775334269,2026-04-04T13:24:29,31,69,yes,35
180297,1775334269,2026-04-04T13:24:29,31,69,yes,12
180298,1775334269,2026-04-04T13:24:29,32,68,yes,20
180299,1775334269,2026-04-04T13:24:29,32,68,yes,275
180300,1775334269,2026-04-04T13:24:29,32,68,yes,1
180301,1775334269,2026-04-04T13:24:29,32,68,yes,28
180302,1775334269,2026-04-04T13:24:29,33,67,yes,29
180303,1775334269,2026-04-04T13:24:29,33,67,yes,7
181539,1775334399,2026-04-04T13:26:39,32,68,yes,5
181775,1775334421,2026-04-04T13:27:01,32,68,yes,29
188513,1775335151,2026-04-04T13:39:11,32,68,yes,1
188514,1775335151,2026-04-04T13:39:11,32,68,yes,7
188538,1775335154,2026-04-04T13:39:14,32,68,yes,14
192832,1775335566,2026-04-04T13:46:06,31,69,no,10
193261,1775335608,2026-04-04T13:46:48,32,68,yes,76
194613,1775335702,2026-04-04T13:48:22,33,67,yes,50
196275,1775335805,2026-04-04T13:50:05,33,67,yes,14
196480,1775335817,2026-04-04T13:50:17,33,67,yes,2
196560,1775335822,2026-04-04T13:50:22,33,67,yes,5
198136,1775335925,2026-04-04T13:52:05,33,67,yes,8
198651,1775335954,2026-04-04T13:52:34,33,67,yes,19
200717,1775336046,2026-04-04T13:54:06,32,68,no,104
202421,1775336156,2026-04-04T13:55:56,33,67,yes,57
203246,1775336209,2026-04-04T13:56:49,33,67,yes,598
203247,1775336209,2026-04-04T13:56:49,33,67,yes,3748
206543,1775336491,2026-04-04T14:01:31,32,68,no,8
206774,1775336520,2026-04-04T14:02:00,33,67,yes,14
208028,1775336637,2026-04-04T14:03:57,33,67,yes,2
209559,1775336763,2026-04-04T14:06:03,33,67,yes,14
210296,1775336840,2026-04-04T14:07:20,32,68,no,7
210487,1775336859,2026-04-04T14:07:39,33,67,yes,28
211525,1775336958,2026-04-04T14:09:18,33,67,yes,72
212461,1775337014,2026-04-04T14:10:14,33,67,yes,2
212839,1775337035,2026-04-04T14:10:35,33,67,yes,72
217301,1775337304,2026-04-04T14:15:04,33,67,yes,28
222346,1775337577,2026-04-04T14:19:37,33,67,yes,55
224650,1775337696,2026-04-04T14:21:36,33,67,yes,8
227207,1775337859,2026-04-04T14:24:19,33,67,yes,5
231258,1775338083,2026-04-04T14:28:03,33,67,yes,8
241367,1775338446,2026-04-04T14:34:06,33,67,yes,57
243952,1775338551,2026-04-04T14:35:51,33,67,yes,39
243953,1775338551,2026-04-04T14:35:51,33,67,yes,18
244354,1775338573,2026-04-04T14:36:13,33,67,yes,10
244667,1775338591,2026-04-04T14:36:31,32,68,no,23
244668,1775338591,2026-04-04T14:36:31,32,68,no,20
244669,1775338591,2026-04-04T14:36:31,32,68,no,22
244670,1775338591,2026-04-04T14:36:31,32,68,no,210
