Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2841,1775309494,2026-04-04T06:31:34,58,42,yes,33
2932,1775309517,2026-04-04T06:31:57,58,42,yes,8
3402,1775309659,2026-04-04T06:34:19,58,42,yes,24
3403,1775309659,2026-04-04T06:34:19,58,42,yes,578
5600,1775310337,2026-04-04T06:45:37,59,41,yes,329
11302,1775311830,2026-04-04T07:10:30,59,41,yes,50
13695,1775312362,2026-04-04T07:19:22,59,41,yes,81
13959,1775312424,2026-04-04T07:20:24,58,42,yes,8
17877,1775313388,2026-04-04T07:36:28,58,42,yes,50
17906,1775313398,2026-04-04T07:36:38,58,42,yes,16
18049,1775313434,2026-04-04T07:37:14,58,42,yes,3
19360,1775313603,2026-04-04T07:40:03,58,42,yes,5
21353,1775313892,2026-04-04T07:44:52,58,42,yes,25
22122,1775314024,2026-04-04T07:47:04,59,41,yes,5
22808,1775314140,2026-04-04T07:49:00,59,41,yes,81
24113,1775314340,2026-04-04T07:52:20,59,41,yes,24
31891,1775315182,2026-04-04T08:06:22,59,41,yes,8
34918,1775315523,2026-04-04T08:12:03,59,41,yes,8
37051,1775315749,2026-04-04T08:15:49,59,41,yes,65
39453,1775316032,2026-04-04T08:20:32,59,41,yes,8
41522,1775316221,2026-04-04T08:23:41,59,41,yes,8
44809,1775316455,2026-04-04T08:27:35,59,41,yes,82
50041,1775317042,2026-04-04T08:37:22,59,41,yes,16
53281,1775317557,2026-04-04T08:45:57,59,41,yes,123
54920,1775317825,2026-04-04T08:50:25,59,41,yes,82
57294,1775318210,2026-04-04T08:56:50,59,41,yes,23
57339,1775318218,2026-04-04T08:56:58,59,41,yes,473
57340,1775318218,2026-04-04T08:56:58,59,41,yes,350
63076,1775318771,2026-04-04T09:06:11,59,41,yes,4
64412,1775318867,2026-04-04T09:07:47,59,41,yes,16
65730,1775319001,2026-04-04T09:10:01,59,41,yes,161
65731,1775319001,2026-04-04T09:10:01,59,41,yes,94
66305,1775319083,2026-04-04T09:11:23,59,41,yes,16
67371,1775319283,2026-04-04T09:14:43,59,41,yes,1
68428,1775319558,2026-04-04T09:19:18,59,41,yes,8
68584,1775319603,2026-04-04T09:20:03,59,41,yes,199
68585,1775319603,2026-04-04T09:20:03,59,41,yes,460
69928,1775319992,2026-04-04T09:26:32,59,41,yes,50
69982,1775320009,2026-04-04T09:26:49,59,41,yes,65
70076,1775320038,2026-04-04T09:27:18,59,41,yes,2
70166,1775320067,2026-04-04T09:27:47,59,41,yes,8
71510,1775320423,2026-04-04T09:33:43,59,41,yes,20
