Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
818,1775308432,2026-04-04T06:13:52,51,49,yes,18
995,1775308542,2026-04-04T06:15:42,51,49,yes,186
996,1775308542,2026-04-04T06:15:42,51,49,yes,3
997,1775308542,2026-04-04T06:15:42,51,49,yes,35
998,1775308542,2026-04-04T06:15:42,51,49,yes,1
999,1775308542,2026-04-04T06:15:42,51,49,yes,45
1000,1775308542,2026-04-04T06:15:42,51,49,yes,21
1001,1775308542,2026-04-04T06:15:42,51,49,yes,10
4457,1775310029,2026-04-04T06:40:29,51,49,yes,47
6828,1775310654,2026-04-04T06:50:54,51,49,yes,37
8653,1775311204,2026-04-04T07:00:04,51,49,yes,30
8654,1775311204,2026-04-04T07:00:04,51,49,yes,23
8655,1775311204,2026-04-04T07:00:04,51,49,yes,87
8656,1775311204,2026-04-04T07:00:04,51,49,yes,36
8657,1775311204,2026-04-04T07:00:04,51,49,yes,108
10174,1775311587,2026-04-04T07:06:27,51,49,yes,5
17943,1775313408,2026-04-04T07:36:48,51,49,yes,18
18413,1775313489,2026-04-04T07:38:09,51,49,yes,196
18414,1775313489,2026-04-04T07:38:09,51,49,yes,3
21771,1775313961,2026-04-04T07:46:01,50,50,no,3
21993,1775314003,2026-04-04T07:46:43,51,49,yes,20
21994,1775314003,2026-04-04T07:46:43,51,49,yes,17
22771,1775314133,2026-04-04T07:48:53,51,49,yes,3
23096,1775314189,2026-04-04T07:49:49,51,49,yes,3
29978,1775315009,2026-04-04T08:03:29,51,49,yes,1
29979,1775315009,2026-04-04T08:03:29,51,49,yes,4
38972,1775315982,2026-04-04T08:19:42,50,50,no,37
38973,1775315982,2026-04-04T08:19:42,50,50,no,20
38974,1775315982,2026-04-04T08:19:42,50,50,no,19
42410,1775316265,2026-04-04T08:24:25,50,50,yes,104
45445,1775316514,2026-04-04T08:28:34,50,50,yes,1
48248,1775316783,2026-04-04T08:33:03,50,50,yes,209
48249,1775316783,2026-04-04T08:33:03,50,50,yes,1500
53424,1775317577,2026-04-04T08:46:17,51,49,yes,35
53425,1775317577,2026-04-04T08:46:17,51,49,yes,71
53607,1775317611,2026-04-04T08:46:51,51,49,yes,18
