Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
244,1775308097,2026-04-04T06:08:17,34,66,yes,55
1202,1775308672,2026-04-04T06:17:52,34,66,yes,100
1498,1775308860,2026-04-04T06:21:00,34,66,yes,13
3261,1775309611,2026-04-04T06:33:31,34,66,yes,14
4604,1775310080,2026-04-04T06:41:20,34,66,yes,1
6030,1775310436,2026-04-04T06:47:16,34,66,yes,6
8824,1775311244,2026-04-04T07:00:44,34,66,yes,111
11313,1775311834,2026-04-04T07:10:34,34,66,yes,1
13102,1775312236,2026-04-04T07:17:16,34,66,yes,30
14321,1775312499,2026-04-04T07:21:39,34,66,yes,28
16278,1775312990,2026-04-04T07:29:50,34,66,yes,10
18278,1775313460,2026-04-04T07:37:40,34,66,yes,179
18279,1775313460,2026-04-04T07:37:40,34,66,yes,98
19751,1775313654,2026-04-04T07:40:54,34,66,yes,5
20191,1775313720,2026-04-04T07:42:00,34,66,yes,28
22625,1775314111,2026-04-04T07:48:31,34,66,yes,14
23532,1775314256,2026-04-04T07:50:56,34,66,yes,28
25322,1775314518,2026-04-04T07:55:18,34,66,yes,2
29497,1775314970,2026-04-04T08:02:50,34,66,yes,27
37088,1775315754,2026-04-04T08:15:54,34,66,yes,56
40433,1775316138,2026-04-04T08:22:18,34,66,yes,2
43640,1775316341,2026-04-04T08:25:41,34,66,yes,13
45416,1775316511,2026-04-04T08:28:31,34,66,yes,6
46682,1775316623,2026-04-04T08:30:23,34,66,yes,14
49749,1775317003,2026-04-04T08:36:43,34,66,yes,13
52508,1775317452,2026-04-04T08:44:12,34,66,yes,70
53200,1775317549,2026-04-04T08:45:49,34,66,yes,28
53840,1775317653,2026-04-04T08:47:33,34,66,yes,14
54220,1775317711,2026-04-04T08:48:31,34,66,yes,20
56698,1775318125,2026-04-04T08:55:25,34,66,yes,5
56725,1775318128,2026-04-04T08:55:28,34,66,yes,8
58816,1775318403,2026-04-04T09:00:03,34,66,yes,28
63241,1775318787,2026-04-04T09:06:27,34,66,yes,70
64075,1775318842,2026-04-04T09:07:22,34,66,yes,23
67709,1775319366,2026-04-04T09:16:06,34,66,yes,15
69226,1775319784,2026-04-04T09:23:04,34,66,yes,14
69783,1775319950,2026-04-04T09:25:50,34,66,yes,28
71210,1775320353,2026-04-04T09:32:33,34,66,yes,5
72434,1775320655,2026-04-04T09:37:35,34,66,yes,186
73308,1775320845,2026-04-04T09:40:45,34,66,yes,14
73696,1775320933,2026-04-04T09:42:13,34,66,yes,5
75150,1775321306,2026-04-04T09:48:26,34,66,yes,2
75725,1775321464,2026-04-04T09:51:04,33,67,no,3
75726,1775321464,2026-04-04T09:51:04,33,67,no,2
75810,1775321483,2026-04-04T09:51:23,34,66,yes,14
76685,1775321684,2026-04-04T09:54:44,34,66,yes,7
77707,1775321902,2026-04-04T09:58:22,34,66,yes,101
80335,1775322439,2026-04-04T10:07:19,34,66,yes,13
80562,1775322480,2026-04-04T10:08:00,33,67,no,8
83644,1775323113,2026-04-04T10:18:33,34,66,yes,5
86474,1775323695,2026-04-04T10:28:15,34,66,yes,13
86679,1775323746,2026-04-04T10:29:06,34,66,yes,13
89301,1775324259,2026-04-04T10:37:39,34,66,yes,8
89302,1775324259,2026-04-04T10:37:39,34,66,yes,33
89991,1775324355,2026-04-04T10:39:15,35,65,yes,27
95868,1775325110,2026-04-04T10:51:50,35,65,yes,2
96058,1775325138,2026-04-04T10:52:18,35,65,yes,67
98695,1775325528,2026-04-04T10:58:48,33,67,no,2
99182,1775325596,2026-04-04T10:59:56,34,66,yes,5
99377,1775325614,2026-04-04T11:00:14,35,65,yes,27
99652,1775325658,2026-04-04T11:00:58,35,65,yes,13
101533,1775325942,2026-04-04T11:05:42,35,65,yes,8
104921,1775326333,2026-04-04T11:12:13,35,65,yes,25
109736,1775326884,2026-04-04T11:21:24,35,65,yes,13
111699,1775327053,2026-04-04T11:24:13,35,65,yes,2
112761,1775327153,2026-04-04T11:25:53,35,65,yes,27
113169,1775327208,2026-04-04T11:26:48,35,65,yes,2
114640,1775327426,2026-04-04T11:30:26,35,65,yes,54
115586,1775327561,2026-04-04T11:32:41,35,65,yes,8
116065,1775327635,2026-04-04T11:33:55,35,65,yes,5
117128,1775327760,2026-04-04T11:36:00,35,65,yes,13
118536,1775327925,2026-04-04T11:38:45,35,65,yes,13
119649,1775328077,2026-04-04T11:41:17,35,65,yes,27
122950,1775328515,2026-04-04T11:48:35,35,65,yes,8
125384,1775328750,2026-04-04T11:52:30,35,65,yes,26
127517,1775328975,2026-04-04T11:56:15,35,65,yes,13
131754,1775329345,2026-04-04T12:02:25,35,65,yes,2
132531,1775329415,2026-04-04T12:03:35,35,65,yes,13
132920,1775329453,2026-04-04T12:04:13,35,65,yes,13
133253,1775329488,2026-04-04T12:04:48,35,65,yes,5
135531,1775329747,2026-04-04T12:09:07,35,65,yes,13
139490,1775330167,2026-04-04T12:16:07,35,65,yes,10
141371,1775330351,2026-04-04T12:19:11,35,65,yes,1
142446,1775330451,2026-04-04T12:20:51,35,65,yes,98
142870,1775330488,2026-04-04T12:21:28,35,65,yes,65
143924,1775330594,2026-04-04T12:23:14,35,65,yes,270
144403,1775330637,2026-04-04T12:23:57,35,65,yes,136
147357,1775330887,2026-04-04T12:28:07,35,65,yes,13
147939,1775330942,2026-04-04T12:29:02,35,65,yes,6
150558,1775331211,2026-04-04T12:33:31,35,65,yes,10
150717,1775331229,2026-04-04T12:33:49,34,66,no,67
151466,1775331323,2026-04-04T12:35:23,34,66,yes,55
155378,1775331674,2026-04-04T12:41:14,35,65,yes,11
159895,1775332108,2026-04-04T12:48:28,34,66,yes,5
160912,1775332186,2026-04-04T12:49:46,34,66,yes,28
161592,1775332231,2026-04-04T12:50:31,34,66,yes,5
164722,1775332503,2026-04-04T12:55:03,34,66,yes,5
165880,1775332612,2026-04-04T12:56:52,34,66,yes,14
169144,1775332997,2026-04-04T13:03:17,34,66,yes,45
169460,1775333044,2026-04-04T13:04:04,34,66,yes,27
169985,1775333123,2026-04-04T13:05:23,34,66,yes,70
171208,1775333278,2026-04-04T13:07:58,34,66,yes,13
171528,1775333318,2026-04-04T13:08:38,34,66,yes,15
171895,1775333366,2026-04-04T13:09:26,34,66,yes,70
175232,1775333744,2026-04-04T13:15:44,34,66,yes,8
175499,1775333769,2026-04-04T13:16:09,34,66,yes,8
176317,1775333857,2026-04-04T13:17:37,34,66,yes,8
178490,1775334070,2026-04-04T13:21:10,34,66,yes,10
179832,1775334218,2026-04-04T13:23:38,34,66,yes,555
182133,1775334448,2026-04-04T13:27:28,34,66,yes,40
186070,1775334877,2026-04-04T13:34:37,34,66,yes,5
187785,1775335070,2026-04-04T13:37:50,34,66,yes,13
188450,1775335142,2026-04-04T13:39:02,34,66,yes,13
188991,1775335209,2026-04-04T13:40:09,34,66,yes,28
189882,1775335309,2026-04-04T13:41:49,34,66,yes,8
191970,1775335496,2026-04-04T13:44:56,34,66,yes,2
192648,1775335551,2026-04-04T13:45:51,33,67,no,5
192649,1775335551,2026-04-04T13:45:51,33,67,no,1
192665,1775335553,2026-04-04T13:45:53,34,66,yes,28
192860,1775335570,2026-04-04T13:46:10,34,66,yes,28
196343,1775335810,2026-04-04T13:50:10,34,66,yes,5
196352,1775335811,2026-04-04T13:50:11,34,66,yes,2
197598,1775335886,2026-04-04T13:51:26,34,66,yes,1
199355,1775335982,2026-04-04T13:53:02,34,66,yes,14
199440,1775335986,2026-04-04T13:53:06,34,66,yes,8
200304,1775336025,2026-04-04T13:53:45,34,66,yes,56
201035,1775336066,2026-04-04T13:54:26,34,66,yes,1
202658,1775336172,2026-04-04T13:56:12,34,66,yes,54
202778,1775336180,2026-04-04T13:56:20,34,66,yes,11
202957,1775336190,2026-04-04T13:56:30,34,66,yes,14
204057,1775336269,2026-04-04T13:57:49,34,66,yes,33
204959,1775336351,2026-04-04T13:59:11,34,66,yes,2
205843,1775336426,2026-04-04T14:00:26,34,66,yes,14
206012,1775336440,2026-04-04T14:00:40,34,66,yes,14
207244,1775336572,2026-04-04T14:02:52,34,66,yes,14
207409,1775336589,2026-04-04T14:03:09,34,66,yes,28
207422,1775336590,2026-04-04T14:03:10,34,66,yes,27
207435,1775336591,2026-04-04T14:03:11,34,66,yes,15
207450,1775336593,2026-04-04T14:03:13,34,66,yes,1
207562,1775336600,2026-04-04T14:03:20,34,66,yes,2
207608,1775336605,2026-04-04T14:03:25,34,66,yes,9
207802,1775336622,2026-04-04T14:03:42,34,66,yes,41
207803,1775336622,2026-04-04T14:03:42,34,66,yes,42
207893,1775336628,2026-04-04T14:03:48,34,66,yes,27
207967,1775336632,2026-04-04T14:03:52,34,66,yes,2
209548,1775336762,2026-04-04T14:06:02,34,66,yes,204
209549,1775336762,2026-04-04T14:06:02,34,66,yes,33
209550,1775336762,2026-04-04T14:06:02,34,66,yes,24
209551,1775336762,2026-04-04T14:06:02,34,66,yes,20
209590,1775336767,2026-04-04T14:06:07,34,66,yes,11
209871,1775336797,2026-04-04T14:06:37,34,66,yes,14
209872,1775336797,2026-04-04T14:06:37,34,66,yes,14
211190,1775336931,2026-04-04T14:08:51,34,66,yes,11
211321,1775336946,2026-04-04T14:09:06,34,66,yes,2
211322,1775336946,2026-04-04T14:09:06,34,66,yes,12
211972,1775336987,2026-04-04T14:09:47,34,66,yes,58
211973,1775336987,2026-04-04T14:09:47,34,66,yes,12
212983,1775337043,2026-04-04T14:10:43,34,66,yes,2
213738,1775337089,2026-04-04T14:11:29,34,66,yes,2
213748,1775337090,2026-04-04T14:11:30,34,66,yes,12
213749,1775337090,2026-04-04T14:11:30,34,66,yes,18
218581,1775337383,2026-04-04T14:16:23,34,66,yes,41
219277,1775337420,2026-04-04T14:17:00,34,66,yes,11
219278,1775337420,2026-04-04T14:17:00,34,66,yes,17
219939,1775337449,2026-04-04T14:17:29,34,66,yes,56
223669,1775337648,2026-04-04T14:20:48,34,66,yes,13
224830,1775337709,2026-04-04T14:21:49,34,66,yes,200
226065,1775337779,2026-04-04T14:22:59,34,66,yes,12
