ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770162300,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770162302,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770162303,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770162304,64,35,0,18,0,18,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,18,0,18,18,0,18
1770162305,64,35,0,18,0,18,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,1,0,1,19,0,19
1770162306,64,35,0,18,0,18,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,19,0,19
1770162307,64,35,0,0,0,0,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,19,0,19
1770162308,64,35,0,0,0,0,no_volume,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,19,0,19
1770162309,64,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,18,0,18,low_activity,4,0,4,23,0,23
1770162310,64,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,18,0,18,low_activity,9,0,9,32,0,32
1770162311,64,35,0,10,0,10,low_activity,0,10,0,10,low_activity,0,28,0,28,low_activity,10,0,10,42,0,42
1770162312,64,35,0,10,0,10,low_activity,0,10,0,10,low_activity,0,28,0,28,low_activity,0,0,0,42,0,42
1770162313,64,35,0,10,0,10,low_activity,0,10,0,10,low_activity,0,28,0,28,low_activity,0,0,0,42,0,42
1770162314,64,35,0,30,0,30,low_activity,0,40,0,40,low_activity,0,58,0,58,low_activity,30,0,30,72,0,72
1770162315,64,35,0,30,0,30,low_activity,0,40,0,40,low_activity,0,58,0,58,low_activity,0,0,0,72,0,72
1770162316,64,35,0,30,0,30,low_activity,0,30,0,30,low_activity,0,58,0,58,low_activity,0,0,0,72,0,72
1770162317,64,35,0,0,0,0,no_volume,0,30,0,30,low_activity,0,58,0,58,low_activity,0,0,0,72,0,72
