ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770261300,58,41,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770261302,58,41,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770261303,58,41,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770261304,58,41,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770261305,58,41,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,3,9,12,3,9,12
1770261306,58,41,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,3,9,12
1770261307,58,41,0,1021,0,1021,low_activity,0,1021,0,1021,low_activity,0,1021,0,1021,low_activity,1021,0,1021,1024,9,1033
1770261308,58,41,0,1021,0,1021,low_activity,0,1021,0,1021,low_activity,0,1021,0,1021,low_activity,0,0,0,1024,9,1033
1770261309,58,41,0,1351,0,1351,low_activity,0,1351,0,1351,low_activity,0,1351,0,1351,low_activity,330,0,330,1354,9,1363
1770261310,58,41,0,330,0,330,low_activity,0,1351,0,1351,low_activity,0,1351,0,1351,low_activity,0,0,0,1354,9,1363
1770261311,58,41,0,330,0,330,low_activity,0,1351,0,1351,low_activity,0,1351,0,1351,low_activity,0,0,0,1354,9,1363
1770261312,58,41,0,0,0,0,no_volume,0,330,0,330,low_activity,0,1351,0,1351,low_activity,0,0,0,1354,9,1363
1770261313,58,41,0,32,0,32,low_activity,0,362,0,362,low_activity,0,1383,0,1383,low_activity,32,0,32,1386,9,1395
1770261314,58,41,0,32,0,32,low_activity,0,32,0,32,low_activity,0,1383,0,1383,low_activity,0,0,0,1386,9,1395
1770261315,58,41,0,32,0,32,low_activity,0,32,0,32,low_activity,0,1383,0,1383,low_activity,0,0,0,1386,9,1395
1770261316,58,41,0,0,0,0,low_activity,0,32,0,32,low_activity,0,1383,0,1383,low_activity,1,0,1,1387,9,1396
1770261317,58,41,0,0,0,0,low_activity,0,32,0,32,low_activity,0,1383,0,1383,low_activity,0,0,0,1387,9,1396
1770261318,58,41,0,0,0,0,low_activity,0,0,0,0,low_activity,0,1383,0,1383,low_activity,0,0,0,1387,9,1396
1770261319,58,41,0,0,0,0,no_volume,0,0,0,0,low_activity,0,1383,0,1383,low_activity,0,0,0,1387,9,1396
1770261320,58,41,0,0,0,0,no_volume,0,0,0,0,low_activity,0,1383,0,1383,low_activity,0,0,0,1387,9,1396
1770261321,58,41,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1383,0,1383,low_activity,0,0,0,1387,9,1396
