ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770338700,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770338701,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770338702,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770338703,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770338704,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770338705,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770338706,61,38,0,17,0,17,low_activity,0,17,0,17,low_activity,0,17,0,17,low_activity,0,0,0,17,0,17
1770338707,61,38,0,17,0,17,low_activity,0,17,0,17,low_activity,0,17,0,17,low_activity,0,0,0,17,0,17
1770338708,61,38,0,0,0,0,no_volume,0,17,0,17,low_activity,0,17,0,17,low_activity,0,0,0,17,0,17
1770338709,61,38,0,0,0,0,no_volume,0,17,0,17,low_activity,0,17,0,17,low_activity,0,0,0,17,0,17
1770338710,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338711,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338712,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338713,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338714,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338715,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338716,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338717,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338718,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338719,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338720,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,17,0,17
1770338721,61,38,0,0,0,0,low_activity,0,0,0,0,low_activity,0,17,0,17,low_activity,3,0,3,20,0,20
1770338722,61,38,0,0,0,0,low_activity,0,0,0,0,low_activity,0,17,0,17,low_activity,0,0,0,20,0,20
1770338723,61,38,0,15,0,15,low_activity,0,15,0,15,low_activity,0,32,0,32,low_activity,15,0,15,35,0,35
1770338724,61,38,0,15,0,15,low_activity,0,15,0,15,low_activity,0,32,0,32,low_activity,0,0,0,35,0,35
1770338725,61,38,0,15,0,15,low_activity,0,15,0,15,low_activity,0,32,0,32,low_activity,0,0,0,35,0,35
1770338726,61,38,0,0,0,0,no_volume,0,15,0,15,low_activity,0,32,0,32,low_activity,0,0,0,35,0,35
1770338727,61,38,0,0,0,0,no_volume,0,15,0,15,low_activity,0,32,0,32,low_activity,0,0,0,35,0,35
1770338728,61,38,0,0,0,0,low_activity,0,0,0,0,low_activity,0,32,0,32,low_activity,1,0,1,36,0,36
1770338729,61,38,0,0,0,0,low_activity,0,0,0,0,low_activity,0,32,0,32,low_activity,4,0,4,40,0,40
1770338730,61,38,0,0,0,0,low_activity,0,0,0,0,low_activity,0,32,0,32,low_activity,0,0,0,40,0,40
1770338731,61,38,0,0,0,0,low_activity,0,0,0,0,low_activity,0,32,0,32,low_activity,0,0,0,40,0,40
1770338732,61,38,0,39,0,39,low_activity,0,39,0,39,low_activity,0,71,0,71,low_activity,39,0,39,79,0,79
1770338733,61,38,0,39,0,39,low_activity,0,39,0,39,low_activity,0,71,0,71,low_activity,0,0,0,79,0,79
1770338734,61,38,0,39,0,39,low_activity,0,39,0,39,low_activity,0,71,0,71,low_activity,0,0,0,79,0,79
1770338735,61,38,0,0,0,0,no_volume,0,39,0,39,low_activity,0,54,0,54,low_activity,0,0,0,79,0,79
1770338736,61,38,0,0,0,0,no_volume,0,39,0,39,low_activity,0,54,0,54,low_activity,0,0,0,79,0,79
1770338737,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,54,0,54,low_activity,0,0,0,79,0,79
1770338738,61,38,0,0,0,0,no_volume,0,0,0,0,no_volume,0,54,0,54,low_activity,0,0,0,79,0,79
