ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770423301,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770423302,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770423303,35,64,0,263,0,263,low_activity,0,263,0,263,low_activity,0,263,0,263,low_activity,263,0,263,263,0,263
1770423304,35,64,0,263,0,263,low_activity,0,263,0,263,low_activity,0,263,0,263,low_activity,0,0,0,263,0,263
1770423305,35,64,0,276,0,276,low_activity,0,276,0,276,low_activity,0,276,0,276,low_activity,13,0,13,276,0,276
1770423306,35,64,0,13,0,13,low_activity,0,276,0,276,low_activity,0,276,0,276,low_activity,0,0,0,276,0,276
1770423307,35,64,0,52,0,52,low_activity,0,315,0,315,low_activity,0,315,0,315,low_activity,0,0,0,315,0,315
1770423308,35,64,0,39,0,39,low_activity,0,52,0,52,low_activity,0,315,0,315,low_activity,5,0,5,320,0,320
1770423309,35,64,0,66,0,66,low_activity,0,118,0,118,low_activity,0,381,0,381,low_activity,66,0,66,386,0,386
1770423310,35,64,0,263,0,263,low_activity,0,302,0,302,low_activity,1.0,578,0,578,ok_volume,197,0,197,583,0,583
1770423311,35,64,0,316,0,316,low_activity,0,316,0,316,low_activity,1.0,631,0,631,ok_volume,53,0,53,636,0,636
1770423312,35,64,0,314,0,314,low_activity,1.0,380,0,380,ok_volume,1.0,695,0,695,ok_volume,64,0,64,700,0,700
1770423313,35,64,0,117,0,117,low_activity,1.0,380,0,380,ok_volume,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423314,35,64,0,64,0,64,low_activity,0,314,0,314,low_activity,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423315,35,64,0,0,0,0,no_volume,0,117,0,117,low_activity,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423316,35,64,0,0,0,0,no_volume,0,64,0,64,low_activity,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423317,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423318,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423319,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423320,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,695,0,695,ok_volume,0,0,0,700,0,700
1770423321,35,64,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,695,0,695,ok_volume,2,0,2,702,0,702
1770423322,35,64,0,20,0,20,low_activity,0,20,0,20,low_activity,1.0,715,0,715,ok_volume,20,0,20,722,0,722
1770423323,35,64,0,20,0,20,low_activity,0,20,0,20,low_activity,1.0,715,0,715,ok_volume,0,0,0,722,0,722
1770423324,35,64,0,20,0,20,low_activity,0,20,0,20,low_activity,1.0,715,0,715,ok_volume,0,0,0,722,0,722
1770423325,35,64,0,0,0,0,no_volume,0,20,0,20,low_activity,1.0,715,0,715,ok_volume,0,0,0,722,0,722
1770423326,35,64,0,0,0,0,no_volume,0,20,0,20,low_activity,1.0,715,0,715,ok_volume,0,0,0,722,0,722
1770423327,35,64,0,21,0,21,low_activity,0,21,0,21,low_activity,1.0,736,0,736,ok_volume,21,0,21,743,0,743
1770423328,35,64,0,21,0,21,low_activity,0,21,0,21,low_activity,1.0,736,0,736,ok_volume,0,0,0,743,0,743
1770423329,35,64,0,21,0,21,low_activity,0,21,0,21,low_activity,1.0,736,0,736,ok_volume,0,0,0,743,0,743
1770423330,35,64,0,6578,0,6578,low_activity,0,6599,0,6599,low_activity,1.0,7314,0,7314,ok_volume,6578,0,6578,7321,0,7321
1770423331,35,64,0,6578,0,6578,low_activity,0,6599,0,6599,low_activity,1.0,7314,0,7314,ok_volume,0,0,0,7321,0,7321
1770423332,35,64,0,6578,0,6578,low_activity,0,6578,0,6578,low_activity,1.0,7314,0,7314,ok_volume,5,0,5,7326,0,7326
1770423333,35,64,0,54,0,54,low_activity,0,6632,0,6632,low_activity,1.0,7105,0,7105,ok_volume,0,0,0,7380,0,7380
1770423334,35,64,0,67,0,67,low_activity,0,6645,0,6645,low_activity,1.0,7118,0,7118,ok_volume,13,0,13,7393,0,7393
1770423335,35,64,0,13,0,13,low_activity,0,67,0,67,low_activity,1.0,7105,0,7105,ok_volume,0,0,0,7393,0,7393
1770423336,35,64,0,13,0,13,low_activity,0,67,0,67,low_activity,1.0,7066,0,7066,ok_volume,0,0,0,7393,0,7393
1770423337,35,64,0,0,0,0,no_volume,0,13,0,13,low_activity,1.0,7066,0,7066,ok_volume,0,0,0,7393,0,7393
1770423338,35,64,0,93,0,93,low_activity,0,106,0,106,low_activity,1.0,7159,0,7159,ok_volume,93,0,93,7486,0,7486
1770423339,35,64,0,490,0,490,low_activity,0,490,0,490,low_activity,1.0,7490,0,7490,ok_volume,399,0,399,7885,0,7885
1770423340,35,64,0,790,0,790,low_activity,0,790,0,790,low_activity,1.0,7593,0,7593,ok_volume,300,0,300,8185,0,8185
1770423341,35,64,0,697,0,697,low_activity,0,790,0,790,low_activity,1.0,7540,0,7540,ok_volume,1,0,1,8186,0,8186
1770423342,35,64,0,300,0,300,low_activity,0,790,0,790,low_activity,1.0,7476,0,7476,ok_volume,0,0,0,8186,0,8186
1770423343,35,64,0,1355,0,1355,low_activity,0,2052,0,2052,low_activity,1.0,8831,0,8831,ok_volume,1329,0,1329,9541,0,9541
1770423344,35,64,0,1683,0,1683,low_activity,1.0,1983,0,1983,ok_volume,1.0,9159,0,9159,ok_volume,328,0,328,9869,0,9869
1770423345,35,64,0,1678,0,1678,low_activity,1.0,1704,0,1704,ok_volume,1.0,9180,0,9180,ok_volume,21,0,21,9890,0,9890
1770423346,35,64,0,349,23,372,low_activity,0.973,1704,23,1727,ok_volume,0.995,9180,23,9203,ok_volume,0,23,23,9890,23,9913
1770423347,35,64,0,21,23,44,low_activity,0.973,1678,23,1701,ok_volume,0.995,9180,23,9203,ok_volume,0,0,0,9890,23,9913
1770423348,35,64,0,0,23,23,low_activity,0,349,23,372,low_activity,0.995,9180,23,9203,ok_volume,0,0,0,9890,23,9913
1770423349,35,64,0,0,0,0,no_volume,0,21,23,44,low_activity,0.995,9180,23,9203,ok_volume,0,0,0,9890,23,9913
1770423350,35,64,0,0,0,0,no_volume,0,0,23,23,low_activity,0.995,9180,23,9203,ok_volume,0,0,0,9890,23,9913
1770423351,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0.995,9180,23,9203,ok_volume,0,0,0,9890,23,9913
1770423352,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0.995,9160,23,9183,ok_volume,0,0,0,9890,23,9913
1770423353,35,64,0,128,0,128,low_activity,0,128,0,128,low_activity,0.995,9288,23,9311,ok_volume,128,0,128,10018,23,10041
1770423354,35,64,0,128,0,128,low_activity,0,128,0,128,low_activity,0.995,9288,23,9311,ok_volume,0,0,0,10018,23,10041
1770423355,35,64,0,128,0,128,low_activity,0,128,0,128,low_activity,0.995,9288,23,9311,ok_volume,0,0,0,10018,23,10041
1770423356,35,64,0,0,0,0,no_volume,0,128,0,128,low_activity,0.995,9288,23,9311,ok_volume,0,0,0,10018,23,10041
1770423357,35,64,0,0,0,0,no_volume,0,128,0,128,low_activity,0.995,9267,23,9290,ok_volume,0,0,0,10018,23,10041
1770423358,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0.995,9267,23,9290,ok_volume,0,0,0,10018,23,10041
1770423359,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0.995,9267,23,9290,ok_volume,0,0,0,10018,23,10041
