ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770511500,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770511501,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770511502,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770511503,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770511504,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770511505,74,25,0,259,0,259,low_activity,0,259,0,259,low_activity,0,259,0,259,low_activity,259,0,259,259,0,259
1770511506,74,25,0,259,0,259,low_activity,0,259,0,259,low_activity,0,259,0,259,low_activity,0,0,0,259,0,259
1770511507,74,25,0,259,0,259,low_activity,0,259,0,259,low_activity,0,259,0,259,low_activity,0,0,0,259,0,259
1770511508,74,25,0,0,0,0,no_volume,0,259,0,259,low_activity,0,259,0,259,low_activity,0,0,0,259,0,259
1770511509,74,25,0,0,0,0,no_volume,0,259,0,259,low_activity,0,259,0,259,low_activity,0,0,0,259,0,259
1770511510,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,259,0,259,low_activity,0,0,0,259,0,259
1770511511,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,259,0,259,low_activity,0,0,0,259,0,259
1770511512,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,259,0,259,low_activity,0,0,0,259,0,259
1770511513,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,259,0,259,low_activity,0,0,0,259,0,259
1770511514,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,259,0,259,low_activity,0,0,0,259,0,259
1770511515,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,259,0,259,low_activity,1,0,1,260,0,260
1770511516,74,25,0,10,0,10,low_activity,0,10,0,10,low_activity,0,269,0,269,low_activity,10,0,10,270,0,270
1770511517,74,25,0,10,0,10,low_activity,0,10,0,10,low_activity,0,269,0,269,low_activity,0,0,0,270,0,270
1770511518,74,25,0,10,0,10,low_activity,0,10,0,10,low_activity,0,269,0,269,low_activity,0,0,0,270,0,270
1770511519,74,25,0,0,0,0,no_volume,0,10,0,10,low_activity,0,269,0,269,low_activity,0,0,0,270,0,270
1770511520,74,25,0,0,0,0,no_volume,0,10,0,10,low_activity,0,269,0,269,low_activity,0,0,0,270,0,270
1770511521,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511522,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511523,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511524,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511525,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511526,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511527,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511528,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
1770511529,74,25,0,0,0,0,no_volume,0,0,0,0,no_volume,0,269,0,269,low_activity,0,0,0,270,0,270
