ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770680700,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770680702,43,56,0,12,0,12,low_activity,0,12,0,12,low_activity,0,12,0,12,low_activity,12,0,12,12,0,12
1770680703,43,56,0,12,0,12,low_activity,0,12,0,12,low_activity,0,12,0,12,low_activity,0,0,0,12,0,12
1770680704,43,56,0,12,0,12,low_activity,0,12,0,12,low_activity,0,12,0,12,low_activity,0,0,0,12,0,12
1770680705,43,56,0,26,0,26,low_activity,0,38,0,38,low_activity,0,38,0,38,low_activity,26,0,26,38,0,38
1770680706,43,56,0,26,0,26,low_activity,0,38,0,38,low_activity,0,38,0,38,low_activity,0,0,0,38,0,38
1770680707,43,56,0,52,0,52,low_activity,0,52,0,52,low_activity,0,64,0,64,low_activity,26,0,26,64,0,64
1770680708,43,56,0,26,0,26,low_activity,0,52,0,52,low_activity,0,64,0,64,low_activity,0,0,0,64,0,64
1770680709,43,56,0,26,0,26,low_activity,0,52,0,52,low_activity,0,64,0,64,low_activity,0,0,0,64,0,64
1770680710,43,56,0,0,0,0,no_volume,0,26,0,26,low_activity,0,64,0,64,low_activity,0,0,0,64,0,64
1770680711,43,56,0,0,0,0,no_volume,0,26,0,26,low_activity,0,64,0,64,low_activity,0,0,0,64,0,64
1770680712,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,64,0,64,low_activity,0,0,0,64,0,64
1770680713,43,56,0,19,0,19,low_activity,0,19,0,19,low_activity,0,83,0,83,low_activity,19,0,19,83,0,83
1770680714,43,56,0,19,0,19,low_activity,0,19,0,19,low_activity,0,83,0,83,low_activity,0,0,0,83,0,83
1770680715,43,56,0,19,0,19,low_activity,0,19,0,19,low_activity,0,83,0,83,low_activity,0,0,0,83,0,83
1770680716,43,56,0,0,0,0,no_volume,0,19,0,19,low_activity,0,83,0,83,low_activity,0,0,0,83,0,83
1770680717,43,56,0,0,0,0,no_volume,0,19,0,19,low_activity,0,83,0,83,low_activity,0,0,0,83,0,83
1770680718,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,83,0,83,low_activity,0,0,0,83,0,83
1770680719,43,56,0,10,0,10,low_activity,0,10,0,10,low_activity,0,93,0,93,low_total_volume,10,0,10,93,0,93
1770680720,43,56,0,10,0,10,low_activity,0,10,0,10,low_activity,0,93,0,93,low_total_volume,0,0,0,93,0,93
1770680721,43,56,0,10,0,10,low_activity,0,10,0,10,low_activity,0,93,0,93,low_total_volume,0,0,0,93,0,93
1770680722,43,56,0,21,0,21,low_activity,0,31,0,31,low_activity,0,114,0,114,low_total_volume,0,0,0,114,0,114
1770680723,43,56,0,21,0,21,low_activity,0,31,0,31,low_activity,0,114,0,114,low_total_volume,0,0,0,114,0,114
1770680724,43,56,0,0,0,0,no_volume,0,21,0,21,low_activity,0,114,0,114,low_total_volume,0,0,0,114,0,114
1770680725,43,56,0,0,0,0,no_volume,0,21,0,21,low_activity,0,114,0,114,low_total_volume,0,0,0,114,0,114
1770680726,43,56,0,0,14,14,low_activity,0,0,14,14,low_activity,0,114,14,128,low_total_volume,0,14,14,114,14,128
1770680727,43,56,0,0,14,14,low_activity,0,0,14,14,low_activity,0,114,14,128,low_total_volume,0,0,0,114,14,128
1770680728,43,56,0,0,14,14,low_activity,0,0,14,14,low_activity,0,114,14,128,low_total_volume,0,0,0,114,14,128
1770680729,43,56,0,0,14,14,low_activity,0,0,28,28,low_activity,0,114,28,142,low_total_volume,0,14,14,114,28,142
1770680730,43,56,0,217,14,231,low_activity,0,217,28,245,low_activity,0.844,331,28,359,ok_volume,217,0,217,331,28,359
1770680731,43,56,0,217,14,231,low_activity,0,217,14,231,low_activity,0.844,331,28,359,ok_volume,0,0,0,331,28,359
1770680732,43,56,0,217,0,217,low_activity,0,217,14,231,low_activity,0.839,319,28,347,ok_volume,0,0,0,331,28,359
1770680733,43,56,0,12,0,12,low_activity,0,229,14,243,low_activity,0.844,331,28,359,ok_volume,12,0,12,343,28,371
1770680734,43,56,0,33,0,33,low_activity,0,250,0,250,low_activity,0.853,352,28,380,ok_volume,21,0,21,364,28,392
1770680735,43,56,0,33,0,33,low_activity,0,33,0,33,low_activity,0.842,326,28,354,ok_volume,0,0,0,364,28,392
1770680736,43,56,0,21,0,21,low_activity,0,33,0,33,low_activity,0.842,326,28,354,ok_volume,0,0,0,364,28,392
1770680737,43,56,0,0,0,0,no_volume,0,33,0,33,low_activity,0.829,300,28,328,ok_volume,0,0,0,364,28,392
1770680738,43,56,0,0,0,0,no_volume,0,21,0,21,low_activity,0.829,300,28,328,ok_volume,0,0,0,364,28,392
1770680739,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0.829,300,28,328,ok_volume,0,0,0,364,28,392
1770680740,43,56,0,32,0,32,low_activity,0,32,0,32,low_activity,0.844,332,28,360,ok_volume,32,0,32,396,28,424
1770680741,43,56,0,138,0,138,low_activity,0,138,0,138,low_activity,0.88,438,28,466,ok_volume,106,0,106,502,28,530
1770680742,43,56,0,138,0,138,low_activity,0,138,0,138,low_activity,0.88,438,28,466,ok_volume,0,0,0,502,28,530
1770680743,43,56,0,106,0,106,low_activity,0,138,0,138,low_activity,0.875,419,28,447,ok_volume,0,0,0,502,28,530
1770680744,43,56,0,0,0,0,no_volume,0,138,0,138,low_activity,0.875,419,28,447,ok_volume,0,0,0,502,28,530
1770680745,43,56,0,0,0,0,no_volume,0,106,0,106,low_activity,0.875,419,28,447,ok_volume,0,0,0,502,28,530
1770680746,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0.875,419,28,447,ok_volume,0,0,0,502,28,530
1770680747,43,56,0,32,0,32,low_activity,0,32,0,32,low_activity,0.883,451,28,479,ok_volume,32,0,32,534,28,562
1770680748,43,56,0,32,0,32,low_activity,0,32,0,32,low_activity,0.883,451,28,479,ok_volume,0,0,0,534,28,562
