ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770691500,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770691502,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770691503,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770691504,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770691505,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770691506,23,76,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,3,0,3,3,0,3
1770691507,23,76,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,3,0,3
1770691508,23,76,0,18,0,18,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,18,0,18,21,0,21
1770691509,23,76,0,18,0,18,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,21,0,21
1770691510,23,76,0,18,0,18,low_activity,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,21,0,21
1770691511,23,76,0,0,0,0,no_volume,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,21,0,21
1770691512,23,76,0,0,0,0,no_volume,0,18,0,18,low_activity,0,18,0,18,low_activity,0,0,0,21,0,21
1770691513,23,76,0,1186,0,1186,low_activity,0,1186,0,1186,low_activity,0,1204,0,1204,low_activity,1186,0,1186,1207,0,1207
1770691514,23,76,0,1186,0,1186,low_activity,0,1186,0,1186,low_activity,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691515,23,76,0,1186,0,1186,low_activity,0,1186,0,1186,low_activity,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691516,23,76,0,0,0,0,no_volume,0,1186,0,1186,low_activity,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691517,23,76,0,0,0,0,no_volume,0,1186,0,1186,low_activity,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691518,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691519,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691520,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691521,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1204,0,1204,low_activity,0,0,0,1207,0,1207
1770691522,23,76,0,19,0,19,low_activity,0,19,0,19,low_activity,0,1223,0,1223,low_activity,19,0,19,1226,0,1226
1770691523,23,76,0,19,0,19,low_activity,0,19,0,19,low_activity,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691524,23,76,0,19,0,19,low_activity,0,19,0,19,low_activity,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691525,23,76,0,0,0,0,no_volume,0,19,0,19,low_activity,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691526,23,76,0,0,0,0,no_volume,0,19,0,19,low_activity,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691527,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691528,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691529,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691530,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691531,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691532,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691533,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691534,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691535,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691536,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691537,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1223,0,1223,low_activity,0,0,0,1226,0,1226
1770691538,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1205,0,1205,low_activity,0,0,0,1226,0,1226
1770691539,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1205,0,1205,low_activity,0,0,0,1226,0,1226
1770691540,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1205,0,1205,low_activity,0,0,0,1226,0,1226
1770691541,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1205,0,1205,low_activity,0,0,0,1226,0,1226
1770691542,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1205,0,1205,low_activity,0,0,0,1226,0,1226
1770691543,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,19,0,19,low_activity,0,0,0,1226,0,1226
1770691544,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,19,0,19,low_activity,0,0,0,1226,0,1226
1770691545,23,76,0,38,0,38,low_activity,0,38,0,38,low_activity,0,57,0,57,low_activity,38,0,38,1264,0,1264
1770691546,23,76,0,38,0,38,low_activity,0,38,0,38,low_activity,0,57,0,57,low_activity,0,0,0,1264,0,1264
1770691547,23,76,0,38,0,38,low_activity,0,38,0,38,low_activity,0,57,0,57,low_activity,0,0,0,1264,0,1264
1770691548,23,76,0,0,0,0,no_volume,0,38,0,38,low_activity,0,57,0,57,low_activity,0,0,0,1264,0,1264
1770691549,23,76,0,0,0,0,no_volume,0,38,0,38,low_activity,0,57,0,57,low_activity,0,0,0,1264,0,1264
1770691550,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,57,0,57,low_activity,0,0,0,1264,0,1264
1770691551,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,57,0,57,low_activity,0,0,0,1264,0,1264
1770691552,23,76,0,92,0,92,low_activity,0,92,0,92,low_activity,0,130,0,130,low_activity,92,0,92,1356,0,1356
1770691553,23,76,0,92,0,92,low_activity,0,92,0,92,low_activity,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691554,23,76,0,92,0,92,low_activity,0,92,0,92,low_activity,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691555,23,76,0,0,0,0,no_volume,0,92,0,92,low_activity,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691556,23,76,0,0,0,0,no_volume,0,92,0,92,low_activity,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691557,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691558,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691559,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691560,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691561,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691562,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691563,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691564,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691565,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1356,0,1356
1770691566,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1353,0,1353
1770691567,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1353,0,1353
1770691568,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1335,0,1335
1770691569,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1335,0,1335
1770691570,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1335,0,1335
1770691571,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1335,0,1335
1770691572,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,1335,0,1335
1770691573,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,149,0,149
1770691574,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,130,0,130,low_activity,0,0,0,149,0,149
1770691575,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,92,0,92,low_activity,0,0,0,149,0,149
1770691576,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,92,0,92,low_activity,0,0,0,149,0,149
1770691577,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,92,0,92,low_activity,0,0,0,149,0,149
1770691578,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,92,0,92,low_activity,0,0,0,149,0,149
1770691579,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,92,0,92,low_activity,0,0,0,149,0,149
1770691580,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,92,0,92,low_activity,0,0,0,149,0,149
1770691581,23,76,0,11,0,11,low_activity,0,11,0,11,low_activity,0,103,0,103,low_activity,11,0,11,160,0,160
1770691582,23,76,0,11,0,11,low_activity,0,11,0,11,low_activity,0,11,0,11,low_activity,0,0,0,141,0,141
1770691583,23,76,0,11,0,11,low_activity,0,11,0,11,low_activity,0,11,0,11,low_activity,0,0,0,141,0,141
1770691584,23,76,0,0,0,0,no_volume,0,11,0,11,low_activity,0,11,0,11,low_activity,0,0,0,141,0,141
1770691585,23,76,0,0,0,0,no_volume,0,11,0,11,low_activity,0,11,0,11,low_activity,0,0,0,141,0,141
1770691586,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,11,0,11,low_activity,0,0,0,141,0,141
1770691587,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,11,0,11,low_activity,0,0,0,141,0,141
1770691588,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,11,0,11,low_activity,0,0,0,141,0,141
1770691589,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,11,0,11,low_activity,0,0,0,141,0,141
1770691590,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,11,0,11,low_activity,0,0,0,141,0,141
1770691591,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,11,0,11,low_activity,0,0,0,141,0,141
1770691592,23,76,0,57,0,57,low_activity,0,57,0,57,low_activity,0,68,0,68,low_activity,57,0,57,198,0,198
1770691593,23,76,0,57,0,57,low_activity,0,57,0,57,low_activity,0,68,0,68,low_activity,0,0,0,198,0,198
1770691594,23,76,0,57,0,57,low_activity,0,57,0,57,low_activity,0,68,0,68,low_activity,0,0,0,198,0,198
1770691595,23,76,0,0,0,0,no_volume,0,57,0,57,low_activity,0,68,0,68,low_activity,0,0,0,198,0,198
1770691596,23,76,0,0,0,0,no_volume,0,57,0,57,low_activity,0,68,0,68,low_activity,0,0,0,198,0,198
1770691597,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,198,0,198
1770691598,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,198,0,198
1770691599,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,198,0,198
1770691600,23,76,0,20,0,20,low_activity,0,20,0,20,low_activity,0,88,0,88,low_activity,20,0,20,218,0,218
1770691601,23,76,0,20,0,20,low_activity,0,20,0,20,low_activity,0,88,0,88,low_activity,0,0,0,218,0,218
1770691602,23,76,0,20,0,20,low_activity,0,20,0,20,low_activity,0,88,0,88,low_activity,0,0,0,218,0,218
1770691603,23,76,0,0,0,0,no_volume,0,20,0,20,low_activity,0,88,0,88,low_activity,0,0,0,218,0,218
1770691604,23,76,0,0,0,0,no_volume,0,20,0,20,low_activity,0,88,0,88,low_activity,0,0,0,218,0,218
1770691605,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,88,0,88,low_activity,0,0,0,180,0,180
1770691606,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,88,0,88,low_activity,0,0,0,180,0,180
1770691607,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,88,0,88,low_activity,0,0,0,180,0,180
1770691608,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,88,0,88,low_activity,0,0,0,180,0,180
1770691609,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,88,0,88,low_activity,0,0,0,180,0,180
1770691610,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,88,0,88,low_activity,0,0,0,180,0,180
1770691611,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,180,0,180
1770691612,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,88,0,88
1770691613,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,88,0,88
1770691614,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,88,0,88
1770691615,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,88,0,88
1770691616,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,88,0,88
1770691617,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,77,0,77,low_activity,0,0,0,88,0,88
