ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770682500,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770682502,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770682503,30,69,0,14,0,14,low_activity,0,14,0,14,low_activity,0,14,0,14,low_activity,14,0,14,14,0,14
1770682504,30,69,0,14,0,14,low_activity,0,14,0,14,low_activity,0,14,0,14,low_activity,0,0,0,14,0,14
1770682505,30,69,0,14,0,14,low_activity,0,14,0,14,low_activity,0,14,0,14,low_activity,0,0,0,14,0,14
1770682506,30,69,0,0,0,0,no_volume,0,14,0,14,low_activity,0,14,0,14,low_activity,0,0,0,14,0,14
1770682507,30,69,0,0,0,0,no_volume,0,14,0,14,low_activity,0,14,0,14,low_activity,0,0,0,14,0,14
1770682508,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,14,0,14
1770682509,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,14,0,14
1770682510,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,14,0,14
1770682511,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,14,0,14,low_activity,0,0,0,14,0,14
1770682512,30,69,0,1538,0,1538,low_activity,0,1538,0,1538,low_activity,0,1552,0,1552,low_activity,1538,0,1538,1552,0,1552
1770682513,30,69,0,1538,0,1538,low_activity,0,1538,0,1538,low_activity,0,1552,0,1552,low_activity,0,0,0,1552,0,1552
1770682514,30,69,0,1616,0,1616,low_activity,0,1616,0,1616,low_activity,0,1630,0,1630,low_activity,78,0,78,1630,0,1630
1770682515,30,69,0,78,0,78,low_activity,0,1616,0,1616,low_activity,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682516,30,69,0,78,0,78,low_activity,0,1616,0,1616,low_activity,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682517,30,69,0,0,0,0,no_volume,0,78,0,78,low_activity,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682518,30,69,0,0,0,0,no_volume,0,78,0,78,low_activity,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682519,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682520,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682521,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682522,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682523,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682524,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682525,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682526,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682527,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682528,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682529,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682530,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682531,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1630,0,1630,low_activity,0,0,0,1630,0,1630
1770682532,30,69,0,923,0,923,low_activity,0,923,0,923,low_activity,0,2553,0,2553,low_activity,923,0,923,2553,0,2553
1770682533,30,69,0,938,0,938,low_activity,0,938,0,938,low_activity,0,2554,0,2554,low_activity,15,0,15,2568,0,2568
1770682534,30,69,0,938,0,938,low_activity,0,938,0,938,low_activity,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682535,30,69,0,15,0,15,low_activity,0,938,0,938,low_activity,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682536,30,69,0,0,0,0,no_volume,0,938,0,938,low_activity,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682537,30,69,0,0,0,0,no_volume,0,15,0,15,low_activity,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682538,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682539,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682540,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682541,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,2554,0,2554,low_activity,0,0,0,2568,0,2568
1770682542,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1016,0,1016,low_activity,0,0,0,2568,0,2568
1770682543,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1016,0,1016,low_activity,0,0,0,2568,0,2568
1770682544,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,938,0,938,low_activity,0,0,0,2568,0,2568
1770682545,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,938,0,938,low_activity,0,0,0,2568,0,2568
1770682546,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,938,0,938,low_activity,0,0,0,2568,0,2568
1770682547,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,938,0,938,low_activity,0,0,0,2568,0,2568
1770682548,30,69,0,58,0,58,low_activity,0,58,0,58,low_activity,0,996,0,996,low_activity,58,0,58,2626,0,2626
1770682549,30,69,0,58,0,58,low_activity,0,58,0,58,low_activity,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682550,30,69,0,58,0,58,low_activity,0,58,0,58,low_activity,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682551,30,69,0,0,0,0,no_volume,0,58,0,58,low_activity,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682552,30,69,0,0,0,0,no_volume,0,58,0,58,low_activity,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682553,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682554,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682555,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682556,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682557,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682558,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682559,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682560,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682561,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,996,0,996,low_activity,0,0,0,2626,0,2626
1770682562,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,73,0,73,low_activity,0,0,0,2626,0,2626
1770682563,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682564,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682565,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682566,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682567,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682568,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682569,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682570,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682571,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,2612,0,2612
1770682572,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,1074,0,1074
1770682573,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,1074,0,1074
1770682574,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,996,0,996
1770682575,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,996,0,996
1770682576,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,996,0,996
1770682577,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,58,0,58,low_activity,0,0,0,996,0,996
1770682578,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,996,0,996
1770682579,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,996,0,996
1770682580,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,996,0,996
