ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770774300,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770774302,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770774303,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770774304,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770774305,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770774306,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770774307,26,73,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,7,0,7,7,0,7
1770774308,26,73,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,7,0,7
1770774309,26,73,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,7,0,7
1770774310,26,73,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,7,0,7
1770774311,26,73,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,7,0,7
1770774312,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774313,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774314,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774315,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774316,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774317,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774318,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774319,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774320,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774321,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,7,0,7
1770774322,26,73,0,68,0,68,low_activity,0,68,0,68,low_activity,0,68,0,68,low_activity,68,0,68,75,0,75
1770774323,26,73,0,68,0,68,low_activity,0,68,0,68,low_activity,0,68,0,68,low_activity,0,0,0,75,0,75
1770774324,26,73,0,68,0,68,low_activity,0,68,0,68,low_activity,0,68,0,68,low_activity,0,0,0,75,0,75
1770774325,26,73,0,0,0,0,no_volume,0,68,0,68,low_activity,0,68,0,68,low_activity,0,0,0,75,0,75
1770774326,26,73,0,0,0,0,no_volume,0,68,0,68,low_activity,0,68,0,68,low_activity,0,0,0,75,0,75
1770774327,26,73,0,19,0,19,low_activity,0,19,0,19,low_activity,0,87,0,87,low_activity,19,0,19,94,0,94
1770774328,26,73,0,19,0,19,low_activity,0,19,0,19,low_activity,0,87,0,87,low_activity,0,0,0,94,0,94
1770774329,26,73,0,19,0,19,low_activity,0,19,0,19,low_activity,0,87,0,87,low_activity,0,0,0,94,0,94
1770774330,26,73,0,0,0,0,no_volume,0,19,0,19,low_activity,0,87,0,87,low_activity,0,0,0,94,0,94
1770774331,26,73,0,0,0,0,no_volume,0,19,0,19,low_activity,0,87,0,87,low_activity,0,0,0,94,0,94
1770774332,26,73,0,17,0,17,low_activity,0,17,0,17,low_activity,0,104,0,104,low_activity,17,0,17,111,0,111
1770774333,26,73,0,17,0,17,low_activity,0,17,0,17,low_activity,0,104,0,104,low_activity,0,0,0,111,0,111
1770774334,26,73,0,17,0,17,low_activity,0,17,0,17,low_activity,0,104,0,104,low_activity,0,0,0,111,0,111
1770774335,26,73,0,0,0,0,no_volume,0,17,0,17,low_activity,0,104,0,104,low_activity,0,0,0,111,0,111
1770774336,26,73,0,0,0,0,no_volume,0,17,0,17,low_activity,0,104,0,104,low_activity,0,0,0,111,0,111
1770774337,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774338,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774339,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774340,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774341,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774342,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774343,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774344,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774345,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774346,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774347,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774348,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,104,0,104,low_activity,0,0,0,111,0,111
1770774349,26,73,0,88,0,88,low_activity,0,88,0,88,low_activity,0,192,0,192,low_activity,88,0,88,199,0,199
1770774350,26,73,0,88,0,88,low_activity,0,88,0,88,low_activity,0,192,0,192,low_activity,0,0,0,199,0,199
1770774351,26,73,0,88,0,88,low_activity,0,88,0,88,low_activity,0,192,0,192,low_activity,0,0,0,199,0,199
1770774352,26,73,0,66,0,66,low_activity,0,154,0,154,low_activity,0,190,0,190,low_activity,66,0,66,265,0,265
1770774353,26,73,0,66,0,66,low_activity,0,154,0,154,low_activity,0,190,0,190,low_activity,0,0,0,265,0,265
1770774354,26,73,0,66,0,66,low_activity,0,66,0,66,low_activity,0,190,0,190,low_activity,0,0,0,265,0,265
1770774355,26,73,0,0,0,0,no_volume,0,66,0,66,low_activity,0,190,0,190,low_activity,0,0,0,265,0,265
1770774356,26,73,0,0,0,0,no_volume,0,66,0,66,low_activity,0,190,0,190,low_activity,0,0,0,265,0,265
1770774357,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,171,0,171,low_activity,0,0,0,265,0,265
1770774358,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,171,0,171,low_activity,0,0,0,265,0,265
1770774359,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,171,0,171,low_activity,0,0,0,265,0,265
1770774360,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,171,0,171,low_activity,0,0,0,265,0,265
1770774361,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,171,0,171,low_activity,0,0,0,265,0,265
1770774362,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,154,0,154,low_activity,0,0,0,265,0,265
1770774363,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,154,0,154,low_activity,0,0,0,265,0,265
1770774364,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,154,0,154,low_activity,0,0,0,265,0,265
1770774365,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,154,0,154,low_activity,0,0,0,265,0,265
1770774366,26,73,0,176,0,176,low_activity,0,176,0,176,low_activity,0,330,0,330,low_activity,176,0,176,441,0,441
1770774367,26,73,0,176,0,176,low_activity,0,176,0,176,low_activity,0,330,0,330,low_activity,0,0,0,434,0,434
1770774368,26,73,0,176,0,176,low_activity,0,176,0,176,low_activity,0,330,0,330,low_activity,0,0,0,434,0,434
1770774369,26,73,0,0,0,0,no_volume,0,176,0,176,low_activity,0,330,0,330,low_activity,0,0,0,434,0,434
1770774370,26,73,0,0,0,0,no_volume,0,176,0,176,low_activity,0,330,0,330,low_activity,0,0,0,434,0,434
1770774371,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,330,0,330,low_activity,0,0,0,434,0,434
1770774372,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,330,0,330,low_activity,0,0,0,434,0,434
1770774373,26,73,0,35,0,35,low_activity,0,35,0,35,low_activity,0,365,0,365,low_activity,35,0,35,469,0,469
1770774374,26,73,0,35,0,35,low_activity,0,35,0,35,low_activity,0,365,0,365,low_activity,0,0,0,469,0,469
1770774375,26,73,0,35,0,35,low_activity,0,35,0,35,low_activity,0,365,0,365,low_activity,0,0,0,469,0,469
1770774376,26,73,0,0,0,0,no_volume,0,35,0,35,low_activity,0,365,0,365,low_activity,0,0,0,469,0,469
1770774377,26,73,0,0,0,0,no_volume,0,35,0,35,low_activity,0,365,0,365,low_activity,0,0,0,469,0,469
1770774378,26,73,0,36,0,36,low_activity,0,36,0,36,low_activity,1.0,401,0,401,ok_volume,36,0,36,505,0,505
1770774379,26,73,0,36,0,36,low_activity,0,36,0,36,low_activity,0,313,0,313,low_activity,0,0,0,505,0,505
1770774380,26,73,0,104,0,104,low_activity,0,104,0,104,low_activity,1.0,381,0,381,ok_volume,68,0,68,573,0,573
1770774381,26,73,0,85,0,85,low_activity,0,121,0,121,low_activity,1.0,398,0,398,ok_volume,17,0,17,590,0,590
1770774382,26,73,0,85,0,85,low_activity,0,121,0,121,low_activity,1.0,332,0,332,ok_volume,0,0,0,522,0,522
1770774383,26,73,0,17,0,17,low_activity,0,85,0,85,low_activity,1.0,332,0,332,ok_volume,0,0,0,522,0,522
1770774384,26,73,0,0,0,0,no_volume,0,85,0,85,low_activity,1.0,332,0,332,ok_volume,0,0,0,522,0,522
1770774385,26,73,0,10,0,10,low_activity,0,27,0,27,low_activity,1.0,342,0,342,ok_volume,10,0,10,532,0,532
1770774386,26,73,0,10,0,10,low_activity,0,10,0,10,low_activity,1.0,342,0,342,ok_volume,0,0,0,532,0,532
1770774387,26,73,0,10,0,10,low_activity,0,10,0,10,low_activity,1.0,342,0,342,ok_volume,0,0,0,513,0,513
1770774388,26,73,0,0,0,0,no_volume,0,10,0,10,low_activity,1.0,342,0,342,ok_volume,0,0,0,513,0,513
1770774389,26,73,0,35,0,35,low_activity,0,45,0,45,low_activity,1.0,377,0,377,ok_volume,35,0,35,548,0,548
1770774390,26,73,0,35,0,35,low_activity,0,35,0,35,low_activity,1.0,377,0,377,ok_volume,0,0,0,548,0,548
1770774391,26,73,0,724,0,724,low_activity,0,724,0,724,low_activity,1.0,1066,0,1066,ok_volume,689,0,689,1237,0,1237
1770774392,26,73,0,689,0,689,low_activity,0,724,0,724,low_activity,1.0,1066,0,1066,ok_volume,0,0,0,1220,0,1220
1770774393,26,73,0,689,0,689,low_activity,0,724,0,724,low_activity,1.0,1066,0,1066,ok_volume,0,0,0,1220,0,1220
1770774394,26,73,0,0,0,0,no_volume,0,689,0,689,low_activity,1.0,1066,0,1066,ok_volume,0,0,0,1220,0,1220
1770774395,26,73,0,0,0,0,no_volume,0,689,0,689,low_activity,1.0,1066,0,1066,ok_volume,0,0,0,1220,0,1220
1770774396,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774397,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774398,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774399,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774400,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774401,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774402,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,890,0,890,ok_volume,0,0,0,1220,0,1220
1770774403,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,855,0,855,ok_volume,0,0,0,1220,0,1220
1770774404,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,855,0,855,ok_volume,0,0,0,1220,0,1220
1770774405,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,855,0,855,ok_volume,0,0,0,1220,0,1220
1770774406,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,855,0,855,ok_volume,0,0,0,1220,0,1220
1770774407,26,73,0,100,0,100,low_activity,0,100,0,100,low_activity,1.0,955,0,955,ok_volume,100,0,100,1320,0,1320
1770774408,26,73,0,100,0,100,low_activity,0,100,0,100,low_activity,1.0,919,0,919,ok_volume,0,0,0,1320,0,1320
1770774409,26,73,0,100,0,100,low_activity,0,100,0,100,low_activity,1.0,919,0,919,ok_volume,0,0,0,1232,0,1232
1770774410,26,73,0,0,0,0,no_volume,0,100,0,100,low_activity,1.0,851,0,851,ok_volume,0,0,0,1232,0,1232
1770774411,26,73,0,0,0,0,no_volume,0,100,0,100,low_activity,0,834,0,834,low_activity,0,0,0,1232,0,1232
1770774412,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,834,0,834,low_activity,0,0,0,1166,0,1166
1770774413,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,834,0,834,low_activity,0,0,0,1166,0,1166
1770774414,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,834,0,834,low_activity,0,0,0,1166,0,1166
1770774415,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,824,0,824,low_activity,0,0,0,1166,0,1166
1770774416,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,824,0,824,low_activity,0,0,0,1166,0,1166
1770774417,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,824,0,824,low_activity,0,0,0,1166,0,1166
1770774418,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,824,0,824,low_activity,0,0,0,1166,0,1166
1770774419,26,73,0,17,0,17,low_activity,0,17,0,17,low_activity,0,806,0,806,low_activity,17,0,17,1183,0,1183
1770774420,26,73,0,17,0,17,low_activity,0,17,0,17,low_activity,0,806,0,806,low_activity,0,0,0,1183,0,1183
1770774421,26,73,0,17,0,17,low_activity,0,17,0,17,low_activity,0,117,0,117,low_activity,0,0,0,1183,0,1183
1770774422,26,73,0,0,0,0,no_volume,0,17,0,17,low_activity,0,117,0,117,low_activity,0,0,0,1183,0,1183
1770774423,26,73,0,0,0,0,no_volume,0,17,0,17,low_activity,0,117,0,117,low_activity,0,0,0,1183,0,1183
1770774424,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,117,0,117,low_activity,0,0,0,1183,0,1183
1770774425,26,73,0,10,0,10,low_activity,0,10,0,10,low_activity,0,127,0,127,low_activity,10,0,10,1193,0,1193
1770774426,26,73,0,10,0,10,low_activity,0,10,0,10,low_activity,0,127,0,127,low_activity,0,0,0,1017,0,1017
1770774427,26,73,0,10,0,10,low_activity,0,10,0,10,low_activity,0,127,0,127,low_activity,0,0,0,1017,0,1017
1770774428,26,73,0,0,0,0,low_activity,0,10,0,10,low_activity,0,127,0,127,low_activity,0,8,8,1017,8,1025
1770774429,26,73,0,0,0,0,low_activity,0,10,0,10,low_activity,0,127,0,127,low_activity,0,0,0,1017,8,1025
1770774430,26,73,0,0,0,0,low_activity,0,0,0,0,low_activity,0,127,0,127,low_activity,0,0,0,1017,8,1025
1770774431,26,73,0,0,0,0,no_volume,0,0,0,0,low_activity,0,127,0,127,low_activity,0,0,0,1017,8,1025
1770774432,26,73,0,0,0,0,no_volume,0,0,0,0,low_activity,0,127,0,127,low_activity,0,0,0,1017,8,1025
1770774433,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,127,0,127,low_activity,0,0,0,982,8,990
1770774434,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,127,0,127,low_activity,0,0,0,982,8,990
1770774435,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,127,0,127,low_activity,0,0,0,982,8,990
1770774436,26,73,0,16,0,16,low_activity,0,16,0,16,low_activity,0,143,0,143,low_activity,16,0,16,998,8,1006
1770774437,26,73,0,16,0,16,low_activity,0,16,0,16,low_activity,0,43,0,43,low_activity,0,0,0,998,8,1006
1770774438,26,73,0,16,0,16,low_activity,0,16,0,16,low_activity,0,43,0,43,low_activity,0,0,0,962,8,970
1770774439,26,73,0,0,0,0,no_volume,0,16,0,16,low_activity,0,43,0,43,low_activity,0,0,0,962,8,970
1770774440,26,73,0,0,0,0,no_volume,0,16,0,16,low_activity,0,43,0,43,low_activity,0,0,0,894,8,902
1770774441,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,877,8,885
1770774442,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,877,8,885
1770774443,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,877,8,885
1770774444,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,877,8,885
1770774445,26,73,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,867,8,875
