ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770853501,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853502,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853503,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853504,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853505,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853506,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853507,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853508,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770853509,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,23,0,23,low_activity,23,0,23,23,0,23
1770853510,19,80,0,68,0,68,low_activity,0,68,0,68,low_activity,0,68,0,68,low_activity,45,0,45,68,0,68
1770853511,19,80,0,68,0,68,low_activity,0,68,0,68,low_activity,0,68,0,68,low_activity,0,0,0,68,0,68
1770853512,19,80,0,66,0,66,low_activity,0,89,0,89,low_activity,0,89,0,89,low_activity,21,0,21,89,0,89
1770853513,19,80,0,21,0,21,low_activity,0,89,0,89,low_activity,0,89,0,89,low_activity,0,0,0,89,0,89
1770853514,19,80,0,21,0,21,low_activity,0,66,0,66,low_activity,0,89,0,89,low_activity,0,0,0,89,0,89
1770853515,19,80,0,0,0,0,no_volume,0,21,0,21,low_activity,0,89,0,89,low_activity,0,0,0,89,0,89
1770853516,19,80,0,0,0,0,no_volume,0,21,0,21,low_activity,0,89,0,89,low_activity,0,0,0,89,0,89
1770853517,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,89,0,89,low_activity,0,0,0,89,0,89
1770853518,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,89,0,89,low_activity,0,0,0,89,0,89
1770853519,19,80,0,55,0,55,low_activity,0,55,0,55,low_activity,0,144,0,144,low_activity,55,0,55,144,0,144
1770853520,19,80,0,55,0,55,low_activity,0,55,0,55,low_activity,0,144,0,144,low_activity,0,0,0,144,0,144
1770853521,19,80,0,55,0,55,low_activity,0,55,0,55,low_activity,0,144,0,144,low_activity,0,0,0,144,0,144
1770853522,19,80,0,0,0,0,no_volume,0,55,0,55,low_activity,0,144,0,144,low_activity,0,0,0,144,0,144
1770853523,19,80,0,0,0,0,no_volume,0,55,0,55,low_activity,0,144,0,144,low_activity,0,0,0,144,0,144
1770853524,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,144,0,144,low_activity,0,0,0,144,0,144
1770853525,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,144,0,144,low_activity,0,0,0,144,0,144
1770853526,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,167,0,167,low_total_volume,23,0,23,167,0,167
1770853527,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853528,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853529,19,80,0,0,0,0,no_volume,0,23,0,23,low_activity,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853530,19,80,0,0,0,0,no_volume,0,23,0,23,low_activity,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853531,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853532,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853533,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853534,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,0,167,0,167,low_total_volume,0,0,0,167,0,167
1770853535,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,190,0,190,low_total_volume,23,0,23,190,0,190
1770853536,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,190,0,190,low_total_volume,0,0,0,190,0,190
1770853537,19,80,0,23,0,23,low_activity,0,23,0,23,low_activity,0,190,0,190,low_total_volume,0,0,0,190,0,190
1770853538,19,80,0,472,0,472,low_activity,0,495,0,495,low_activity,1.0,662,0,662,ok_volume,472,0,472,662,0,662
1770853539,19,80,0,472,0,472,low_activity,0,495,0,495,low_activity,1.0,639,0,639,ok_volume,0,0,0,662,0,662
1770853540,19,80,0,472,0,472,low_activity,0,472,0,472,low_activity,1.0,594,0,594,ok_volume,0,0,0,662,0,662
1770853541,19,80,0,0,0,0,no_volume,0,472,0,472,low_activity,1.0,594,0,594,ok_volume,0,0,0,662,0,662
1770853542,19,80,0,0,0,0,no_volume,0,472,0,472,low_activity,1.0,573,0,573,ok_volume,0,0,0,662,0,662
1770853543,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,573,0,573,ok_volume,0,0,0,662,0,662
1770853544,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,573,0,573,ok_volume,0,0,0,662,0,662
1770853545,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,573,0,573,ok_volume,0,0,0,662,0,662
1770853546,19,80,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,573,0,573,ok_volume,0,0,0,662,0,662
1770853547,19,80,0,21,0,21,low_activity,0,21,0,21,low_activity,1.0,594,0,594,ok_volume,21,0,21,683,0,683
