ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1770950700,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770950702,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770950703,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770950704,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1770950705,69,30,0,0,672,672,low_activity,0,0,672,672,low_activity,0,0,672,672,low_activity,0,672,672,0,672,672
1770950706,69,30,0,290,672,962,low_activity,0,290,672,962,low_activity,0,290,672,962,low_activity,290,0,290,290,672,962
1770950707,69,30,0,509,672,1181,low_activity,0,509,672,1181,low_activity,0,509,672,1181,low_activity,219,0,219,509,672,1181
1770950708,69,30,0,509,0,509,low_activity,0,509,672,1181,low_activity,0,509,672,1181,low_activity,0,0,0,509,672,1181
1770950709,69,30,0,219,0,219,low_activity,0,509,672,1181,low_activity,0,509,672,1181,low_activity,0,0,0,509,672,1181
1770950710,69,30,0,0,0,0,no_volume,0,509,0,509,low_activity,0,509,672,1181,low_activity,0,0,0,509,672,1181
1770950711,69,30,0,68,0,68,low_activity,0,287,0,287,low_activity,-0.076,577,672,1249,ok_volume,68,0,68,577,672,1249
1770950712,69,30,0,68,0,68,low_activity,0,68,0,68,low_activity,-0.076,577,672,1249,ok_volume,0,0,0,577,672,1249
1770950713,69,30,0,117,0,117,low_activity,0,117,0,117,low_activity,-0.035,626,672,1298,ok_volume,49,0,49,626,672,1298
1770950714,69,30,0,49,0,49,low_activity,0,117,0,117,low_activity,-0.035,626,672,1298,ok_volume,0,0,0,626,672,1298
1770950715,69,30,0,49,0,49,low_activity,0,117,0,117,low_activity,-0.035,626,672,1298,ok_volume,0,0,0,626,672,1298
1770950716,69,30,0,27,0,27,low_activity,0,76,0,76,low_activity,-0.014,653,672,1325,ok_volume,27,0,27,653,672,1325
1770950717,69,30,0,1147,0,1147,low_activity,0,1196,0,1196,low_activity,0.45,1773,672,2445,ok_volume,1120,0,1120,1773,672,2445
1770950718,69,30,0,1147,0,1147,low_activity,0,1147,0,1147,low_activity,0.45,1773,672,2445,ok_volume,0,0,0,1773,672,2445
1770950719,69,30,0,1120,0,1120,low_activity,0,1147,0,1147,low_activity,0.45,1773,672,2445,ok_volume,0,0,0,1773,672,2445
1770950720,69,30,0,0,0,0,no_volume,0,1147,0,1147,low_activity,0.45,1773,672,2445,ok_volume,0,0,0,1773,672,2445
1770950721,69,30,0,13,0,13,low_activity,0,1133,0,1133,low_activity,0.453,1786,672,2458,ok_volume,13,0,13,1786,672,2458
1770950722,69,30,0,13,0,13,low_activity,0,13,0,13,low_activity,0.453,1786,672,2458,ok_volume,0,0,0,1786,672,2458
1770950723,69,30,0,13,0,13,low_activity,0,13,0,13,low_activity,0.453,1786,672,2458,ok_volume,0,0,0,1786,672,2458
1770950724,69,30,0,20,0,20,low_activity,0,33,0,33,low_activity,0.458,1806,672,2478,ok_volume,20,0,20,1806,672,2478
1770950725,69,30,0,53,0,53,low_activity,0,66,0,66,low_activity,0.465,1839,672,2511,ok_volume,33,0,33,1839,672,2511
1770950726,69,30,0,53,0,53,low_activity,0,53,0,53,low_activity,0.465,1839,672,2511,ok_volume,4,0,4,1843,672,2515
1770950727,69,30,0,33,0,33,low_activity,0,53,0,53,low_activity,0.465,1839,672,2511,ok_volume,0,0,0,1843,672,2515
1770950728,69,30,0,750,0,750,low_activity,0,803,0,803,low_activity,0.588,2589,672,3261,ok_volume,750,0,750,2593,672,3265
1770950729,69,30,0,750,0,750,low_activity,0,783,0,783,low_activity,0.588,2589,672,3261,ok_volume,0,0,0,2593,672,3265
1770950730,69,30,0,787,0,787,low_activity,0,787,0,787,low_activity,0.592,2626,672,3298,ok_volume,37,0,37,2630,672,3302
1770950731,69,30,0,246,0,246,low_activity,0,996,0,996,low_activity,0.617,2835,672,3507,ok_volume,209,0,209,2839,672,3511
1770950732,69,30,0,246,0,246,low_activity,0,996,0,996,low_activity,0.617,2835,672,3507,ok_volume,0,0,0,2839,672,3511
1770950733,69,30,0,209,0,209,low_activity,0,246,0,246,low_activity,0.617,2835,672,3507,ok_volume,9,0,9,2848,672,3520
