ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1771722900,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771722902,60,39,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,1276,0,1276,1276,0,1276
1771722903,60,39,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,0,0,1276,0,1276
1771722904,60,39,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,0,0,1276,0,1276
1771722905,60,39,0,0,0,0,no_volume,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,0,0,1276,0,1276
1771722906,60,39,0,0,0,0,no_volume,0,1276,0,1276,low_activity,0,1276,0,1276,low_activity,0,0,0,1276,0,1276
1771722907,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1276,0,1276,low_activity,0,0,0,1276,0,1276
1771722908,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1276,0,1276,low_activity,0,0,0,1276,0,1276
1771722909,60,39,0,55,0,55,low_activity,0,55,0,55,low_activity,0,1331,0,1331,low_activity,55,0,55,1331,0,1331
1771722910,60,39,0,55,0,55,low_activity,0,55,0,55,low_activity,0,1331,0,1331,low_activity,0,0,0,1331,0,1331
1771722911,60,39,0,55,0,55,low_activity,0,55,0,55,low_activity,0,1331,0,1331,low_activity,0,0,0,1331,0,1331
1771722912,60,39,0,63,0,63,low_activity,0,118,0,118,low_activity,0,1394,0,1394,low_activity,63,0,63,1394,0,1394
1771722913,60,39,0,63,0,63,low_activity,0,118,0,118,low_activity,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722914,60,39,0,63,0,63,low_activity,0,63,0,63,low_activity,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722915,60,39,0,0,0,0,no_volume,0,63,0,63,low_activity,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722916,60,39,0,0,0,0,no_volume,0,63,0,63,low_activity,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722917,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722918,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722919,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722920,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722921,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722922,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722923,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722924,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722925,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722926,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722927,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722928,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722929,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722930,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722931,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1394,0,1394,low_activity,0,0,0,1394,0,1394
1771722932,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,118,0,118,low_activity,0,0,0,1394,0,1394
1771722933,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,118,0,118,low_activity,0,0,0,1394,0,1394
1771722934,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,118,0,118,low_activity,0,0,0,1394,0,1394
1771722935,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,118,0,118,low_activity,0,0,0,1394,0,1394
1771722936,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0,118,0,118,low_activity,0,0,0,1394,0,1394
1771722937,60,39,0,17,0,17,low_activity,0,17,0,17,low_activity,0,135,0,135,low_activity,17,0,17,1411,0,1411
1771722938,60,39,0,17,100,117,low_activity,0,17,100,117,low_activity,0,135,100,235,low_total_volume,0,100,100,1411,100,1511
1771722939,60,39,0,17,100,117,low_activity,0,17,100,117,low_activity,0,80,100,180,low_activity,0,0,0,1411,100,1511
1771722940,60,39,0,0,100,100,low_activity,0,17,100,117,low_activity,0,80,100,180,low_activity,0,0,0,1411,100,1511
1771722941,60,39,0,159,0,159,low_activity,0,176,100,276,low_activity,0.41,239,100,339,ok_volume,159,0,159,1570,100,1670
1771722942,60,39,0,159,0,159,low_activity,0,159,100,259,low_activity,0,176,100,276,low_activity,0,0,0,1570,100,1670
1771722943,60,39,0,159,0,159,low_activity,0,159,0,159,low_activity,0,176,100,276,low_activity,0,0,0,1570,100,1670
1771722944,60,39,0,0,0,0,no_volume,0,159,0,159,low_activity,0,176,100,276,low_activity,0,0,0,1570,100,1670
1771722945,60,39,0,0,0,0,no_volume,0,159,0,159,low_activity,0,176,100,276,low_activity,0,0,0,1570,100,1670
1771722946,60,39,0,15,0,15,low_activity,0,15,0,15,low_activity,0,191,100,291,low_total_volume,15,0,15,1585,100,1685
1771722947,60,39,0,15,0,15,low_activity,0,15,0,15,low_activity,0,191,100,291,low_total_volume,0,0,0,1585,100,1685
1771722948,60,39,0,30,0,30,low_activity,0,30,0,30,low_activity,0.346,206,100,306,ok_volume,15,0,15,1600,100,1700
1771722949,60,39,0,15,0,15,low_activity,0,30,0,30,low_activity,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722950,60,39,0,15,0,15,low_activity,0,30,0,30,low_activity,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722951,60,39,0,0,0,0,no_volume,0,15,0,15,low_activity,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722952,60,39,0,0,0,0,no_volume,0,15,0,15,low_activity,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722953,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722954,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722955,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722956,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722957,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
1771722958,60,39,0,0,0,0,no_volume,0,0,0,0,no_volume,0.346,206,100,306,ok_volume,0,0,0,1600,100,1700
