ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1771987500,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987502,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987503,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987504,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987505,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987506,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987507,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987508,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987509,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987510,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987511,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987512,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987513,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987514,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987515,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987516,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987517,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987518,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987519,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987520,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987521,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987522,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987523,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987524,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987525,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987526,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987527,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771987528,31,68,0,29,0,29,low_activity,0,29,0,29,low_activity,0,29,0,29,low_activity,29,0,29,29,0,29
1771987529,31,68,0,29,0,29,low_activity,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,29,0,29
1771987530,31,68,0,29,0,29,low_activity,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,29,0,29
1771987531,31,68,0,0,0,0,no_volume,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,29,0,29
1771987532,31,68,0,0,0,0,no_volume,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,29,0,29
1771987533,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,29,0,29
1771987534,31,68,0,0,239,239,low_activity,0,0,239,239,low_activity,0,29,239,268,low_activity,0,239,239,29,239,268
1771987535,31,68,0,0,239,239,low_activity,0,0,239,239,low_activity,0,29,239,268,low_activity,0,0,0,29,239,268
1771987536,31,68,0,0,239,239,low_activity,0,0,239,239,low_activity,0,29,239,268,low_activity,0,0,0,29,239,268
1771987537,31,68,0,0,0,0,no_volume,0,0,239,239,low_activity,0,29,239,268,low_activity,0,0,0,29,239,268
1771987538,31,68,0,0,0,0,no_volume,0,0,239,239,low_activity,0,29,239,268,low_activity,0,0,0,29,239,268
1771987539,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987540,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987541,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987542,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987543,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987544,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987545,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,239,268,low_activity,0,0,0,29,239,268
1771987546,31,68,0,0,25,25,low_activity,0,0,25,25,low_activity,0,29,264,293,low_activity,0,25,25,29,264,293
1771987547,31,68,0,0,25,25,low_activity,0,0,25,25,low_activity,0,29,264,293,low_activity,0,0,0,29,264,293
1771987548,31,68,0,0,25,25,low_activity,0,0,25,25,low_activity,0,29,264,293,low_activity,0,0,0,29,264,293
1771987549,31,68,0,0,0,0,no_volume,0,0,25,25,low_activity,0,29,264,293,low_activity,0,0,0,29,264,293
1771987550,31,68,0,0,0,0,no_volume,0,0,25,25,low_activity,0,29,264,293,low_activity,0,0,0,29,264,293
1771987551,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987552,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987553,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987554,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987555,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987556,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987557,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,264,293,low_activity,0,0,0,29,264,293
1771987558,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,264,264,low_activity,0,0,0,29,264,293
1771987559,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,264,264,low_activity,0,0,0,29,264,293
1771987560,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,264,264,low_activity,0,0,0,29,264,293
1771987561,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,264,264,low_activity,0,0,0,29,264,293
1771987562,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,264,264,low_activity,0,0,0,29,264,293
1771987563,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,264,264,low_activity,0,0,0,29,264,293
1771987564,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,25,25,low_activity,0,0,0,29,264,293
1771987565,31,68,0,294,0,294,low_activity,0,294,0,294,low_activity,0,294,25,319,low_activity,294,0,294,323,264,587
1771987566,31,68,0,294,0,294,low_activity,0,294,0,294,low_activity,0,294,25,319,low_activity,0,0,0,323,264,587
1771987567,31,68,0,294,0,294,low_activity,0,294,0,294,low_activity,0,294,25,319,low_activity,0,0,0,323,264,587
1771987568,31,68,0,0,0,0,no_volume,0,294,0,294,low_activity,0,294,25,319,low_activity,0,0,0,323,264,587
1771987569,31,68,0,0,0,0,no_volume,0,294,0,294,low_activity,0,294,25,319,low_activity,0,0,0,323,264,587
1771987570,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,25,319,low_activity,0,0,0,323,264,587
1771987571,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,25,319,low_activity,0,0,0,323,264,587
1771987572,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,25,319,low_activity,0,0,0,323,264,587
1771987573,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,25,319,low_activity,0,0,0,323,264,587
1771987574,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,25,319,low_activity,0,0,0,323,264,587
1771987575,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,25,319,low_activity,0,0,0,323,264,587
1771987576,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987577,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987578,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987579,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987580,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987581,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987582,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987583,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987584,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987585,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987586,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987587,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,323,264,587
1771987588,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,294,264,558
1771987589,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,294,264,558
1771987590,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,294,264,558
1771987591,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,294,264,558
1771987592,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,294,264,558
1771987593,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,294,0,294,low_activity,0,0,0,294,264,558
1771987594,31,68,0,44,0,44,low_activity,0,44,0,44,low_activity,0,338,0,338,low_activity,44,0,44,338,25,363
1771987595,31,68,0,44,0,44,low_activity,0,44,0,44,low_activity,0,44,0,44,low_activity,0,0,0,338,25,363
1771987596,31,68,0,163,0,163,low_activity,0,163,0,163,low_activity,0,163,0,163,low_activity,119,0,119,457,25,482
1771987597,31,68,0,119,0,119,low_activity,0,163,0,163,low_activity,0,163,0,163,low_activity,0,0,0,459,25,484
1771987598,31,68,0,119,0,119,low_activity,0,163,0,163,low_activity,0,163,0,163,low_activity,0,0,0,459,25,484
1771987599,31,68,0,0,0,0,no_volume,0,119,0,119,low_activity,0,163,0,163,low_activity,0,0,0,459,25,484
1771987600,31,68,0,0,0,0,no_volume,0,119,0,119,low_activity,0,163,0,163,low_activity,0,0,0,459,25,484
1771987601,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,25,484
1771987602,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,25,484
1771987603,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,25,484
1771987604,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,25,484
1771987605,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,25,484
1771987606,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987607,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987608,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987609,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987610,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987611,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987612,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987613,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987614,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987615,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987616,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,459,0,459
1771987617,31,68,0,0,0,0,low_activity,0,0,0,0,low_activity,0,163,0,163,low_activity,3,0,3,462,0,462
1771987618,31,68,0,0,0,0,low_activity,0,0,0,0,low_activity,0,163,0,163,low_activity,0,0,0,462,0,462
1771987619,31,68,0,0,0,0,low_activity,0,0,0,0,low_activity,0,163,0,163,low_activity,0,0,0,462,0,462
1771987620,31,68,0,0,0,0,no_volume,0,0,0,0,low_activity,0,163,0,163,low_activity,0,0,0,462,0,462
1771987621,31,68,0,0,0,0,no_volume,0,0,0,0,low_activity,0,163,0,163,low_activity,0,0,0,462,0,462
1771987622,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,462,0,462
1771987623,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,163,0,163,low_activity,0,0,0,462,0,462
1771987624,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,119,0,119,low_activity,0,0,0,462,0,462
1771987625,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,119,0,119,low_activity,0,0,0,168,0,168
1771987626,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,168,0,168
1771987627,31,68,0,29,0,29,low_activity,0,29,0,29,low_activity,0,29,0,29,low_activity,29,0,29,197,0,197
1771987628,31,68,0,29,0,29,low_activity,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,197,0,197
1771987629,31,68,0,29,0,29,low_activity,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,197,0,197
1771987630,31,68,0,0,0,0,no_volume,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,197,0,197
1771987631,31,68,0,0,0,0,no_volume,0,29,0,29,low_activity,0,29,0,29,low_activity,0,0,0,197,0,197
1771987632,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987633,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987634,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987635,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987636,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987637,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987638,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987639,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987640,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987641,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987642,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987643,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987644,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987645,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
1771987646,31,68,0,0,0,0,no_volume,0,0,0,0,no_volume,0,29,0,29,low_activity,0,0,0,197,0,197
