ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1771978500,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771978502,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771978503,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771978504,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1771978505,15,84,0,115,0,115,low_activity,0,115,0,115,low_activity,0,115,0,115,low_activity,115,0,115,115,0,115
1771978506,15,84,0,115,0,115,low_activity,0,115,0,115,low_activity,0,115,0,115,low_activity,0,0,0,115,0,115
1771978507,15,84,0,136,0,136,low_activity,0,136,0,136,low_activity,0,136,0,136,low_activity,21,0,21,136,0,136
1771978508,15,84,0,21,0,21,low_activity,0,136,0,136,low_activity,0,136,0,136,low_activity,0,0,0,136,0,136
1771978509,15,84,0,21,0,21,low_activity,0,136,0,136,low_activity,0,136,0,136,low_activity,0,0,0,136,0,136
1771978510,15,84,0,0,0,0,no_volume,0,21,0,21,low_activity,0,136,0,136,low_activity,0,0,0,136,0,136
1771978511,15,84,0,0,0,0,no_volume,0,21,0,21,low_activity,0,136,0,136,low_activity,0,0,0,136,0,136
1771978512,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,136,0,136,low_activity,0,0,0,136,0,136
1771978513,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,136,0,136,low_activity,0,0,0,136,0,136
1771978514,15,84,0,0,0,0,no_volume,0,0,0,0,no_volume,0,136,0,136,low_activity,0,0,0,136,0,136
1771978515,15,84,0,22,0,22,low_activity,0,22,0,22,low_activity,0,158,0,158,low_activity,22,0,22,158,0,158
