ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1772156700,32,67,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772156702,32,67,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772156703,32,67,0,1428,0,1428,low_activity,0,1428,0,1428,low_activity,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156704,32,67,0,1428,0,1428,low_activity,0,1428,0,1428,low_activity,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156705,32,67,0,0,0,0,no_volume,0,1428,0,1428,low_activity,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156706,32,67,0,0,0,0,no_volume,0,1428,0,1428,low_activity,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156707,32,67,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156708,32,67,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156709,32,67,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156710,32,67,0,0,0,0,no_volume,0,0,0,0,no_volume,0,1428,0,1428,low_activity,0,0,0,1428,0,1428
1772156711,32,67,0,71,0,71,low_activity,0,71,0,71,low_activity,1.0,1499,0,1499,ok_volume,71,0,71,1499,0,1499
1772156712,31,67,0,71,0,71,low_activity,0,71,0,71,low_activity,1.0,1499,0,1499,ok_volume,0,0,0,1499,0,1499
1772156713,31,67,0,71,0,71,low_activity,0,71,0,71,low_activity,1.0,1499,0,1499,ok_volume,0,0,0,1499,0,1499
1772156714,31,67,0,0,0,0,no_volume,0,71,0,71,low_activity,1.0,1499,0,1499,ok_volume,0,0,0,1499,0,1499
1772156715,31,67,0,0,0,0,no_volume,0,71,0,71,low_activity,1.0,1499,0,1499,ok_volume,0,0,0,1499,0,1499
1772156716,31,67,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1499,0,1499,ok_volume,0,0,0,1499,0,1499
1772156717,31,67,0,28,0,28,low_activity,0,28,0,28,low_activity,1.0,1527,0,1527,ok_volume,28,0,28,1527,0,1527
1772156718,31,67,0,28,0,28,low_activity,0,28,0,28,low_activity,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
1772156719,31,67,0,28,0,28,low_activity,0,28,0,28,low_activity,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
1772156720,31,67,0,0,0,0,no_volume,0,28,0,28,low_activity,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
1772156721,31,67,0,0,0,0,no_volume,0,28,0,28,low_activity,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
1772156722,31,67,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
1772156723,31,67,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
1772156724,31,67,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1527,0,1527,ok_volume,0,0,0,1527,0,1527
