ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1772244900,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244902,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244903,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244904,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244905,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244906,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244907,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772244908,69,30,0,294,0,294,low_activity,0,294,0,294,low_activity,0,294,0,294,low_activity,294,0,294,294,0,294
1772244909,69,30,0,321,0,321,low_activity,0,321,0,321,low_activity,0,321,0,321,low_activity,27,0,27,321,0,321
1772244910,69,30,0,321,0,321,low_activity,0,321,0,321,low_activity,0,321,0,321,low_activity,0,0,0,321,0,321
1772244911,69,30,0,27,0,27,low_activity,0,321,0,321,low_activity,0,321,0,321,low_activity,0,0,0,321,0,321
1772244912,69,30,0,0,0,0,no_volume,0,321,0,321,low_activity,0,321,0,321,low_activity,0,0,0,321,0,321
1772244913,69,30,0,0,0,0,no_volume,0,27,0,27,low_activity,0,321,0,321,low_activity,0,0,0,321,0,321
1772244914,69,30,0,0,0,0,no_volume,0,0,0,0,no_volume,0,321,0,321,low_activity,0,0,0,321,0,321
1772244915,69,30,0,349,0,349,low_activity,0,349,0,349,low_activity,0,670,0,670,low_activity,349,0,349,670,0,670
