ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1769048100,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769048102,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769048104,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769048105,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769048106,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769048107,17,82,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,3000,0,3000,3000,0,3000
1769048108,17,82,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,0,0,3000,0,3000
1769048109,17,82,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,0,0,3000,0,3000
1769048110,17,82,0,0,0,0,no_volume,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,0,0,3000,0,3000
1769048111,17,82,0,0,0,0,no_volume,0,3000,0,3000,low_activity,0,3000,0,3000,low_activity,0,0,0,3000,0,3000
1769048112,17,82,0,119,0,119,low_activity,0,119,0,119,low_activity,0,3119,0,3119,low_activity,119,0,119,3119,0,3119
1769048113,17,82,0,119,0,119,low_activity,0,119,0,119,low_activity,0,3119,0,3119,low_activity,0,0,0,3119,0,3119
1769048115,17,82,0,0,0,0,no_volume,0,119,0,119,low_activity,0,3119,0,3119,low_activity,0,0,0,3119,0,3119
1769048116,17,82,0,0,0,0,no_volume,0,119,0,119,low_activity,0,3119,0,3119,low_activity,0,0,0,3119,0,3119
1769048117,17,82,0,105,0,105,low_activity,0,105,0,105,low_activity,0,3224,0,3224,low_activity,105,0,105,3224,0,3224
1769048118,17,82,0,105,0,105,low_activity,0,105,0,105,low_activity,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048119,17,82,0,105,0,105,low_activity,0,105,0,105,low_activity,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048120,17,82,0,0,0,0,no_volume,0,105,0,105,low_activity,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048121,17,82,0,0,0,0,no_volume,0,105,0,105,low_activity,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048122,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048123,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048124,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048125,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048126,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048127,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048128,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048129,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3224,0,3224,low_activity,0,0,0,3224,0,3224
1769048132,17,82,0,175,0,175,low_activity,0,175,0,175,low_activity,1.0,3399,0,3399,ok_volume,50,0,50,3399,0,3399
1769048133,17,82,0,50,0,50,low_activity,0,175,0,175,low_activity,1.0,3399,0,3399,ok_volume,0,0,0,3399,0,3399
1769048134,17,82,0,50,0,50,low_activity,0,175,0,175,low_activity,1.0,3399,0,3399,ok_volume,0,0,0,3399,0,3399
1769048135,17,82,0,0,0,0,low_activity,0,50,0,50,low_activity,1.0,3399,0,3399,ok_volume,4,0,4,3403,0,3403
1769048136,17,82,0,0,0,0,low_activity,0,50,0,50,low_activity,1.0,3399,0,3399,ok_volume,0,0,0,3403,0,3403
1769048137,17,82,0,0,0,0,low_activity,0,0,0,0,low_activity,0,399,0,399,low_activity,0,0,0,3403,0,3403
1769048138,17,82,0,0,0,0,no_volume,0,0,0,0,low_activity,0,399,0,399,low_activity,0,0,0,3403,0,3403
1769048139,17,82,0,0,0,0,no_volume,0,0,0,0,low_activity,0,399,0,399,low_activity,0,0,0,3403,0,3403
1769048140,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,399,0,399,low_activity,0,0,0,3403,0,3403
1769048141,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,399,0,399,low_activity,0,0,0,3403,0,3403
1769048142,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,280,0,280,low_activity,0,0,0,3403,0,3403
1769048143,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,280,0,280,low_activity,0,0,0,3403,0,3403
1769048144,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,280,0,280,low_activity,0,0,0,3403,0,3403
1769048145,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,280,0,280,low_activity,0,0,0,3403,0,3403
1769048146,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,280,0,280,low_activity,0,0,0,3403,0,3403
1769048147,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,175,0,175,low_activity,0,0,0,3403,0,3403
1769048148,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,175,0,175,low_activity,0,0,0,3403,0,3403
1769048149,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,175,0,175,low_activity,0,0,0,3403,0,3403
1769048150,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,175,0,175,low_activity,0,0,0,3403,0,3403
1769048151,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,175,0,175,low_activity,0,0,0,3403,0,3403
1769048152,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,175,0,175,low_activity,0,0,0,3403,0,3403
1769048153,17,82,0,105,0,105,low_activity,0,105,0,105,low_activity,0,280,0,280,low_activity,0,0,0,3508,0,3508
1769048154,17,82,0,105,0,105,low_activity,0,105,0,105,low_activity,0,280,0,280,low_activity,0,0,0,3508,0,3508
1769048155,17,82,0,100,0,100,low_activity,0,205,0,205,low_activity,0,380,0,380,low_activity,100,0,100,3608,0,3608
1769048156,17,82,0,100,0,100,low_activity,0,205,0,205,low_activity,0,380,0,380,low_activity,0,0,0,3608,0,3608
1769048157,17,82,0,100,0,100,low_activity,0,100,0,100,low_activity,0,380,0,380,low_activity,0,0,0,3608,0,3608
1769048158,17,82,0,0,0,0,no_volume,0,100,0,100,low_activity,0,380,0,380,low_activity,0,0,0,3608,0,3608
1769048159,17,82,0,25,0,25,low_activity,0,125,0,125,low_activity,1.0,405,0,405,ok_volume,25,0,25,3633,0,3633
1769048160,17,82,0,25,0,25,low_activity,0,25,0,25,low_activity,0,280,0,280,low_activity,0,0,0,3633,0,3633
1769048161,17,82,0,25,0,25,low_activity,0,25,0,25,low_activity,0,280,0,280,low_activity,0,0,0,3633,0,3633
1769048162,17,82,0,0,0,0,no_volume,0,25,0,25,low_activity,0,230,0,230,low_activity,0,0,0,3633,0,3633
1769048164,17,82,0,525,0,525,low_activity,0,525,0,525,low_activity,0,755,0,755,low_activity,0,0,0,4158,0,4158
1769048165,17,82,0,525,0,525,low_activity,0,525,0,525,low_activity,0,755,0,755,low_activity,0,0,0,4158,0,4158
1769048166,17,82,0,0,0,0,no_volume,0,525,0,525,low_activity,0,755,0,755,low_activity,0,0,0,4158,0,4158
1769048167,17,82,0,0,0,0,no_volume,0,525,0,525,low_activity,0,755,0,755,low_activity,0,0,0,1158,0,1158
1769048168,17,82,0,362,0,362,low_activity,0,362,0,362,low_activity,1.0,1117,0,1117,ok_volume,362,0,362,1520,0,1520
1769048169,17,82,0,362,0,362,low_activity,0,362,0,362,low_activity,1.0,1117,0,1117,ok_volume,0,0,0,1520,0,1520
1769048170,17,82,0,362,0,362,low_activity,0,362,0,362,low_activity,1.0,1117,0,1117,ok_volume,0,0,0,1520,0,1520
1769048171,17,82,0,0,0,0,no_volume,0,362,0,362,low_activity,1.0,1117,0,1117,ok_volume,0,0,0,1520,0,1520
1769048172,17,82,0,0,0,0,no_volume,0,362,0,362,low_activity,1.0,1117,0,1117,ok_volume,0,0,0,1401,0,1401
1769048173,17,82,0,10,0,10,low_activity,0,10,0,10,low_activity,1.0,1127,0,1127,ok_volume,10,0,10,1411,0,1411
1769048174,17,82,0,10,0,10,low_activity,0,10,0,10,low_activity,1.0,1127,0,1127,ok_volume,0,0,0,1411,0,1411
1769048175,17,82,0,372,0,372,low_activity,0,372,0,372,low_activity,1.0,1489,0,1489,ok_volume,364,0,364,1775,0,1775
1769048176,17,82,0,362,0,362,low_activity,0,372,0,372,low_activity,1.0,1489,0,1489,ok_volume,0,0,0,1775,0,1775
1769048177,17,82,0,362,0,362,low_activity,0,372,0,372,low_activity,1.0,1489,0,1489,ok_volume,0,0,0,1670,0,1670
1769048178,17,82,0,48,0,48,low_activity,0,410,0,410,low_activity,1.0,1537,0,1537,ok_volume,48,0,48,1718,0,1718
1769048179,17,82,0,48,0,48,low_activity,0,410,0,410,low_activity,1.0,1537,0,1537,ok_volume,0,0,0,1718,0,1718
1769048180,17,82,0,100,0,100,low_activity,0,100,0,100,low_activity,1.0,1589,0,1589,ok_volume,52,0,52,1770,0,1770
1769048181,17,82,0,52,0,52,low_activity,0,100,0,100,low_activity,1.0,1589,0,1589,ok_volume,0,0,0,1770,0,1770
1769048182,17,82,0,52,0,52,low_activity,0,100,0,100,low_activity,1.0,1484,0,1484,ok_volume,0,0,0,1770,0,1770
1769048183,17,82,0,0,0,0,no_volume,0,52,0,52,low_activity,1.0,1484,0,1484,ok_volume,0,0,0,1770,0,1770
1769048184,17,82,0,0,0,0,no_volume,0,52,0,52,low_activity,1.0,1484,0,1484,ok_volume,0,0,0,1770,0,1770
1769048185,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1384,0,1384,ok_volume,0,0,0,1770,0,1770
1769048186,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1384,0,1384,ok_volume,0,0,0,1770,0,1770
1769048187,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1384,0,1384,ok_volume,0,0,0,1770,0,1770
1769048188,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1384,0,1384,ok_volume,0,0,0,1770,0,1770
1769048189,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1359,0,1359,ok_volume,0,0,0,1770,0,1770
1769048190,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1359,0,1359,ok_volume,0,0,0,1645,0,1645
1769048191,17,82,0,65,0,65,low_activity,0,65,0,65,low_activity,1.0,1424,0,1424,ok_volume,65,0,65,1710,0,1710
1769048192,17,82,0,65,0,65,low_activity,0,65,0,65,low_activity,1.0,1424,0,1424,ok_volume,0,0,0,1660,0,1660
1769048193,17,82,0,115,0,115,low_activity,0,115,0,115,low_activity,1.0,949,0,949,ok_volume,50,0,50,1710,0,1710
1769048194,17,82,0,50,0,50,low_activity,0,115,0,115,low_activity,1.0,949,0,949,ok_volume,0,0,0,1710,0,1710
1769048195,17,82,0,50,0,50,low_activity,0,115,0,115,low_activity,1.0,949,0,949,ok_volume,0,0,0,1706,0,1706
1769048196,17,82,0,0,0,0,no_volume,0,50,0,50,low_activity,1.0,949,0,949,ok_volume,0,0,0,1706,0,1706
1769048197,17,82,0,0,0,0,no_volume,0,50,0,50,low_activity,1.0,949,0,949,ok_volume,0,0,0,1706,0,1706
1769048198,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,587,0,587,ok_volume,0,0,0,1706,0,1706
1769048199,17,82,0,200,0,200,low_activity,0,200,0,200,low_activity,1.0,787,0,787,ok_volume,200,0,200,1906,0,1906
1769048200,17,82,0,200,0,200,low_activity,0,200,0,200,low_activity,1.0,787,0,787,ok_volume,0,0,0,1906,0,1906
1769048202,17,82,0,0,0,0,no_volume,0,200,0,200,low_activity,1.0,787,0,787,ok_volume,0,0,0,1906,0,1906
1769048203,17,82,0,0,0,0,no_volume,0,200,0,200,low_activity,1.0,777,0,777,ok_volume,0,0,0,1906,0,1906
1769048204,17,82,0,23,0,23,low_activity,0,23,0,23,low_activity,1.0,800,0,800,ok_volume,23,0,23,1929,0,1929
1769048205,17,82,0,113,0,113,low_activity,0,113,0,113,low_activity,1.0,528,0,528,ok_volume,0,0,0,2019,0,2019
1769048206,17,82,0,113,0,113,low_activity,0,113,0,113,low_activity,1.0,528,0,528,ok_volume,0,0,0,2019,0,2019
1769048207,17,82,0,0,0,0,no_volume,0,113,0,113,low_activity,1.0,528,0,528,ok_volume,0,0,0,2019,0,2019
1769048208,17,82,0,0,0,0,no_volume,0,113,0,113,low_activity,1.0,480,0,480,ok_volume,0,0,0,2019,0,2019
1769048209,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,480,0,480,ok_volume,0,0,0,2019,0,2019
1769048210,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,2019,0,2019
1769048211,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,2019,0,2019
1769048212,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,1914,0,1914
1769048213,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,1914,0,1914
1769048214,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,1914,0,1914
1769048215,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,1814,0,1814
1769048216,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,1814,0,1814
1769048217,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,428,0,428,ok_volume,0,0,0,1814,0,1814
1769048218,17,82,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,428,0,428,ok_volume,5,0,5,1819,0,1819
1769048219,17,82,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,428,0,428,ok_volume,0,0,0,1794,0,1794
1769048220,17,82,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,428,0,428,ok_volume,0,0,0,1794,0,1794
1769048221,17,82,0,0,0,0,no_volume,0,0,0,0,low_activity,0,363,0,363,low_activity,0,0,0,1794,0,1794
1769048222,17,82,0,0,0,0,no_volume,0,0,0,0,low_activity,0,363,0,363,low_activity,0,0,0,1794,0,1794
1769048223,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,313,0,313,low_activity,0,0,0,1269,0,1269
1769048224,17,82,0,200,0,200,low_activity,0,200,0,200,low_activity,0,513,0,513,low_activity,200,0,200,1469,0,1469
1769048225,17,82,0,210,0,210,low_activity,0,210,0,210,low_activity,1.0,523,0,523,ok_volume,10,0,10,1479,0,1479
1769048226,17,82,0,210,0,210,low_activity,0,210,0,210,low_activity,1.0,523,0,523,ok_volume,0,0,0,1479,0,1479
1769048227,17,82,0,24,0,24,low_activity,0,224,0,224,low_activity,1.0,537,0,537,ok_volume,0,0,0,1493,0,1493
1769048228,17,82,0,14,0,14,low_activity,0,224,0,224,low_activity,1.0,537,0,537,ok_volume,0,0,0,1131,0,1131
1769048229,17,82,0,0,0,0,no_volume,0,24,0,24,low_activity,1.0,337,0,337,ok_volume,0,0,0,1131,0,1131
1769048230,17,82,0,0,0,0,no_volume,0,14,0,14,low_activity,1.0,337,0,337,ok_volume,0,0,0,1131,0,1131
1769048231,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,337,0,337,ok_volume,0,0,0,1131,0,1131
1769048232,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,337,0,337,ok_volume,0,0,0,1131,0,1131
1769048233,17,82,0,95,0,95,low_activity,0,95,0,95,low_activity,1.0,432,0,432,ok_volume,95,0,95,1216,0,1216
1769048234,17,82,0,95,0,95,low_activity,0,95,0,95,low_activity,0,319,0,319,low_activity,0,0,0,1216,0,1216
1769048235,17,82,0,95,0,95,low_activity,0,95,0,95,low_activity,0,319,0,319,low_activity,0,0,0,852,0,852
1769048236,17,82,0,0,0,0,no_volume,0,95,0,95,low_activity,0,319,0,319,low_activity,0,0,0,852,0,852
1769048237,17,82,0,300,0,300,low_activity,0,395,0,395,low_activity,1.0,619,0,619,ok_volume,300,0,300,1152,0,1152
1769048238,17,82,0,300,0,300,low_activity,0,300,0,300,low_activity,1.0,619,0,619,ok_volume,0,0,0,1104,0,1104
1769048239,17,82,0,300,0,300,low_activity,0,300,0,300,low_activity,1.0,619,0,619,ok_volume,0,0,0,1104,0,1104
1769048240,17,82,0,0,0,0,no_volume,0,300,0,300,low_activity,1.0,619,0,619,ok_volume,0,0,0,1052,0,1052
1769048241,17,82,0,0,0,0,no_volume,0,300,0,300,low_activity,1.0,619,0,619,ok_volume,0,0,0,1052,0,1052
1769048242,17,82,0,20,0,20,low_activity,0,20,0,20,low_activity,1.0,639,0,639,ok_volume,20,0,20,1072,0,1072
1769048243,17,82,0,20,0,20,low_activity,0,20,0,20,low_activity,1.0,639,0,639,ok_volume,0,0,0,1072,0,1072
1769048244,17,82,0,546,0,546,low_activity,0,546,0,546,low_activity,1.0,1165,0,1165,ok_volume,526,0,526,1598,0,1598
1769048245,17,82,0,526,0,526,low_activity,0,546,0,546,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1598,0,1598
1769048246,17,82,0,526,0,526,low_activity,0,546,0,546,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1598,0,1598
1769048247,17,82,0,0,0,0,no_volume,0,526,0,526,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1598,0,1598
1769048248,17,82,0,0,0,0,no_volume,0,526,0,526,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1598,0,1598
1769048249,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,1165,0,1165,ok_volume,0,0,0,1598,0,1598
1769048250,17,82,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1534,0,1534
1769048252,17,82,0,0,0,0,low_activity,0,0,0,0,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1534,0,1534
1769048253,17,82,0,0,0,0,no_volume,0,0,0,0,low_activity,1.0,1165,0,1165,ok_volume,0,0,0,1484,0,1484
1769048254,17,82,0,0,0,0,no_volume,0,0,0,0,low_activity,1.0,965,0,965,ok_volume,0,0,0,1484,0,1484
1769048255,17,82,0,4050,0,4050,low_activity,0,4050,0,4050,low_activity,1.0,5005,0,5005,ok_volume,4050,0,4050,5534,0,5534
1769048256,17,82,0,4050,0,4050,low_activity,0,4050,0,4050,low_activity,1.0,4991,0,4991,ok_volume,0,0,0,5534,0,5534
