ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1769049900,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049901,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049902,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049903,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049904,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049905,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049906,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049907,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049908,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769049909,64,35,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,3677,0,3677,3677,0,3677
1769049910,64,35,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049911,64,35,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049912,64,35,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049913,64,35,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049914,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049915,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049916,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049917,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049918,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049919,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3677,0,3677,low_activity,0,0,0,3677,0,3677
1769049920,64,35,0,17,0,17,low_activity,0,17,0,17,low_activity,0,3694,0,3694,low_activity,17,0,17,3694,0,3694
1769049921,64,35,0,17,0,17,low_activity,0,17,0,17,low_activity,0,3694,0,3694,low_activity,0,0,0,3694,0,3694
1769049922,64,35,0,17,0,17,low_activity,0,17,0,17,low_activity,0,3694,0,3694,low_activity,3,0,3,3697,0,3697
1769049923,64,35,0,0,0,0,low_activity,0,17,0,17,low_activity,0,3694,0,3694,low_activity,0,0,0,3697,0,3697
1769049924,64,35,0,0,0,0,low_activity,0,17,0,17,low_activity,0,3694,0,3694,low_activity,0,0,0,3697,0,3697
1769049925,64,35,0,0,0,0,no_volume,0,0,0,0,low_activity,0,3694,0,3694,low_activity,0,0,0,3697,0,3697
1769049926,64,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,3694,0,3694,low_activity,4,0,4,3701,0,3701
1769049927,64,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,3694,0,3694,low_activity,0,0,0,3701,0,3701
1769049928,64,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,3694,0,3694,low_activity,0,0,0,3701,0,3701
1769049929,64,35,0,0,0,0,no_volume,0,0,0,0,low_activity,0,3694,0,3694,low_activity,0,0,0,3701,0,3701
1769049930,64,35,0,0,0,0,no_volume,0,0,0,0,low_activity,0,3694,0,3694,low_activity,0,0,0,3701,0,3701
1769049931,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3694,0,3694,low_activity,0,0,0,3701,0,3701
1769049932,64,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,3694,0,3694,low_activity,0,0,0,3701,0,3701
1769049933,64,35,0,16,0,16,low_activity,0,16,0,16,low_activity,0,3710,0,3710,low_activity,16,0,16,3717,0,3717
1769049934,64,35,0,16,0,16,low_activity,0,16,0,16,low_activity,0,3710,0,3710,low_activity,0,0,0,3717,0,3717
1769049935,64,35,0,16,0,16,low_activity,0,16,0,16,low_activity,0,3710,0,3710,low_activity,0,0,0,3717,0,3717
1769049936,64,35,0,0,0,0,no_volume,0,16,0,16,low_activity,0,3710,0,3710,low_activity,0,0,0,3717,0,3717
1769049937,64,35,0,0,0,0,no_volume,0,16,0,16,low_activity,0,3710,0,3710,low_activity,0,0,0,3717,0,3717
1769049938,64,35,0,0,34,34,low_activity,0,0,34,34,low_activity,0,3710,34,3744,low_activity,0,34,34,3717,34,3751
1769049939,64,35,0,15,34,49,low_activity,0,15,34,49,low_activity,0,48,34,82,low_activity,15,0,15,3732,34,3766
1769049940,64,35,0,15,34,49,low_activity,0,15,34,49,low_activity,0,48,34,82,low_activity,0,0,0,3732,34,3766
1769049941,64,35,0,15,0,15,low_activity,0,15,34,49,low_activity,0,48,34,82,low_activity,0,0,0,3732,34,3766
1769049942,64,35,0,0,0,0,no_volume,0,15,34,49,low_activity,0,48,34,82,low_activity,0,0,0,3732,34,3766
1769049943,64,35,0,0,0,0,low_activity,0,15,0,15,low_activity,0,48,34,82,low_activity,1,0,1,3733,34,3767
1769049944,64,35,0,10,0,10,low_activity,0,10,0,10,low_activity,0,58,34,92,low_total_volume,10,0,10,3743,34,3777
1769049945,64,35,0,10,0,10,low_activity,0,10,0,10,low_activity,0,58,34,92,low_total_volume,0,0,0,3743,34,3777
1769049946,64,35,0,10,0,10,low_activity,0,10,0,10,low_activity,0,58,34,92,low_total_volume,0,0,0,3743,34,3777
1769049947,64,35,0,0,0,0,no_volume,0,10,0,10,low_activity,0,58,34,92,low_total_volume,0,0,0,3743,34,3777
1769049948,64,35,0,1492,0,1492,low_activity,0,1502,0,1502,low_activity,0.957,1550,34,1584,ok_volume,1492,0,1492,5235,34,5269
1769049949,64,35,0,1492,0,1492,low_activity,0,1492,0,1492,low_activity,0.957,1550,34,1584,ok_volume,0,0,0,5235,34,5269
1769049950,64,35,0,1544,0,1544,low_activity,0,1544,0,1544,low_activity,0.958,1585,34,1619,ok_volume,52,0,52,5287,34,5321
1769049951,64,35,0,52,0,52,low_activity,0,1544,0,1544,low_activity,0.958,1585,34,1619,ok_volume,0,0,0,5287,34,5321
1769049952,64,35,0,52,0,52,low_activity,0,1544,0,1544,low_activity,0.958,1585,34,1619,ok_volume,0,0,0,5287,34,5321
1769049953,64,35,0,0,0,0,no_volume,0,52,0,52,low_activity,0.958,1585,34,1619,ok_volume,0,0,0,5287,34,5321
