ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1769132700,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132702,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132703,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132704,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132705,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132706,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132707,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132708,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769132709,17,82,0,1050,0,1050,low_activity,0,1050,0,1050,low_activity,0,1050,0,1050,low_activity,1050,0,1050,1050,0,1050
1769132710,17,82,0,1050,0,1050,low_activity,0,1050,0,1050,low_activity,0,1050,0,1050,low_activity,0,0,0,1050,0,1050
1769132711,17,82,0,1050,0,1050,low_activity,0,1050,0,1050,low_activity,0,1050,0,1050,low_activity,0,0,0,1050,0,1050
1769132712,17,82,0,110,0,110,low_activity,0,1160,0,1160,low_activity,0,1160,0,1160,low_activity,110,0,110,1160,0,1160
1769132713,17,82,0,110,0,110,low_activity,0,1160,0,1160,low_activity,0,1160,0,1160,low_activity,0,0,0,1160,0,1160
1769132714,17,82,0,110,0,110,low_activity,0,110,0,110,low_activity,0,1160,0,1160,low_activity,0,0,0,1160,0,1160
1769132715,17,82,0,0,0,0,no_volume,0,110,0,110,low_activity,0,1160,0,1160,low_activity,0,0,0,1160,0,1160
1769132716,17,82,0,55,0,55,low_activity,0,165,0,165,low_activity,0,1215,0,1215,low_activity,55,0,55,1215,0,1215
1769132717,17,82,0,55,0,55,low_activity,0,55,0,55,low_activity,0,1215,0,1215,low_activity,0,0,0,1215,0,1215
