ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1769474700,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474701,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474702,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474703,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474704,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474705,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474706,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474707,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474708,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474709,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474710,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474711,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474712,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474713,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474714,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474715,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474716,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769474717,75,24,0,256,0,256,low_activity,0,256,0,256,low_activity,0,256,0,256,low_activity,0,0,0,256,0,256
1769474718,75,24,0,256,0,256,low_activity,0,256,0,256,low_activity,0,256,0,256,low_activity,0,0,0,256,0,256
1769474719,75,24,0,0,0,0,no_volume,0,256,0,256,low_activity,0,256,0,256,low_activity,0,0,0,256,0,256
1769474720,75,24,0,243,0,243,low_activity,0,499,0,499,low_activity,0,499,0,499,low_activity,0,0,0,499,0,499
1769474721,75,24,0,243,0,243,low_activity,0,243,0,243,low_activity,0,499,0,499,low_activity,0,0,0,499,0,499
1769474722,75,24,0,0,0,0,no_volume,0,243,0,243,low_activity,0,499,0,499,low_activity,0,0,0,499,0,499
1769474723,75,24,0,0,0,0,no_volume,0,243,0,243,low_activity,0,499,0,499,low_activity,0,0,0,499,0,499
1769474724,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,499,0,499,low_activity,0,0,0,499,0,499
1769474725,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,499,0,499,low_activity,0,0,0,499,0,499
1769474726,75,24,0,0,321,321,low_activity,0,0,321,321,low_activity,0,499,321,820,low_activity,0,321,321,499,321,820
1769474727,75,24,0,0,321,321,low_activity,0,0,321,321,low_activity,0,499,321,820,low_activity,0,0,0,499,321,820
1769474728,75,24,0,0,321,321,low_activity,0,0,321,321,low_activity,0,499,321,820,low_activity,0,0,0,499,321,820
1769474729,75,24,0,0,0,0,no_volume,0,0,321,321,low_activity,0,499,321,820,low_activity,0,0,0,499,321,820
1769474730,75,24,0,0,0,0,no_volume,0,0,321,321,low_activity,0,499,321,820,low_activity,0,0,0,499,321,820
1769474731,75,24,0,125,0,125,low_activity,0,125,0,125,low_activity,0,624,321,945,low_activity,132,0,132,631,321,952
1769474732,75,24,0,125,0,125,low_activity,0,125,0,125,low_activity,0,624,321,945,low_activity,0,0,0,631,321,952
1769474733,75,24,0,222,0,222,low_activity,0,222,0,222,low_activity,0.384,721,321,1042,ok_volume,97,0,97,728,321,1049
1769474734,75,24,0,97,0,97,low_activity,0,222,0,222,low_activity,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474735,75,24,0,97,0,97,low_activity,0,222,0,222,low_activity,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474736,75,24,0,0,0,0,no_volume,0,97,0,97,low_activity,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474737,75,24,0,0,0,0,no_volume,0,97,0,97,low_activity,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474738,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474739,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474740,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474741,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474742,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474743,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474744,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474745,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0.384,721,321,1042,ok_volume,0,0,0,728,321,1049
1769474746,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,465,321,786,low_activity,0,0,0,728,321,1049
1769474747,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,465,321,786,low_activity,0,0,0,728,321,1049
1769474748,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,465,321,786,low_activity,0,0,0,728,321,1049
1769474749,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,222,321,543,low_activity,0,0,0,728,321,1049
1769474750,75,24,0,0,0,0,no_volume,0,0,0,0,no_volume,0,222,321,543,low_activity,0,0,0,728,321,1049
