ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1769645700,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645702,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645703,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645704,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645705,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645706,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645707,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645708,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645709,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645710,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645711,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645712,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645713,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645714,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645715,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645716,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645717,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645718,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645719,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645720,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645721,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645722,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645723,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1769645724,52,47,0,73,0,73,low_activity,0,73,0,73,low_activity,0,73,0,73,low_activity,73,0,73,73,0,73
1769645725,52,47,0,73,0,73,low_activity,0,73,0,73,low_activity,0,73,0,73,low_activity,0,0,0,73,0,73
1769645726,52,47,0,73,0,73,low_activity,0,73,0,73,low_activity,0,73,0,73,low_activity,0,0,0,73,0,73
1769645727,52,47,0,0,0,0,no_volume,0,73,0,73,low_activity,0,73,0,73,low_activity,0,0,0,73,0,73
1769645728,52,47,0,909,0,909,low_activity,0,982,0,982,low_activity,0,982,0,982,low_activity,909,0,909,982,0,982
1769645729,52,47,0,909,0,909,low_activity,0,909,0,909,low_activity,0,982,0,982,low_activity,0,0,0,982,0,982
1769645730,52,47,0,909,0,909,low_activity,0,909,0,909,low_activity,0,982,0,982,low_activity,0,0,0,982,0,982
1769645731,52,47,0,0,0,0,no_volume,0,909,0,909,low_activity,0,982,0,982,low_activity,0,0,0,982,0,982
1769645732,52,47,0,0,0,0,no_volume,0,909,0,909,low_activity,0,982,0,982,low_activity,0,0,0,982,0,982
1769645733,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645734,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645735,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645736,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645737,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645738,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645739,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645740,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645741,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645742,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645743,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645744,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645745,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645746,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645747,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645748,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645749,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645750,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645751,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645752,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645753,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,982,0,982,low_activity,0,0,0,982,0,982
1769645754,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,909,0,909,low_activity,0,0,0,982,0,982
1769645755,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,909,0,909,low_activity,0,0,0,982,0,982
1769645756,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,909,0,909,low_activity,0,0,0,982,0,982
1769645757,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,909,0,909,low_activity,0,0,0,982,0,982
