ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1772669700,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669702,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669703,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669704,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669705,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669706,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669707,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669708,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772669709,30,69,0,46,0,46,low_activity,0,46,0,46,low_activity,0,46,0,46,low_activity,46,0,46,46,0,46
1772669710,30,69,0,46,0,46,low_activity,0,46,0,46,low_activity,0,46,0,46,low_activity,0,0,0,46,0,46
1772669711,30,69,0,46,0,46,low_activity,0,46,0,46,low_activity,0,46,0,46,low_activity,0,0,0,46,0,46
1772669712,30,69,0,0,0,0,no_volume,0,46,0,46,low_activity,0,46,0,46,low_activity,0,0,0,46,0,46
1772669713,30,69,0,40,0,40,low_activity,0,86,0,86,low_activity,0,86,0,86,low_activity,40,0,40,86,0,86
1772669714,30,69,0,40,0,40,low_activity,0,40,0,40,low_activity,0,86,0,86,low_activity,0,0,0,86,0,86
1772669715,30,69,0,40,0,40,low_activity,0,40,0,40,low_activity,0,86,0,86,low_activity,0,0,0,86,0,86
1772669716,30,69,0,0,0,0,no_volume,0,40,0,40,low_activity,0,86,0,86,low_activity,0,0,0,86,0,86
1772669717,30,69,0,0,0,0,low_activity,0,40,0,40,low_activity,0,86,0,86,low_activity,0,0,0,91,0,91
1772669718,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,86,0,86,low_activity,0,0,0,91,0,91
1772669719,30,69,0,0,0,0,no_volume,0,0,0,0,low_activity,0,86,0,86,low_activity,0,0,0,91,0,91
1772669720,30,69,0,0,0,0,no_volume,0,0,0,0,low_activity,0,86,0,86,low_activity,0,0,0,91,0,91
1772669721,30,69,0,306,0,306,low_activity,0,306,0,306,low_activity,0,392,0,392,low_activity,306,0,306,397,0,397
1772669722,30,69,0,306,0,306,low_activity,0,306,0,306,low_activity,0,392,0,392,low_activity,0,0,0,397,0,397
1772669723,30,69,0,306,0,306,low_activity,0,306,0,306,low_activity,0,392,0,392,low_activity,0,0,0,397,0,397
1772669724,30,69,0,15,0,15,low_activity,0,321,0,321,low_activity,1.0,407,0,407,ok_volume,0,0,0,412,0,412
1772669725,30,69,0,15,0,15,low_activity,0,321,0,321,low_activity,1.0,407,0,407,ok_volume,0,0,0,412,0,412
1772669726,30,69,0,30,0,30,low_activity,0,45,0,45,low_activity,1.0,437,0,437,ok_volume,30,0,30,442,0,442
1772669727,30,69,0,30,0,30,low_activity,0,45,0,45,low_activity,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669728,30,69,0,30,0,30,low_activity,0,30,0,30,low_activity,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669729,30,69,0,0,0,0,no_volume,0,30,0,30,low_activity,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669730,30,69,0,0,0,0,no_volume,0,30,0,30,low_activity,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669731,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669732,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669733,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669734,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669735,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669736,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,1.0,437,0,437,ok_volume,0,0,0,442,0,442
1772669737,30,69,0,15,0,15,low_activity,0,15,0,15,low_activity,1.0,452,0,452,ok_volume,15,0,15,457,0,457
1772669738,30,69,0,15,0,15,low_activity,0,15,0,15,low_activity,1.0,452,0,452,ok_volume,0,0,0,457,0,457
1772669739,30,69,0,15,0,15,low_activity,0,15,0,15,low_activity,1.0,406,0,406,ok_volume,0,0,0,457,0,457
