ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1772932501,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932502,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932503,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932504,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932505,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932506,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932507,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772932508,16,83,0,63,0,63,low_activity,0,63,0,63,low_activity,0,63,0,63,low_activity,63,0,63,63,0,63
1772932509,16,83,0,63,0,63,low_activity,0,63,0,63,low_activity,0,63,0,63,low_activity,0,0,0,63,0,63
1772932510,16,83,0,74,0,74,low_activity,0,74,0,74,low_activity,0,74,0,74,low_activity,11,0,11,74,0,74
1772932511,16,83,0,11,0,11,low_activity,0,74,0,74,low_activity,0,74,0,74,low_activity,0,0,0,74,0,74
1772932512,16,83,0,11,0,11,low_activity,0,74,0,74,low_activity,0,74,0,74,low_activity,0,0,0,74,0,74
1772932513,16,83,0,0,0,0,no_volume,0,11,0,11,low_activity,0,74,0,74,low_activity,0,0,0,74,0,74
1772932514,16,83,0,0,0,0,no_volume,0,11,0,11,low_activity,0,74,0,74,low_activity,0,0,0,74,0,74
1772932515,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,74,0,74,low_activity,0,0,0,74,0,74
1772932516,16,83,0,27,0,27,low_activity,0,27,0,27,low_activity,0,101,0,101,low_activity,27,0,27,101,0,101
1772932517,16,83,0,27,0,27,low_activity,0,27,0,27,low_activity,0,101,0,101,low_activity,0,0,0,101,0,101
1772932518,16,83,0,27,0,27,low_activity,0,27,0,27,low_activity,0,101,0,101,low_activity,0,0,0,101,0,101
