ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol
1772988300,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0
1772988302,52,47,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,9,0,9,9,0,9
1772988303,52,47,0,0,20,20,low_activity,0,0,20,20,low_activity,0,0,20,20,low_activity,0,20,20,9,20,29
1772988304,52,47,0,0,20,20,low_activity,0,0,20,20,low_activity,0,0,20,20,low_activity,0,0,0,9,20,29
1772988305,52,47,0,0,20,20,low_activity,0,0,20,20,low_activity,0,0,20,20,low_activity,0,0,0,9,20,29
1772988306,52,47,0,0,0,0,no_volume,0,0,20,20,low_activity,0,0,20,20,low_activity,0,0,0,9,20,29
1772988307,52,47,0,114,0,114,low_activity,0,114,20,134,low_activity,0,114,20,134,low_activity,114,0,114,123,20,143
1772988308,52,47,0,205,0,205,low_activity,0,205,0,205,low_activity,0,205,20,225,low_total_volume,91,0,91,214,20,234
1772988309,52,47,0,205,10,215,low_total_volume,0,205,10,215,low_total_volume,0,205,30,235,low_total_volume,0,10,10,214,30,244
1772988310,52,47,0,91,10,101,low_activity,0,205,10,215,low_total_volume,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988311,52,47,0,0,10,10,low_activity,0,205,10,215,low_total_volume,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988312,52,47,0,0,0,0,no_volume,0,91,10,101,low_activity,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988313,52,47,0,0,0,0,no_volume,0,0,10,10,low_activity,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988314,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988315,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988316,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988317,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,205,30,235,low_total_volume,0,0,0,214,30,244
1772988318,52,47,0,0,0,0,low_activity,0,0,0,0,low_activity,0,205,30,235,low_total_volume,3,0,3,217,30,247
1772988319,52,47,0,0,0,0,low_activity,0,0,0,0,low_activity,0,205,30,235,low_total_volume,0,0,0,217,30,247
1772988320,52,47,0,0,0,0,low_activity,0,0,0,0,low_activity,0,205,30,235,low_total_volume,0,0,0,217,30,247
1772988321,52,47,0,0,0,0,no_volume,0,0,0,0,low_activity,0,205,30,235,low_total_volume,0,0,0,217,30,247
1772988322,52,47,0,0,0,0,no_volume,0,0,0,0,low_activity,0,205,30,235,low_total_volume,0,0,0,217,30,247
1772988323,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,205,30,235,low_total_volume,0,0,0,217,30,247
1772988324,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,205,30,235,low_total_volume,0,0,0,217,30,247
1772988325,52,47,0,100,0,100,low_activity,0,100,0,100,low_activity,0.821,305,30,335,ok_volume,100,0,100,317,30,347
1772988326,52,47,0,100,0,100,low_activity,0,100,0,100,low_activity,0.821,305,30,335,ok_volume,0,0,0,317,30,347
1772988327,52,47,0,100,0,100,low_activity,0,100,0,100,low_activity,0.821,305,30,335,ok_volume,0,0,0,317,30,347
1772988328,52,47,0,0,0,0,no_volume,0,100,0,100,low_activity,0.821,305,30,335,ok_volume,0,0,0,317,30,347
1772988329,52,47,0,0,0,0,no_volume,0,100,0,100,low_activity,0.821,305,30,335,ok_volume,0,0,0,317,30,347
1772988330,52,47,0,182,0,182,low_activity,0,182,0,182,low_activity,0.884,487,30,517,ok_volume,182,0,182,499,30,529
1772988331,52,47,0,182,0,182,low_activity,0,182,0,182,low_activity,0.884,487,30,517,ok_volume,0,0,0,499,30,529
1772988332,52,47,0,182,0,182,low_activity,0,182,0,182,low_activity,0.884,487,30,517,ok_volume,0,0,0,499,30,529
1772988333,52,47,0,0,0,0,no_volume,0,182,0,182,low_activity,0.96,487,10,497,ok_volume,0,0,0,499,30,529
1772988334,52,47,0,0,0,0,no_volume,0,182,0,182,low_activity,0.96,487,10,497,ok_volume,0,0,0,499,30,529
1772988335,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0.96,487,10,497,ok_volume,0,0,0,499,30,529
1772988336,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0.96,487,10,497,ok_volume,0,0,0,499,30,529
1772988337,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0.948,373,10,383,ok_volume,0,0,0,499,30,529
1772988338,52,47,0,0,0,0,no_volume,0,0,0,0,no_volume,0,282,10,292,low_activity,0,0,0,499,30,529
