Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1769976907,2026-02-01T12:15:07,85,15,yes,271
2,1769976917,2026-02-01T12:15:17,85,15,yes,11
3,1769976920,2026-02-01T12:15:20,85,15,yes,2
4,1769976923,2026-02-01T12:15:23,85,15,yes,50
5,1769976928,2026-02-01T12:15:28,85,15,yes,1
6,1769976932,2026-02-01T12:15:32,85,15,yes,5
7,1769976935,2026-02-01T12:15:35,84,16,no,59
8,1769976939,2026-02-01T12:15:39,85,15,yes,20
9,1769976939,2026-02-01T12:15:39,85,15,yes,100
10,1769976951,2026-02-01T12:15:51,85,15,yes,774
11,1769976955,2026-02-01T12:15:55,85,15,yes,143
12,1769976956,2026-02-01T12:15:56,85,15,yes,2
13,1769976972,2026-02-01T12:16:12,85,15,yes,710
14,1769976981,2026-02-01T12:16:21,85,15,yes,5
15,1769976982,2026-02-01T12:16:22,85,15,yes,2
16,1769976985,2026-02-01T12:16:25,85,15,yes,191
17,1769976986,2026-02-01T12:16:26,85,15,yes,9
18,1769976986,2026-02-01T12:16:26,85,15,yes,582
19,1769976987,2026-02-01T12:16:27,85,15,yes,12
20,1769976993,2026-02-01T12:16:33,84,16,no,57
21,1769976999,2026-02-01T12:16:39,85,15,yes,54
22,1769977001,2026-02-01T12:16:41,85,15,yes,8
23,1769977003,2026-02-01T12:16:43,85,15,yes,560
24,1769977012,2026-02-01T12:16:52,85,15,yes,1
25,1769977036,2026-02-01T12:17:16,85,15,yes,29
26,1769977037,2026-02-01T12:17:17,84,16,no,1000
27,1769977039,2026-02-01T12:17:19,85,15,yes,459
28,1769977041,2026-02-01T12:17:21,85,15,yes,102
29,1769977058,2026-02-01T12:17:38,84,16,no,58
30,1769977060,2026-02-01T12:17:40,85,15,yes,114
31,1769977060,2026-02-01T12:17:40,85,15,yes,755
32,1769977066,2026-02-01T12:17:46,85,15,yes,114
33,1769977077,2026-02-01T12:17:57,85,15,yes,574
34,1769977079,2026-02-01T12:17:59,85,15,yes,10
35,1769977080,2026-02-01T12:18:00,85,15,yes,34
36,1769977096,2026-02-01T12:18:16,84,16,no,11
37,1769977109,2026-02-01T12:18:29,85,15,yes,40
38,1769977116,2026-02-01T12:18:36,85,15,yes,9
39,1769977120,2026-02-01T12:18:40,85,15,yes,4200
40,1769977122,2026-02-01T12:18:42,85,15,yes,1
41,1769977128,2026-02-01T12:18:48,85,15,yes,25
42,1769977135,2026-02-01T12:18:55,85,15,yes,5
43,1769977142,2026-02-01T12:19:02,85,15,yes,11
44,1769977149,2026-02-01T12:19:09,85,15,yes,25
45,1769977151,2026-02-01T12:19:11,85,15,yes,17
46,1769977163,2026-02-01T12:19:23,85,15,yes,185
47,1769977169,2026-02-01T12:19:29,85,15,yes,18
48,1769977173,2026-02-01T12:19:33,85,15,yes,510
49,1769977180,2026-02-01T12:19:40,85,15,yes,58
50,1769977182,2026-02-01T12:19:42,84,16,no,600
51,1769977182,2026-02-01T12:19:42,85,15,yes,803
52,1769977183,2026-02-01T12:19:43,85,15,yes,153
53,1769977186,2026-02-01T12:19:46,85,15,yes,114
54,1769977186,2026-02-01T12:19:46,85,15,yes,114
55,1769977217,2026-02-01T12:20:17,85,15,yes,40
56,1769977224,2026-02-01T12:20:24,85,15,yes,19
57,1769977224,2026-02-01T12:20:24,84,16,no,290
58,1769977232,2026-02-01T12:20:32,85,15,yes,9
59,1769977232,2026-02-01T12:20:32,85,15,yes,200
60,1769977247,2026-02-01T12:20:47,85,15,yes,1337
61,1769977249,2026-02-01T12:20:49,85,15,yes,495
62,1769977253,2026-02-01T12:20:53,84,16,no,341
63,1769977261,2026-02-01T12:21:01,85,15,yes,25723
64,1769977261,2026-02-01T12:21:01,85,15,yes,3012
65,1769977264,2026-02-01T12:21:04,85,15,yes,114
66,1769977265,2026-02-01T12:21:05,84,16,no,28
67,1769977270,2026-02-01T12:21:10,85,15,yes,5
68,1769977271,2026-02-01T12:21:11,85,15,yes,1
69,1769977280,2026-02-01T12:21:20,85,15,yes,2
70,1769977282,2026-02-01T12:21:22,85,15,yes,182
71,1769977282,2026-02-01T12:21:22,85,15,yes,68
72,1769977285,2026-02-01T12:21:25,85,15,yes,12012
73,1769977285,2026-02-01T12:21:25,85,15,yes,37988
74,1769977294,2026-02-01T12:21:34,85,15,yes,150
75,1769977296,2026-02-01T12:21:36,85,15,yes,245
76,1769977303,2026-02-01T12:21:43,85,15,yes,150
77,1769977311,2026-02-01T12:21:51,85,15,yes,57
78,1769977315,2026-02-01T12:21:55,85,15,yes,5500
79,1769977326,2026-02-01T12:22:06,85,15,yes,367
80,1769977330,2026-02-01T12:22:10,85,15,yes,1
81,1769977334,2026-02-01T12:22:14,85,15,yes,3
82,1769977343,2026-02-01T12:22:23,85,15,yes,58
83,1769977359,2026-02-01T12:22:39,85,15,yes,10000
84,1769977359,2026-02-01T12:22:39,85,15,yes,116
85,1769977362,2026-02-01T12:22:42,85,15,yes,1
86,1769977376,2026-02-01T12:22:56,85,15,yes,5
87,1769977379,2026-02-01T12:22:59,85,15,yes,1724
88,1769977385,2026-02-01T12:23:05,85,15,yes,18
89,1769977385,2026-02-01T12:23:05,85,15,yes,90
90,1769977393,2026-02-01T12:23:13,85,15,yes,11
91,1769977393,2026-02-01T12:23:13,85,15,yes,1
92,1769977394,2026-02-01T12:23:14,85,15,yes,90
93,1769977400,2026-02-01T12:23:20,85,15,yes,7698
94,1769977407,2026-02-01T12:23:27,85,15,yes,3
95,1769977410,2026-02-01T12:23:30,85,15,yes,11
96,1769977416,2026-02-01T12:23:36,85,15,yes,1
97,1769977424,2026-02-01T12:23:44,85,15,yes,25
98,1769977424,2026-02-01T12:23:44,85,15,yes,20
99,1769977425,2026-02-01T12:23:45,85,15,yes,29
100,1769977426,2026-02-01T12:23:46,85,15,yes,5
101,1769977446,2026-02-01T12:24:06,85,15,yes,11
102,1769977447,2026-02-01T12:24:07,85,15,yes,108
103,1769977449,2026-02-01T12:24:09,85,15,yes,5
104,1769977451,2026-02-01T12:24:11,85,15,yes,93
105,1769977454,2026-02-01T12:24:14,85,15,yes,22
106,1769977455,2026-02-01T12:24:15,85,15,yes,28
107,1769977462,2026-02-01T12:24:22,85,15,yes,10
108,1769977464,2026-02-01T12:24:24,85,15,yes,114
109,1769977465,2026-02-01T12:24:25,85,15,yes,5
110,1769977468,2026-02-01T12:24:28,85,15,yes,698
111,1769977472,2026-02-01T12:24:32,85,15,yes,58
112,1769977473,2026-02-01T12:24:33,85,15,yes,1513
113,1769977479,2026-02-01T12:24:39,85,15,yes,34
114,1769977481,2026-02-01T12:24:41,85,15,yes,333
115,1769977486,2026-02-01T12:24:46,85,15,yes,30
116,1769977491,2026-02-01T12:24:51,85,15,yes,81
117,1769977493,2026-02-01T12:24:53,85,15,yes,379
118,1769977500,2026-02-01T12:25:00,85,15,yes,8
119,1769977500,2026-02-01T12:25:00,85,15,yes,28
120,1769977503,2026-02-01T12:25:03,85,15,yes,5
121,1769977509,2026-02-01T12:25:09,85,15,yes,5
122,1769977512,2026-02-01T12:25:12,85,15,yes,3
123,1769977513,2026-02-01T12:25:13,85,15,yes,250
124,1769977515,2026-02-01T12:25:15,85,15,yes,574
125,1769977517,2026-02-01T12:25:17,85,15,yes,188
126,1769977520,2026-02-01T12:25:20,85,15,yes,29
127,1769977522,2026-02-01T12:25:22,85,15,yes,1
128,1769977527,2026-02-01T12:25:27,85,15,yes,42
