Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1769985907,2026-02-01T14:45:07,23,77,yes,20
2,1769985933,2026-02-01T14:45:33,23,77,yes,2
3,1769985963,2026-02-01T14:46:03,23,77,yes,200
4,1769985969,2026-02-01T14:46:09,23,77,yes,9
5,1769985972,2026-02-01T14:46:12,23,77,yes,28
6,1769985972,2026-02-01T14:46:12,23,77,yes,28
7,1769985978,2026-02-01T14:46:18,23,77,yes,20
8,1769985982,2026-02-01T14:46:22,23,77,yes,9
9,1769985992,2026-02-01T14:46:32,23,77,yes,8
10,1769986009,2026-02-01T14:46:49,23,77,yes,4
11,1769986012,2026-02-01T14:46:52,23,77,yes,41
12,1769986013,2026-02-01T14:46:53,23,77,yes,89
13,1769986018,2026-02-01T14:46:58,23,77,yes,20
14,1769986025,2026-02-01T14:47:05,23,77,yes,500
15,1769986039,2026-02-01T14:47:19,23,77,yes,120
16,1769986052,2026-02-01T14:47:32,23,77,yes,20
17,1769986061,2026-02-01T14:47:41,23,77,yes,160
18,1769986068,2026-02-01T14:47:48,23,77,yes,45
19,1769986073,2026-02-01T14:47:53,23,77,yes,19
20,1769986088,2026-02-01T14:48:08,23,77,yes,20
21,1769986089,2026-02-01T14:48:09,23,77,yes,560
22,1769986114,2026-02-01T14:48:34,23,77,yes,40
23,1769986124,2026-02-01T14:48:44,23,77,yes,41
24,1769986139,2026-02-01T14:48:59,23,77,yes,40
25,1769986139,2026-02-01T14:48:59,23,77,yes,4
26,1769986146,2026-02-01T14:49:06,23,77,yes,4
27,1769986148,2026-02-01T14:49:08,23,77,yes,20
28,1769986158,2026-02-01T14:49:18,23,77,yes,20
29,1769986161,2026-02-01T14:49:21,23,77,yes,20
30,1769986164,2026-02-01T14:49:24,23,77,yes,82
31,1769986179,2026-02-01T14:49:39,23,77,yes,20
32,1769986185,2026-02-01T14:49:45,23,77,yes,1
33,1769986188,2026-02-01T14:49:48,23,77,yes,10
34,1769986198,2026-02-01T14:49:58,23,77,yes,1031
35,1769986211,2026-02-01T14:50:11,23,77,yes,41
36,1769986211,2026-02-01T14:50:11,23,77,yes,20
37,1769986224,2026-02-01T14:50:24,23,77,yes,100
38,1769986228,2026-02-01T14:50:28,23,77,yes,696
39,1769986230,2026-02-01T14:50:30,23,77,yes,4
40,1769986231,2026-02-01T14:50:31,23,77,yes,5
41,1769986236,2026-02-01T14:50:36,23,77,yes,38
42,1769986244,2026-02-01T14:50:44,23,77,yes,123
43,1769986253,2026-02-01T14:50:53,23,77,yes,4
44,1769986254,2026-02-01T14:50:54,23,77,yes,20
45,1769986257,2026-02-01T14:50:57,23,77,yes,20
46,1769986259,2026-02-01T14:50:59,23,77,yes,5
47,1769986262,2026-02-01T14:51:02,23,77,yes,12
48,1769986266,2026-02-01T14:51:06,23,77,yes,1
49,1769986271,2026-02-01T14:51:11,23,77,yes,100
50,1769986279,2026-02-01T14:51:19,23,77,yes,20
51,1769986280,2026-02-01T14:51:20,23,77,yes,157
52,1769986293,2026-02-01T14:51:33,23,77,yes,1200
53,1769986293,2026-02-01T14:51:33,23,77,yes,43
54,1769986295,2026-02-01T14:51:35,23,77,yes,618
55,1769986300,2026-02-01T14:51:40,23,77,yes,189
56,1769986306,2026-02-01T14:51:46,23,77,yes,5
57,1769986316,2026-02-01T14:51:56,23,77,yes,20
58,1769986317,2026-02-01T14:51:57,23,77,yes,38
59,1769986319,2026-02-01T14:51:59,23,77,yes,38
60,1769986354,2026-02-01T14:52:34,23,77,yes,23
61,1769986358,2026-02-01T14:52:38,23,77,yes,10
62,1769986373,2026-02-01T14:52:53,23,77,yes,12
63,1769986374,2026-02-01T14:52:54,23,77,yes,24
64,1769986375,2026-02-01T14:52:55,23,77,yes,1200
65,1769986388,2026-02-01T14:53:08,23,77,yes,16
66,1769986389,2026-02-01T14:53:09,23,77,yes,10
67,1769986394,2026-02-01T14:53:14,23,77,yes,19
68,1769986405,2026-02-01T14:53:25,23,77,yes,9
69,1769986406,2026-02-01T14:53:26,23,77,yes,40
70,1769986419,2026-02-01T14:53:39,23,77,yes,140
71,1769986441,2026-02-01T14:54:01,23,77,yes,41
72,1769986449,2026-02-01T14:54:09,23,77,yes,40
73,1769986460,2026-02-01T14:54:20,23,77,yes,4
74,1769986466,2026-02-01T14:54:26,23,77,yes,100
75,1769986468,2026-02-01T14:54:28,23,77,yes,123
76,1769986480,2026-02-01T14:54:40,23,77,yes,3
77,1769986485,2026-02-01T14:54:45,23,77,yes,24
78,1769986486,2026-02-01T14:54:46,23,77,yes,4
79,1769986487,2026-02-01T14:54:47,23,77,yes,25
80,1769986488,2026-02-01T14:54:48,23,77,yes,1
