Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770165910,2026-02-03T16:45:10,81,19,yes,120
2,1770165940,2026-02-03T16:45:40,81,19,yes,77
3,1770165951,2026-02-03T16:45:51,80,20,no,15
4,1770165951,2026-02-03T16:45:51,80,20,no,338
5,1770165951,2026-02-03T16:45:51,80,20,no,1
6,1770165951,2026-02-03T16:45:51,80,20,no,6
7,1770165951,2026-02-03T16:45:51,80,20,no,2
8,1770165951,2026-02-03T16:45:51,80,20,no,948
9,1770165962,2026-02-03T16:46:02,81,19,yes,237
10,1770165969,2026-02-03T16:46:09,81,19,yes,121
11,1770165970,2026-02-03T16:46:10,81,19,yes,86
12,1770165981,2026-02-03T16:46:21,81,19,yes,22
13,1770166006,2026-02-03T16:46:46,81,19,yes,2
14,1770166012,2026-02-03T16:46:52,81,19,yes,6
15,1770166015,2026-02-03T16:46:55,81,19,yes,2
16,1770166016,2026-02-03T16:46:56,81,19,yes,65
17,1770166022,2026-02-03T16:47:02,81,19,yes,8
18,1770166058,2026-02-03T16:47:38,81,19,yes,180
19,1770166071,2026-02-03T16:47:51,80,20,no,649
20,1770166079,2026-02-03T16:47:59,81,19,yes,12
21,1770166089,2026-02-03T16:48:09,81,19,yes,30
22,1770166096,2026-02-03T16:48:16,81,19,yes,14
23,1770166101,2026-02-03T16:48:21,81,19,yes,6
24,1770166101,2026-02-03T16:48:21,81,19,yes,5
25,1770166105,2026-02-03T16:48:25,81,19,yes,804
26,1770166116,2026-02-03T16:48:36,81,19,yes,3
27,1770166121,2026-02-03T16:48:41,81,19,yes,1475
28,1770166121,2026-02-03T16:48:41,81,19,yes,10708
29,1770166139,2026-02-03T16:48:59,81,19,yes,12
30,1770166142,2026-02-03T16:49:02,81,19,yes,24
31,1770166153,2026-02-03T16:49:13,81,19,yes,8
32,1770166181,2026-02-03T16:49:41,81,19,yes,121
33,1770166193,2026-02-03T16:49:53,81,19,yes,36
34,1770166201,2026-02-03T16:50:01,81,19,yes,6
35,1770166216,2026-02-03T16:50:16,81,19,yes,25
36,1770166225,2026-02-03T16:50:25,81,19,yes,6
37,1770166231,2026-02-03T16:50:31,81,19,yes,30
38,1770166250,2026-02-03T16:50:50,81,19,yes,6
39,1770166267,2026-02-03T16:51:07,81,19,yes,2
40,1770166280,2026-02-03T16:51:20,81,19,yes,11
41,1770166283,2026-02-03T16:51:23,81,19,yes,1
42,1770166284,2026-02-03T16:51:24,81,19,yes,30
43,1770166294,2026-02-03T16:51:34,80,20,no,20
44,1770166301,2026-02-03T16:51:41,81,19,yes,2
45,1770166301,2026-02-03T16:51:41,82,18,yes,1
46,1770166307,2026-02-03T16:51:47,82,18,yes,1
47,1770166315,2026-02-03T16:51:55,82,18,yes,12
48,1770166318,2026-02-03T16:51:58,82,18,yes,10
49,1770166342,2026-02-03T16:52:22,82,18,yes,44
50,1770166346,2026-02-03T16:52:26,82,18,yes,59
51,1770166355,2026-02-03T16:52:35,81,19,no,1
52,1770166355,2026-02-03T16:52:35,81,19,no,4
53,1770166355,2026-02-03T16:52:35,81,19,no,1
54,1770166386,2026-02-03T16:53:06,82,18,yes,1
55,1770166395,2026-02-03T16:53:15,82,18,yes,654
56,1770166409,2026-02-03T16:53:29,82,18,yes,218
57,1770166409,2026-02-03T16:53:29,82,18,yes,436
58,1770166425,2026-02-03T16:53:45,82,18,yes,6
59,1770166494,2026-02-03T16:54:54,82,18,yes,208
60,1770166501,2026-02-03T16:55:01,81,19,no,12
61,1770166505,2026-02-03T16:55:05,82,18,yes,1
62,1770166525,2026-02-03T16:55:25,82,18,yes,15
63,1770166528,2026-02-03T16:55:28,82,18,yes,60
64,1770166547,2026-02-03T16:55:47,82,18,yes,24
65,1770166551,2026-02-03T16:55:51,82,18,yes,18
66,1770166572,2026-02-03T16:56:12,82,18,yes,2
67,1770166573,2026-02-03T16:56:13,82,18,yes,400
68,1770166577,2026-02-03T16:56:17,81,19,no,2
69,1770166578,2026-02-03T16:56:18,82,18,yes,4
70,1770166586,2026-02-03T16:56:26,82,18,yes,210
71,1770166589,2026-02-03T16:56:29,82,18,yes,1
72,1770166604,2026-02-03T16:56:44,82,18,yes,178
73,1770166610,2026-02-03T16:56:50,82,18,yes,12
74,1770166627,2026-02-03T16:57:07,82,18,yes,486
75,1770166647,2026-02-03T16:57:27,82,18,yes,2408
76,1770166672,2026-02-03T16:57:52,82,18,yes,6
77,1770166695,2026-02-03T16:58:15,82,18,yes,595
78,1770166703,2026-02-03T16:58:23,82,18,yes,3
79,1770166708,2026-02-03T16:58:28,82,18,yes,54
80,1770166720,2026-02-03T16:58:40,81,19,no,131
81,1770166725,2026-02-03T16:58:45,82,18,yes,60
82,1770166736,2026-02-03T16:58:56,82,18,yes,119
83,1770166756,2026-02-03T16:59:16,81,19,no,2
84,1770166756,2026-02-03T16:59:16,81,19,no,1
85,1770166756,2026-02-03T16:59:16,81,19,no,10
86,1770166771,2026-02-03T16:59:31,82,18,yes,481
87,1770166778,2026-02-03T16:59:38,82,18,yes,6
88,1770166780,2026-02-03T16:59:40,82,18,yes,23
89,1770166788,2026-02-03T16:59:48,82,18,yes,1
90,1770166796,2026-02-03T16:59:56,82,18,yes,240
91,1770166799,2026-02-03T16:59:59,82,18,yes,120
92,1770166814,2026-02-03T17:00:14,82,18,yes,119
93,1770166816,2026-02-03T17:00:16,82,18,yes,23
94,1770166830,2026-02-03T17:00:30,82,18,yes,173
95,1770166847,2026-02-03T17:00:47,82,18,yes,95
96,1770166849,2026-02-03T17:00:49,82,18,yes,24
97,1770166852,2026-02-03T17:00:52,82,18,yes,120
98,1770166870,2026-02-03T17:01:10,81,19,no,23
99,1770166870,2026-02-03T17:01:10,82,18,yes,225
100,1770166871,2026-02-03T17:01:11,82,18,yes,36
