Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770509706,2026-02-07T16:15:06,54,46,yes,179
2,1770509708,2026-02-07T16:15:08,54,46,yes,1000
3,1770509710,2026-02-07T16:15:10,54,46,yes,175
4,1770509711,2026-02-07T16:15:11,54,46,yes,5
5,1770509713,2026-02-07T16:15:13,54,46,yes,23
6,1770509726,2026-02-07T16:15:26,54,46,yes,8
7,1770509729,2026-02-07T16:15:29,54,46,yes,25
8,1770509733,2026-02-07T16:15:33,54,46,yes,12
9,1770509741,2026-02-07T16:15:41,54,46,yes,3
10,1770509741,2026-02-07T16:15:41,54,46,yes,1
11,1770509741,2026-02-07T16:15:41,54,46,yes,2
12,1770509741,2026-02-07T16:15:41,54,46,yes,2
13,1770509746,2026-02-07T16:15:46,54,46,yes,43
14,1770509747,2026-02-07T16:15:47,54,46,yes,6000
15,1770509748,2026-02-07T16:15:48,54,46,yes,10
16,1770509750,2026-02-07T16:15:50,54,46,yes,14
17,1770509752,2026-02-07T16:15:52,54,46,yes,5
18,1770509755,2026-02-07T16:15:55,54,46,yes,8
19,1770509756,2026-02-07T16:15:56,54,46,yes,220
20,1770509765,2026-02-07T16:16:05,54,46,yes,35
21,1770509771,2026-02-07T16:16:11,54,46,yes,28
22,1770509773,2026-02-07T16:16:13,54,46,yes,17
23,1770509773,2026-02-07T16:16:13,54,46,yes,7
24,1770509781,2026-02-07T16:16:21,54,46,yes,8
25,1770509784,2026-02-07T16:16:24,54,46,yes,179
26,1770509785,2026-02-07T16:16:25,54,46,yes,230
27,1770509795,2026-02-07T16:16:35,54,46,yes,8
28,1770509800,2026-02-07T16:16:40,54,46,yes,8
29,1770509802,2026-02-07T16:16:42,54,46,yes,35
30,1770509803,2026-02-07T16:16:43,54,46,yes,1
31,1770509810,2026-02-07T16:16:50,54,46,yes,35
32,1770509812,2026-02-07T16:16:52,54,46,yes,8
33,1770509815,2026-02-07T16:16:55,54,46,yes,179
34,1770509821,2026-02-07T16:17:01,54,46,yes,5
35,1770509828,2026-02-07T16:17:08,54,46,yes,484
36,1770509832,2026-02-07T16:17:12,54,46,yes,44
37,1770509835,2026-02-07T16:17:15,54,46,yes,89
38,1770509836,2026-02-07T16:17:16,54,46,yes,8
39,1770509836,2026-02-07T16:17:16,54,46,yes,150
40,1770509838,2026-02-07T16:17:18,54,46,yes,3
41,1770509838,2026-02-07T16:17:18,54,46,yes,7142
42,1770509839,2026-02-07T16:17:19,54,46,yes,7
43,1770509840,2026-02-07T16:17:20,54,46,yes,40
44,1770509841,2026-02-07T16:17:21,54,46,yes,1
45,1770509842,2026-02-07T16:17:22,54,46,yes,89
46,1770509843,2026-02-07T16:17:23,54,46,yes,200
47,1770509848,2026-02-07T16:17:28,54,46,yes,266
48,1770509856,2026-02-07T16:17:36,54,46,yes,251
49,1770509859,2026-02-07T16:17:39,54,46,yes,1
50,1770509861,2026-02-07T16:17:41,54,46,yes,200
51,1770509862,2026-02-07T16:17:42,54,46,yes,30
52,1770509862,2026-02-07T16:17:42,54,46,yes,8
53,1770509862,2026-02-07T16:17:42,54,46,yes,179
54,1770509863,2026-02-07T16:17:43,54,46,yes,26
55,1770509864,2026-02-07T16:17:44,54,46,yes,159
56,1770509873,2026-02-07T16:17:53,54,46,yes,535
57,1770509878,2026-02-07T16:17:58,54,46,yes,306
58,1770509887,2026-02-07T16:18:07,54,46,yes,17
59,1770509888,2026-02-07T16:18:08,54,46,yes,17
60,1770509888,2026-02-07T16:18:08,54,46,yes,200
61,1770509890,2026-02-07T16:18:10,54,46,yes,35
62,1770509894,2026-02-07T16:18:14,54,46,yes,15
63,1770509894,2026-02-07T16:18:14,54,46,yes,142
64,1770509896,2026-02-07T16:18:16,54,46,yes,502
65,1770509897,2026-02-07T16:18:17,54,46,yes,535
66,1770509902,2026-02-07T16:18:22,54,46,yes,70
67,1770509906,2026-02-07T16:18:26,54,46,yes,8
68,1770509907,2026-02-07T16:18:27,54,46,yes,107
69,1770509912,2026-02-07T16:18:32,54,46,yes,33
70,1770509914,2026-02-07T16:18:34,54,46,yes,175
71,1770509920,2026-02-07T16:18:40,54,46,yes,16
72,1770509922,2026-02-07T16:18:42,54,46,yes,44
73,1770509928,2026-02-07T16:18:48,54,46,yes,17
74,1770509928,2026-02-07T16:18:48,54,46,yes,7
75,1770509930,2026-02-07T16:18:50,54,46,yes,13
76,1770509934,2026-02-07T16:18:54,54,46,yes,42
77,1770509938,2026-02-07T16:18:58,54,46,yes,14
78,1770509940,2026-02-07T16:19:00,54,46,yes,8
79,1770509941,2026-02-07T16:19:01,54,46,yes,446
80,1770509944,2026-02-07T16:19:04,54,46,yes,35
81,1770509951,2026-02-07T16:19:11,54,46,yes,269
82,1770509957,2026-02-07T16:19:17,54,46,yes,168
83,1770509959,2026-02-07T16:19:19,54,46,yes,8
84,1770509964,2026-02-07T16:19:24,54,46,yes,179
85,1770509967,2026-02-07T16:19:27,54,46,yes,210
86,1770509973,2026-02-07T16:19:33,54,46,yes,2000
87,1770509981,2026-02-07T16:19:41,54,46,yes,18
88,1770509987,2026-02-07T16:19:47,54,46,yes,80
89,1770509991,2026-02-07T16:19:51,54,46,yes,17
90,1770509992,2026-02-07T16:19:52,54,46,yes,217
91,1770510006,2026-02-07T16:20:06,54,46,yes,17
92,1770510010,2026-02-07T16:20:10,54,46,yes,5
93,1770510011,2026-02-07T16:20:11,54,46,yes,21
94,1770510012,2026-02-07T16:20:12,54,46,yes,2
95,1770510012,2026-02-07T16:20:12,54,46,yes,35
96,1770510014,2026-02-07T16:20:14,54,46,yes,105
97,1770510020,2026-02-07T16:20:20,54,46,yes,1
98,1770510021,2026-02-07T16:20:21,54,46,yes,17
99,1770510027,2026-02-07T16:20:27,54,46,yes,300
100,1770510028,2026-02-07T16:20:28,54,46,yes,35
101,1770510029,2026-02-07T16:20:29,54,46,yes,37
102,1770510032,2026-02-07T16:20:32,54,46,yes,17
103,1770510036,2026-02-07T16:20:36,54,46,yes,9
104,1770510042,2026-02-07T16:20:42,54,46,yes,17
105,1770510043,2026-02-07T16:20:43,54,46,yes,892
106,1770510043,2026-02-07T16:20:43,54,46,yes,178
107,1770510044,2026-02-07T16:20:44,54,46,yes,17
108,1770510045,2026-02-07T16:20:45,54,46,yes,537
109,1770510049,2026-02-07T16:20:49,54,46,yes,43
110,1770510050,2026-02-07T16:20:50,54,46,yes,6250
111,1770510051,2026-02-07T16:20:51,54,46,yes,12
112,1770510053,2026-02-07T16:20:53,54,46,yes,17
113,1770510060,2026-02-07T16:21:00,54,46,yes,18
114,1770510066,2026-02-07T16:21:06,54,46,yes,221
115,1770510076,2026-02-07T16:21:16,54,46,yes,1
116,1770510083,2026-02-07T16:21:23,54,46,yes,8
117,1770510084,2026-02-07T16:21:24,54,46,yes,44
118,1770510084,2026-02-07T16:21:24,54,46,yes,89
119,1770510090,2026-02-07T16:21:30,54,46,yes,200
120,1770510095,2026-02-07T16:21:35,54,46,yes,892
121,1770510098,2026-02-07T16:21:38,54,46,yes,89
122,1770510101,2026-02-07T16:21:41,54,46,yes,90
123,1770510111,2026-02-07T16:21:51,54,46,yes,776
124,1770510122,2026-02-07T16:22:02,54,46,yes,3
125,1770510129,2026-02-07T16:22:09,54,46,yes,62
126,1770510130,2026-02-07T16:22:10,54,46,yes,52
127,1770510131,2026-02-07T16:22:11,54,46,yes,7
128,1770510135,2026-02-07T16:22:15,54,46,yes,136
129,1770510135,2026-02-07T16:22:15,54,46,yes,60
130,1770510135,2026-02-07T16:22:15,54,46,yes,73
131,1770510137,2026-02-07T16:22:17,54,46,yes,179
132,1770510141,2026-02-07T16:22:21,54,46,yes,326
133,1770510141,2026-02-07T16:22:21,54,46,yes,3
134,1770510143,2026-02-07T16:22:23,54,46,yes,10
135,1770510153,2026-02-07T16:22:33,54,46,yes,50000
136,1770510155,2026-02-07T16:22:35,54,46,yes,1000
137,1770510155,2026-02-07T16:22:35,54,46,yes,70
138,1770510164,2026-02-07T16:22:44,54,46,yes,8
139,1770510176,2026-02-07T16:22:56,54,46,yes,1857
140,1770510180,2026-02-07T16:23:00,54,46,yes,17
141,1770510182,2026-02-07T16:23:02,54,46,yes,450
142,1770510183,2026-02-07T16:23:03,54,46,yes,448
143,1770510190,2026-02-07T16:23:10,54,46,yes,96
144,1770510190,2026-02-07T16:23:10,54,46,yes,50000
145,1770510190,2026-02-07T16:23:10,54,46,yes,55
146,1770510197,2026-02-07T16:23:17,54,46,yes,8
147,1770510202,2026-02-07T16:23:22,54,46,yes,14107
148,1770510203,2026-02-07T16:23:23,54,46,yes,87
149,1770510208,2026-02-07T16:23:28,54,46,yes,7
150,1770510211,2026-02-07T16:23:31,54,46,yes,73
151,1770510211,2026-02-07T16:23:31,54,46,yes,917
152,1770510212,2026-02-07T16:23:32,54,46,yes,17
153,1770510218,2026-02-07T16:23:38,54,46,yes,17
154,1770510219,2026-02-07T16:23:39,54,46,yes,59
155,1770510222,2026-02-07T16:23:42,54,46,yes,35
156,1770510228,2026-02-07T16:23:48,54,46,yes,16
157,1770510244,2026-02-07T16:24:04,54,46,yes,222
158,1770510244,2026-02-07T16:24:04,54,46,yes,17
159,1770510248,2026-02-07T16:24:08,54,46,yes,8
160,1770510249,2026-02-07T16:24:09,54,46,yes,210
161,1770510255,2026-02-07T16:24:15,54,46,yes,105
162,1770510255,2026-02-07T16:24:15,54,46,yes,35
163,1770510260,2026-02-07T16:24:20,54,46,yes,30
164,1770510271,2026-02-07T16:24:31,54,46,yes,2000
165,1770510273,2026-02-07T16:24:33,54,46,yes,4458
166,1770510275,2026-02-07T16:24:35,54,46,yes,9
167,1770510276,2026-02-07T16:24:36,54,46,yes,26
168,1770510278,2026-02-07T16:24:38,54,46,yes,10
169,1770510279,2026-02-07T16:24:39,54,46,yes,8
170,1770510282,2026-02-07T16:24:42,54,46,yes,571
171,1770510289,2026-02-07T16:24:49,54,46,yes,5
172,1770510291,2026-02-07T16:24:51,54,46,yes,53
173,1770510296,2026-02-07T16:24:56,54,46,yes,357
174,1770510297,2026-02-07T16:24:57,54,46,yes,178
175,1770510304,2026-02-07T16:25:04,54,46,yes,8
176,1770510306,2026-02-07T16:25:06,54,46,yes,85
177,1770510308,2026-02-07T16:25:08,54,46,yes,12
178,1770510309,2026-02-07T16:25:09,54,46,yes,350
179,1770510310,2026-02-07T16:25:10,54,46,yes,358
180,1770510311,2026-02-07T16:25:11,54,46,yes,117
181,1770510317,2026-02-07T16:25:17,54,46,yes,17
182,1770510320,2026-02-07T16:25:20,54,46,yes,116
183,1770510323,2026-02-07T16:25:23,54,46,yes,17
184,1770510325,2026-02-07T16:25:25,54,46,yes,35
185,1770510326,2026-02-07T16:25:26,54,46,yes,8
186,1770510328,2026-02-07T16:25:28,54,46,yes,17
187,1770510331,2026-02-07T16:25:31,54,46,yes,1696
188,1770510333,2026-02-07T16:25:33,54,46,yes,1754
189,1770510335,2026-02-07T16:25:35,54,46,yes,35
190,1770510340,2026-02-07T16:25:40,54,46,yes,26
191,1770510344,2026-02-07T16:25:44,54,46,yes,16
192,1770510346,2026-02-07T16:25:46,54,46,yes,53
193,1770510347,2026-02-07T16:25:47,54,46,yes,298
194,1770510350,2026-02-07T16:25:50,54,46,yes,167
195,1770510350,2026-02-07T16:25:50,54,46,yes,448
196,1770510351,2026-02-07T16:25:51,54,46,yes,178
197,1770510351,2026-02-07T16:25:51,54,46,yes,98
198,1770510361,2026-02-07T16:26:01,54,46,yes,60
199,1770510362,2026-02-07T16:26:02,54,46,yes,8
200,1770510363,2026-02-07T16:26:03,54,46,yes,150
201,1770510367,2026-02-07T16:26:07,54,46,yes,300
202,1770510367,2026-02-07T16:26:07,54,46,yes,245
203,1770510368,2026-02-07T16:26:08,54,46,yes,35
204,1770510373,2026-02-07T16:26:13,54,46,yes,33
205,1770510373,2026-02-07T16:26:13,54,46,yes,1
206,1770510376,2026-02-07T16:26:16,54,46,yes,26
207,1770510378,2026-02-07T16:26:18,54,46,yes,7
208,1770510380,2026-02-07T16:26:20,54,46,yes,10
209,1770510381,2026-02-07T16:26:21,54,46,yes,250
210,1770510384,2026-02-07T16:26:24,54,46,yes,140
211,1770510386,2026-02-07T16:26:26,54,46,yes,68
212,1770510386,2026-02-07T16:26:26,54,46,yes,53
213,1770510391,2026-02-07T16:26:31,54,46,yes,26
214,1770510396,2026-02-07T16:26:36,54,46,yes,17
215,1770510412,2026-02-07T16:26:52,54,46,yes,107
216,1770510424,2026-02-07T16:27:04,54,46,yes,135
217,1770510424,2026-02-07T16:27:04,54,46,yes,298
218,1770510425,2026-02-07T16:27:05,54,46,yes,182
219,1770510426,2026-02-07T16:27:06,54,46,yes,12500
220,1770510428,2026-02-07T16:27:08,54,46,yes,13
221,1770510428,2026-02-07T16:27:08,54,46,yes,717
222,1770510430,2026-02-07T16:27:10,54,46,yes,2377
223,1770510431,2026-02-07T16:27:11,54,46,yes,251
224,1770510431,2026-02-07T16:27:11,54,46,yes,535
225,1770510438,2026-02-07T16:27:18,54,46,yes,215
226,1770510449,2026-02-07T16:27:29,54,46,yes,148
227,1770510456,2026-02-07T16:27:36,54,46,yes,89
228,1770510456,2026-02-07T16:27:36,54,46,yes,892
229,1770510457,2026-02-07T16:27:37,54,46,yes,89
230,1770510463,2026-02-07T16:27:43,54,46,yes,3
231,1770510463,2026-02-07T16:27:43,54,46,yes,108
232,1770510466,2026-02-07T16:27:46,54,46,yes,69
233,1770510468,2026-02-07T16:27:48,54,46,yes,28
234,1770510469,2026-02-07T16:27:49,54,46,yes,11
235,1770510471,2026-02-07T16:27:51,54,46,yes,44
236,1770510473,2026-02-07T16:27:53,54,46,yes,2845
237,1770510474,2026-02-07T16:27:54,54,46,yes,538
238,1770510474,2026-02-07T16:27:54,54,46,yes,350
239,1770510476,2026-02-07T16:27:56,54,46,yes,17
240,1770510477,2026-02-07T16:27:57,54,46,yes,5
241,1770510479,2026-02-07T16:27:59,54,46,yes,10
242,1770510482,2026-02-07T16:28:02,54,46,yes,89
243,1770510483,2026-02-07T16:28:03,54,46,yes,396
244,1770510484,2026-02-07T16:28:04,54,46,yes,12
245,1770510490,2026-02-07T16:28:10,54,46,yes,17
246,1770510492,2026-02-07T16:28:12,54,46,yes,3
247,1770510497,2026-02-07T16:28:17,54,46,yes,468
248,1770510499,2026-02-07T16:28:19,54,46,yes,87
249,1770510509,2026-02-07T16:28:29,54,46,yes,122
250,1770510510,2026-02-07T16:28:30,54,46,yes,8
251,1770510510,2026-02-07T16:28:30,54,46,yes,2
252,1770510512,2026-02-07T16:28:32,54,46,yes,52
253,1770510512,2026-02-07T16:28:32,54,46,yes,57
254,1770510513,2026-02-07T16:28:33,54,46,yes,63
255,1770510516,2026-02-07T16:28:36,54,46,yes,263
256,1770510519,2026-02-07T16:28:39,54,46,yes,8
257,1770510521,2026-02-07T16:28:41,54,46,yes,179
258,1770510524,2026-02-07T16:28:44,54,46,yes,125
259,1770510524,2026-02-07T16:28:44,54,46,yes,100
260,1770510527,2026-02-07T16:28:47,54,46,yes,46
261,1770510528,2026-02-07T16:28:48,54,46,yes,26
262,1770510530,2026-02-07T16:28:50,54,46,yes,53
263,1770510531,2026-02-07T16:28:51,54,46,yes,892
264,1770510536,2026-02-07T16:28:56,54,46,yes,44
265,1770510540,2026-02-07T16:29:00,54,46,yes,43
266,1770510543,2026-02-07T16:29:03,54,46,yes,26
267,1770510545,2026-02-07T16:29:05,54,46,yes,116
268,1770510546,2026-02-07T16:29:06,54,46,yes,267
269,1770510546,2026-02-07T16:29:06,54,46,yes,170
270,1770510550,2026-02-07T16:29:10,54,46,yes,16
271,1770510554,2026-02-07T16:29:14,54,46,yes,627
272,1770510556,2026-02-07T16:29:16,54,46,yes,897
273,1770510556,2026-02-07T16:29:16,54,46,yes,38
274,1770510557,2026-02-07T16:29:17,54,46,yes,269
275,1770510564,2026-02-07T16:29:24,54,46,yes,44
276,1770510568,2026-02-07T16:29:28,54,46,yes,3
277,1770510569,2026-02-07T16:29:29,54,46,yes,46
278,1770510570,2026-02-07T16:29:30,54,46,yes,17
279,1770510570,2026-02-07T16:29:30,54,46,yes,8
280,1770510571,2026-02-07T16:29:31,54,46,yes,62
281,1770510572,2026-02-07T16:29:32,54,46,yes,2
282,1770510575,2026-02-07T16:29:35,54,46,yes,49
283,1770510576,2026-02-07T16:29:36,54,46,yes,44
284,1770510579,2026-02-07T16:29:39,54,46,yes,3
285,1770510581,2026-02-07T16:29:41,54,46,yes,8
286,1770510589,2026-02-07T16:29:49,54,46,yes,1071
287,1770510590,2026-02-07T16:29:50,54,46,yes,10
288,1770510591,2026-02-07T16:29:51,54,46,yes,107
289,1770510593,2026-02-07T16:29:53,54,46,yes,714
290,1770510594,2026-02-07T16:29:54,54,46,yes,214
291,1770510598,2026-02-07T16:29:58,54,46,yes,89
292,1770510600,2026-02-07T16:30:00,54,46,yes,28
293,1770510603,2026-02-07T16:30:03,54,46,yes,1661
294,1770510603,2026-02-07T16:30:03,54,46,yes,36
295,1770510604,2026-02-07T16:30:04,54,46,yes,776
296,1770510606,2026-02-07T16:30:06,54,46,yes,5
297,1770510607,2026-02-07T16:30:07,54,46,yes,3
298,1770510609,2026-02-07T16:30:09,54,46,yes,179
299,1770510611,2026-02-07T16:30:11,54,46,yes,86
300,1770510614,2026-02-07T16:30:14,54,46,yes,5
301,1770510614,2026-02-07T16:30:14,54,46,yes,35
302,1770510615,2026-02-07T16:30:15,54,46,yes,8
303,1770510617,2026-02-07T16:30:17,54,46,yes,7
304,1770510629,2026-02-07T16:30:29,54,46,yes,12
305,1770510631,2026-02-07T16:30:31,54,46,yes,89
306,1770510632,2026-02-07T16:30:32,54,46,yes,8
307,1770510632,2026-02-07T16:30:32,54,46,yes,1785
308,1770510637,2026-02-07T16:30:37,54,46,yes,133
309,1770510637,2026-02-07T16:30:37,54,46,yes,200
310,1770510639,2026-02-07T16:30:39,54,46,yes,17
311,1770510642,2026-02-07T16:30:42,54,46,yes,12
312,1770510642,2026-02-07T16:30:42,54,46,yes,3
313,1770510642,2026-02-07T16:30:42,54,46,yes,15
314,1770510643,2026-02-07T16:30:43,54,46,yes,89
315,1770510646,2026-02-07T16:30:46,54,46,yes,89
316,1770510649,2026-02-07T16:30:49,54,46,yes,35
317,1770510649,2026-02-07T16:30:49,54,46,yes,2
318,1770510649,2026-02-07T16:30:49,54,46,yes,98
319,1770510650,2026-02-07T16:30:50,54,46,yes,26
320,1770510653,2026-02-07T16:30:53,54,46,yes,90
321,1770510655,2026-02-07T16:30:55,54,46,yes,71
322,1770510655,2026-02-07T16:30:55,54,46,yes,8
323,1770510656,2026-02-07T16:30:56,54,46,yes,71
324,1770510657,2026-02-07T16:30:57,54,46,yes,44
325,1770510658,2026-02-07T16:30:58,54,46,yes,80
326,1770510660,2026-02-07T16:31:00,54,46,yes,44
327,1770510666,2026-02-07T16:31:06,54,46,yes,44
328,1770510666,2026-02-07T16:31:06,54,46,yes,62
329,1770510667,2026-02-07T16:31:07,54,46,yes,39
330,1770510672,2026-02-07T16:31:12,54,46,yes,85
331,1770510675,2026-02-07T16:31:15,54,46,yes,56
332,1770510676,2026-02-07T16:31:16,54,46,yes,9
333,1770510676,2026-02-07T16:31:16,54,46,yes,5
334,1770510677,2026-02-07T16:31:17,54,46,yes,179
335,1770510679,2026-02-07T16:31:19,54,46,yes,8
336,1770510679,2026-02-07T16:31:19,54,46,yes,5
337,1770510679,2026-02-07T16:31:19,54,46,yes,7
338,1770510684,2026-02-07T16:31:24,54,46,yes,14
339,1770510684,2026-02-07T16:31:24,54,46,yes,96
340,1770510688,2026-02-07T16:31:28,54,46,yes,33
341,1770510690,2026-02-07T16:31:30,54,46,yes,243
342,1770510695,2026-02-07T16:31:35,54,46,yes,53
343,1770510697,2026-02-07T16:31:37,54,46,yes,2
344,1770510699,2026-02-07T16:31:39,54,46,yes,43
345,1770510703,2026-02-07T16:31:43,54,46,yes,1
346,1770510704,2026-02-07T16:31:44,54,46,yes,8
347,1770510704,2026-02-07T16:31:44,54,46,yes,146
348,1770510705,2026-02-07T16:31:45,54,46,yes,35
349,1770510706,2026-02-07T16:31:46,54,46,yes,179
350,1770510707,2026-02-07T16:31:47,54,46,yes,800
351,1770510711,2026-02-07T16:31:51,54,46,yes,8
352,1770510714,2026-02-07T16:31:54,54,46,yes,7
353,1770510720,2026-02-07T16:32:00,54,46,yes,24
354,1770510722,2026-02-07T16:32:02,54,46,yes,1
355,1770510723,2026-02-07T16:32:03,54,46,yes,35
356,1770510728,2026-02-07T16:32:08,54,46,yes,17
357,1770510728,2026-02-07T16:32:08,54,46,yes,9
358,1770510730,2026-02-07T16:32:10,54,46,yes,9
359,1770510731,2026-02-07T16:32:11,54,46,yes,3525
360,1770510731,2026-02-07T16:32:11,54,46,yes,5
361,1770510734,2026-02-07T16:32:14,54,46,yes,35
362,1770510735,2026-02-07T16:32:15,54,46,yes,1
363,1770510738,2026-02-07T16:32:18,54,46,yes,8
