Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770511504,2026-02-07T16:45:04,75,25,yes,259
2,1770511514,2026-02-07T16:45:14,75,25,yes,1
3,1770511515,2026-02-07T16:45:15,75,25,yes,10
4,1770511529,2026-02-07T16:45:29,75,25,yes,26
5,1770511547,2026-02-07T16:45:47,75,25,yes,524
6,1770511550,2026-02-07T16:45:50,75,25,yes,25
7,1770511551,2026-02-07T16:45:51,75,25,yes,10
8,1770511554,2026-02-07T16:45:54,74,26,no,340
9,1770511554,2026-02-07T16:45:54,74,26,no,335
10,1770511561,2026-02-07T16:46:01,75,25,yes,129
11,1770511562,2026-02-07T16:46:02,75,25,yes,262
12,1770511570,2026-02-07T16:46:10,75,25,yes,39
13,1770511579,2026-02-07T16:46:19,75,25,yes,974
14,1770511579,2026-02-07T16:46:19,75,25,yes,3
15,1770511579,2026-02-07T16:46:19,75,25,yes,50
16,1770511579,2026-02-07T16:46:19,75,25,yes,13
17,1770511586,2026-02-07T16:46:26,76,24,yes,2005
18,1770511586,2026-02-07T16:46:26,76,24,yes,52257
19,1770511590,2026-02-07T16:46:30,76,24,yes,12
20,1770511602,2026-02-07T16:46:42,76,24,yes,2
21,1770511603,2026-02-07T16:46:43,76,24,yes,51
22,1770511613,2026-02-07T16:46:53,76,24,yes,3
23,1770511619,2026-02-07T16:46:59,76,24,yes,128
24,1770511621,2026-02-07T16:47:01,75,25,no,3
25,1770511638,2026-02-07T16:47:18,76,24,yes,12
26,1770511641,2026-02-07T16:47:21,76,24,yes,150
27,1770511651,2026-02-07T16:47:31,75,25,no,85
28,1770511655,2026-02-07T16:47:35,76,24,yes,38
29,1770511661,2026-02-07T16:47:41,76,24,yes,13
30,1770511665,2026-02-07T16:47:45,76,24,yes,50
31,1770511677,2026-02-07T16:47:57,76,24,yes,6
32,1770511678,2026-02-07T16:47:58,76,24,yes,1282
33,1770511699,2026-02-07T16:48:19,76,24,yes,500
34,1770511704,2026-02-07T16:48:24,76,24,yes,2
35,1770511712,2026-02-07T16:48:32,76,24,yes,6
36,1770511715,2026-02-07T16:48:35,76,24,yes,63
37,1770511720,2026-02-07T16:48:40,76,24,yes,31
38,1770511727,2026-02-07T16:48:47,76,24,yes,25
39,1770511731,2026-02-07T16:48:51,76,24,yes,20
40,1770511736,2026-02-07T16:48:56,76,24,yes,12
41,1770511738,2026-02-07T16:48:58,76,24,yes,576
42,1770511764,2026-02-07T16:49:24,76,24,yes,2074
43,1770511765,2026-02-07T16:49:25,76,24,yes,7
44,1770511774,2026-02-07T16:49:34,76,24,yes,12
45,1770511774,2026-02-07T16:49:34,76,24,yes,573
46,1770511775,2026-02-07T16:49:35,76,24,yes,5
47,1770511780,2026-02-07T16:49:40,76,24,yes,78
48,1770511782,2026-02-07T16:49:42,76,24,yes,6
49,1770511787,2026-02-07T16:49:47,76,24,yes,25
50,1770511797,2026-02-07T16:49:57,76,24,yes,63
51,1770511807,2026-02-07T16:50:07,75,25,no,1142
52,1770511814,2026-02-07T16:50:14,76,24,yes,14
53,1770511818,2026-02-07T16:50:18,76,24,yes,18
54,1770511827,2026-02-07T16:50:27,76,24,yes,19
55,1770511830,2026-02-07T16:50:30,76,24,yes,6
56,1770511833,2026-02-07T16:50:33,76,24,yes,140
57,1770511836,2026-02-07T16:50:36,76,24,yes,27
58,1770511837,2026-02-07T16:50:37,76,24,yes,45
59,1770511838,2026-02-07T16:50:38,76,24,yes,379
60,1770511839,2026-02-07T16:50:39,76,24,yes,129
