Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770495302,2026-02-07T12:15:02,60,40,yes,161
2,1770495306,2026-02-07T12:15:06,59,41,no,85
3,1770495306,2026-02-07T12:15:06,60,40,yes,5
4,1770495309,2026-02-07T12:15:09,60,40,yes,351
5,1770495313,2026-02-07T12:15:13,60,40,yes,16
6,1770495314,2026-02-07T12:15:14,60,40,yes,81
7,1770495315,2026-02-07T12:15:15,60,40,yes,24
8,1770495317,2026-02-07T12:15:17,60,40,yes,56
9,1770495321,2026-02-07T12:15:21,60,40,yes,500
10,1770495338,2026-02-07T12:15:38,60,40,yes,6
11,1770495339,2026-02-07T12:15:39,60,40,yes,13
12,1770495339,2026-02-07T12:15:39,60,40,yes,14
13,1770495343,2026-02-07T12:15:43,60,40,yes,6
14,1770495346,2026-02-07T12:15:46,60,40,yes,11
15,1770495347,2026-02-07T12:15:47,60,40,yes,8
16,1770495348,2026-02-07T12:15:48,60,40,yes,287
17,1770495357,2026-02-07T12:15:57,60,40,yes,5
18,1770495363,2026-02-07T12:16:03,60,40,yes,3
19,1770495364,2026-02-07T12:16:04,60,40,yes,2
20,1770495374,2026-02-07T12:16:14,60,40,yes,40
21,1770495376,2026-02-07T12:16:16,60,40,yes,483
22,1770495381,2026-02-07T12:16:21,60,40,yes,16
23,1770495386,2026-02-07T12:16:26,60,40,yes,16
24,1770495396,2026-02-07T12:16:36,60,40,yes,8
25,1770495397,2026-02-07T12:16:37,60,40,yes,71
26,1770495400,2026-02-07T12:16:40,60,40,yes,155
27,1770495401,2026-02-07T12:16:41,60,40,yes,16
28,1770495403,2026-02-07T12:16:43,60,40,yes,32
29,1770495406,2026-02-07T12:16:46,60,40,yes,8
30,1770495411,2026-02-07T12:16:51,59,41,no,13
31,1770495411,2026-02-07T12:16:51,59,41,no,8
32,1770495411,2026-02-07T12:16:51,59,41,no,49
33,1770495413,2026-02-07T12:16:53,60,40,yes,8
34,1770495413,2026-02-07T12:16:53,60,40,yes,21
35,1770495416,2026-02-07T12:16:56,60,40,yes,162
36,1770495417,2026-02-07T12:16:57,60,40,yes,16
37,1770495424,2026-02-07T12:17:04,60,40,yes,24
38,1770495431,2026-02-07T12:17:11,60,40,yes,4
39,1770495434,2026-02-07T12:17:14,59,41,no,116
40,1770495438,2026-02-07T12:17:18,60,40,yes,2
41,1770495443,2026-02-07T12:17:23,60,40,yes,16
42,1770495447,2026-02-07T12:17:27,60,40,yes,403
43,1770495449,2026-02-07T12:17:29,60,40,yes,15
44,1770495449,2026-02-07T12:17:29,60,40,yes,100
45,1770495449,2026-02-07T12:17:29,60,40,yes,47
46,1770495450,2026-02-07T12:17:30,60,40,yes,32
47,1770495451,2026-02-07T12:17:31,60,40,yes,21
48,1770495451,2026-02-07T12:17:31,60,40,yes,1589
49,1770495454,2026-02-07T12:17:34,60,40,yes,100
50,1770495460,2026-02-07T12:17:40,60,40,yes,80
51,1770495461,2026-02-07T12:17:41,59,41,no,167
52,1770495461,2026-02-07T12:17:41,59,41,no,232
53,1770495465,2026-02-07T12:17:45,60,40,yes,4
54,1770495465,2026-02-07T12:17:45,60,40,yes,80
55,1770495468,2026-02-07T12:17:48,60,40,yes,8
56,1770495471,2026-02-07T12:17:51,60,40,yes,162
57,1770495478,2026-02-07T12:17:58,60,40,yes,8
58,1770495483,2026-02-07T12:18:03,60,40,yes,37
