Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770518703,2026-02-07T18:45:03,27,73,yes,7
2,1770518728,2026-02-07T18:45:28,27,73,yes,35
3,1770518730,2026-02-07T18:45:30,27,73,yes,66
4,1770518741,2026-02-07T18:45:41,27,73,yes,17
5,1770518749,2026-02-07T18:45:49,27,73,yes,35
6,1770518766,2026-02-07T18:46:06,27,73,yes,528
7,1770518783,2026-02-07T18:46:23,27,73,yes,3
8,1770518802,2026-02-07T18:46:42,27,73,yes,3
9,1770518808,2026-02-07T18:46:48,27,73,yes,5
10,1770518915,2026-02-07T18:48:35,27,73,yes,10
11,1770518921,2026-02-07T18:48:41,27,73,yes,38
12,1770518944,2026-02-07T18:49:04,27,73,yes,172
13,1770518959,2026-02-07T18:49:19,27,73,yes,34
14,1770518962,2026-02-07T18:49:22,27,73,yes,17
15,1770518972,2026-02-07T18:49:32,27,73,yes,50
16,1770518972,2026-02-07T18:49:32,27,73,yes,38
17,1770518985,2026-02-07T18:49:45,27,73,yes,357
18,1770518985,2026-02-07T18:49:45,27,73,yes,51
19,1770518993,2026-02-07T18:49:53,26,74,no,25
20,1770518996,2026-02-07T18:49:56,27,73,yes,123
21,1770519004,2026-02-07T18:50:04,27,73,yes,66
22,1770519010,2026-02-07T18:50:10,27,73,yes,17
23,1770519029,2026-02-07T18:50:29,27,73,yes,24
24,1770519072,2026-02-07T18:51:12,27,73,yes,528
25,1770519079,2026-02-07T18:51:19,27,73,yes,3
26,1770519080,2026-02-07T18:51:20,27,73,yes,80
27,1770519104,2026-02-07T18:51:44,27,73,yes,51
28,1770519110,2026-02-07T18:51:50,27,73,yes,105
29,1770519127,2026-02-07T18:52:07,27,73,yes,37
30,1770519132,2026-02-07T18:52:12,27,73,yes,34
31,1770519134,2026-02-07T18:52:14,27,73,yes,52
32,1770519139,2026-02-07T18:52:19,27,73,yes,63
33,1770519139,2026-02-07T18:52:19,27,73,yes,51
34,1770519158,2026-02-07T18:52:38,27,73,yes,32
35,1770519168,2026-02-07T18:52:48,27,73,yes,17
36,1770519181,2026-02-07T18:53:01,27,73,yes,166
37,1770519183,2026-02-07T18:53:03,27,73,yes,35
38,1770519184,2026-02-07T18:53:04,27,73,yes,17
39,1770519203,2026-02-07T18:53:23,27,73,yes,70
40,1770519220,2026-02-07T18:53:40,27,73,yes,68
41,1770519229,2026-02-07T18:53:49,27,73,yes,35
42,1770519234,2026-02-07T18:53:54,27,73,yes,100
43,1770519241,2026-02-07T18:54:01,27,73,yes,517
44,1770519263,2026-02-07T18:54:23,27,73,yes,3
45,1770519282,2026-02-07T18:54:42,27,73,yes,40
46,1770519282,2026-02-07T18:54:42,27,73,yes,17
47,1770519292,2026-02-07T18:54:52,27,73,yes,51
48,1770519294,2026-02-07T18:54:54,27,73,yes,70
49,1770519301,2026-02-07T18:55:01,27,73,yes,12
50,1770519303,2026-02-07T18:55:03,27,73,yes,150
51,1770519309,2026-02-07T18:55:09,27,73,yes,10
52,1770519309,2026-02-07T18:55:09,27,73,yes,45
53,1770519314,2026-02-07T18:55:14,27,73,yes,263
54,1770519328,2026-02-07T18:55:28,27,73,yes,20
55,1770519329,2026-02-07T18:55:29,27,73,yes,352
56,1770519338,2026-02-07T18:55:38,27,73,yes,17
57,1770519338,2026-02-07T18:55:38,27,73,yes,71
58,1770519342,2026-02-07T18:55:42,27,73,yes,16
59,1770519349,2026-02-07T18:55:49,27,73,yes,140
60,1770519371,2026-02-07T18:56:11,27,73,yes,16
61,1770519390,2026-02-07T18:56:30,27,73,yes,20
62,1770519400,2026-02-07T18:56:40,27,73,yes,10
63,1770519404,2026-02-07T18:56:44,27,73,yes,17
64,1770519406,2026-02-07T18:56:46,27,73,yes,172
65,1770519419,2026-02-07T18:56:59,27,73,yes,352
66,1770519423,2026-02-07T18:57:03,27,73,yes,33
67,1770519425,2026-02-07T18:57:05,27,73,yes,300
68,1770519441,2026-02-07T18:57:21,27,73,yes,34
69,1770519445,2026-02-07T18:57:25,27,73,yes,17
70,1770519454,2026-02-07T18:57:34,27,73,yes,10
71,1770519462,2026-02-07T18:57:42,27,73,yes,1109
72,1770519463,2026-02-07T18:57:43,27,73,yes,45
73,1770519464,2026-02-07T18:57:44,27,73,yes,172
74,1770519465,2026-02-07T18:57:45,27,73,yes,17
75,1770519470,2026-02-07T18:57:50,27,73,yes,3523
76,1770519487,2026-02-07T18:58:07,26,74,no,33
77,1770519491,2026-02-07T18:58:11,27,73,yes,50
78,1770519498,2026-02-07T18:58:18,27,73,yes,17
79,1770519498,2026-02-07T18:58:18,27,73,yes,46
80,1770519518,2026-02-07T18:58:38,27,73,yes,2
81,1770519519,2026-02-07T18:58:39,27,73,yes,17
82,1770519529,2026-02-07T18:58:49,27,73,yes,66
83,1770519544,2026-02-07T18:59:04,27,73,yes,3000
84,1770519546,2026-02-07T18:59:06,27,73,yes,16
85,1770519551,2026-02-07T18:59:11,27,73,yes,3000
86,1770519562,2026-02-07T18:59:22,27,73,yes,83
87,1770519585,2026-02-07T18:59:45,27,73,yes,19
88,1770519611,2026-02-07T19:00:11,27,73,yes,17
89,1770519616,2026-02-07T19:00:16,27,73,yes,35
90,1770519618,2026-02-07T19:00:18,27,73,yes,176
91,1770519626,2026-02-07T19:00:26,27,73,yes,1206
92,1770519626,2026-02-07T19:00:26,27,73,yes,7
93,1770519643,2026-02-07T19:00:43,27,73,yes,354
94,1770519663,2026-02-07T19:01:03,27,73,yes,126
95,1770519671,2026-02-07T19:01:11,27,73,yes,20
96,1770519676,2026-02-07T19:01:16,27,73,yes,79
97,1770519683,2026-02-07T19:01:23,27,73,yes,34
98,1770519688,2026-02-07T19:01:28,27,73,yes,17
99,1770519690,2026-02-07T19:01:30,27,73,yes,11
100,1770519694,2026-02-07T19:01:34,27,73,yes,500
101,1770519695,2026-02-07T19:01:35,27,73,yes,176
