Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770576303,2026-02-08T10:45:03,16,84,yes,59
2,1770576305,2026-02-08T10:45:05,16,84,yes,36
3,1770576305,2026-02-08T10:45:05,16,84,yes,591
4,1770576316,2026-02-08T10:45:16,16,84,yes,100
5,1770576317,2026-02-08T10:45:17,16,84,yes,26
6,1770576322,2026-02-08T10:45:22,16,84,yes,5
7,1770576333,2026-02-08T10:45:33,16,84,yes,118
8,1770576336,2026-02-08T10:45:36,16,84,yes,722
9,1770576339,2026-02-08T10:45:39,16,84,yes,49
10,1770576340,2026-02-08T10:45:40,16,84,yes,38
11,1770576340,2026-02-08T10:45:40,15,85,no,29
12,1770576344,2026-02-08T10:45:44,16,84,yes,5
13,1770576357,2026-02-08T10:45:57,16,84,yes,5
14,1770576362,2026-02-08T10:46:02,16,84,yes,11
15,1770576364,2026-02-08T10:46:04,16,84,yes,493
16,1770576367,2026-02-08T10:46:07,16,84,yes,27
17,1770576372,2026-02-08T10:46:12,16,84,yes,72
18,1770576375,2026-02-08T10:46:15,16,84,yes,6
19,1770576378,2026-02-08T10:46:18,16,84,yes,555
20,1770576378,2026-02-08T10:46:18,16,84,yes,26
21,1770576384,2026-02-08T10:46:24,16,84,yes,59
22,1770576384,2026-02-08T10:46:24,16,84,yes,11
23,1770576387,2026-02-08T10:46:27,16,84,yes,141
24,1770576391,2026-02-08T10:46:31,16,84,yes,147
25,1770576407,2026-02-08T10:46:47,16,84,yes,59
26,1770576413,2026-02-08T10:46:53,16,84,yes,23
27,1770576423,2026-02-08T10:47:03,16,84,yes,88
28,1770576427,2026-02-08T10:47:07,16,84,yes,277
29,1770576439,2026-02-08T10:47:19,16,84,yes,29
30,1770576466,2026-02-08T10:47:46,16,84,yes,11
31,1770576479,2026-02-08T10:47:59,16,84,yes,100
32,1770576489,2026-02-08T10:48:09,16,84,yes,590
33,1770576490,2026-02-08T10:48:10,16,84,yes,5
34,1770576493,2026-02-08T10:48:13,16,84,yes,1770
35,1770576502,2026-02-08T10:48:22,16,84,yes,590
36,1770576502,2026-02-08T10:48:22,16,84,yes,41
37,1770576509,2026-02-08T10:48:29,16,84,yes,590
38,1770576511,2026-02-08T10:48:31,16,84,yes,90
39,1770576522,2026-02-08T10:48:42,16,84,yes,10
40,1770576523,2026-02-08T10:48:43,16,84,yes,5
41,1770576523,2026-02-08T10:48:43,16,84,yes,56
42,1770576528,2026-02-08T10:48:48,16,84,yes,44
43,1770576534,2026-02-08T10:48:54,16,84,yes,177
44,1770576538,2026-02-08T10:48:58,16,84,yes,26
45,1770576544,2026-02-08T10:49:04,16,84,yes,131
