Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770857112,2026-02-11T16:45:12,75,25,yes,6
2,1770857124,2026-02-11T16:45:24,75,25,yes,5
3,1770857129,2026-02-11T16:45:29,75,25,yes,6
4,1770857222,2026-02-11T16:47:02,75,25,yes,2000
5,1770857230,2026-02-11T16:47:10,75,25,yes,636
6,1770857235,2026-02-11T16:47:15,75,25,yes,65
7,1770857266,2026-02-11T16:47:46,75,25,yes,19
8,1770857293,2026-02-11T16:48:13,75,25,yes,9
9,1770857309,2026-02-11T16:48:29,74,26,no,292
10,1770857309,2026-02-11T16:48:29,74,26,no,1
11,1770857309,2026-02-11T16:48:29,74,26,no,25
12,1770857309,2026-02-11T16:48:29,74,26,no,82
13,1770857319,2026-02-11T16:48:39,75,25,yes,32
14,1770857388,2026-02-11T16:49:48,75,25,yes,64
15,1770857413,2026-02-11T16:50:13,75,25,yes,25
16,1770857460,2026-02-11T16:51:00,75,25,yes,64
17,1770857480,2026-02-11T16:51:20,75,25,yes,100
18,1770857511,2026-02-11T16:51:51,75,25,yes,53
19,1770857518,2026-02-11T16:51:58,75,25,yes,13
20,1770857525,2026-02-11T16:52:05,75,25,yes,1048
21,1770857573,2026-02-11T16:52:53,75,25,yes,1
22,1770857574,2026-02-11T16:52:54,75,25,yes,7
23,1770857589,2026-02-11T16:53:09,75,25,yes,2
24,1770857616,2026-02-11T16:53:36,75,25,yes,6
25,1770857627,2026-02-11T16:53:47,75,25,yes,32
26,1770857645,2026-02-11T16:54:05,75,25,yes,128
27,1770857659,2026-02-11T16:54:19,75,25,yes,25
28,1770857666,2026-02-11T16:54:26,75,25,yes,19
29,1770857673,2026-02-11T16:54:33,75,25,yes,30
30,1770857678,2026-02-11T16:54:38,75,25,yes,6
31,1770857702,2026-02-11T16:55:02,75,25,yes,28
32,1770857715,2026-02-11T16:55:15,75,25,yes,5
33,1770857721,2026-02-11T16:55:21,75,25,yes,32
34,1770857721,2026-02-11T16:55:21,75,25,yes,65
35,1770857737,2026-02-11T16:55:37,75,25,yes,6
36,1770857765,2026-02-11T16:56:05,75,25,yes,39
37,1770857767,2026-02-11T16:56:07,74,26,no,3
38,1770857783,2026-02-11T16:56:23,75,25,yes,25
39,1770857792,2026-02-11T16:56:32,75,25,yes,17
40,1770857801,2026-02-11T16:56:41,75,25,yes,6
41,1770857814,2026-02-11T16:56:54,75,25,yes,131
42,1770857829,2026-02-11T16:57:09,74,26,no,100
43,1770857835,2026-02-11T16:57:15,75,25,yes,51
44,1770857841,2026-02-11T16:57:21,75,25,yes,19
45,1770857843,2026-02-11T16:57:23,75,25,yes,106
46,1770857860,2026-02-11T16:57:40,75,25,yes,35
47,1770857868,2026-02-11T16:57:48,75,25,yes,32
48,1770857901,2026-02-11T16:58:21,75,25,yes,52
49,1770857909,2026-02-11T16:58:29,74,26,no,16
50,1770857922,2026-02-11T16:58:42,75,25,yes,26
51,1770857982,2026-02-11T16:59:42,75,25,yes,32
52,1770857982,2026-02-11T16:59:42,75,25,yes,3
53,1770858007,2026-02-11T17:00:07,75,25,yes,25
54,1770858016,2026-02-11T17:00:16,75,25,yes,128
55,1770858022,2026-02-11T17:00:22,74,26,no,2
56,1770858047,2026-02-11T17:00:47,75,25,yes,2
57,1770858050,2026-02-11T17:00:50,75,25,yes,15
58,1770858081,2026-02-11T17:01:21,75,25,yes,13
59,1770858086,2026-02-11T17:01:26,75,25,yes,31
60,1770858099,2026-02-11T17:01:39,75,25,yes,2
61,1770858102,2026-02-11T17:01:42,75,25,yes,6
62,1770858112,2026-02-11T17:01:52,75,25,yes,39
63,1770858116,2026-02-11T17:01:56,75,25,yes,1
64,1770858119,2026-02-11T17:01:59,75,25,yes,13
65,1770858122,2026-02-11T17:02:02,75,25,yes,10
66,1770858127,2026-02-11T17:02:07,75,25,yes,47
67,1770858131,2026-02-11T17:02:11,75,25,yes,98
68,1770858138,2026-02-11T17:02:18,75,25,yes,1
69,1770858168,2026-02-11T17:02:48,75,25,yes,2
70,1770858168,2026-02-11T17:02:48,75,25,yes,13
71,1770858181,2026-02-11T17:03:01,75,25,yes,31
72,1770858188,2026-02-11T17:03:08,75,25,yes,194
73,1770858197,2026-02-11T17:03:17,75,25,yes,84
74,1770858202,2026-02-11T17:03:22,75,25,yes,13
75,1770858203,2026-02-11T17:03:23,75,25,yes,20
76,1770858237,2026-02-11T17:03:57,75,25,yes,3
77,1770858252,2026-02-11T17:04:12,75,25,yes,34
78,1770858267,2026-02-11T17:04:27,75,25,yes,32
79,1770858284,2026-02-11T17:04:44,75,25,yes,6
80,1770858296,2026-02-11T17:04:56,75,25,yes,12
81,1770858311,2026-02-11T17:05:11,75,25,yes,6
82,1770858336,2026-02-11T17:05:36,75,25,yes,15
83,1770858343,2026-02-11T17:05:43,74,26,no,2
84,1770858360,2026-02-11T17:06:00,75,25,yes,262
85,1770858366,2026-02-11T17:06:06,75,25,yes,327
86,1770858374,2026-02-11T17:06:14,75,25,yes,5
87,1770858402,2026-02-11T17:06:42,75,25,yes,9
88,1770858423,2026-02-11T17:07:03,75,25,yes,1
89,1770858427,2026-02-11T17:07:07,75,25,yes,19
90,1770858480,2026-02-11T17:08:00,75,25,yes,33
91,1770858484,2026-02-11T17:08:04,75,25,yes,129
92,1770858487,2026-02-11T17:08:07,75,25,yes,19
93,1770858488,2026-02-11T17:08:08,75,25,yes,262
94,1770858492,2026-02-11T17:08:12,75,25,yes,108
95,1770858503,2026-02-11T17:08:23,75,25,yes,10
96,1770858531,2026-02-11T17:08:51,75,25,yes,6
97,1770858573,2026-02-11T17:09:33,75,25,yes,65
98,1770858574,2026-02-11T17:09:34,75,25,yes,6
99,1770858583,2026-02-11T17:09:43,75,25,yes,1298
100,1770858594,2026-02-11T17:09:54,75,25,yes,25
101,1770858600,2026-02-11T17:10:00,75,25,yes,1
102,1770858614,2026-02-11T17:10:14,75,25,yes,25
103,1770858615,2026-02-11T17:10:15,75,25,yes,13
104,1770858615,2026-02-11T17:10:15,75,25,yes,814
105,1770858621,2026-02-11T17:10:21,75,25,yes,26
106,1770858628,2026-02-11T17:10:28,75,25,yes,11
107,1770858639,2026-02-11T17:10:39,75,25,yes,262
108,1770858644,2026-02-11T17:10:44,75,25,yes,45
109,1770858652,2026-02-11T17:10:52,75,25,yes,25
110,1770858655,2026-02-11T17:10:55,75,25,yes,223
111,1770858667,2026-02-11T17:11:07,75,25,yes,13
112,1770858673,2026-02-11T17:11:13,75,25,yes,27
113,1770858680,2026-02-11T17:11:20,75,25,yes,13
114,1770858706,2026-02-11T17:11:46,75,25,yes,26
115,1770858745,2026-02-11T17:12:25,75,25,yes,26
116,1770858751,2026-02-11T17:12:31,75,25,yes,1
117,1770858751,2026-02-11T17:12:31,75,25,yes,4
118,1770858752,2026-02-11T17:12:32,74,26,no,5
119,1770858773,2026-02-11T17:12:53,75,25,yes,8
120,1770858773,2026-02-11T17:12:53,75,25,yes,66
121,1770858773,2026-02-11T17:12:53,75,25,yes,57
122,1770858775,2026-02-11T17:12:55,74,26,no,7
123,1770858775,2026-02-11T17:12:55,74,26,no,24
124,1770858775,2026-02-11T17:12:55,74,26,no,27
125,1770858775,2026-02-11T17:12:55,74,26,no,1
126,1770858783,2026-02-11T17:13:03,74,26,yes,13
127,1770858798,2026-02-11T17:13:18,74,26,yes,11
128,1770858807,2026-02-11T17:13:27,74,26,yes,2
129,1770858807,2026-02-11T17:13:27,74,26,yes,27
130,1770858807,2026-02-11T17:13:27,74,26,yes,6546
131,1770858813,2026-02-11T17:13:33,74,26,yes,14
132,1770858813,2026-02-11T17:13:33,74,26,yes,26
133,1770858813,2026-02-11T17:13:33,74,26,yes,10
134,1770858815,2026-02-11T17:13:35,74,26,yes,33
135,1770858817,2026-02-11T17:13:37,75,25,yes,13
136,1770858826,2026-02-11T17:13:46,75,25,yes,129
137,1770858832,2026-02-11T17:13:52,75,25,yes,259
138,1770858846,2026-02-11T17:14:06,75,25,no,12
139,1770858846,2026-02-11T17:14:06,75,25,no,500
140,1770858852,2026-02-11T17:14:12,75,25,yes,12
141,1770858852,2026-02-11T17:14:12,75,25,yes,8
142,1770858856,2026-02-11T17:14:16,75,25,yes,25
143,1770858859,2026-02-11T17:14:19,75,25,yes,32
144,1770858861,2026-02-11T17:14:21,75,25,yes,4
145,1770858863,2026-02-11T17:14:23,75,25,yes,129
146,1770858867,2026-02-11T17:14:27,75,25,yes,74
147,1770858892,2026-02-11T17:14:52,77,23,yes,1
148,1770858892,2026-02-11T17:14:52,77,23,yes,150
149,1770858892,2026-02-11T17:14:52,77,23,yes,100
150,1770858898,2026-02-11T17:14:58,77,23,yes,127
151,1770858901,2026-02-11T17:15:01,77,23,yes,23
152,1770858901,2026-02-11T17:15:01,77,23,yes,40
153,1770858901,2026-02-11T17:15:01,77,23,yes,126
154,1770858903,2026-02-11T17:15:03,77,23,yes,17
155,1770858903,2026-02-11T17:15:03,77,23,yes,126
156,1770858904,2026-02-11T17:15:04,77,23,yes,25
157,1770858907,2026-02-11T17:15:07,77,23,yes,379
158,1770858913,2026-02-11T17:15:13,77,23,yes,9
159,1770858923,2026-02-11T17:15:23,78,22,yes,10
160,1770858923,2026-02-11T17:15:23,78,22,yes,5
161,1770858926,2026-02-11T17:15:26,78,22,yes,5
162,1770858926,2026-02-11T17:15:26,78,22,yes,10
163,1770858926,2026-02-11T17:15:26,78,22,yes,10
164,1770858926,2026-02-11T17:15:26,78,22,yes,225
165,1770858926,2026-02-11T17:15:26,78,22,yes,12
166,1770858947,2026-02-11T17:15:47,79,21,yes,2
167,1770858947,2026-02-11T17:15:47,79,21,yes,23
168,1770858952,2026-02-11T17:15:52,79,21,yes,28
169,1770858967,2026-02-11T17:16:07,80,20,yes,29
170,1770858967,2026-02-11T17:16:07,80,20,yes,433
171,1770858967,2026-02-11T17:16:07,80,20,no,25
172,1770858970,2026-02-11T17:16:10,80,20,no,25
173,1770858970,2026-02-11T17:16:10,80,20,no,29
174,1770858970,2026-02-11T17:16:10,80,20,no,12
175,1770858970,2026-02-11T17:16:10,79,21,no,34
176,1770859003,2026-02-11T17:16:43,81,19,yes,1
177,1770859003,2026-02-11T17:16:43,81,19,yes,26
178,1770859003,2026-02-11T17:16:43,81,19,yes,9
179,1770859019,2026-02-11T17:16:59,80,20,no,14
180,1770859019,2026-02-11T17:16:59,80,20,no,29
181,1770859019,2026-02-11T17:16:59,80,20,no,300
182,1770859073,2026-02-11T17:17:53,79,21,no,27
183,1770859073,2026-02-11T17:17:53,79,21,no,14
184,1770859073,2026-02-11T17:17:53,79,21,no,16
185,1770859073,2026-02-11T17:17:53,79,21,no,13
186,1770859077,2026-02-11T17:17:57,79,21,no,271
187,1770859077,2026-02-11T17:17:57,79,21,no,13
188,1770859077,2026-02-11T17:17:57,79,21,no,28
189,1770859077,2026-02-11T17:17:57,79,21,no,1000
190,1770859083,2026-02-11T17:18:03,79,21,yes,29
191,1770859083,2026-02-11T17:18:03,79,21,yes,13
192,1770859083,2026-02-11T17:18:03,79,21,yes,7
193,1770859117,2026-02-11T17:18:37,79,21,yes,18
194,1770859117,2026-02-11T17:18:37,79,21,yes,6
195,1770859176,2026-02-11T17:19:36,79,21,yes,23
196,1770859176,2026-02-11T17:19:36,79,21,yes,14
197,1770859198,2026-02-11T17:19:58,79,21,yes,30
198,1770859199,2026-02-11T17:19:59,79,21,yes,30
199,1770859216,2026-02-11T17:20:16,79,21,yes,12
200,1770859233,2026-02-11T17:20:33,79,21,yes,123
201,1770859238,2026-02-11T17:20:38,79,21,yes,49
202,1770859244,2026-02-11T17:20:44,79,21,yes,1
203,1770859245,2026-02-11T17:20:45,79,21,yes,6
204,1770859283,2026-02-11T17:21:23,78,22,no,13
205,1770859283,2026-02-11T17:21:23,78,22,no,4
206,1770859285,2026-02-11T17:21:25,79,21,yes,1
207,1770859295,2026-02-11T17:21:35,79,21,yes,49
208,1770859308,2026-02-11T17:21:48,79,21,yes,1
209,1770859363,2026-02-11T17:22:43,78,22,no,20
210,1770859363,2026-02-11T17:22:43,78,22,no,300
211,1770859363,2026-02-11T17:22:43,78,22,no,14
212,1770859363,2026-02-11T17:22:43,78,22,no,1
213,1770859365,2026-02-11T17:22:45,78,22,yes,120
214,1770859368,2026-02-11T17:22:48,78,22,yes,6
215,1770859370,2026-02-11T17:22:50,77,23,no,26
216,1770859370,2026-02-11T17:22:50,77,23,no,14
217,1770859370,2026-02-11T17:22:50,77,23,no,100
218,1770859372,2026-02-11T17:22:52,77,23,yes,18
219,1770859386,2026-02-11T17:23:06,77,23,yes,2
220,1770859391,2026-02-11T17:23:11,76,24,no,4
221,1770859391,2026-02-11T17:23:11,76,24,no,25
222,1770859391,2026-02-11T17:23:11,76,24,no,1
223,1770859391,2026-02-11T17:23:11,76,24,no,470
224,1770859404,2026-02-11T17:23:24,77,23,yes,1
225,1770859413,2026-02-11T17:23:33,76,24,yes,14
226,1770859413,2026-02-11T17:23:33,76,24,yes,24
227,1770859414,2026-02-11T17:23:34,76,24,yes,13
228,1770859414,2026-02-11T17:23:34,76,24,yes,24
229,1770859416,2026-02-11T17:23:36,76,24,yes,14
230,1770859416,2026-02-11T17:23:36,76,24,yes,26
231,1770859419,2026-02-11T17:23:39,77,23,yes,100
232,1770859428,2026-02-11T17:23:48,77,23,no,1
233,1770859431,2026-02-11T17:23:51,77,23,no,500
234,1770859433,2026-02-11T17:23:53,78,22,yes,6
235,1770859434,2026-02-11T17:23:54,77,23,no,16
236,1770859437,2026-02-11T17:23:57,78,22,yes,1
237,1770859448,2026-02-11T17:24:08,78,22,yes,26
238,1770859448,2026-02-11T17:24:08,78,22,yes,13
239,1770859454,2026-02-11T17:24:14,79,21,yes,100
240,1770859457,2026-02-11T17:24:17,78,22,no,25
241,1770859457,2026-02-11T17:24:17,78,22,no,13
242,1770859458,2026-02-11T17:24:18,77,23,no,1
243,1770859458,2026-02-11T17:24:18,77,23,no,29
244,1770859458,2026-02-11T17:24:18,77,23,no,12
245,1770859462,2026-02-11T17:24:22,76,24,no,12
246,1770859462,2026-02-11T17:24:22,76,24,no,28
247,1770859467,2026-02-11T17:24:27,76,24,yes,19
248,1770859469,2026-02-11T17:24:29,75,25,no,12
249,1770859469,2026-02-11T17:24:29,75,25,no,27
250,1770859471,2026-02-11T17:24:31,75,25,yes,1
251,1770859473,2026-02-11T17:24:33,75,25,yes,6
252,1770859483,2026-02-11T17:24:43,73,27,yes,12
253,1770859483,2026-02-11T17:24:43,73,27,yes,1
254,1770859485,2026-02-11T17:24:45,73,27,yes,24
255,1770859485,2026-02-11T17:24:45,73,27,yes,56
256,1770859485,2026-02-11T17:24:45,73,27,yes,47
257,1770859490,2026-02-11T17:24:50,73,27,yes,13
258,1770859491,2026-02-11T17:24:51,72,28,no,6
259,1770859491,2026-02-11T17:24:51,72,28,no,94
260,1770859494,2026-02-11T17:24:54,73,27,yes,26
261,1770859494,2026-02-11T17:24:54,73,27,yes,25
262,1770859495,2026-02-11T17:24:55,73,27,yes,10
263,1770859506,2026-02-11T17:25:06,73,27,yes,12
264,1770859506,2026-02-11T17:25:06,73,27,yes,24
265,1770859506,2026-02-11T17:25:06,73,27,yes,64
266,1770859509,2026-02-11T17:25:09,73,27,yes,33
267,1770859520,2026-02-11T17:25:20,73,27,yes,10
268,1770859523,2026-02-11T17:25:23,73,27,yes,3
269,1770859523,2026-02-11T17:25:23,73,27,yes,2
270,1770859524,2026-02-11T17:25:24,72,28,no,1
271,1770859524,2026-02-11T17:25:24,72,28,no,71
272,1770859540,2026-02-11T17:25:40,73,27,yes,26
273,1770859540,2026-02-11T17:25:40,73,27,yes,14
274,1770859544,2026-02-11T17:25:44,73,27,yes,24
275,1770859544,2026-02-11T17:25:44,74,26,yes,150
276,1770859544,2026-02-11T17:25:44,74,26,yes,24
277,1770859555,2026-02-11T17:25:55,74,26,yes,24
278,1770859568,2026-02-11T17:26:08,76,24,yes,10
279,1770859568,2026-02-11T17:26:08,76,24,yes,10
280,1770859568,2026-02-11T17:26:08,76,24,yes,10
281,1770859568,2026-02-11T17:26:08,76,24,yes,34
282,1770859569,2026-02-11T17:26:09,76,24,yes,37
283,1770859569,2026-02-11T17:26:09,76,24,yes,150
284,1770859569,2026-02-11T17:26:09,76,24,yes,69
285,1770859580,2026-02-11T17:26:20,77,23,yes,6
286,1770859583,2026-02-11T17:26:23,76,24,no,29
287,1770859583,2026-02-11T17:26:23,76,24,no,1
