Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1770860708,2026-02-11T17:45:08,35,65,no,29
2,1770860744,2026-02-11T17:45:44,35,65,yes,13
3,1770860778,2026-02-11T17:46:18,35,65,yes,27
4,1770860779,2026-02-11T17:46:19,35,65,yes,64
5,1770860779,2026-02-11T17:46:19,35,65,yes,209
6,1770860795,2026-02-11T17:46:35,35,65,yes,109
7,1770860810,2026-02-11T17:46:50,35,65,yes,2
8,1770860839,2026-02-11T17:47:19,35,65,yes,19
9,1770860843,2026-02-11T17:47:23,35,65,yes,10000
10,1770860845,2026-02-11T17:47:25,35,65,yes,122
11,1770860854,2026-02-11T17:47:34,35,65,yes,52
12,1770860862,2026-02-11T17:47:42,35,65,yes,480
13,1770860887,2026-02-11T17:48:07,34,66,no,24
14,1770860890,2026-02-11T17:48:10,35,65,yes,81
15,1770860905,2026-02-11T17:48:25,35,65,yes,5
16,1770860937,2026-02-11T17:48:57,35,65,yes,26
17,1770860974,2026-02-11T17:49:34,35,65,yes,5
18,1770861006,2026-02-11T17:50:06,35,65,yes,10
19,1770861055,2026-02-11T17:50:55,35,65,yes,139
20,1770861055,2026-02-11T17:50:55,35,65,yes,134
21,1770861068,2026-02-11T17:51:08,35,65,yes,10
22,1770861068,2026-02-11T17:51:08,35,65,yes,17
23,1770861080,2026-02-11T17:51:20,35,65,yes,54
24,1770861084,2026-02-11T17:51:24,35,65,yes,13
25,1770861091,2026-02-11T17:51:31,36,64,yes,265
26,1770861093,2026-02-11T17:51:33,35,65,no,25
27,1770861115,2026-02-11T17:51:55,35,65,yes,136
28,1770861130,2026-02-11T17:52:10,35,65,yes,270
29,1770861136,2026-02-11T17:52:16,35,65,yes,30
30,1770861137,2026-02-11T17:52:17,35,65,yes,68
31,1770861163,2026-02-11T17:52:43,35,65,yes,21
32,1770861182,2026-02-11T17:53:02,35,65,yes,21
33,1770861185,2026-02-11T17:53:05,35,65,yes,27
34,1770861200,2026-02-11T17:53:20,35,65,yes,5
35,1770861218,2026-02-11T17:53:38,35,65,yes,47
36,1770861218,2026-02-11T17:53:38,35,65,yes,21
37,1770861221,2026-02-11T17:53:41,35,65,yes,40
38,1770861233,2026-02-11T17:53:53,35,65,yes,1
39,1770861233,2026-02-11T17:53:53,35,65,yes,92
40,1770861233,2026-02-11T17:53:53,35,65,yes,17
41,1770861255,2026-02-11T17:54:15,35,65,yes,83
42,1770861255,2026-02-11T17:54:15,35,65,yes,1538
43,1770861261,2026-02-11T17:54:21,35,65,yes,28
44,1770861304,2026-02-11T17:55:04,36,64,yes,2
45,1770861357,2026-02-11T17:55:57,36,64,yes,41
46,1770861357,2026-02-11T17:55:57,36,64,yes,8
47,1770861359,2026-02-11T17:55:59,36,64,yes,7
48,1770861381,2026-02-11T17:56:21,36,64,yes,3
49,1770861389,2026-02-11T17:56:29,36,64,yes,2
