Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771544776,2026-02-19T15:46:16,46,54,yes,341
2,1771544782,2026-02-19T15:46:22,45,55,no,10
3,1771544798,2026-02-19T15:46:38,46,54,yes,415
4,1771544815,2026-02-19T15:46:55,46,54,yes,20
5,1771544820,2026-02-19T15:47:00,46,54,yes,10
6,1771544824,2026-02-19T15:47:04,46,54,yes,416
7,1771544824,2026-02-19T15:47:04,45,55,no,15
8,1771544829,2026-02-19T15:47:09,46,54,yes,209
9,1771544863,2026-02-19T15:47:43,46,54,yes,10
10,1771544870,2026-02-19T15:47:50,46,54,yes,20
11,1771544881,2026-02-19T15:48:01,45,55,no,341
12,1771544883,2026-02-19T15:48:03,46,54,yes,2
13,1771544893,2026-02-19T15:48:13,46,54,yes,6
14,1771544918,2026-02-19T15:48:38,46,54,yes,100
15,1771544944,2026-02-19T15:49:04,46,54,yes,104
16,1771544947,2026-02-19T15:49:07,46,54,yes,104
17,1771544951,2026-02-19T15:49:11,45,55,no,18
18,1771544968,2026-02-19T15:49:28,46,54,yes,10
19,1771544974,2026-02-19T15:49:34,46,54,yes,3
20,1771544999,2026-02-19T15:49:59,46,54,yes,52
21,1771544999,2026-02-19T15:49:59,45,55,no,1
22,1771545000,2026-02-19T15:50:00,46,54,yes,295
23,1771545001,2026-02-19T15:50:01,46,54,yes,10
24,1771545032,2026-02-19T15:50:32,46,54,yes,108
25,1771545040,2026-02-19T15:50:40,46,54,yes,20
26,1771545058,2026-02-19T15:50:58,46,54,yes,50
27,1771545072,2026-02-19T15:51:12,46,54,yes,20
28,1771545077,2026-02-19T15:51:17,46,54,yes,10
29,1771545080,2026-02-19T15:51:20,46,54,yes,41
30,1771545084,2026-02-19T15:51:24,46,54,yes,25
31,1771545124,2026-02-19T15:52:04,46,54,yes,3061
32,1771545128,2026-02-19T15:52:08,46,54,yes,104
33,1771545138,2026-02-19T15:52:18,46,54,yes,52
34,1771545142,2026-02-19T15:52:22,46,54,yes,2
35,1771545144,2026-02-19T15:52:24,46,54,yes,2
36,1771545144,2026-02-19T15:52:24,46,54,yes,2
37,1771545169,2026-02-19T15:52:49,46,54,yes,41
38,1771545172,2026-02-19T15:52:52,46,54,yes,2
39,1771545175,2026-02-19T15:52:55,46,54,yes,15
40,1771545192,2026-02-19T15:53:12,46,54,yes,31
41,1771545218,2026-02-19T15:53:38,46,54,yes,2
42,1771545226,2026-02-19T15:53:46,46,54,yes,20
43,1771545232,2026-02-19T15:53:52,46,54,yes,51
44,1771545239,2026-02-19T15:53:59,46,54,yes,10
45,1771545245,2026-02-19T15:54:05,45,55,no,2
46,1771545267,2026-02-19T15:54:27,46,54,yes,20
47,1771545270,2026-02-19T15:54:30,46,54,yes,62
48,1771545276,2026-02-19T15:54:36,46,54,yes,10
49,1771545277,2026-02-19T15:54:37,46,54,yes,10
50,1771545286,2026-02-19T15:54:46,46,54,yes,10
51,1771545306,2026-02-19T15:55:06,46,54,yes,200
52,1771545308,2026-02-19T15:55:08,46,54,yes,104
53,1771545320,2026-02-19T15:55:20,46,54,yes,4
54,1771545325,2026-02-19T15:55:25,46,54,yes,104
55,1771545358,2026-02-19T15:55:58,46,54,yes,10
56,1771545362,2026-02-19T15:56:02,46,54,yes,104
57,1771545366,2026-02-19T15:56:06,46,54,yes,125
58,1771545376,2026-02-19T15:56:16,46,54,yes,209
59,1771545384,2026-02-19T15:56:24,46,54,yes,10
60,1771545385,2026-02-19T15:56:25,46,54,yes,160
61,1771545400,2026-02-19T15:56:40,46,54,yes,63
62,1771545408,2026-02-19T15:56:48,46,54,yes,73
63,1771545409,2026-02-19T15:56:49,46,54,yes,207
64,1771545436,2026-02-19T15:57:16,46,54,yes,205
65,1771545437,2026-02-19T15:57:17,46,54,yes,10
66,1771545451,2026-02-19T15:57:31,46,54,yes,100
67,1771545463,2026-02-19T15:57:43,46,54,yes,7
68,1771545465,2026-02-19T15:57:45,46,54,yes,10
69,1771545472,2026-02-19T15:57:52,46,54,yes,6
70,1771545476,2026-02-19T15:57:56,46,54,yes,6
71,1771545482,2026-02-19T15:58:02,46,54,yes,8
72,1771545483,2026-02-19T15:58:03,46,54,yes,30
73,1771545487,2026-02-19T15:58:07,46,54,yes,8
74,1771545489,2026-02-19T15:58:09,46,54,yes,32
75,1771545502,2026-02-19T15:58:22,46,54,yes,1
76,1771545528,2026-02-19T15:58:48,46,54,yes,10
77,1771545531,2026-02-19T15:58:51,46,54,yes,367
78,1771545559,2026-02-19T15:59:19,46,54,yes,2
79,1771545566,2026-02-19T15:59:26,46,54,yes,612
80,1771545585,2026-02-19T15:59:45,46,54,yes,306
81,1771545593,2026-02-19T15:59:53,46,54,yes,2
82,1771545599,2026-02-19T15:59:59,46,54,yes,6
83,1771545606,2026-02-19T16:00:06,46,54,yes,59
84,1771545609,2026-02-19T16:00:09,46,54,yes,10
85,1771545612,2026-02-19T16:00:12,46,54,yes,157
86,1771545612,2026-02-19T16:00:12,46,54,yes,314
87,1771545612,2026-02-19T16:00:12,46,54,yes,40
88,1771545621,2026-02-19T16:00:21,46,54,yes,20
89,1771545637,2026-02-19T16:00:37,45,55,no,1
90,1771545645,2026-02-19T16:00:45,46,54,yes,113
91,1771545646,2026-02-19T16:00:46,46,54,yes,157
92,1771545690,2026-02-19T16:01:30,46,54,yes,45
93,1771545708,2026-02-19T16:01:48,46,54,yes,32
94,1771545721,2026-02-19T16:02:01,46,54,yes,6
95,1771545724,2026-02-19T16:02:04,46,54,yes,418
96,1771545725,2026-02-19T16:02:05,46,54,yes,20
97,1771545784,2026-02-19T16:03:04,45,55,no,40
