Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771555501,2026-02-19T18:45:01,24,76,yes,69
2,1771555519,2026-02-19T18:45:19,24,76,yes,35
3,1771555527,2026-02-19T18:45:27,24,76,yes,19
4,1771555536,2026-02-19T18:45:36,23,77,no,59
5,1771555539,2026-02-19T18:45:39,24,76,yes,32
6,1771555540,2026-02-19T18:45:40,24,76,yes,1
7,1771555549,2026-02-19T18:45:49,24,76,yes,37
8,1771555557,2026-02-19T18:45:57,24,76,yes,358
9,1771555560,2026-02-19T18:46:00,24,76,yes,22
10,1771555564,2026-02-19T18:46:04,24,76,yes,31
11,1771555566,2026-02-19T18:46:06,24,76,yes,192
12,1771555573,2026-02-19T18:46:13,24,76,yes,59
13,1771555581,2026-02-19T18:46:21,24,76,yes,1250
14,1771555582,2026-02-19T18:46:22,24,76,yes,79
15,1771555589,2026-02-19T18:46:29,24,76,yes,3
16,1771555603,2026-02-19T18:46:43,24,76,yes,27
17,1771555619,2026-02-19T18:46:59,24,76,yes,158
18,1771555622,2026-02-19T18:47:02,24,76,yes,41
19,1771555624,2026-02-19T18:47:04,24,76,yes,384
20,1771555635,2026-02-19T18:47:15,24,76,yes,300
21,1771555638,2026-02-19T18:47:18,24,76,yes,98
22,1771555638,2026-02-19T18:47:18,24,76,yes,19
23,1771555638,2026-02-19T18:47:18,24,76,yes,12
24,1771555639,2026-02-19T18:47:19,24,76,yes,185
25,1771555641,2026-02-19T18:47:21,24,76,yes,38
26,1771555652,2026-02-19T18:47:32,24,76,yes,31
27,1771555666,2026-02-19T18:47:46,24,76,yes,106
28,1771555666,2026-02-19T18:47:46,24,76,yes,35
29,1771555670,2026-02-19T18:47:50,24,76,yes,51
30,1771555690,2026-02-19T18:48:10,24,76,yes,767
31,1771555707,2026-02-19T18:48:27,24,76,yes,7
32,1771555712,2026-02-19T18:48:32,24,76,yes,98
33,1771555715,2026-02-19T18:48:35,24,76,yes,98
34,1771555717,2026-02-19T18:48:37,24,76,yes,21
35,1771555729,2026-02-19T18:48:49,24,76,yes,19
36,1771555740,2026-02-19T18:49:00,24,76,yes,246
37,1771555750,2026-02-19T18:49:10,24,76,yes,11
38,1771555760,2026-02-19T18:49:20,24,76,yes,55
39,1771555761,2026-02-19T18:49:21,24,76,yes,3
40,1771555767,2026-02-19T18:49:27,24,76,yes,24
41,1771555776,2026-02-19T18:49:36,24,76,yes,18
42,1771555779,2026-02-19T18:49:39,24,76,yes,370
43,1771555789,2026-02-19T18:49:49,24,76,yes,21
44,1771555793,2026-02-19T18:49:53,24,76,yes,3
45,1771555799,2026-02-19T18:49:59,24,76,yes,11
46,1771555820,2026-02-19T18:50:20,24,76,yes,75
47,1771555841,2026-02-19T18:50:41,24,76,yes,74
48,1771555845,2026-02-19T18:50:45,23,77,no,30
49,1771555853,2026-02-19T18:50:53,24,76,yes,3
50,1771555856,2026-02-19T18:50:56,24,76,yes,76
51,1771555862,2026-02-19T18:51:02,24,76,yes,1100
52,1771555867,2026-02-19T18:51:07,24,76,yes,79
53,1771555871,2026-02-19T18:51:11,24,76,yes,385
54,1771555872,2026-02-19T18:51:12,24,76,yes,96
55,1771555875,2026-02-19T18:51:15,24,76,yes,35
56,1771555877,2026-02-19T18:51:17,24,76,yes,5
57,1771555879,2026-02-19T18:51:19,24,76,yes,198
58,1771555881,2026-02-19T18:51:21,24,76,yes,185
59,1771555888,2026-02-19T18:51:28,24,76,yes,59
60,1771555889,2026-02-19T18:51:29,24,76,yes,3
61,1771555895,2026-02-19T18:51:35,24,76,yes,100
62,1771555901,2026-02-19T18:51:41,24,76,yes,18
63,1771555905,2026-02-19T18:51:45,24,76,yes,1249
64,1771555905,2026-02-19T18:51:45,24,76,yes,37
65,1771555905,2026-02-19T18:51:45,25,75,yes,1804
66,1771555917,2026-02-19T18:51:57,23,77,no,55
67,1771555923,2026-02-19T18:52:03,25,75,yes,109
68,1771555927,2026-02-19T18:52:07,25,75,yes,35
69,1771555929,2026-02-19T18:52:09,25,75,yes,3
70,1771555932,2026-02-19T18:52:12,25,75,yes,7
71,1771555941,2026-02-19T18:52:21,25,75,yes,96
72,1771555944,2026-02-19T18:52:24,25,75,yes,370
73,1771555946,2026-02-19T18:52:26,25,75,yes,10
74,1771555951,2026-02-19T18:52:31,25,75,yes,380
75,1771555957,2026-02-19T18:52:37,25,75,yes,89
76,1771555966,2026-02-19T18:52:46,25,75,yes,50
77,1771555971,2026-02-19T18:52:51,25,75,yes,23
78,1771555994,2026-02-19T18:53:14,25,75,yes,76
79,1771556000,2026-02-19T18:53:20,25,75,yes,56
80,1771556015,2026-02-19T18:53:35,25,75,yes,64
81,1771556033,2026-02-19T18:53:53,25,75,yes,18
82,1771556035,2026-02-19T18:53:55,25,75,yes,89
83,1771556044,2026-02-19T18:54:04,25,75,yes,380
84,1771556055,2026-02-19T18:54:15,25,75,yes,11
85,1771556060,2026-02-19T18:54:20,25,75,yes,7
86,1771556065,2026-02-19T18:54:25,25,75,yes,14
87,1771556067,2026-02-19T18:54:27,25,75,yes,38
88,1771556072,2026-02-19T18:54:32,25,75,yes,15
89,1771556079,2026-02-19T18:54:39,25,75,yes,37
90,1771556083,2026-02-19T18:54:43,25,75,yes,92
91,1771556099,2026-02-19T18:54:59,25,75,yes,60
92,1771556108,2026-02-19T18:55:08,25,75,yes,3
93,1771556119,2026-02-19T18:55:19,25,75,yes,2000
