Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771721150,2026-02-21T16:45:50,19,81,yes,9
2,1771721156,2026-02-21T16:45:56,19,81,yes,7
3,1771721193,2026-02-21T16:46:33,19,81,yes,22
4,1771721193,2026-02-21T16:46:33,19,81,yes,192
5,1771721203,2026-02-21T16:46:43,18,82,no,4
6,1771721223,2026-02-21T16:47:03,19,81,yes,4
7,1771721226,2026-02-21T16:47:06,19,81,yes,50
8,1771721238,2026-02-21T16:47:18,19,81,yes,58
9,1771721238,2026-02-21T16:47:18,19,81,yes,121
10,1771721238,2026-02-21T16:47:18,19,81,yes,1
11,1771721238,2026-02-21T16:47:18,19,81,yes,159
12,1771721238,2026-02-21T16:47:18,19,81,yes,319
13,1771721238,2026-02-21T16:47:18,19,81,yes,10571
14,1771721257,2026-02-21T16:47:37,18,82,no,2
15,1771721257,2026-02-21T16:47:37,18,82,no,2
16,1771721279,2026-02-21T16:47:59,19,81,yes,4
17,1771721291,2026-02-21T16:48:11,19,81,yes,22
18,1771721398,2026-02-21T16:49:58,19,81,yes,95
19,1771721407,2026-02-21T16:50:07,19,81,yes,75
20,1771721422,2026-02-21T16:50:22,19,81,yes,75
21,1771721434,2026-02-21T16:50:34,19,81,yes,4
22,1771721456,2026-02-21T16:50:56,19,81,yes,19
23,1771721503,2026-02-21T16:51:43,19,81,yes,249
24,1771721511,2026-02-21T16:51:51,19,81,yes,99
25,1771721536,2026-02-21T16:52:16,19,81,yes,95
26,1771721539,2026-02-21T16:52:19,19,81,yes,14
27,1771721566,2026-02-21T16:52:46,19,81,yes,2
28,1771721614,2026-02-21T16:53:34,19,81,yes,49
29,1771721700,2026-02-21T16:55:00,19,81,yes,15
30,1771721700,2026-02-21T16:55:00,19,81,yes,95
31,1771721701,2026-02-21T16:55:01,18,82,no,72
32,1771721701,2026-02-21T16:55:01,18,82,no,10
33,1771721701,2026-02-21T16:55:01,18,82,no,5
34,1771721706,2026-02-21T16:55:06,19,81,yes,25
35,1771721721,2026-02-21T16:55:21,19,81,yes,24
36,1771721724,2026-02-21T16:55:24,19,81,yes,5
37,1771721729,2026-02-21T16:55:29,19,81,yes,4
38,1771721743,2026-02-21T16:55:43,19,81,yes,99
39,1771721765,2026-02-21T16:56:05,19,81,yes,2
40,1771721781,2026-02-21T16:56:21,19,81,yes,100
41,1771721798,2026-02-21T16:56:38,19,81,yes,14
42,1771721810,2026-02-21T16:56:50,19,81,yes,107
43,1771721826,2026-02-21T16:57:06,19,81,yes,5
44,1771721827,2026-02-21T16:57:07,19,81,yes,21
45,1771721830,2026-02-21T16:57:10,19,81,yes,24
46,1771721839,2026-02-21T16:57:19,19,81,yes,4
47,1771721850,2026-02-21T16:57:30,19,81,yes,45
48,1771721856,2026-02-21T16:57:36,19,81,yes,1
49,1771721862,2026-02-21T16:57:42,19,81,yes,11
50,1771721877,2026-02-21T16:57:57,19,81,yes,95
51,1771721897,2026-02-21T16:58:17,18,82,no,21
52,1771721900,2026-02-21T16:58:20,19,81,yes,9
53,1771721904,2026-02-21T16:58:24,19,81,yes,200
54,1771721926,2026-02-21T16:58:46,19,81,yes,22
55,1771721942,2026-02-21T16:59:02,19,81,yes,952
56,1771721957,2026-02-21T16:59:17,19,81,yes,44
57,1771721973,2026-02-21T16:59:33,19,81,yes,45
58,1771721978,2026-02-21T16:59:38,19,81,yes,71
59,1771722045,2026-02-21T17:00:45,19,81,yes,14
60,1771722073,2026-02-21T17:01:13,18,82,no,10
61,1771722073,2026-02-21T17:01:13,18,82,no,725
62,1771722073,2026-02-21T17:01:13,18,82,no,4
63,1771722081,2026-02-21T17:01:21,18,82,yes,303
64,1771722087,2026-02-21T17:01:27,18,82,yes,26
65,1771722096,2026-02-21T17:01:36,18,82,yes,300
66,1771722105,2026-02-21T17:01:45,18,82,yes,25
67,1771722106,2026-02-21T17:01:46,18,82,yes,47
68,1771722107,2026-02-21T17:01:47,18,82,yes,10
69,1771722119,2026-02-21T17:01:59,18,82,yes,36
70,1771722121,2026-02-21T17:02:01,18,82,yes,14
71,1771722121,2026-02-21T17:02:01,18,82,yes,12
72,1771722121,2026-02-21T17:02:01,18,82,yes,5
73,1771722130,2026-02-21T17:02:10,17,83,no,4
74,1771722141,2026-02-21T17:02:21,18,82,yes,5
75,1771722144,2026-02-21T17:02:24,18,82,yes,105
76,1771722144,2026-02-21T17:02:24,18,82,yes,52
77,1771722144,2026-02-21T17:02:24,18,82,yes,52
78,1771722152,2026-02-21T17:02:32,18,82,yes,78
79,1771722153,2026-02-21T17:02:33,18,82,yes,52
80,1771722161,2026-02-21T17:02:41,18,82,yes,5
81,1771722163,2026-02-21T17:02:43,18,82,yes,10
82,1771722166,2026-02-21T17:02:46,18,82,yes,9
83,1771722176,2026-02-21T17:02:56,18,82,yes,145
84,1771722177,2026-02-21T17:02:57,18,82,yes,1000
85,1771722186,2026-02-21T17:03:06,18,82,yes,52
86,1771722194,2026-02-21T17:03:14,18,82,yes,105
87,1771722194,2026-02-21T17:03:14,18,82,yes,500
88,1771722197,2026-02-21T17:03:17,18,82,yes,10
89,1771722200,2026-02-21T17:03:20,18,82,yes,23
90,1771722201,2026-02-21T17:03:21,18,82,yes,105
91,1771722231,2026-02-21T17:03:51,18,82,yes,52
92,1771722251,2026-02-21T17:04:11,18,82,yes,52
93,1771722257,2026-02-21T17:04:17,18,82,yes,125
94,1771722260,2026-02-21T17:04:20,18,82,yes,26
95,1771722276,2026-02-21T17:04:36,18,82,yes,376
96,1771722280,2026-02-21T17:04:40,18,82,yes,50
97,1771722283,2026-02-21T17:04:43,18,82,yes,33
98,1771722295,2026-02-21T17:04:55,18,82,yes,5
99,1771722297,2026-02-21T17:04:57,18,82,yes,262
100,1771722317,2026-02-21T17:05:17,18,82,yes,200
101,1771722322,2026-02-21T17:05:22,17,83,no,25
102,1771722323,2026-02-21T17:05:23,18,82,yes,8
103,1771722332,2026-02-21T17:05:32,18,82,yes,50
104,1771722341,2026-02-21T17:05:41,18,82,yes,10
105,1771722349,2026-02-21T17:05:49,18,82,yes,40
