Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771710304,2026-02-21T13:45:04,60,40,yes,107
2,1771710304,2026-02-21T13:45:04,60,40,yes,10
3,1771710312,2026-02-21T13:45:12,60,40,yes,16
4,1771710316,2026-02-21T13:45:16,60,40,yes,16
5,1771710325,2026-02-21T13:45:25,60,40,yes,31
6,1771710336,2026-02-21T13:45:36,60,40,yes,4
7,1771710340,2026-02-21T13:45:40,60,40,yes,40
8,1771710355,2026-02-21T13:45:55,60,40,yes,23
9,1771710375,2026-02-21T13:46:15,60,40,yes,39
10,1771710378,2026-02-21T13:46:18,60,40,yes,104
11,1771710387,2026-02-21T13:46:27,60,40,yes,11
12,1771710391,2026-02-21T13:46:31,60,40,yes,7
13,1771710391,2026-02-21T13:46:31,60,40,yes,8
14,1771710392,2026-02-21T13:46:32,60,40,yes,16
15,1771710402,2026-02-21T13:46:42,60,40,yes,16
16,1771710415,2026-02-21T13:46:55,60,40,yes,180
17,1771710422,2026-02-21T13:47:02,60,40,yes,16
18,1771710422,2026-02-21T13:47:02,60,40,yes,8
19,1771710426,2026-02-21T13:47:06,60,40,yes,122
20,1771710434,2026-02-21T13:47:14,60,40,yes,8
21,1771710441,2026-02-21T13:47:21,60,40,yes,8
22,1771710443,2026-02-21T13:47:23,60,40,yes,50
23,1771710445,2026-02-21T13:47:25,60,40,yes,32
24,1771710445,2026-02-21T13:47:25,60,40,yes,8
25,1771710454,2026-02-21T13:47:34,60,40,yes,5
26,1771710456,2026-02-21T13:47:36,60,40,yes,100
27,1771710468,2026-02-21T13:47:48,60,40,yes,162
28,1771710477,2026-02-21T13:47:57,60,40,yes,24
29,1771710478,2026-02-21T13:47:58,60,40,yes,25
30,1771710484,2026-02-21T13:48:04,60,40,yes,20
31,1771710486,2026-02-21T13:48:06,60,40,yes,19
32,1771710490,2026-02-21T13:48:10,60,40,yes,212
33,1771710500,2026-02-21T13:48:20,60,40,yes,322
34,1771710511,2026-02-21T13:48:31,60,40,yes,158
35,1771710518,2026-02-21T13:48:38,60,40,yes,15
36,1771710523,2026-02-21T13:48:43,60,40,yes,32
37,1771710526,2026-02-21T13:48:46,60,40,yes,31
38,1771710535,2026-02-21T13:48:55,60,40,yes,209
39,1771710547,2026-02-21T13:49:07,60,40,yes,23
40,1771710547,2026-02-21T13:49:07,60,40,yes,41
41,1771710554,2026-02-21T13:49:14,59,41,no,34
42,1771710554,2026-02-21T13:49:14,60,40,yes,40
43,1771710557,2026-02-21T13:49:17,60,40,yes,9
44,1771710561,2026-02-21T13:49:21,60,40,yes,162
45,1771710566,2026-02-21T13:49:26,59,41,no,11
46,1771710574,2026-02-21T13:49:34,60,40,yes,4
