Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771791304,2026-02-22T12:15:04,70,30,yes,11
2,1771791304,2026-02-22T12:15:04,70,30,yes,13
3,1771791305,2026-02-22T12:15:05,70,30,yes,244
4,1771791310,2026-02-22T12:15:10,70,30,yes,4214
5,1771791318,2026-02-22T12:15:18,70,30,yes,30
6,1771791325,2026-02-22T12:15:25,70,30,yes,69
7,1771791333,2026-02-22T12:15:33,70,30,yes,416
8,1771791335,2026-02-22T12:15:35,70,30,yes,34
9,1771791337,2026-02-22T12:15:37,70,30,yes,4
10,1771791339,2026-02-22T12:15:39,70,30,yes,139
11,1771791352,2026-02-22T12:15:52,70,30,yes,4
12,1771791352,2026-02-22T12:15:52,70,30,yes,2
13,1771791358,2026-02-22T12:15:58,70,30,yes,13
14,1771791370,2026-02-22T12:16:10,70,30,yes,349
15,1771791375,2026-02-22T12:16:15,70,30,yes,20
16,1771791379,2026-02-22T12:16:19,70,30,yes,3750
17,1771791389,2026-02-22T12:16:29,70,30,yes,68
18,1771791394,2026-02-22T12:16:34,69,31,no,14
19,1771791396,2026-02-22T12:16:36,70,30,yes,416
20,1771791397,2026-02-22T12:16:37,70,30,yes,1369
21,1771791397,2026-02-22T12:16:37,70,30,yes,120
22,1771791413,2026-02-22T12:16:53,70,30,yes,15
23,1771791423,2026-02-22T12:17:03,70,30,yes,11
24,1771791429,2026-02-22T12:17:09,70,30,yes,69
25,1771791435,2026-02-22T12:17:15,70,30,yes,13
26,1771791443,2026-02-22T12:17:23,70,30,yes,20
27,1771791446,2026-02-22T12:17:26,70,30,yes,208
28,1771791447,2026-02-22T12:17:27,70,30,yes,100
29,1771791447,2026-02-22T12:17:27,70,30,yes,925
30,1771791450,2026-02-22T12:17:30,70,30,yes,234
31,1771791450,2026-02-22T12:17:30,70,30,yes,13
32,1771791451,2026-02-22T12:17:31,70,30,yes,19
33,1771791462,2026-02-22T12:17:42,70,30,yes,50
