Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771811110,2026-02-22T17:45:10,63,37,yes,92
2,1771811113,2026-02-22T17:45:13,63,37,yes,76
3,1771811120,2026-02-22T17:45:20,63,37,yes,14
4,1771811121,2026-02-22T17:45:21,63,37,yes,25
5,1771811124,2026-02-22T17:45:24,63,37,yes,76
6,1771811125,2026-02-22T17:45:25,63,37,yes,229
7,1771811127,2026-02-22T17:45:27,63,37,yes,154
8,1771811130,2026-02-22T17:45:30,63,37,yes,10
9,1771811132,2026-02-22T17:45:32,63,37,yes,461
10,1771811136,2026-02-22T17:45:36,63,37,yes,7
11,1771811136,2026-02-22T17:45:36,63,37,yes,450
12,1771811137,2026-02-22T17:45:37,63,37,yes,38
13,1771811139,2026-02-22T17:45:39,63,37,yes,25
14,1771811142,2026-02-22T17:45:42,63,37,yes,15
15,1771811143,2026-02-22T17:45:43,63,37,yes,44
16,1771811144,2026-02-22T17:45:44,63,37,yes,80
17,1771811153,2026-02-22T17:45:53,63,37,yes,7
18,1771811156,2026-02-22T17:45:56,63,37,yes,151
19,1771811159,2026-02-22T17:45:59,62,38,no,1057
20,1771811168,2026-02-22T17:46:08,63,37,yes,38
21,1771811171,2026-02-22T17:46:11,63,37,yes,7
22,1771811184,2026-02-22T17:46:24,63,37,yes,13
23,1771811199,2026-02-22T17:46:39,63,37,yes,151
24,1771811204,2026-02-22T17:46:44,63,37,yes,77
25,1771811208,2026-02-22T17:46:48,63,37,yes,15
26,1771811212,2026-02-22T17:46:52,63,37,yes,58
27,1771811216,2026-02-22T17:46:56,63,37,yes,30
28,1771811218,2026-02-22T17:46:58,63,37,yes,38
29,1771811233,2026-02-22T17:47:13,63,37,yes,15
30,1771811240,2026-02-22T17:47:20,63,37,yes,116
31,1771811247,2026-02-22T17:47:27,63,37,yes,15
32,1771811247,2026-02-22T17:47:27,63,37,yes,15
33,1771811249,2026-02-22T17:47:29,63,37,yes,9
34,1771811266,2026-02-22T17:47:46,63,37,yes,1296
35,1771811267,2026-02-22T17:47:47,63,37,yes,32
36,1771811269,2026-02-22T17:47:49,63,37,yes,61
37,1771811270,2026-02-22T17:47:50,63,37,yes,541
38,1771811274,2026-02-22T17:47:54,63,37,yes,38
39,1771811278,2026-02-22T17:47:58,63,37,yes,15
40,1771811283,2026-02-22T17:48:03,63,37,yes,200
41,1771811286,2026-02-22T17:48:06,62,38,no,200
42,1771811287,2026-02-22T17:48:07,63,37,yes,15
43,1771811287,2026-02-22T17:48:07,63,37,yes,25
44,1771811288,2026-02-22T17:48:08,63,37,yes,15
45,1771811292,2026-02-22T17:48:12,63,37,yes,16
46,1771811296,2026-02-22T17:48:16,63,37,yes,20
47,1771811298,2026-02-22T17:48:18,63,37,yes,85
48,1771811301,2026-02-22T17:48:21,63,37,yes,70
49,1771811307,2026-02-22T17:48:27,63,37,yes,1237
50,1771811308,2026-02-22T17:48:28,63,37,yes,26
51,1771811311,2026-02-22T17:48:31,63,37,yes,7
52,1771811312,2026-02-22T17:48:32,63,37,yes,35
53,1771811314,2026-02-22T17:48:34,63,37,yes,154
54,1771811319,2026-02-22T17:48:39,63,37,yes,15
55,1771811320,2026-02-22T17:48:40,62,38,no,77
56,1771811320,2026-02-22T17:48:40,63,37,yes,77
57,1771811324,2026-02-22T17:48:44,63,37,yes,15
58,1771811327,2026-02-22T17:48:47,63,37,yes,115
59,1771811327,2026-02-22T17:48:47,63,37,yes,50
60,1771811328,2026-02-22T17:48:48,63,37,yes,110
61,1771811331,2026-02-22T17:48:51,63,37,yes,12
62,1771811333,2026-02-22T17:48:53,63,37,yes,30
63,1771811336,2026-02-22T17:48:56,63,37,yes,227
64,1771811337,2026-02-22T17:48:57,63,37,yes,103
65,1771811339,2026-02-22T17:48:59,63,37,yes,27
66,1771811348,2026-02-22T17:49:08,63,37,yes,30
67,1771811348,2026-02-22T17:49:08,63,37,yes,923
68,1771811355,2026-02-22T17:49:15,63,37,yes,15
69,1771811357,2026-02-22T17:49:17,63,37,yes,15
70,1771811358,2026-02-22T17:49:18,63,37,yes,30
71,1771811360,2026-02-22T17:49:20,63,37,yes,30
72,1771811361,2026-02-22T17:49:21,63,37,yes,846
73,1771811367,2026-02-22T17:49:27,63,37,yes,27
