Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1771983903,2026-02-24T17:45:03,68,32,yes,4
2,1771983905,2026-02-24T17:45:05,68,32,yes,28
3,1771983912,2026-02-24T17:45:12,68,32,yes,5
4,1771983926,2026-02-24T17:45:26,68,32,yes,2157
5,1771983934,2026-02-24T17:45:34,68,32,yes,142
6,1771983936,2026-02-24T17:45:36,68,32,yes,1
7,1771983936,2026-02-24T17:45:36,68,32,yes,100
8,1771983937,2026-02-24T17:45:37,68,32,yes,21
9,1771983961,2026-02-24T17:46:01,68,32,yes,214
10,1771983965,2026-02-24T17:46:05,68,32,yes,71
11,1771983979,2026-02-24T17:46:19,68,32,yes,30
12,1771983980,2026-02-24T17:46:20,68,32,yes,7
13,1771983981,2026-02-24T17:46:21,68,32,yes,449
14,1771983982,2026-02-24T17:46:22,68,32,yes,7
15,1771983985,2026-02-24T17:46:25,68,32,yes,35
16,1771983993,2026-02-24T17:46:33,68,32,yes,50
17,1771984011,2026-02-24T17:46:51,68,32,yes,35
18,1771984017,2026-02-24T17:46:57,68,32,yes,143
19,1771984030,2026-02-24T17:47:10,68,32,yes,10
20,1771984034,2026-02-24T17:47:14,68,32,yes,71
21,1771984048,2026-02-24T17:47:28,68,32,yes,270
22,1771984050,2026-02-24T17:47:30,68,32,yes,7
23,1771984053,2026-02-24T17:47:33,68,32,yes,1408
24,1771984060,2026-02-24T17:47:40,68,32,yes,1
25,1771984062,2026-02-24T17:47:42,68,32,yes,10
26,1771984066,2026-02-24T17:47:46,67,33,no,66
27,1771984093,2026-02-24T17:48:13,68,32,yes,18
28,1771984093,2026-02-24T17:48:13,68,32,yes,96
29,1771984099,2026-02-24T17:48:19,68,32,yes,14
30,1771984108,2026-02-24T17:48:28,67,33,no,41
31,1771984108,2026-02-24T17:48:28,67,33,no,42
32,1771984113,2026-02-24T17:48:33,68,32,yes,14
33,1771984121,2026-02-24T17:48:41,68,32,yes,2
34,1771984129,2026-02-24T17:48:49,68,32,yes,20
35,1771984130,2026-02-24T17:48:50,68,32,yes,14
36,1771984132,2026-02-24T17:48:52,68,32,yes,8
37,1771984134,2026-02-24T17:48:54,68,32,yes,115
38,1771984138,2026-02-24T17:48:58,68,32,yes,71
39,1771984154,2026-02-24T17:49:14,68,32,yes,8
40,1771984159,2026-02-24T17:49:19,68,32,yes,300
41,1771984165,2026-02-24T17:49:25,68,32,yes,14
42,1771984173,2026-02-24T17:49:33,68,32,yes,123
43,1771984182,2026-02-24T17:49:42,68,32,yes,357
44,1771984185,2026-02-24T17:49:45,68,32,yes,7
45,1771984190,2026-02-24T17:49:50,68,32,yes,7
46,1771984195,2026-02-24T17:49:55,68,32,yes,10
47,1771984208,2026-02-24T17:50:08,68,32,yes,40
48,1771984214,2026-02-24T17:50:14,68,32,yes,30
49,1771984216,2026-02-24T17:50:16,68,32,yes,17
50,1771984219,2026-02-24T17:50:19,68,32,yes,71
51,1771984229,2026-02-24T17:50:29,68,32,yes,5
52,1771984236,2026-02-24T17:50:36,68,32,yes,28
53,1771984237,2026-02-24T17:50:37,68,32,yes,8
54,1771984237,2026-02-24T17:50:37,68,32,yes,14
55,1771984239,2026-02-24T17:50:39,68,32,yes,714
56,1771984243,2026-02-24T17:50:43,68,32,yes,142
57,1771984253,2026-02-24T17:50:53,68,32,yes,11
58,1771984256,2026-02-24T17:50:56,68,32,yes,20
59,1771984257,2026-02-24T17:50:57,68,32,yes,7
60,1771984258,2026-02-24T17:50:58,68,32,yes,214
61,1771984269,2026-02-24T17:51:09,68,32,yes,21
62,1771984272,2026-02-24T17:51:12,68,32,yes,186
63,1771984276,2026-02-24T17:51:16,68,32,yes,5214
64,1771984280,2026-02-24T17:51:20,68,32,yes,287
65,1771984292,2026-02-24T17:51:32,68,32,yes,7
66,1771984308,2026-02-24T17:51:48,68,32,yes,14
67,1771984309,2026-02-24T17:51:49,68,32,yes,287
68,1771984312,2026-02-24T17:51:52,68,32,yes,705
69,1771984313,2026-02-24T17:51:53,68,32,yes,143
