Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772149502,2026-02-26T15:45:02,15,85,yes,1573
2,1772149506,2026-02-26T15:45:06,15,85,yes,10
3,1772149507,2026-02-26T15:45:07,15,85,yes,31
4,1772149516,2026-02-26T15:45:16,15,85,yes,6
5,1772149521,2026-02-26T15:45:21,15,85,yes,111
6,1772149523,2026-02-26T15:45:23,15,85,yes,29
7,1772149527,2026-02-26T15:45:27,15,85,yes,62
8,1772149533,2026-02-26T15:45:33,15,85,yes,12
9,1772149536,2026-02-26T15:45:36,15,85,yes,117
10,1772149538,2026-02-26T15:45:38,15,85,yes,188
11,1772149538,2026-02-26T15:45:38,15,85,yes,29
12,1772149538,2026-02-26T15:45:38,15,85,yes,31
13,1772149540,2026-02-26T15:45:40,15,85,yes,18
14,1772149542,2026-02-26T15:45:42,15,85,yes,5
15,1772149542,2026-02-26T15:45:42,15,85,yes,129
16,1772149551,2026-02-26T15:45:51,15,85,yes,42
17,1772149553,2026-02-26T15:45:53,15,85,yes,62
18,1772149559,2026-02-26T15:45:59,15,85,yes,157
19,1772149560,2026-02-26T15:46:00,15,85,yes,27
20,1772149566,2026-02-26T15:46:06,15,85,yes,6
21,1772149570,2026-02-26T15:46:10,15,85,yes,61
22,1772149570,2026-02-26T15:46:10,15,85,yes,56
23,1772149578,2026-02-26T15:46:18,15,85,yes,218
24,1772149579,2026-02-26T15:46:19,15,85,yes,32
25,1772149587,2026-02-26T15:46:27,15,85,yes,12
26,1772149594,2026-02-26T15:46:34,15,85,yes,1
27,1772149595,2026-02-26T15:46:35,15,85,yes,1
28,1772149598,2026-02-26T15:46:38,15,85,yes,31
29,1772149613,2026-02-26T15:46:53,15,85,yes,94
30,1772149621,2026-02-26T15:47:01,15,85,yes,2941
31,1772149625,2026-02-26T15:47:05,14,86,no,4376
32,1772149627,2026-02-26T15:47:07,15,85,yes,147
33,1772149633,2026-02-26T15:47:13,15,85,yes,27
34,1772149642,2026-02-26T15:47:22,15,85,yes,157
35,1772149647,2026-02-26T15:47:27,15,85,yes,18
36,1772149652,2026-02-26T15:47:32,15,85,yes,58
37,1772149655,2026-02-26T15:47:35,15,85,yes,37
38,1772149663,2026-02-26T15:47:43,15,85,yes,294
39,1772149664,2026-02-26T15:47:44,15,85,yes,62
40,1772149666,2026-02-26T15:47:46,15,85,yes,29
41,1772149668,2026-02-26T15:47:48,15,85,yes,70
42,1772149669,2026-02-26T15:47:49,15,85,yes,5
43,1772149677,2026-02-26T15:47:57,15,85,yes,58
44,1772149686,2026-02-26T15:48:06,15,85,yes,188
45,1772149688,2026-02-26T15:48:08,15,85,yes,2
46,1772149691,2026-02-26T15:48:11,15,85,yes,62
47,1772149695,2026-02-26T15:48:15,15,85,yes,31
48,1772149699,2026-02-26T15:48:19,15,85,yes,6
49,1772149704,2026-02-26T15:48:24,15,85,yes,111
50,1772149709,2026-02-26T15:48:29,15,85,yes,5852
51,1772149714,2026-02-26T15:48:34,15,85,yes,170
52,1772149719,2026-02-26T15:48:39,15,85,yes,1
53,1772149720,2026-02-26T15:48:40,15,85,yes,5
54,1772149723,2026-02-26T15:48:43,15,85,yes,55
55,1772149724,2026-02-26T15:48:44,15,85,yes,31
56,1772149732,2026-02-26T15:48:52,15,85,yes,99
57,1772149742,2026-02-26T15:49:02,15,85,yes,11
58,1772149747,2026-02-26T15:49:07,15,85,yes,4
59,1772149750,2026-02-26T15:49:10,15,85,yes,125
60,1772149751,2026-02-26T15:49:11,15,85,yes,100
61,1772149753,2026-02-26T15:49:13,15,85,yes,27
62,1772149763,2026-02-26T15:49:23,15,85,yes,32
63,1772149769,2026-02-26T15:49:29,15,85,yes,147
64,1772149769,2026-02-26T15:49:29,15,85,yes,58
65,1772149775,2026-02-26T15:49:35,15,85,yes,50
66,1772149779,2026-02-26T15:49:39,15,85,yes,3
67,1772149783,2026-02-26T15:49:43,15,85,yes,62
68,1772149784,2026-02-26T15:49:44,15,85,yes,105
69,1772149786,2026-02-26T15:49:46,15,85,yes,117
70,1772149791,2026-02-26T15:49:51,15,85,yes,163
71,1772149792,2026-02-26T15:49:52,15,85,yes,149
72,1772149792,2026-02-26T15:49:52,15,85,yes,6
73,1772149794,2026-02-26T15:49:54,15,85,yes,138
74,1772149799,2026-02-26T15:49:59,15,85,yes,12
75,1772149802,2026-02-26T15:50:02,15,85,yes,12
76,1772149813,2026-02-26T15:50:13,15,85,yes,10
77,1772149819,2026-02-26T15:50:19,15,85,yes,72
78,1772149825,2026-02-26T15:50:25,14,86,no,1
79,1772149827,2026-02-26T15:50:27,15,85,yes,62
80,1772149836,2026-02-26T15:50:36,15,85,yes,125
81,1772149837,2026-02-26T15:50:37,15,85,yes,12
82,1772149843,2026-02-26T15:50:43,15,85,yes,1
83,1772149847,2026-02-26T15:50:47,15,85,yes,16
84,1772149848,2026-02-26T15:50:48,15,85,yes,31
85,1772149857,2026-02-26T15:50:57,15,85,yes,31
86,1772149858,2026-02-26T15:50:58,15,85,yes,31
87,1772149863,2026-02-26T15:51:03,15,85,yes,64
88,1772149877,2026-02-26T15:51:17,15,85,yes,629
