Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772331303,2026-02-28T18:15:03,67,33,yes,2
2,1772331304,2026-02-28T18:15:04,67,33,yes,434
3,1772331307,2026-02-28T18:15:07,67,33,yes,3
4,1772331316,2026-02-28T18:15:16,67,33,yes,13
5,1772331316,2026-02-28T18:15:16,67,33,yes,71
6,1772331319,2026-02-28T18:15:19,67,33,yes,72
7,1772331324,2026-02-28T18:15:24,67,33,yes,400
8,1772331325,2026-02-28T18:15:25,67,33,yes,5
9,1772331327,2026-02-28T18:15:27,67,33,yes,300
10,1772331328,2026-02-28T18:15:28,67,33,yes,22
11,1772331330,2026-02-28T18:15:30,67,33,yes,7
12,1772331331,2026-02-28T18:15:31,67,33,yes,58
13,1772331333,2026-02-28T18:15:33,67,33,yes,74
14,1772331337,2026-02-28T18:15:37,67,33,yes,72
15,1772331338,2026-02-28T18:15:38,67,33,yes,56
16,1772331340,2026-02-28T18:15:40,67,33,yes,218
17,1772331341,2026-02-28T18:15:41,67,33,yes,18
18,1772331344,2026-02-28T18:15:44,67,33,yes,10
19,1772331350,2026-02-28T18:15:50,67,33,yes,72
20,1772331353,2026-02-28T18:15:53,67,33,yes,23
21,1772331355,2026-02-28T18:15:55,67,33,yes,21
22,1772331366,2026-02-28T18:16:06,67,33,yes,6
23,1772331366,2026-02-28T18:16:06,67,33,yes,2
24,1772331374,2026-02-28T18:16:14,67,33,yes,144
25,1772331374,2026-02-28T18:16:14,67,33,yes,15
26,1772331376,2026-02-28T18:16:16,67,33,yes,5
27,1772331378,2026-02-28T18:16:18,67,33,yes,36
28,1772331380,2026-02-28T18:16:20,67,33,yes,289
29,1772331382,2026-02-28T18:16:22,67,33,yes,17
30,1772331383,2026-02-28T18:16:23,67,33,yes,36
31,1772331383,2026-02-28T18:16:23,67,33,yes,1
32,1772331384,2026-02-28T18:16:24,66,34,no,579
33,1772331386,2026-02-28T18:16:26,67,33,yes,579
34,1772331386,2026-02-28T18:16:26,67,33,yes,100
35,1772331392,2026-02-28T18:16:32,67,33,yes,28
36,1772331393,2026-02-28T18:16:33,67,33,yes,163
37,1772331396,2026-02-28T18:16:36,67,33,yes,14
38,1772331407,2026-02-28T18:16:47,67,33,yes,58
39,1772331413,2026-02-28T18:16:53,67,33,yes,14
40,1772331413,2026-02-28T18:16:53,67,33,yes,1449
41,1772331414,2026-02-28T18:16:54,67,33,yes,10
42,1772331417,2026-02-28T18:16:57,67,33,yes,7
43,1772331420,2026-02-28T18:17:00,67,33,yes,43
44,1772331425,2026-02-28T18:17:05,67,33,yes,25
45,1772331439,2026-02-28T18:17:19,67,33,yes,51
46,1772331439,2026-02-28T18:17:19,67,33,yes,7
47,1772331444,2026-02-28T18:17:24,67,33,yes,2
48,1772331446,2026-02-28T18:17:26,67,33,yes,100
49,1772331456,2026-02-28T18:17:36,67,33,yes,7
50,1772331460,2026-02-28T18:17:40,67,33,yes,53
51,1772331466,2026-02-28T18:17:46,67,33,yes,72
52,1772331469,2026-02-28T18:17:49,67,33,yes,21
53,1772331472,2026-02-28T18:17:52,67,33,yes,15
54,1772331473,2026-02-28T18:17:53,67,33,yes,72
55,1772331475,2026-02-28T18:17:55,67,33,yes,46
56,1772331476,2026-02-28T18:17:56,67,33,yes,364
57,1772331477,2026-02-28T18:17:57,67,33,yes,1
58,1772331484,2026-02-28T18:18:04,67,33,yes,2
59,1772331489,2026-02-28T18:18:09,67,33,yes,32
60,1772331491,2026-02-28T18:18:11,67,33,yes,5
61,1772331493,2026-02-28T18:18:13,67,33,yes,72
62,1772331496,2026-02-28T18:18:16,67,33,yes,72
63,1772331519,2026-02-28T18:18:39,67,33,yes,10
64,1772331522,2026-02-28T18:18:42,67,33,yes,2
65,1772331523,2026-02-28T18:18:43,67,33,yes,253
66,1772331523,2026-02-28T18:18:43,67,33,yes,36
67,1772331527,2026-02-28T18:18:47,67,33,yes,666
68,1772331528,2026-02-28T18:18:48,67,33,yes,74
69,1772331531,2026-02-28T18:18:51,67,33,yes,92
70,1772331533,2026-02-28T18:18:53,67,33,yes,18
71,1772331536,2026-02-28T18:18:56,67,33,yes,2
72,1772331537,2026-02-28T18:18:57,67,33,yes,260
73,1772331539,2026-02-28T18:18:59,67,33,yes,14
74,1772331548,2026-02-28T18:19:08,67,33,yes,20
75,1772331548,2026-02-28T18:19:08,67,33,yes,36
76,1772331548,2026-02-28T18:19:08,67,33,yes,2
77,1772331557,2026-02-28T18:19:17,67,33,yes,28
78,1772331561,2026-02-28T18:19:21,67,33,yes,87
79,1772331565,2026-02-28T18:19:25,67,33,yes,81
80,1772331567,2026-02-28T18:19:27,67,33,yes,30
81,1772331569,2026-02-28T18:19:29,67,33,yes,73
82,1772331570,2026-02-28T18:19:30,67,33,yes,1
83,1772331572,2026-02-28T18:19:32,67,33,yes,4
84,1772331582,2026-02-28T18:19:42,67,33,yes,1
85,1772331585,2026-02-28T18:19:45,67,33,yes,14
86,1772331586,2026-02-28T18:19:46,67,33,yes,42
87,1772331587,2026-02-28T18:19:47,67,33,yes,28
88,1772331591,2026-02-28T18:19:51,67,33,yes,27
89,1772331592,2026-02-28T18:19:52,67,33,yes,50
90,1772331599,2026-02-28T18:19:59,67,33,yes,36
91,1772331608,2026-02-28T18:20:08,67,33,yes,38
92,1772331610,2026-02-28T18:20:10,67,33,yes,35
93,1772331610,2026-02-28T18:20:10,67,33,yes,72
94,1772331611,2026-02-28T18:20:11,66,34,no,10
95,1772331613,2026-02-28T18:20:13,67,33,yes,7
96,1772331614,2026-02-28T18:20:14,67,33,yes,39
97,1772331615,2026-02-28T18:20:15,67,33,yes,7
98,1772331616,2026-02-28T18:20:16,67,33,yes,87
99,1772331617,2026-02-28T18:20:17,67,33,yes,100
100,1772331622,2026-02-28T18:20:22,67,33,yes,1458
101,1772331623,2026-02-28T18:20:23,67,33,yes,10
102,1772331624,2026-02-28T18:20:24,67,33,yes,2
103,1772331633,2026-02-28T18:20:33,67,33,yes,29
104,1772331634,2026-02-28T18:20:34,67,33,yes,130
105,1772331638,2026-02-28T18:20:38,67,33,yes,71
106,1772331640,2026-02-28T18:20:40,67,33,yes,21
107,1772331641,2026-02-28T18:20:41,67,33,yes,7
108,1772331643,2026-02-28T18:20:43,67,33,yes,7
109,1772331643,2026-02-28T18:20:43,67,33,yes,14
110,1772331643,2026-02-28T18:20:43,67,33,yes,78
111,1772331644,2026-02-28T18:20:44,67,33,yes,21
112,1772331644,2026-02-28T18:20:44,67,33,yes,4
113,1772331645,2026-02-28T18:20:45,67,33,yes,14
114,1772331648,2026-02-28T18:20:48,67,33,yes,58
115,1772331649,2026-02-28T18:20:49,67,33,yes,131
116,1772331650,2026-02-28T18:20:50,67,33,yes,17
117,1772331652,2026-02-28T18:20:52,67,33,yes,14
118,1772331655,2026-02-28T18:20:55,67,33,yes,51
119,1772331655,2026-02-28T18:20:55,67,33,yes,74
120,1772331656,2026-02-28T18:20:56,67,33,yes,9660
121,1772331659,2026-02-28T18:20:59,67,33,yes,362
122,1772331660,2026-02-28T18:21:00,67,33,yes,72
123,1772331664,2026-02-28T18:21:04,67,33,yes,72
124,1772331665,2026-02-28T18:21:05,67,33,yes,434
125,1772331666,2026-02-28T18:21:06,67,33,yes,7
126,1772331672,2026-02-28T18:21:12,67,33,yes,85
127,1772331673,2026-02-28T18:21:13,67,33,yes,13
128,1772331673,2026-02-28T18:21:13,67,33,yes,211
129,1772331674,2026-02-28T18:21:14,67,33,yes,161
130,1772331676,2026-02-28T18:21:16,67,33,yes,2047
131,1772331686,2026-02-28T18:21:26,67,33,yes,64
132,1772331689,2026-02-28T18:21:29,67,33,yes,14
133,1772331691,2026-02-28T18:21:31,67,33,yes,7
134,1772331692,2026-02-28T18:21:32,67,33,yes,28
135,1772331694,2026-02-28T18:21:34,67,33,yes,29
136,1772331696,2026-02-28T18:21:36,67,33,yes,14
137,1772331698,2026-02-28T18:21:38,67,33,yes,4
138,1772331699,2026-02-28T18:21:39,67,33,yes,29
139,1772331701,2026-02-28T18:21:41,67,33,yes,13
140,1772331704,2026-02-28T18:21:44,67,33,yes,40
141,1772331706,2026-02-28T18:21:46,67,33,yes,454
142,1772331708,2026-02-28T18:21:48,67,33,yes,9
143,1772331710,2026-02-28T18:21:50,67,33,yes,21
144,1772331710,2026-02-28T18:21:50,66,34,no,17
145,1772331711,2026-02-28T18:21:51,67,33,yes,72
146,1772331714,2026-02-28T18:21:54,67,33,yes,10
147,1772331716,2026-02-28T18:21:56,67,33,yes,1
148,1772331717,2026-02-28T18:21:57,67,33,yes,42
149,1772331717,2026-02-28T18:21:57,67,33,yes,7
150,1772331718,2026-02-28T18:21:58,67,33,yes,90
151,1772331721,2026-02-28T18:22:01,67,33,yes,300
152,1772331722,2026-02-28T18:22:02,67,33,yes,1449
153,1772331723,2026-02-28T18:22:03,67,33,yes,1
154,1772331726,2026-02-28T18:22:06,67,33,yes,14
155,1772331726,2026-02-28T18:22:06,66,34,no,60
156,1772331733,2026-02-28T18:22:13,67,33,yes,80
157,1772331742,2026-02-28T18:22:22,67,33,yes,1184
158,1772331743,2026-02-28T18:22:23,67,33,yes,246
159,1772331746,2026-02-28T18:22:26,66,34,no,97
160,1772331746,2026-02-28T18:22:26,67,33,yes,100
161,1772331748,2026-02-28T18:22:28,67,33,yes,14
162,1772331756,2026-02-28T18:22:36,67,33,yes,37
163,1772331761,2026-02-28T18:22:41,67,33,yes,25
164,1772331763,2026-02-28T18:22:43,67,33,yes,143
165,1772331766,2026-02-28T18:22:46,67,33,yes,72
166,1772331767,2026-02-28T18:22:47,67,33,yes,18
167,1772331769,2026-02-28T18:22:49,67,33,yes,36
168,1772331771,2026-02-28T18:22:51,67,33,yes,144
169,1772331780,2026-02-28T18:23:00,67,33,yes,14
170,1772331787,2026-02-28T18:23:07,67,33,yes,145
171,1772331794,2026-02-28T18:23:14,67,33,yes,180
172,1772331797,2026-02-28T18:23:17,67,33,yes,218
173,1772331800,2026-02-28T18:23:20,67,33,yes,204
174,1772331805,2026-02-28T18:23:25,67,33,yes,30
175,1772331808,2026-02-28T18:23:28,67,33,yes,85
176,1772331811,2026-02-28T18:23:31,67,33,yes,87
177,1772331820,2026-02-28T18:23:40,67,33,yes,13
178,1772331826,2026-02-28T18:23:46,67,33,yes,4
179,1772331836,2026-02-28T18:23:56,67,33,yes,2
180,1772331839,2026-02-28T18:23:59,67,33,yes,5
181,1772331841,2026-02-28T18:24:01,67,33,yes,300
182,1772331842,2026-02-28T18:24:02,67,33,yes,46
183,1772331843,2026-02-28T18:24:03,67,33,yes,510
184,1772331843,2026-02-28T18:24:03,67,33,yes,72
185,1772331849,2026-02-28T18:24:09,67,33,yes,364
186,1772331855,2026-02-28T18:24:15,67,33,yes,170
187,1772331863,2026-02-28T18:24:23,67,33,yes,96
188,1772331864,2026-02-28T18:24:24,67,33,yes,29
189,1772331865,2026-02-28T18:24:25,67,33,yes,100
190,1772331866,2026-02-28T18:24:26,67,33,yes,4
191,1772331866,2026-02-28T18:24:26,67,33,yes,145
192,1772331868,2026-02-28T18:24:28,67,33,yes,14
193,1772331868,2026-02-28T18:24:28,67,33,yes,200
194,1772331871,2026-02-28T18:24:31,67,33,yes,72
195,1772331873,2026-02-28T18:24:33,67,33,yes,82
196,1772331874,2026-02-28T18:24:34,67,33,yes,7
197,1772331878,2026-02-28T18:24:38,67,33,yes,14
198,1772331879,2026-02-28T18:24:39,67,33,yes,24
199,1772331880,2026-02-28T18:24:40,67,33,yes,72
200,1772331883,2026-02-28T18:24:43,67,33,yes,2
201,1772331885,2026-02-28T18:24:45,67,33,yes,3647
202,1772331889,2026-02-28T18:24:49,67,33,yes,29
203,1772331896,2026-02-28T18:24:56,67,33,yes,142
204,1772331898,2026-02-28T18:24:58,67,33,yes,60
205,1772331901,2026-02-28T18:25:01,67,33,yes,150
206,1772331909,2026-02-28T18:25:09,67,33,yes,50
207,1772331922,2026-02-28T18:25:22,67,33,yes,325
208,1772331928,2026-02-28T18:25:28,67,33,yes,19
209,1772331931,2026-02-28T18:25:31,67,33,yes,1
210,1772331940,2026-02-28T18:25:40,67,33,yes,10
211,1772331944,2026-02-28T18:25:44,67,33,yes,36
212,1772331945,2026-02-28T18:25:45,67,33,yes,14
213,1772331946,2026-02-28T18:25:46,67,33,yes,32
214,1772331946,2026-02-28T18:25:46,67,33,yes,56
215,1772331947,2026-02-28T18:25:47,67,33,yes,50
216,1772331953,2026-02-28T18:25:53,66,34,no,139
217,1772331960,2026-02-28T18:26:00,67,33,yes,36
218,1772331961,2026-02-28T18:26:01,67,33,yes,578
219,1772331967,2026-02-28T18:26:07,67,33,yes,36
220,1772331970,2026-02-28T18:26:10,67,33,yes,4226
221,1772331983,2026-02-28T18:26:23,67,33,yes,145
222,1772331985,2026-02-28T18:26:25,67,33,yes,362
223,1772331991,2026-02-28T18:26:31,67,33,yes,30
224,1772331992,2026-02-28T18:26:32,67,33,yes,1057
225,1772331994,2026-02-28T18:26:34,67,33,yes,30
226,1772331999,2026-02-28T18:26:39,67,33,yes,144
227,1772332003,2026-02-28T18:26:43,67,33,yes,204
228,1772332006,2026-02-28T18:26:46,67,33,yes,2
229,1772332015,2026-02-28T18:26:55,67,33,yes,7246
230,1772332018,2026-02-28T18:26:58,67,33,yes,15
231,1772332019,2026-02-28T18:26:59,67,33,yes,50
232,1772332040,2026-02-28T18:27:20,67,33,yes,7
233,1772332041,2026-02-28T18:27:21,67,33,yes,145
234,1772332042,2026-02-28T18:27:22,67,33,yes,1
235,1772332047,2026-02-28T18:27:27,67,33,yes,85
236,1772332052,2026-02-28T18:27:32,67,33,yes,100
237,1772332052,2026-02-28T18:27:32,67,33,yes,14
238,1772332059,2026-02-28T18:27:39,67,33,yes,36
239,1772332060,2026-02-28T18:27:40,67,33,yes,20
240,1772332060,2026-02-28T18:27:40,67,33,yes,14
241,1772332062,2026-02-28T18:27:42,67,33,yes,28
242,1772332065,2026-02-28T18:27:45,67,33,yes,10
243,1772332072,2026-02-28T18:27:52,67,33,yes,244
244,1772332075,2026-02-28T18:27:55,67,33,yes,43
245,1772332076,2026-02-28T18:27:56,67,33,yes,290
246,1772332078,2026-02-28T18:27:58,67,33,yes,10
247,1772332082,2026-02-28T18:28:02,67,33,yes,144
248,1772332085,2026-02-28T18:28:05,67,33,yes,5
249,1772332089,2026-02-28T18:28:09,67,33,yes,50
250,1772332089,2026-02-28T18:28:09,67,33,yes,131
251,1772332093,2026-02-28T18:28:13,67,33,yes,63
252,1772332093,2026-02-28T18:28:13,67,33,yes,583
253,1772332096,2026-02-28T18:28:16,67,33,yes,250
254,1772332099,2026-02-28T18:28:19,67,33,yes,13
255,1772332103,2026-02-28T18:28:23,67,33,yes,7
256,1772332104,2026-02-28T18:28:24,67,33,yes,235
257,1772332109,2026-02-28T18:28:29,67,33,yes,1
258,1772332111,2026-02-28T18:28:31,66,34,no,14
259,1772332112,2026-02-28T18:28:32,67,33,yes,30
260,1772332113,2026-02-28T18:28:33,67,33,yes,1000
261,1772332113,2026-02-28T18:28:33,67,33,yes,36
262,1772332118,2026-02-28T18:28:38,67,33,yes,227
263,1772332127,2026-02-28T18:28:47,67,33,yes,1
264,1772332128,2026-02-28T18:28:48,67,33,yes,14
265,1772332130,2026-02-28T18:28:50,67,33,yes,289
266,1772332139,2026-02-28T18:28:59,66,34,no,5
267,1772332140,2026-02-28T18:29:00,67,33,yes,437
268,1772332142,2026-02-28T18:29:02,67,33,yes,14
269,1772332148,2026-02-28T18:29:08,67,33,yes,36
270,1772332148,2026-02-28T18:29:08,67,33,yes,144
271,1772332149,2026-02-28T18:29:09,67,33,yes,72
272,1772332151,2026-02-28T18:29:11,67,33,yes,200
273,1772332151,2026-02-28T18:29:11,67,33,yes,7
274,1772332155,2026-02-28T18:29:15,67,33,yes,2
275,1772332159,2026-02-28T18:29:19,67,33,yes,50
276,1772332162,2026-02-28T18:29:22,67,33,yes,3
277,1772332163,2026-02-28T18:29:23,67,33,yes,21
278,1772332170,2026-02-28T18:29:30,67,33,yes,29
279,1772332172,2026-02-28T18:29:32,67,33,yes,11
280,1772332173,2026-02-28T18:29:33,67,33,yes,10
281,1772332174,2026-02-28T18:29:34,67,33,yes,7
282,1772332177,2026-02-28T18:29:37,67,33,yes,4
283,1772332178,2026-02-28T18:29:38,67,33,yes,29
284,1772332179,2026-02-28T18:29:39,67,33,yes,2173
285,1772332181,2026-02-28T18:29:41,67,33,yes,1
286,1772332182,2026-02-28T18:29:42,67,33,yes,144
287,1772332188,2026-02-28T18:29:48,67,33,yes,21
288,1772332189,2026-02-28T18:29:49,67,33,yes,13
289,1772332189,2026-02-28T18:29:49,67,33,yes,208
290,1772332193,2026-02-28T18:29:53,67,33,yes,34
291,1772332196,2026-02-28T18:29:56,67,33,yes,320
292,1772332199,2026-02-28T18:29:59,67,33,yes,1
293,1772332208,2026-02-28T18:30:08,66,34,no,3
294,1772332210,2026-02-28T18:30:10,67,33,yes,31
295,1772332211,2026-02-28T18:30:11,67,33,yes,72
296,1772332211,2026-02-28T18:30:11,67,33,yes,165
297,1772332213,2026-02-28T18:30:13,67,33,yes,7
298,1772332214,2026-02-28T18:30:14,67,33,yes,43
299,1772332216,2026-02-28T18:30:16,67,33,yes,4
300,1772332218,2026-02-28T18:30:18,67,33,yes,14
301,1772332223,2026-02-28T18:30:23,67,33,yes,14
302,1772332231,2026-02-28T18:30:31,67,33,yes,23
303,1772332236,2026-02-28T18:30:36,67,33,yes,1
304,1772332244,2026-02-28T18:30:44,67,33,yes,72
305,1772332245,2026-02-28T18:30:45,67,33,yes,21
306,1772332246,2026-02-28T18:30:46,67,33,yes,36
307,1772332249,2026-02-28T18:30:49,66,34,no,28
308,1772332250,2026-02-28T18:30:50,67,33,yes,29
309,1772332250,2026-02-28T18:30:50,67,33,yes,200
310,1772332252,2026-02-28T18:30:52,67,33,yes,87
311,1772332253,2026-02-28T18:30:53,67,33,yes,29
312,1772332254,2026-02-28T18:30:54,67,33,yes,10
313,1772332261,2026-02-28T18:31:01,67,33,yes,7
314,1772332262,2026-02-28T18:31:02,67,33,yes,3
315,1772332263,2026-02-28T18:31:03,67,33,yes,145
316,1772332269,2026-02-28T18:31:09,67,33,yes,2
317,1772332272,2026-02-28T18:31:12,67,33,yes,144
318,1772332273,2026-02-28T18:31:13,67,33,yes,179
319,1772332279,2026-02-28T18:31:19,67,33,yes,2
320,1772332280,2026-02-28T18:31:20,67,33,yes,25
321,1772332280,2026-02-28T18:31:20,67,33,yes,21
322,1772332281,2026-02-28T18:31:21,67,33,yes,7
323,1772332283,2026-02-28T18:31:23,67,33,yes,7
324,1772332284,2026-02-28T18:31:24,67,33,yes,218
325,1772332296,2026-02-28T18:31:36,67,33,yes,36
326,1772332296,2026-02-28T18:31:36,67,33,yes,114
327,1772332298,2026-02-28T18:31:38,67,33,yes,1
328,1772332299,2026-02-28T18:31:39,66,34,no,69
329,1772332299,2026-02-28T18:31:39,67,33,yes,197
330,1772332305,2026-02-28T18:31:45,67,33,yes,100
331,1772332309,2026-02-28T18:31:49,67,33,yes,1449
332,1772332313,2026-02-28T18:31:53,67,33,yes,2550
333,1772332314,2026-02-28T18:31:54,67,33,yes,534
334,1772332314,2026-02-28T18:31:54,67,33,yes,144
335,1772332319,2026-02-28T18:31:59,67,33,yes,29
336,1772332333,2026-02-28T18:32:13,67,33,yes,42
337,1772332336,2026-02-28T18:32:16,67,33,yes,142
338,1772332337,2026-02-28T18:32:17,67,33,yes,584
339,1772332339,2026-02-28T18:32:19,67,33,yes,727
340,1772332341,2026-02-28T18:32:21,67,33,yes,62
341,1772332342,2026-02-28T18:32:22,67,33,yes,36
342,1772332345,2026-02-28T18:32:25,67,33,yes,12
343,1772332347,2026-02-28T18:32:27,67,33,yes,2
344,1772332348,2026-02-28T18:32:28,66,34,no,2979
345,1772332348,2026-02-28T18:32:28,66,34,no,100
346,1772332348,2026-02-28T18:32:28,66,34,no,3
347,1772332348,2026-02-28T18:32:28,66,34,no,10
348,1772332348,2026-02-28T18:32:28,66,34,no,200
349,1772332348,2026-02-28T18:32:28,66,34,no,5168
350,1772332348,2026-02-28T18:32:28,66,34,no,2175
351,1772332348,2026-02-28T18:32:28,66,34,no,39365
352,1772332351,2026-02-28T18:32:31,67,33,yes,7
353,1772332352,2026-02-28T18:32:32,67,33,yes,150
354,1772332354,2026-02-28T18:32:34,67,33,yes,14
355,1772332357,2026-02-28T18:32:37,67,33,yes,514
356,1772332360,2026-02-28T18:32:40,67,33,yes,1
357,1772332362,2026-02-28T18:32:42,67,33,yes,42
358,1772332362,2026-02-28T18:32:42,67,33,yes,4
359,1772332364,2026-02-28T18:32:44,67,33,yes,15
360,1772332366,2026-02-28T18:32:46,67,33,yes,7
361,1772332372,2026-02-28T18:32:52,67,33,yes,29
362,1772332379,2026-02-28T18:32:59,67,33,yes,99
363,1772332379,2026-02-28T18:32:59,67,33,yes,11
364,1772332380,2026-02-28T18:33:00,67,33,yes,36
365,1772332383,2026-02-28T18:33:03,67,33,yes,5
366,1772332386,2026-02-28T18:33:06,67,33,yes,2
367,1772332387,2026-02-28T18:33:07,67,33,yes,571
368,1772332388,2026-02-28T18:33:08,67,33,yes,1
369,1772332388,2026-02-28T18:33:08,67,33,yes,1
370,1772332394,2026-02-28T18:33:14,67,33,yes,15
371,1772332398,2026-02-28T18:33:18,67,33,yes,90
372,1772332404,2026-02-28T18:33:24,67,33,yes,45
373,1772332405,2026-02-28T18:33:25,67,33,yes,1
374,1772332409,2026-02-28T18:33:29,67,33,yes,145
375,1772332412,2026-02-28T18:33:32,67,33,yes,100
376,1772332413,2026-02-28T18:33:33,66,34,no,30
377,1772332419,2026-02-28T18:33:39,67,33,yes,4
378,1772332428,2026-02-28T18:33:48,67,33,yes,289
379,1772332429,2026-02-28T18:33:49,67,33,yes,291
380,1772332430,2026-02-28T18:33:50,67,33,yes,26
381,1772332431,2026-02-28T18:33:51,67,33,yes,217
382,1772332434,2026-02-28T18:33:54,67,33,yes,1
383,1772332434,2026-02-28T18:33:54,67,33,yes,41
384,1772332434,2026-02-28T18:33:54,67,33,yes,145
385,1772332438,2026-02-28T18:33:58,67,33,yes,2
386,1772332438,2026-02-28T18:33:58,67,33,yes,7
387,1772332438,2026-02-28T18:33:58,67,33,yes,7
388,1772332440,2026-02-28T18:34:00,67,33,yes,22
389,1772332440,2026-02-28T18:34:00,67,33,yes,18
390,1772332443,2026-02-28T18:34:03,67,33,yes,14
391,1772332455,2026-02-28T18:34:15,67,33,yes,16
392,1772332457,2026-02-28T18:34:17,67,33,yes,67
393,1772332465,2026-02-28T18:34:25,67,33,yes,746
394,1772332468,2026-02-28T18:34:28,67,33,yes,72
395,1772332468,2026-02-28T18:34:28,67,33,yes,36
396,1772332474,2026-02-28T18:34:34,67,33,yes,2
397,1772332475,2026-02-28T18:34:35,67,33,yes,50
398,1772332478,2026-02-28T18:34:38,67,33,yes,6
399,1772332479,2026-02-28T18:34:39,67,33,yes,43
400,1772332481,2026-02-28T18:34:41,67,33,yes,62
401,1772332488,2026-02-28T18:34:48,67,33,yes,437
