Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772322306,2026-02-28T15:45:06,13,87,yes,133
2,1772322306,2026-02-28T15:45:06,13,87,yes,580
3,1772322308,2026-02-28T15:45:08,13,87,yes,3
4,1772322313,2026-02-28T15:45:13,13,87,yes,500
5,1772322315,2026-02-28T15:45:15,13,87,yes,5
6,1772322316,2026-02-28T15:45:16,13,87,yes,2
7,1772322316,2026-02-28T15:45:16,13,87,yes,7
8,1772322316,2026-02-28T15:45:16,13,87,yes,72
9,1772322324,2026-02-28T15:45:24,13,87,yes,7760
10,1772322329,2026-02-28T15:45:29,13,87,yes,14
11,1772322333,2026-02-28T15:45:33,13,87,yes,14
12,1772322340,2026-02-28T15:45:40,13,87,yes,6
13,1772322341,2026-02-28T15:45:41,13,87,yes,1000
14,1772322344,2026-02-28T15:45:44,13,87,yes,36
15,1772322345,2026-02-28T15:45:45,13,87,yes,133
16,1772322350,2026-02-28T15:45:50,13,87,yes,65
17,1772322350,2026-02-28T15:45:50,13,87,yes,2220
18,1772322358,2026-02-28T15:45:58,13,87,yes,300
19,1772322358,2026-02-28T15:45:58,13,87,yes,75
20,1772322363,2026-02-28T15:46:03,12,88,no,50
21,1772322363,2026-02-28T15:46:03,12,88,no,200
22,1772322363,2026-02-28T15:46:03,12,88,no,6
23,1772322363,2026-02-28T15:46:03,12,88,no,40
24,1772322363,2026-02-28T15:46:03,12,88,no,3
25,1772322363,2026-02-28T15:46:03,12,88,no,100
26,1772322363,2026-02-28T15:46:03,12,88,no,381
27,1772322365,2026-02-28T15:46:05,13,87,yes,6
28,1772322367,2026-02-28T15:46:07,13,87,yes,7
29,1772322377,2026-02-28T15:46:17,13,87,yes,66
30,1772322378,2026-02-28T15:46:18,13,87,yes,133
31,1772322379,2026-02-28T15:46:19,13,87,yes,10
32,1772322380,2026-02-28T15:46:20,13,87,yes,5
33,1772322384,2026-02-28T15:46:24,13,87,yes,21
34,1772322385,2026-02-28T15:46:25,13,87,yes,4
35,1772322389,2026-02-28T15:46:29,13,87,yes,6666
36,1772322389,2026-02-28T15:46:29,13,87,yes,36
37,1772322392,2026-02-28T15:46:32,13,87,yes,6
38,1772322394,2026-02-28T15:46:34,13,87,yes,27
39,1772322395,2026-02-28T15:46:35,13,87,yes,36
40,1772322395,2026-02-28T15:46:35,13,87,yes,7
41,1772322396,2026-02-28T15:46:36,13,87,yes,103
42,1772322396,2026-02-28T15:46:36,13,87,yes,36
43,1772322397,2026-02-28T15:46:37,13,87,yes,173
44,1772322398,2026-02-28T15:46:38,13,87,yes,133
45,1772322403,2026-02-28T15:46:43,13,87,yes,4
46,1772322417,2026-02-28T15:46:57,13,87,yes,660
47,1772322419,2026-02-28T15:46:59,13,87,yes,100
48,1772322421,2026-02-28T15:47:01,13,87,yes,22
49,1772322423,2026-02-28T15:47:03,13,87,yes,3
50,1772322427,2026-02-28T15:47:07,13,87,yes,7000
51,1772322427,2026-02-28T15:47:07,13,87,yes,50
52,1772322428,2026-02-28T15:47:08,13,87,yes,3125
53,1772322433,2026-02-28T15:47:13,13,87,yes,46
