Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1769474705,2026-01-26T16:45:05,82,18,yes,2
2,1769474708,2026-01-26T16:45:08,82,18,yes,4
3,1769474708,2026-01-26T16:45:08,82,18,yes,1
4,1769474764,2026-01-26T16:46:04,82,18,yes,15
5,1769474778,2026-01-26T16:46:18,82,18,yes,3
6,1769474785,2026-01-26T16:46:25,82,18,yes,24
7,1769474788,2026-01-26T16:46:28,82,18,yes,29
8,1769474807,2026-01-26T16:46:47,82,18,yes,119
9,1769474825,2026-01-26T16:47:05,82,18,yes,46
10,1769474826,2026-01-26T16:47:06,82,18,yes,14
11,1769474861,2026-01-26T16:47:41,82,18,yes,102
12,1769474872,2026-01-26T16:47:52,82,18,yes,240
13,1769474879,2026-01-26T16:47:59,82,18,yes,2944
14,1769474887,2026-01-26T16:48:07,82,18,yes,1204
15,1769474931,2026-01-26T16:48:51,82,18,yes,7
16,1769474938,2026-01-26T16:48:58,82,18,yes,1
17,1769474949,2026-01-26T16:49:09,81,19,no,25
18,1769474962,2026-01-26T16:49:22,82,18,yes,12
19,1769474962,2026-01-26T16:49:22,82,18,yes,60
20,1769474970,2026-01-26T16:49:30,82,18,yes,11
21,1769474971,2026-01-26T16:49:31,82,18,yes,5
22,1769474985,2026-01-26T16:49:45,82,18,yes,3213
23,1769474988,2026-01-26T16:49:48,81,19,no,238
24,1769474989,2026-01-26T16:49:49,82,18,yes,7
25,1769475010,2026-01-26T16:50:10,82,18,yes,23
26,1769475012,2026-01-26T16:50:12,81,19,no,273
27,1769475019,2026-01-26T16:50:19,82,18,yes,8
28,1769475031,2026-01-26T16:50:31,82,18,yes,101
29,1769475032,2026-01-26T16:50:32,82,18,yes,12
30,1769475060,2026-01-26T16:51:00,82,18,yes,5
31,1769475085,2026-01-26T16:51:25,82,18,yes,94
32,1769475093,2026-01-26T16:51:33,82,18,yes,23
33,1769475097,2026-01-26T16:51:37,82,18,yes,6
34,1769475098,2026-01-26T16:51:38,82,18,yes,44
35,1769475102,2026-01-26T16:51:42,82,18,yes,120
36,1769475119,2026-01-26T16:51:59,82,18,yes,24
37,1769475149,2026-01-26T16:52:29,82,18,yes,29
38,1769475158,2026-01-26T16:52:38,82,18,yes,35
39,1769475164,2026-01-26T16:52:44,82,18,yes,43
40,1769475171,2026-01-26T16:52:51,82,18,yes,50
41,1769475173,2026-01-26T16:52:53,82,18,yes,6
42,1769475180,2026-01-26T16:53:00,82,18,yes,4696
43,1769475184,2026-01-26T16:53:04,82,18,yes,6
44,1769475199,2026-01-26T16:53:19,82,18,yes,6
45,1769475203,2026-01-26T16:53:23,82,18,yes,35
46,1769475213,2026-01-26T16:53:33,82,18,yes,895
47,1769475222,2026-01-26T16:53:42,82,18,yes,48
48,1769475228,2026-01-26T16:53:48,82,18,yes,198
49,1769475255,2026-01-26T16:54:15,82,18,yes,174
50,1769475256,2026-01-26T16:54:16,82,18,yes,1
51,1769475270,2026-01-26T16:54:30,82,18,yes,23
52,1769475272,2026-01-26T16:54:32,82,18,yes,1
53,1769475285,2026-01-26T16:54:45,82,18,yes,14
54,1769475312,2026-01-26T16:55:12,82,18,yes,33
55,1769475314,2026-01-26T16:55:14,82,18,yes,12
56,1769475331,2026-01-26T16:55:31,82,18,yes,24
57,1769475334,2026-01-26T16:55:34,82,18,yes,36
58,1769475352,2026-01-26T16:55:52,82,18,yes,30
59,1769475355,2026-01-26T16:55:55,82,18,yes,142
60,1769475359,2026-01-26T16:55:59,82,18,yes,120
61,1769475373,2026-01-26T16:56:13,82,18,yes,52
62,1769475381,2026-01-26T16:56:21,82,18,yes,1
63,1769475388,2026-01-26T16:56:28,82,18,yes,6
64,1769475405,2026-01-26T16:56:45,82,18,yes,6
66,1769475406,2026-01-26T16:56:46,81,19,no,9
67,1769475420,2026-01-26T16:57:00,82,18,yes,5
68,1769475425,2026-01-26T16:57:05,81,19,no,6
69,1769475444,2026-01-26T16:57:24,82,18,yes,12
70,1769475477,2026-01-26T16:57:57,82,18,yes,29
71,1769475487,2026-01-26T16:58:07,82,18,yes,1600
72,1769475489,2026-01-26T16:58:09,82,18,yes,119
73,1769475499,2026-01-26T16:58:19,82,18,yes,18
74,1769475503,2026-01-26T16:58:23,82,18,yes,60
75,1769475512,2026-01-26T16:58:32,82,18,yes,12
76,1769475537,2026-01-26T16:58:57,82,18,yes,8
77,1769475557,2026-01-26T16:59:17,81,19,no,1
78,1769475563,2026-01-26T16:59:23,82,18,yes,8
79,1769475602,2026-01-26T17:00:02,82,18,yes,1
80,1769475605,2026-01-26T17:00:05,82,18,yes,50
81,1769475610,2026-01-26T17:00:10,81,19,no,1
82,1769475617,2026-01-26T17:00:17,82,18,yes,177
83,1769475629,2026-01-26T17:00:29,82,18,yes,1
84,1769475640,2026-01-26T17:00:40,82,18,yes,5
85,1769475645,2026-01-26T17:00:45,82,18,yes,757
86,1769475649,2026-01-26T17:00:49,82,18,yes,1
87,1769475663,2026-01-26T17:01:03,82,18,yes,180
88,1769475667,2026-01-26T17:01:07,82,18,yes,4
89,1769475687,2026-01-26T17:01:27,81,19,no,100
90,1769475700,2026-01-26T17:01:40,81,19,no,19
91,1769475711,2026-01-26T17:01:51,82,18,yes,71
92,1769475720,2026-01-26T17:02:00,82,18,yes,23
93,1769475728,2026-01-26T17:02:08,82,18,yes,238
94,1769475734,2026-01-26T17:02:14,82,18,yes,200
95,1769475742,2026-01-26T17:02:22,82,18,yes,369
96,1769475763,2026-01-26T17:02:43,82,18,yes,12
97,1769475769,2026-01-26T17:02:49,82,18,yes,60
98,1769475776,2026-01-26T17:02:56,82,18,yes,94
99,1769475784,2026-01-26T17:03:04,82,18,yes,2
100,1769475796,2026-01-26T17:03:16,82,18,yes,1
101,1769475806,2026-01-26T17:03:26,82,18,yes,24
102,1769475816,2026-01-26T17:03:36,82,18,yes,12
103,1769475817,2026-01-26T17:03:37,82,18,yes,60
104,1769475820,2026-01-26T17:03:40,82,18,yes,12
105,1769475824,2026-01-26T17:03:44,82,18,yes,5
106,1769475842,2026-01-26T17:04:02,82,18,yes,119
107,1769475854,2026-01-26T17:04:14,82,18,yes,166
108,1769475887,2026-01-26T17:04:47,82,18,yes,5
109,1769475898,2026-01-26T17:04:58,82,18,yes,12
110,1769475907,2026-01-26T17:05:07,82,18,yes,119
111,1769475914,2026-01-26T17:05:14,82,18,yes,675
112,1769475915,2026-01-26T17:05:15,82,18,yes,23
113,1769475928,2026-01-26T17:05:28,82,18,yes,1
114,1769475941,2026-01-26T17:05:41,82,18,yes,595
115,1769475947,2026-01-26T17:05:47,82,18,yes,36
116,1769475950,2026-01-26T17:05:50,82,18,yes,35
117,1769475953,2026-01-26T17:05:53,82,18,yes,59
118,1769475954,2026-01-26T17:05:54,82,18,yes,59
119,1769475960,2026-01-26T17:06:00,82,18,yes,5
120,1769475976,2026-01-26T17:06:16,82,18,yes,30
121,1769475999,2026-01-26T17:06:39,81,19,no,10
122,1769476001,2026-01-26T17:06:41,81,19,no,120
123,1769476017,2026-01-26T17:06:57,81,19,no,118
125,1769476023,2026-01-26T17:07:03,82,18,yes,18
126,1769476047,2026-01-26T17:07:27,82,18,yes,250
127,1769476057,2026-01-26T17:07:37,82,18,yes,290
128,1769476073,2026-01-26T17:07:53,82,18,yes,25
130,1769476089,2026-01-26T17:08:09,82,18,yes,24
131,1769476101,2026-01-26T17:08:21,82,18,yes,3928
132,1769476141,2026-01-26T17:09:01,82,18,yes,9
133,1769476149,2026-01-26T17:09:09,82,18,yes,71
134,1769476162,2026-01-26T17:09:22,82,18,yes,258
136,1769476180,2026-01-26T17:09:40,82,18,yes,1204
137,1769476185,2026-01-26T17:09:45,82,18,yes,137
138,1769476186,2026-01-26T17:09:46,82,18,yes,119
139,1769476212,2026-01-26T17:10:12,82,18,yes,11
140,1769476217,2026-01-26T17:10:17,82,18,yes,1
141,1769476233,2026-01-26T17:10:33,81,19,no,9
142,1769476235,2026-01-26T17:10:35,82,18,yes,12
143,1769476243,2026-01-26T17:10:43,81,19,no,23
145,1769476267,2026-01-26T17:11:07,82,18,yes,11
146,1769476280,2026-01-26T17:11:20,82,18,yes,11
147,1769476301,2026-01-26T17:11:41,82,18,yes,30
148,1769476311,2026-01-26T17:11:51,82,18,yes,30
150,1769476313,2026-01-26T17:11:53,82,18,yes,7
153,1769476321,2026-01-26T17:12:01,82,18,yes,6761
154,1769476323,2026-01-26T17:12:03,82,18,yes,150
155,1769476336,2026-01-26T17:12:16,84,16,no,14
159,1769476347,2026-01-26T17:12:27,85,15,yes,10
160,1769476348,2026-01-26T17:12:28,85,15,no,1
161,1769476350,2026-01-26T17:12:30,85,15,yes,12
163,1769476351,2026-01-26T17:12:31,85,15,yes,23
164,1769476355,2026-01-26T17:12:35,85,15,yes,5
165,1769476357,2026-01-26T17:12:37,85,15,yes,1149
166,1769476363,2026-01-26T17:12:43,86,14,yes,28
167,1769476367,2026-01-26T17:12:47,86,14,yes,115
169,1769476371,2026-01-26T17:12:51,86,14,yes,250
170,1769476372,2026-01-26T17:12:52,86,14,yes,1
171,1769476373,2026-01-26T17:12:53,86,14,yes,2
172,1769476375,2026-01-26T17:12:55,86,14,yes,90
173,1769476380,2026-01-26T17:13:00,86,14,yes,57
175,1769476381,2026-01-26T17:13:01,86,14,yes,2497
176,1769476387,2026-01-26T17:13:07,87,13,yes,1
177,1769476392,2026-01-26T17:13:12,87,13,yes,3
179,1769476394,2026-01-26T17:13:14,87,13,yes,73
180,1769476399,2026-01-26T17:13:19,88,12,yes,255
182,1769476404,2026-01-26T17:13:24,88,12,yes,5
186,1769476407,2026-01-26T17:13:27,88,12,yes,1
187,1769476409,2026-01-26T17:13:29,88,12,yes,222
190,1769476412,2026-01-26T17:13:32,87,13,no,190
191,1769476413,2026-01-26T17:13:33,88,12,yes,333
195,1769476416,2026-01-26T17:13:36,88,12,yes,159
198,1769476429,2026-01-26T17:13:49,88,12,yes,625
199,1769476436,2026-01-26T17:13:56,88,12,yes,333
203,1769476444,2026-01-26T17:14:04,87,13,no,5000
204,1769476449,2026-01-26T17:14:09,87,13,yes,67
206,1769476452,2026-01-26T17:14:12,87,13,yes,124
208,1769476455,2026-01-26T17:14:15,86,14,no,2039
209,1769476464,2026-01-26T17:14:24,87,13,yes,1
210,1769476467,2026-01-26T17:14:27,87,13,yes,1
211,1769476469,2026-01-26T17:14:29,87,13,yes,1
213,1769476472,2026-01-26T17:14:32,87,13,yes,10
214,1769476473,2026-01-26T17:14:33,87,13,yes,3
215,1769476482,2026-01-26T17:14:42,87,13,yes,89
217,1769476484,2026-01-26T17:14:44,87,13,no,13
218,1769476486,2026-01-26T17:14:46,87,13,yes,337
219,1769476490,2026-01-26T17:14:50,87,13,yes,4
220,1769476512,2026-01-26T17:15:12,87,13,yes,1
222,1769476517,2026-01-26T17:15:17,87,13,yes,2
223,1769476528,2026-01-26T17:15:28,88,12,yes,1
225,1769476531,2026-01-26T17:15:31,87,13,no,13
226,1769476534,2026-01-26T17:15:34,88,12,yes,138
227,1769476535,2026-01-26T17:15:35,86,14,no,15
230,1769476538,2026-01-26T17:15:38,88,12,yes,4482
231,1769476541,2026-01-26T17:15:41,88,12,yes,10
232,1769476542,2026-01-26T17:15:42,86,14,no,74
233,1769476550,2026-01-26T17:15:50,87,13,no,1
234,1769476557,2026-01-26T17:15:57,88,12,yes,115
235,1769476561,2026-01-26T17:16:01,88,12,yes,5
237,1769476562,2026-01-26T17:16:02,87,13,no,14
238,1769476565,2026-01-26T17:16:05,88,12,yes,50
239,1769476567,2026-01-26T17:16:07,88,12,yes,55
242,1769476568,2026-01-26T17:16:08,88,12,yes,975
243,1769476573,2026-01-26T17:16:13,87,13,yes,16
244,1769476578,2026-01-26T17:16:18,86,14,no,1
245,1769476581,2026-01-26T17:16:21,87,13,yes,2
246,1769476582,2026-01-26T17:16:22,87,13,yes,2
248,1769476586,2026-01-26T17:16:26,86,14,no,12
249,1769476590,2026-01-26T17:16:30,87,13,yes,5
250,1769476592,2026-01-26T17:16:32,87,13,yes,5
251,1769476593,2026-01-26T17:16:33,87,13,yes,11
253,1769476595,2026-01-26T17:16:35,87,13,yes,25
256,1769476626,2026-01-26T17:17:06,87,13,yes,115
254,1769476626,2026-01-26T17:17:06,87,13,yes,13
259,1769476638,2026-01-26T17:17:18,87,13,no,14
260,1769476641,2026-01-26T17:17:21,87,13,yes,365
261,1769476650,2026-01-26T17:17:30,87,13,yes,19
266,1769476652,2026-01-26T17:17:32,87,13,yes,955
269,1769476657,2026-01-26T17:17:37,87,13,yes,749
270,1769476663,2026-01-26T17:17:43,87,13,yes,4
271,1769476664,2026-01-26T17:17:44,87,13,no,40
275,1769476670,2026-01-26T17:17:50,88,12,yes,692
278,1769476675,2026-01-26T17:17:55,86,14,no,13
282,1769476678,2026-01-26T17:17:58,87,13,yes,1
284,1769476683,2026-01-26T17:18:03,87,13,no,14
285,1769476695,2026-01-26T17:18:15,86,14,yes,2
286,1769476697,2026-01-26T17:18:17,86,14,yes,1
287,1769476700,2026-01-26T17:18:20,86,14,yes,5
293,1769476706,2026-01-26T17:18:26,86,14,yes,440
294,1769476707,2026-01-26T17:18:27,86,14,yes,23
295,1769476708,2026-01-26T17:18:28,86,14,yes,3
296,1769476715,2026-01-26T17:18:35,89,11,yes,199
297,1769476720,2026-01-26T17:18:40,88,12,yes,2
298,1769476721,2026-01-26T17:18:41,88,12,yes,3
299,1769476726,2026-01-26T17:18:46,88,12,yes,50
300,1769476732,2026-01-26T17:18:52,88,12,yes,32
301,1769476735,2026-01-26T17:18:55,88,12,yes,666
304,1769476738,2026-01-26T17:18:58,87,13,yes,27
309,1769476751,2026-01-26T17:19:11,85,15,no,778
305,1769476751,2026-01-26T17:19:11,86,14,no,14
311,1769476756,2026-01-26T17:19:16,86,14,yes,4
313,1769476760,2026-01-26T17:19:20,85,15,yes,13
314,1769476763,2026-01-26T17:19:23,86,14,yes,10
315,1769476778,2026-01-26T17:19:38,86,14,yes,64
317,1769476779,2026-01-26T17:19:39,86,14,no,1
320,1769476781,2026-01-26T17:19:41,88,12,yes,316
321,1769476783,2026-01-26T17:19:43,88,12,yes,24
322,1769476786,2026-01-26T17:19:46,88,12,yes,50
323,1769476787,2026-01-26T17:19:47,88,12,yes,21
324,1769476789,2026-01-26T17:19:49,88,12,yes,1000
325,1769476793,2026-01-26T17:19:53,88,12,yes,1
326,1769476794,2026-01-26T17:19:54,87,13,no,11
327,1769476797,2026-01-26T17:19:57,88,12,yes,9
328,1769476800,2026-01-26T17:20:00,88,12,yes,5
329,1769476801,2026-01-26T17:20:01,88,12,yes,6
330,1769476806,2026-01-26T17:20:06,88,12,yes,33
331,1769476808,2026-01-26T17:20:08,88,12,yes,3
332,1769476814,2026-01-26T17:20:14,88,12,yes,10
333,1769476817,2026-01-26T17:20:17,88,12,yes,67
334,1769476824,2026-01-26T17:20:24,88,12,yes,5
335,1769476826,2026-01-26T17:20:26,88,12,yes,10
336,1769476827,2026-01-26T17:20:27,88,12,yes,640
337,1769476832,2026-01-26T17:20:32,88,12,yes,135
340,1769476834,2026-01-26T17:20:34,88,12,yes,2183
342,1769476836,2026-01-26T17:20:36,88,12,yes,12
343,1769476843,2026-01-26T17:20:43,88,12,no,12
344,1769476845,2026-01-26T17:20:45,87,13,no,12
345,1769476852,2026-01-26T17:20:52,88,12,no,13
346,1769476857,2026-01-26T17:20:57,88,12,yes,1111
349,1769476860,2026-01-26T17:21:00,88,12,yes,14
350,1769476867,2026-01-26T17:21:07,89,11,yes,11
353,1769476869,2026-01-26T17:21:09,89,11,yes,549
355,1769476876,2026-01-26T17:21:16,89,11,yes,5
354,1769476875,2026-01-26T17:21:15,89,11,yes,12
356,1769476879,2026-01-26T17:21:19,88,12,no,14
357,1769476881,2026-01-26T17:21:21,88,12,no,22
358,1769476883,2026-01-26T17:21:23,88,12,no,29
360,1769476885,2026-01-26T17:21:25,88,12,no,13
361,1769476889,2026-01-26T17:21:29,89,11,yes,111
362,1769476890,2026-01-26T17:21:30,89,11,yes,111
364,1769476892,2026-01-26T17:21:32,89,11,yes,354
365,1769476895,2026-01-26T17:21:35,88,12,no,5
367,1769476897,2026-01-26T17:21:37,88,12,no,12
368,1769476900,2026-01-26T17:21:40,87,13,yes,12
370,1769476904,2026-01-26T17:21:44,87,13,yes,75
371,1769476911,2026-01-26T17:21:51,87,13,yes,30
372,1769476912,2026-01-26T17:21:52,87,13,yes,1043
375,1769476913,2026-01-26T17:21:53,86,14,no,13
377,1769476928,2026-01-26T17:22:08,86,14,yes,425
378,1769476930,2026-01-26T17:22:10,86,14,yes,201
381,1769476947,2026-01-26T17:22:27,86,14,yes,74
382,1769476961,2026-01-26T17:22:41,86,14,yes,76
383,1769476963,2026-01-26T17:22:43,86,14,no,13
384,1769476968,2026-01-26T17:22:48,87,13,yes,5
385,1769476984,2026-01-26T17:23:04,87,13,yes,56
386,1769476990,2026-01-26T17:23:10,87,13,yes,1
387,1769477003,2026-01-26T17:23:23,87,13,yes,105
389,1769477007,2026-01-26T17:23:27,87,13,yes,2
390,1769477008,2026-01-26T17:23:28,87,13,yes,134
393,1769477009,2026-01-26T17:23:29,86,14,yes,22
394,1769477011,2026-01-26T17:23:31,86,14,yes,10
395,1769477013,2026-01-26T17:23:33,86,14,yes,28
396,1769477023,2026-01-26T17:23:43,86,14,yes,50
398,1769477030,2026-01-26T17:23:50,85,15,no,106
401,1769477041,2026-01-26T17:24:01,85,15,yes,8
402,1769477049,2026-01-26T17:24:09,85,15,yes,291
403,1769477054,2026-01-26T17:24:14,85,15,yes,1
404,1769477055,2026-01-26T17:24:15,85,15,yes,150
405,1769477057,2026-01-26T17:24:17,86,14,yes,212
409,1769477061,2026-01-26T17:24:21,84,16,no,123
413,1769477070,2026-01-26T17:24:30,85,15,yes,189
415,1769477072,2026-01-26T17:24:32,84,16,no,12
417,1769477074,2026-01-26T17:24:34,84,16,no,13
418,1769477086,2026-01-26T17:24:46,84,16,yes,11
421,1769477090,2026-01-26T17:24:50,84,16,yes,44
422,1769477098,2026-01-26T17:24:58,84,16,yes,100
423,1769477101,2026-01-26T17:25:01,85,15,yes,1
425,1769477108,2026-01-26T17:25:08,85,15,no,13
